#漢字	音標	解釋
□	pʰi1	削
□	li1	～熟的：很熟
□	li1	～la34①：麻煩
□	fu1	～得攏來：聚攏
□	pa1	～皮喫肉：喻非常合身
□	ma1	偷
□	tʰa1	～圈：轉圈
□	tsa1	調皮：莫亂～
□	tsa1	攀援
□	lia1	放～：撒嬌
□	tɕʰia1	(躲)
□	xo1	～人：討好人
□	tɤ1	～米：與糯米相對，沒有黏性，北方叫秈米
□	tɤ1	～子：舀水的工具
□	lɤ1	拿
□	tsʰɤ1	～水：跳水自殺
□	lie1	縮
□	lie1	捲曲：衣服不展
□	tʰae1	撐起
□	lae1	弱小
□	tsae1	蹲
□	sae1	～起牙齒：齜着牙
□	xae1	磨蹭
□	uae1	掏
□	pʰɑɔ1	行爲輕浮
□	ŋɑɔ1	昂着：阿腦殼一～起
□	tiɑɔ1	踢
□	ȵiɑɔ1	～咖噠：比喻人去世
□	ȵiɑɔ1	～起二郎腿
□	tɕʰiəʌ1	～年四季：一年四季
□	pʰan1	追趕：莫亂～
□	tan1	～又：偏要
□	lian1	～薄的：很薄
□	tɕian1	不情願：礙～
□	lin1	～薄的：很薄
□	lɒ̃1	～薄的：很薄
□	tɕʰiɒ̃1	～貨：眼神不好，罵人話
□	ka2	～圍袱：系圍巾
□	ȵia2	～得：被
□	ȵia2	～點：等會兒
□	tsʰɤ2	累得～：非常累
□	tɑɔ2	～湯：用勺子向碗裏舀湯的動作
□	tɕiəʌ2	～一身泥：沾一身泥
□	tɕiəʌ2	一～，量詞，一～葡萄
□	tɕʰiəʌ2	呸～：呸
□	man2	～～唧：剛出生不久的小孩
□	tɕian2	搖搖晃晃的樣子
□	lən2	
□	tɕʰy3	～人：刺人
□	pʰa3	～開：叉開
□	sa3	～咖跌：意爲大事不好
□	pʰia3	擊：～噠一隻耳巴
□	pʰia3	～咖跌：身體衰弱下去
□	lia3	斜：肩胛一點～
□	lia3	～起舌子：伸着舌頭
□	ȵia3	到處亂動手
□	ɕya3	理睬
□	tso3	～錢：借錢
□	pʰɤ3	糖～飯：糖拌飯
□	tʰɤ3	～一陣：等一下
□	kɤ3	～冇得傢伙喫跌：就那麼沒東西喫了嗎
□	ŋɤ3	～人：硌人
□	pʰie3	佔便宜
□	ie3	怕～：害羞
□	pʰae3	背：～一隻書包
□	miɑɔ3	看
□	ləʌ3	～碗：補碗
□	xəʌ3	～大
□	tɕʰiəʌ3	歪：腳～一下
□	ɕiəʌ3	炫耀
□	pan3	用力往地上摔：氣得～
□	tan3	～病：治病
□	kʰan3	咳嗽
□	tʰian3	磨蹭
□	ȵian3	～腦殼：點頭
□	kʰuan3	～眼：符合
□	kʰuan3	摔跤
□	tən3	～飯：「喫飯」的罵人用法
□	tʰən3	踢
□	tʰən3	～爛的：很爛
□	tɕʰin3	湊近看
□	ɕin3	傻
□	tɒ̃3	～病；治病
□	lɒ̃3	整勻，～耙：耕田的一種工具；～碗：把碗涮乾淨
□	kʰɒ̃3	糕點放置時間過長變味稱～
□	ȵiɒ̃3	閑逛：一天到晚只曉得到外邊～
□	tɕi5	～死的：很緊
□	tɕʰi5	擦
□	tɕʰi5	把熟的食物加熱
□	pa5	～唧：赤子陰
□	pa5	粘貼：～得阿壁上(粘貼到墻上)
□	ta5	往地上甩
□	tʰa5	～粑粑：烙餅
□	la5	動；～動：出發之意
□	tsa5	～咐：叮囑
□	ŋa5	縫～裏：縫隙裏
□	kua5	～瘦的：很瘦
□	tʰo5	丟
□	so5	醜
□	pɤ5	～瓜子：嗑瓜子
□	pʰɤ5	～la45⑤：很多
□	tɤ5	～螺：陀螺
□	tʰɤ5	欺騙
□	tʰɤ5	壓
□	tʰɤ5	勻～：勻稱
□	ŋɤ5	～得：能喫
□	kʰuɤ5	～上：比較高的田埂
□	uɤ5	趁
□	uɤ5	～煙：將垃圾等東西點燃製成煙霧，可用來驅蚊
□	lie5	～ta45⑤毛：劉海
□	tɕʰie5	通過炫耀誘惑別人
□	ɕye5	顯
□	lae5	～人：蟄人；蠚～子：一種蟲子
□	uae5	～叫：歇斯底里地叫
□	tɑɔ5	～把：將物體的柄裝上
□	lɑɔ5	～噠一爪：狠狠地抓了一把
□	miɑɔ5	遠遠地看
□	ləʌ5	從水里撈出來
□	xəʌ5	錘打：～噠一傢伙
□	fan5	～～公：相反的意思
□	kʰuan5	～起：反扣上或覆蓋
□	uan5	調皮
□	tən5	豎立
□	tən5	量詞：一截
□	lən5	～進去：塞進去
□	lən5	麻～子：蝌蚪
□	sən5	～鼻子：抽鼻子
□	kən5	～進去：鑽進去
□	tɕʰin5	～老館：鬼
□	ȵin5	做事～：形容做事縮手縮腳
□	kʰɒ̃5	～肉：熏肉
□	tɕiɒ̃5	～一腳：踩一腳
□	u6	和在一起
□	pa6	能幹
□	ka6	大拇指和食指之間的距離
□	tɕia6	應聲詞。～，把得爾
□	lan6	～刀：菜刀
□	tɕʰian6	象聲詞
□	ȵian6	將東西給人時說的話
□	kuan6	搖
□	pən6	～噠一拳：猛打了一拳
□	tʰən6	～噠一拳：猛打了一拳
□	sən6	～噠一坨：忽然攻擊別人一拳
□	lin6	～光子：冰
□	ɒ̃6	鋪～子：床上的欄杆
㞎	pa6	～～：屎，兒語
㩳	tsʰən3	(存疑)推
㮇	tʰie3	
㲃	tɕiəʌ5	旋轉：把瓶蓋～開
㿸	man6	污垢
䅺	piɑɔ1	卑遙切，稻穀抽穗曰「～線」
䊳	mi1	～融的：很爛
䏘	pʰi1	女陰
䐬	lɑɔ2	飢餓：肚子～
䓆	tɤ5	～子：簟子
一	i5	
丁	tin1	
七	tɕʰi5	
丈	lɒ̃6-	
丈	tɒ̃5	
三	san1	
上	lɒ̃6-	
下	a6-	腳～；～降
下	tɕia6=	～回：下次
下	ɕia6=	～面，～降
不	pu5	
丐	kae5	
丑	tʰəʌ3-	
丑	tsʰəʌ3=	
且	tɕʰie3	
世	sɿ5	
丘	tɕʰiəʌ1	
丙	pin3	
丞	lən2	
丟	tiəʌ1	
並	pin5	～列；～且
丫	ŋa1	
丫	ia1	
中	tən1-	～間
中	tən5	射～
中	tsən1=	～間
中	tsən5=	射～
丰	xən1	
串	tɕʰye5	
丸	ye2	
丹	tan1	
主	tɕy3	
乃	lae3	
久	tɕiəʌ3	
之	tsɿ1	
乎	fu1	
乏	fa5-	
乏	fan5=	
乖	kuae1	
乘	lən2	
九	tɕiəʌ3	
乞	tɕʰi3	
也	ia3-	～是
也	ie3=	～許
乳	y3	
乾	kan1	～燥
乾	tɕie2	
了	liɑɔ3	～結
予	y3	
事	ɹɿ6	
二	ɤ6	
云	yn2	
互	u6	
五	u3	
井	tɕin3	
些	ɕia1	
亞	ia5	
亡	ɒ̃2	
交	tɕiɑɔ1	
亥	xae3	
亦	i5	
享	ɕiɒ̃3	
京	tɕin1	
亭	tin2	
亮	liɒ̃6	
人	ȵin2-	
人	lən2=	
什	sɿ5	
仇	ləʌ2	
仇	tɕiəʌ2	姓氏
今	tɕin1	
介	kae5	
仕	ɹɿ6	
他	xa1-	
他	tʰa1=	
仗	tɒ̃5	
仙	ɕie1	
代	tae6-	～替
代	tae5=	～表
令	lin5	
以	i3	
仰	ȵiɒ̃3	
仲	lən5	
件	tɕie6	
任	lən5	責～
任	lən6	姓氏
份	uən6	
仿	xɒ̃3	
企	tɕʰi3	
企	tɕi6	(又)
伊	i1	
伍	u3	
伏	fu5	
伐	fa5	
休	ɕiəʌ1	
伢	ŋa2	
伯	pa5-	～～
伯	pɤ5=	
估	ku1	
伴	pɤ6	
伶	lin2	
伸	sən1	
伺	tsʰɿ5	
似	ɹɿ5	
佃	tie6	
但	tan6	
佈	pu5	～置
位	uəʌ6	
低	ti1	
住	tɕy6	
佐	tso3	
佑	io5	
佔	tsɤ5-	～有
佔	tsan5=	～領
何	u2	奈～
何	o2	
佘	sɤ1	
余	y2	
佛	fu5	
作	tso5	
佞	ȵin5	
你	ȵi3	
佩	pʰəʌ5	
佳	tɕia1	
佻	tiɑɔ6	搖頭
使	sɿ3	
侄	tsɿ5	
來	lae2	
侈	tsʰɿ3	
侉	kʰua3	
例	lie5	
侍	sɿ5	
供	kən1	～應
供	kən5	上～
依	i1	
侮	u3	
侯	ɑɔ2	
侵	tɕʰin5	
便	pie2	～宜
便	pie6	方～
係	ɕi5	關～
促	tsʰəʌ5	～起噠：思路受阻
俄	ŋo2	
俊	tsən5	
俏	tɕʰiɑɔ5	
俗	səʌ5	
俘	fu1	
保	pɑɔ3	
信	ɕin5	
修	ɕiəʌ1	
俯	fu3	
俱	tɕy5	
俸	fən5	
倆	liɒ̃3	
倉	tsʰɒ̃1	
個	ko5	
倍	pəʌ6	
