#漢字	音標	解釋
□	tɕyɛ1	～的，形容人没情义
□	tɕyɑŋ1	骂人
□	zɑŋ2	话多讨人厌
□	luɑŋ2	～蛋蛋：揉团成圆状物
□	zəŋ2	碾，磨
□	nuəʔ7	踒了手指
□	kuəʔ7	果子核
㪗	təu5	～开，～一阵
一	iəʔ7	
丁	tiəŋ1	
七	tɕʰiəʔ7	
万	uɑŋ5	
丈	tʂə5	～人
三	sɑŋ1	
上	ʂə5	～山
上	ʂə5	～面
下	xa5-	底下
下	ɕia5=	～降
不	pəʔ7	
与	y1	
丐	kɛi5	
丑	tʂʰəu1	
專	tʂuɑŋ1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piəŋ1	
業	niəʔ7	
叢	tʂʰuəŋ2	
東	tuəŋ1	
絲	sɿ1	
丟	tiəu1	
兩	liɛ1	～个
兩	liɛ1	斤两
嚴	iɑŋ2	
喪	sɑŋ1	婚～
喪	sɑŋ5	～失
个	kuə5	～人
个	kuəʔ8	量词
中	tʂuəŋ1	
丰	xuəŋ1	
串	tʂʰuɑŋ5	
丸	uɑŋ2	
丹	tɑŋ1	
爲	uei2	作～
爲	uei5	为什么，～甚
主	tʂu1	
丽	li5	
舉	tɕy1	
乃	nɛi1	
義	ni5	地名
義	i5	仗～
乏	xuaʔ7	
樂	yəʔ7	音乐
樂	laʔ7	
乖	kuɛi1	
乘	tʂʰəŋ2	
乙	iəʔ7	
九	tɕiəu1	
乞	tɕʰi1	
也	ia1	
習	ɕiəʔ7	
鄉	ɕiɑŋ1	
書	ʂu1	
買	mɛi1	
亂	luɑŋ5	
乳	ʐu1	
乾	tɕʰiɑŋ2	
了	liɑu1	了结
了	ləʔ7	
爭	tsɛi1	～夺
事	sɿ5	
二	ɚ5	
虧	kʰuei1	
雲	yəŋ2	
五	u1	
井	tɕiɛ1	
亞	ia5	
些	sɛi1	
亡	uɑŋ2	
亥	xɛi5	
亦	i5	
產	tsʰɑŋ1	
亨	xəŋ2	
畝	mu1	
享	ɕiɑŋ1	
京	tɕiəŋ1	
亮	liɑŋ5	
親	tɕʰiəŋ1	
親	tɕʰiəŋ5	～家
人	ʐəŋ2	
億	i5	
仁	ʐəŋ2	
僅	tɕiəŋ1	
仇	tʂʰəu2	
今	tɕiəŋ1	
仍	ʐəŋ1	
从	tʂʰuəŋ2	
他	tʰa1	
仙	ɕiɑŋ1	
代	tɛi5	
令	liəŋ5	
以	i1	
儀	i2	
仰	iɑŋ1	
仲	tʂuəŋ5	
件	tɕiɑŋ5	
任	ʐəŋ2	姓
任	ʐəŋ5	责～
份	xuəŋ5	
仿	xuɑŋ1	
企	tɕʰi1	
伊	i1	
休	ɕiəu1	
衆	tʂuəŋ5	
優	iəu1	
會	kʰuɛi5	～计
會	xuei5	开～
會	xuei5	～不～
傘	sɑŋ1	
偉	uei1	
傳	tʂuɑŋ5	传记
倫	luəŋ2	
僞	uei1	
伯	piɛ5	伯父
伯	piəʔ7	大～子，丈夫的哥哥
伴	pɑŋ5	
伺	tsʰɿ5	
似	sɿ5	
位	uei5	
低	ti1	
住	tʂu5	
體	tʰi1	
何	xuə2	
余	y2	
佛	xuəʔ7	仿～
作	tsaʔ7	
你	ni1	
佳	tɕia1	
侄	tʂʰəʔ8	
侈	tʂʰʅ1	
例	li5	
供	kuəŋ5	
依	i1	
偵	tʂəŋ1	
側	tsʰaʔ7	
侵	tɕʰiəŋ1	～害
便	pʰiɑŋ2	～宜
便	piɑŋ5	
促	tʂʰuəʔ7	
俄	ŋə2	
俊	tɕyəŋ5	
俏	tɕʰiɑu5	
俗	ɕyəʔ8	
保	pɑu1	
儉	tɕiɑŋ1	
俺	ŋa1	我的，我们的
倍	pei5	
倒	tɑu5	颠～
倒	tɑu5	～水
候	xəu5	
借	tsɛi5	
倡	tʂʰɑŋ5	
倦	tɕyɑŋ5	
債	tsɛi5	
值	tʂʰəʔ7	
傾	tɕʰiəŋ1	
假	tɕia1	真假
假	tɕia5	请～
偏	pʰiɑŋ1	
做	tʂuəʔ7	
停	tʰiəŋ2	
健	tɕiɑŋ5	
偶	ŋəu1	
偷	tʰəu1	
償	ʂɑŋ1=	
傅	xu2	
傍	pɑŋ5	
儲	tʂʰu1	
像	ɕiɛ5	
僧	səŋ1	
僻	pʰiəʔ7	
儒	ʐu1	
兒	ɚ1	
允	yəŋ1	
兄	ɕyɛ1	～弟
充	tʂʰuəŋ1	
先	ɕiɑŋ1	
光	kuə1	光滑
光	kuɑŋ1	阳～
克	kʰaʔ7	
免	miɑŋ1	
兌	tuei5	
黨	tɑŋ1	
兜	təu1	
入	ʐuəʔ7	
全	tɕʰyɑŋ2	
八	paʔ7	
蘭	lɑŋ2	
共	kuəŋ5	
關	kuɑŋ1	
興	ɕiəŋ1	兴盛
兵	piəŋ1	
具	tɕy5	
典	tiɑŋ1	
養	iɛ1	～活
兼	tɕiɑŋ1	
獸	ʂəu5	
冀	tɕi5	
內	nɛi5	
冉	ʐɑŋ1	
冊	tsʰaʔ7	
再	tsei5	
冗	ʐuəŋ1	
寫	sɛi1	
軍	tɕyəŋ1	
農	nuəŋ2	
冠	kuɑŋ5	
冤	yɑŋ1	
冬	tuəŋ1	
馮	xuəŋ2	
冰	piɛ1	形容冰凉
冰	piəŋ1	
冲	tʂʰuəŋ1	
决	tɕyəʔ7	
况	kʰuɑŋ5	
冷	ləŋ1	
凍	tuəŋ5	
淨	tɕiɛ2	
準	tʂuəŋ1	
凉	liɛ2	
凌	liɛ2	积冰，冻～
減	tɕiɑŋ1	
湊	tsʰəu5	
凝	niəŋ2	
几	tɕi1	
几	tɕi1	～乎
几	tɕi1	～个
凡	xuɑŋ2	
凭	pʰiəŋ2	
凱	kʰɛi1	
凳	təŋ5	
凶	ɕyəŋ1	
出	tʂʰuəʔ7	
擊	tɕiəʔ7	
函	xɑŋ2	
刀	tɑu1	
刁	tiɑu1	
刃	ʐəŋ5	
分	xuəŋ1	
切	tɕʰiəʔ7	
刊	kʰɑŋ1	
刎	uəŋ1	
刑	ɕiəŋ2	
划	xua2	～船
划	xua5	计～
列	liəʔ7	
劉	liəu2	
則	tsaʔ7	
創	tʂʰuɑŋ5	
初	tsʰəu1	
刪	ʂɑŋ1	
判	pʰɑŋ5	
刨	pʰɑu1	
