#漢字	音標	解釋
□	tɕyɛ1	～的，形容人没情义
□	tɕyɛn1	骂人
□	zan2	话多讨人厌
□	luan2	～蛋蛋：揉团成圆状物
□	zaŋ2	话多讨人厌
□	zəŋ2	碾，磨
□	nuəʔ7	踒了手指
□	kuəʔ7	果子核
㪗	təu5	～开，～一阵
一	iəʔ7	
丁	tiəŋ1	
七	tɕʰiəʔ7	
万	uan5	
丈	tʂə5	～人
三	san1	
上	ʂə5	～山
上	ʂə5	～面
下	xa5-	底下
下	ɕia5=	～降
不	pəʔ7	
与	y1	
丐	kɛi5	
丑	tʂʰəu1	
專	tʂuan1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piəŋ1	
業	niəʔ7	
叢	tʂʰuəŋ2	
東	tuəŋ1	
絲	sɿ1	
丟	tiəu1	
兩	liɛ1	～个
兩	liɛ1	斤两
嚴	iɛn2	
喪	saŋ1	婚～
喪	saŋ5	～失
个	kuə5	～人
个	kuəʔ8	量词
个	kə5=	～人
中	tʂuəŋ1	
丰	xuəŋ1	
串	tʂʰuan5	
丸	uan2	
丹	tan1	
爲	uei2	作～
爲	uei5	为什么，～甚
主	tʂu1	
丽	li5	
舉	tɕy1	
乃	nɛi1	
義	ni5	地名
義	i5	仗～
乏	xuaʔ7	
樂	yəʔ7	音乐
樂	laʔ7	
乖	kuɛi1	
乘	tʂʰəŋ2	
乙	iəʔ7	
九	tɕiəu1	
乞	tɕʰi1	
也	ia1	
習	ɕiəʔ7	
書	ʂu1	
買	mɛi1	
亂	luan5	
乳	ʐu1	
乾	tɕʰiɛn2	
了	liɑu1	了结
了	ləʔ7	
爭	tʂa1-	
爭	tsɛi1	～夺
事	sɿ5	
二	ɚ5	
虧	kʰuei1	
雲	yəŋ2	
五	u1	
井	tɕiɛ1	
亞	ia5	
些	ɕia1	
些	sɛi1	
亥	xɛi5	
亦	i5	
產	tsʰan1	
產	tsʰaŋ1	
亨	xəŋ2	
畝	mu1	
京	tɕiəŋ1	
亮	liɛ5	
親	tɕʰiəŋ1	
親	tɕʰiəŋ5	～家
人	ʐəŋ2	
億	i5	
仁	ʐəŋ2	
僅	tɕiəŋ1	
仇	tʂʰəu2	
今	tɕiəŋ1	
仍	ʐəŋ1	
从	tʂʰuəŋ2	
他	tʰa1	
仙	ɕiɛn1	
代	tɛi5	
令	liəŋ5	
以	i1	
儀	i2	
仰	iɛn1	
仲	tʂuəŋ5	
件	tɕiɛn5	
任	ʐəŋ2	姓
任	ʐəŋ5	责～
份	xuəŋ5	
仿	xuaŋ1	
企	tɕʰi1	
伊	i1	
休	ɕiəu1	
衆	tʂuəŋ5	
優	iəu1	
會	kʰuɛi5	～计
會	xuɛi5	～不～
會	xuɛi5	开～
傘	san1	
偉	uei1	
傳	tʂuan5	传记
倫	luəŋ2	
僞	uei1	
伯	piɛ5	伯父
伯	piəʔ7	大～子，丈夫的哥哥
伴	pan5	
伺	tsʰɿ5	
似	sɿ5	
位	uei5	
低	ti1	
住	tʂu5	
體	tʰi1	
何	xə2	
余	y2	
佛	xuəʔ7	仿～
作	tsaʔ7	
你	ni1	
佳	tɕia1	
侄	tʂʰəʔ8	
侈	tʂʰʅ1	
例	li5	
供	kuəŋ5	
依	i1	
偵	tʂəŋ1	
側	tsʰaʔ7	
侵	tɕʰiəŋ1	～害
便	pʰiɛn2	～宜
便	piɛn5	
促	tʂʰuəʔ7	
俄	ŋə2	
俊	tɕyəŋ5	
俏	tɕʰiɑu5	
俗	ɕyəʔ8	
保	pɑu1	
儉	tɕiɛn1	
俺	ŋa1	我的，我们的
倍	pɛi5	
倒	tɑu5	颠～
倒	tɑu5	～水
候	xəu5	
借	tɕia1	
借	tsɛi5	
倡	tʂʰaŋ5	
倦	tɕyɛn5	
債	tsɛi5	
值	tʂʰəʔ7	
傾	tɕʰiəŋ1	
假	tɕia1	真假
假	tɕia5	请～
偏	pʰiɛn1	
做	tʂuəʔ7	
停	tʰiəŋ2	
健	tɕiɛn5	
偶	ŋəu1	
偷	tʰəu1	
傅	xu2	
傍	paŋ5	
儲	tʂʰu1	
像	ɕiɛ5	
僧	səŋ1	
僻	pʰiəʔ7	
儒	ʐu1	
兒	ɚ1	
允	yəŋ1	
兄	ɕyɛ1	～弟
充	tʂʰuəŋ1	
先	ɕiɛn1	
光	kuə1	光滑
光	kuaŋ1	阳～
克	kʰəʔ7	
免	miɛn1	
兌	tuei5	
黨	taŋ1	
兜	təu1	
入	ʐuəʔ7	
全	tɕʰyɛn2	
八	paʔ7	
蘭	lan2	
共	kuəŋ5	
關	kuan1	
興	ɕiəŋ1	兴盛
兵	piəŋ1	
具	tɕy5	
典	tiɛn1	
養	iɛ1	～活
兼	tɕiɛn1	
獸	ʂəu5	
冀	tɕi5	
內	nɛi5	
冉	ʐan1	
冊	tsʰaʔ7	
再	tsɛi5	
冗	ʐuəŋ1	
寫	ɕia1	
寫	sɛi1	
軍	tɕyəŋ1	
農	nuəŋ2	
冠	kuan5	
冤	yɛn1	
冬	tuəŋ1	
馮	xuəŋ2	
冰	piɛ1	形容冰凉
冰	piəŋ1	
冲	tʂʰuəŋ1	
决	tɕyəʔ7	
况	kʰuaŋ5	
冷	ləŋ1	
凍	tuəŋ5	
淨	tɕiɛ2	
準	tʂuəŋ1	
凉	liɛ2	
凌	liɛ2	积冰，冻～
減	tɕiɛn1	
湊	tsʰəu5	
凝	niəŋ2	
几	tɕi1	
几	tɕi1	～乎
几	tɕi1	～个
凡	xuaŋ2	
凭	pʰiəŋ2	
凱	kʰɛi1	
凳	təŋ5	
凶	ɕyəŋ1	
出	tʂʰuəʔ7	
擊	tɕiəʔ7	
函	xan2	
刀	tɑu1	
刁	tiɑu1	
刃	ʐəŋ5	
分	xuəŋ1	
切	tɕʰiəʔ7	
刊	kʰan1	
刎	uəŋ1	
刑	ɕiəŋ2	
划	xua2	～船
划	xua5	计～
列	liəʔ7	
劉	liəu2	
則	tsaʔ7	
創	tʂʰuaŋ5	
初	tʂʰu1	
刪	ʂan1	
判	pʰan5	
刨	pʰɑu1	
利	li5	
别	piəʔ8	区～
别	piəʔ8	离～
刮	kuaʔ7	
制	tʂʅ5	
刷	ʂuaʔ7	
刺	tsʰɿ5	
刻	kʰəʔ7	时～
刻	kʰəʔ7	用刀～
劊	kuei5	
剁	tuə5	
劑	tɕi5	
削	ɕyəʔ7	
前	tɕʰiɛn2	
劍	tɕiɛn5	
剖	pʰɑu1	
剜	uan1	
剝	paʔ7	
剩	ʂə5	
剪	tɕiɛn1	
副	xu5	
割	kaʔ7	
剿	tɕiɑu1	
劄	tsaʔ7	～针
劈	pʰiəʔ7	
劐	xuaʔ8	～开
力	liəʔ7	
勸	tɕʰyɛn5	
辦	pan5	
加	tɕia1	
務	u5	
劣	liəʔ7	
動	tuəŋ5	
助	tʂu5	
努	nəu1	
劫	tɕiəʔ7	
勵	li5	
勁	tɕiəŋ5	
勃	paʔ7	
勋	ɕyəŋ1	
勒	luəʔ7	～住
勘	kʰan1	
勤	tɕʰiəŋ2	
勺	ʂəʔ8	
勾	kəu1	
勻	yəŋ2	
包	pɑu1	
化	xua5	
北	piəʔ7	
匙	sɿ1	
匠	tɕiɛ2	石～
匪	xuei2	
匹	pʰiəʔ7	
區	tɕʰy1	
醫	i1	
十	ʂəʔ8	
千	tɕʰiɛn1	
升	ʂəŋ1	
半	pan5	
華	xua1	
協	ɕiəʔ7	
卑	pɛi1	
卒	tʂuəʔ7	
卓	tʂuaʔ7	
單	tan1	
單	ʂan5	姓
賣	mɛi5	
南	nan2	
博	pəʔ7	
卜	pʰu1	萝～
占	tʂan5	
卦	kua5	
衛	uei5	
卯	mɑu1	
印	iəŋ5	
危	uei1	
即	tɕiəʔ7	
卵	luan1	
卷	tɕyɛn1	
卸	ɕia5-	～货
廠	tʂʰaŋ1	
廳	tʰiəŋ2	
历	liəʔ7	
厲	li5	
壓	nia5	
厭	iɛn5	
廁	tsʰaʔ7	
厘	li2	
厚	xəu5	
原	yɛn2	
厥	tɕyəʔ7	
厦	ʂa5	
廚	tʂʰu2	
厮	səʔ7	～打，～跟
去	tɕʰy5	
縣	ɕiɛn5	
参	tsʰan1	
参	tsʰaŋ1	
又	iəu5	
及	tɕiəʔ7	
雙	ʂuə1	
反	xuan1	
发	xuaʔ7	～财
发	xuaʔ8	头～
叔	ʂu5-	
受	ʂəu5	
變	piɛn5	
叛	pʰan5	
叟	səu1	
疊	tʰiəʔ8	～被子
口	kʰəu1	
古	ku1	
句	tɕy5	
另	liɛ2	
只	tʂəʔ7	
叫	tɕiɑu5	
召	tʂɑu1	
可	kʰə1	
台	tʰɛi2	圪～～
台	tʰɛi2	阳～
史	sɿ1	
右	iəu5	
葉	iəʔ7	
號	xɑu5	
司	sɿ1	
吁	y2	
吃	tʂʰəʔ7	
各	kəʔ7	
合	xaʔ8	
吉	tɕiəʔ7	
吊	tiɑu5	
名	miɛ2	名字
后	xəu5	
吏	li5	
吐	tʰu1	
向	ɕiɛ5-	～着谁
嚇	xa5	～唬
嚇	xə5	恐～
君	tɕyəŋ1	
吝	liəŋ5	
吞	tʰuəŋ1	
吟	iəŋ2	
否	tʰu1	
否	xu1	
含	xan2	
听	tʰiɛ1	
启	tɕʰi1	
吴	u2	
吸	ɕiəʔ7	
吹	tʂʰu1-	
吼	xəu1	
呆	tɛi1	
告	kɑu5	
嘔	ŋəu1	
周	tʂəu1	
味	uei5	
呼	xu1	
命	miɛ5	性命
咒	tʂəu5	
咬	niɑu1	
咸	xan2-	
咽	iɛn5	
哀	ŋɛi1	
品	pʰiəŋ1	
哄	xuəŋ1	哄骗
哄	xuəŋ5	起～
響	ɕiɛ1	
哎	ɛi5	
啞	nia1	
噦	ya1	呕吐
哥	ka5	
哪	na5	
哭	kʰuəʔ7	
哲	tʂaʔ7	
哽	kəŋ1	
脣	tʂʰuəŋ2	
喚	xuan5	
唯	uei2	
唱	tʂʰə5	
唾	tʰuə5	
啃	kʰuəŋ1	
啄	tʂuaʔ7	
商	ʂaŋ1	
嗇	saʔ7	
囉	luə1	～嗦
喂	y5	喂食
善	ʂan5	
喊	xan1	
喘	tʂʰuan1	
喜	ɕi1	
喝	xə5	～彩
喝	xaʔ7	
喧	ɕyɛn1	
噴	pʰəŋ1	
噴	pʰəŋ5	～香
嗅	ɕiəu5	
嗓	saŋ1	
嗦	ʂuə1	啰～
嗽	səu5	咳～
囑	tʂuəʔ7	
嘴	tɕy1-	
噍	tɕiɑu5	驴～磨
噎	iəʔ7	
器	tɕʰi5	
嚷	ʐaŋ1	
囊	naŋ1	
囚	tɕʰiəu2	
四	sɿ5	
回	xuɛi2	
因	iəŋ1	
团	tʰuan2	
園	yɛn2	
困	kʰuəŋ5	
圍	uei2	
國	kuəʔ7	
圖	tʰu1	
圓	yɛn2	
圈	tɕʰyɛn1	圆～
圈	tɕyɛn5	猪～
土	tʰu1	
在	tsɛi5	
地	ti5	
場	tʂʰaŋ1	
均	tɕyəŋ1	
坎	kʰan1	
壞	xuɛi5	
坐	tʂuə5	
坑	kʰəŋ1	
塊	kʰuɛi5	
堅	tɕiɛn1	
坡	pʰə1	
坤	kʰuəŋ1	
坦	tʰan1	
坪	pʰiɛ2	
垂	tʂʰuei2	
壟	luəŋ1	
型	ɕiəŋ2	
垒	ly1-	～墙墙
垒	luei1=	
垛	tuə5	柴圪～
墾	kʰəŋ1	
墊	tiɛn5	
垮	kʰua1	
埃	ŋɛi1	
埋	mɛi2	
城	tʂʰəŋ2	
域	yəʔ7	
基	tɕi1	
堆	tuɛi1	
堡	pu1	地名
堡	pɑu1	～垒
堪	kʰan1	
堰	iɛn1	
堵	tu1	
塌	tʰaʔ7	
塑	səu5	
塔	tʰaʔ7	
塞	səʔ7	
填	tʰiɛn2	
境	tɕiəŋ5	
墓	mu5	
牆	tɕʰiɛ2	
增	tsəŋ1	
墟	ɕy1	
墨	miəʔ7	
墩	tuəŋ1	
壁	piəʔ7	
壤	ʐaŋ1	
士	sɿ5	
壯	tʂuaŋ5	
聲	ʂə1	
殼	kʰəʔ7	
殼	kʰaʔ7	
壺	xu2	
處	tʂʰu1	相～
處	tʂʰu1	到～
備	pi5	
复	xuəʔ7	
夏	xa5-	
夏	ɕia5=	
夕	ɕiəʔ7	
外	uɛi5	
多	tuə1	
夜	ia5	～来，指昨天
大	tə5	
大	tɛi5	～黄
天	tʰiɛn1	
太	tʰɛi5	
央	iɛn1	
失	ʂəʔ7	
頭	tʰəu2	
夸	kʰua1	
夾	tɕiaʔ7	
奪	tʰuaʔ8	争～
奇	tɕʰi2	
奈	nɛi5	
奉	xuəŋ5	
奮	xuəŋ5	
奏	tsəu5	
契	tɕʰi5	
獎	tɕiɛ1	
獎	tɕiɛn1	
套	tʰɑu5	
奢	ʂə1	
奤	tʰɛi1	
奧	ŋɑu5	
女	ny1	
奴	nəu2	
奶	nɛi1	
奸	tɕiɛn1	
好	xɑu1	～坏
好	xɑu5	喜～
如	ʐu2	
妃	xuei1	
婦	xu5	
媽	ma1	
媽	mɛi5	
妖	iɑu1	
妗	tɕiəŋ5	～子
妙	miɑu5	
妨	xuaŋ2	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰiəʔ7	
姊	tsɿ1	
始	sɿ1	
姐	tɕia1	
姐	tsɛi1	
姑	ku1	
姓	ɕiəŋ5	
委	uei1	
姘	pʰiəŋ5	
姜	tɕiɛn1	
姨	i5	
姻	iəŋ1	
威	uei1	
嬌	tɕiɑu1	
娘	niɛ2	
娶	tsʰəʔ7	
婆	pʰə2	
婚	xuəŋ1	
嬰	iəŋ1	
嬸	ʂəŋ1	
婿	ɕi5	
媚	mei5	
嫌	ɕiɛn2	
嫩	nuəŋ5	
子	tsɿ1	
子	tsəʔ7	子尾
孔	kʰuəŋ1	
孕	yəŋ5	
字	tsɿ5	
存	tʂʰuəŋ2	
孫	ʂuəŋ1	
孝	ɕiɑu5	
孟	məŋ5	
季	tɕi5	
孩	xei5	
孽	niəʔ7	罪～
寧	niəŋ2	
安	ŋan1	
宋	ʂuəŋ5	
完	uan2	
宏	xuəŋ2	
宕	taŋ5	
宗	tʂuəŋ1	
官	kuan1	
宙	tʂəu5	
定	tiəŋ5	
實	ʂəʔ8	
寵	tʂʰuəŋ1	
審	ʂəŋ1	
客	kʰəʔ7	
宣	ɕyɛn1	
室	ʂəʔ7	
宦	xuan5	
宪	ɕiɛn5	
宰	tsɛi1	
害	xɛi5	
宴	iɛn5	
容	yəŋ2	
寬	kʰuan1	
賓	piəŋ1	
宿	ɕiəu5	星～
宿	ɕyəʔ7	～舍，一～
寂	tɕi5	
寄	tɕi5	
寅	iəŋ1	
密	miəʔ7	
富	xu5	
寐	mei5	
寢	tɕʰiəŋ1	
寞	məʔ7	
察	tsʰaʔ7	
寡	kua1	
寨	tsɛi5	
寸	tʂʰuəŋ5	
對	tuɛi5	
尋	ɕiəŋ2-	～东西，～人
導	tɑu1	
壽	ʂəu5	
封	xuəŋ1	
射	ʂə5	
將	tɕiɛn1	～来
將	tɕiɛn5	～才
尊	tʂuəŋ1	
小	ɕiɑu1	
少	ʂɑu1	
尔	ɚ1	
尖	tɕiɛn1	
尘	tʂʰəŋ2	
尚	ʂaŋ5	
嘗	ʂə2-	
堯	iɑu2	
就	tɕiəu5	
屍	sɿ1	
尹	iəŋ1	
尼	ni2	
尽	tɕiəŋ5	
尾	i1-	～巴
尿	niɑu5	
局	tɕyəʔ7	
