#漢字	音標	解釋
□	mi1	(用绳子把牛固定在一个地方让它吃草:～牛)
□	pʰia1	拟声词:～的一下
□	mia1	很：～黑
□	tɕʰia1	～起来:躲藏
□	kə1	勒得紧使人不舒服，绳子～人
□	tiau1	～子鱼
□	tsa2	找人作伴:～我一起去上街
□	kʰa2	从身上～过去;迈步
□	po2	
□	tia3	垂下，:衣服袖子～起
□	ɕio5	滑动:～下来
□	iaŋ5	蔫了，草～哒
□	xa6	蠢，～得很
□	tsʰɿ7	湿衣服贴在身上根凉:～人
□	y7	～蓝子:使弯曲
□	kʰõ7	(通常指把粘在某物体上的东西分离开来。)
一	i7	
丁	tin1	
万	uan6	
丈	tsaŋ5	
三	san1	
上	saŋ6	
下	xa6	底～
下	ɕia6	～降
与	y6	
丐	kai5	
丑	tsʰəu3	
專	tɕyan1	
且	tɕʰiɛ3	
丕	pʰei1	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	iɛ7	
叢	tsən2	
東	tən1	
絲	sɿ1	
丞	tsən2	
丟	tiəu1	
兩	liaŋ3	～个
兩	liaŋ3	几斤几～
嚴	in2	
喪	saŋ1	～事
喪	saŋ1	～失
个	ko5	
丫	ia1	
中	tsən1	～间
串	tɕʰyan5	
臨	lin2	
丸	yan2	
丹	tan1	
爲	uei2	作～
爲	uei2	～什么
丽	li1	
乃	lai3	
久	tɕiəu3	
義	i5	
之	tsɿ1	
烏	u1	
乎	fu1	
喬	tɕiau2	
乙	i7	
九	tɕiəu3	
也	iɛ3	
習	ɕi7	
鄉	ɕiaŋ1	
買	mai1	
乳	y3	
乾	tɕian2	
了	liau3	～结
爭	tsən1	
事	sɿ6	
二	ɚ6	
于	y2	
雲	yn2	
互	fu3	
五	u3	
井	tɕin3	
亞	ia1	
些	ɕiɛ1	
交	tɕiau1	
亥	xai5	
亦	i7	
亨	xən1	
畝	məu3	
享	ɕiaŋ3	
京	tɕin1	
亭	tin2	
亮	liaŋ5	
親	tɕʰin1	
人	lən1	
人	lin2	
億	i5	
什	sɿ6	～物
仁	lən1	
僅	tɕin3	
仆	pʰu2	～倒
仇	tsəu2	
仇	tɕiəu2	～姓
今	tɕin1	
介	kai1	
仍	lən1	
从	tsoŋ2	
从	tsən2	跟～
仑	lən1	
倉	tsʰaŋ1	
仕	sɿ6	
仗	tsaŋ5	
付	fu3	
仙	ɕin1	
代	tai6	
令	lin5	
以	lən1	
以	i3	
儀	i2	
仰	iaŋ3	
仲	tsən5	
件	tɕian1	
任	lən1	责～
任	ȵin2	姓～
份	foŋ6	
份	fən6	
仿	fõ3	～佛
仿	fõ3	相～
伊	i2	
伊	yn3	
伍	u3	
伏	fu5	
休	ɕiəu1	
衆	tsən5	
優	iəu1	
會	xuei6	开～
傘	san2	
偉	uei3	
傳	tɕyan2	
傳	tɕyan5	～记
伢	ŋa2	
傷	saŋ1	
倫	lən1	
僞	uei3	
伯	pə7	
估	ku1	
伴	põ6	
伶	lin2	
伸	sən1	
伺	tsʰɿ5	
似	sɿ6	
佃	tian6	
但	tan5	
佈	pu5	
位	uei6	
低	ti1	
佐	tso3	
佑	iəu5	
何	xo2	
佘	sa2	
余	y2	
佛	fu7	
作	tsəu5	
作	tso7	～坊
佞	ȵi5	
你	ȵi3	
你	n3	
佩	pʰei5=	
使	sɿ3	
侄	tsɿ7	
侈	tsʰɿ1	
例	li6	
侍	sɿ5	
侍	sɿ6	
供	kən5	
依	i1	
僥	lau5	
僥	tɕiau5	
偵	tsən1	
側	tsʰə7	
僑	tɕiau2	
儂	loŋ2	
侮	u3	
侯	xəu2	
侵	tɕʰin1	
便	pian6-	方～
便	pian5=	～利
促	tsəu7	
俄	ŋo2	
俊	tɕyn5	
俏	tɕʰiau5	
俗	səu7	
俘	fəu2	
保	pau3	
俟	sɿ6	
信	ɕin5	
儉	tɕian3	
修	ɕiəu1	
俯	fu2	
俵	piau3	
俸	xən5	
俾	pi5	
倍	pei6	
倒	tau3	打～
倒	tau5	～水
倔	tsuɛ7	
倘	tʰaŋ2	
候	xəu2	
倚	i3	
借	tɕia5-	
倡	tsʰaŋ5	
倦	tɕyan5	
倪	ȵi2	
倭	o6	
債	tsai5	
值	tsɿ7	
傾	tsuən1	
假	tɕia3	
偏	pʰian1	
做	tsəu5	
停	tin2	
健	tɕian5	
偶	ŋəu5	配～
偶	ŋəu5	～然
偷	tʰəu1	
償	saŋ2	
傀	kʰuei3	
傅	fu6-	师～
傅	fu3	
傅	fu5=	～姓
傍	põ5	
傢	tɕia1	
催	tsʰei1	
傲	ŋau5	
傻	sa3	
像	ɕiaŋ6	
僧	tsən1	
僵	tɕiaŋ1	
僻	pʰi7	
儡	lei3	
兒	ɚ2	
允	yn3	
元	yan2	
兄	ɕin1	
充	tsʰoŋ1	
兆	tsau6-	～头
兆	tsau5=	几～
先	ɕian1	
克	kʰə7	
免	mian3	
兌	tʰei5	
兔	tʰəu5	
兖	ian3	
黨	taŋ3	
兜	təu1	
兢	tɕin1	
全	tsyn2	
公	koŋ1	
六	ləu7	
兮	ɕi1	
蘭	lan1	
共	kən1	
關	kuan1	
興	ɕin1	～旺
兵	pin1	
其	tɕi2	
典	tin3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕian1	
獸	səu6	
冀	i6	
內	lei6	
岡	kaŋ1	
冉	lan6	
冊	tsʰə7	
再	tsai5	
冒	mau5	
冗	lən3	
寫	ɕia3-	～字
寫	ɕiɛ3=	书～
軍	tsuən1	
農	loŋ2	
冠	kuən5	～军
冢	tsoŋ3	
冤	yan1	
冬	tən1	
馮	xən2	
冰	pin1	
冲	tsʰoŋ1	
决	tsuɛ7	
况	kʰuaŋ5	
冷	lən3	
凍	toŋ5	
