#漢字	音標	解釋
□	fu1	干燥
□	lu1	动词，翻动:～谷，用工具翻动场上的谷使之晒干
□	lo1	沾染,～灰
□	xo1	哄住,使人顺从
□	lai1	～～黏液状，也可喻指说话时声音黏糊
□	mei1	摸
□	luei1	滚
□	mɔ1	絮状或絮化:～～|萝卜～呱了，指萝卜糠了
□	mɔ1	仰:～起脑壳,指仰头
□	lɔ1	纠结在一起:走路脚打～～
□	lɔ1	程度副词:～轻，指很轻
□	piɔ1	急而快:血是那～,形容血出得多而快,呈喷射状|走起是那～,形容走得飞快
□	ȵiɔ1	翘
□	tsɐu1	蹲
□	tʰiɐu1	～槌
□	tan1	抬头:脑壳～起像只蛇样
□	xan1	～货，次品，不好的东西
□	men1	想，思考
□	tɕin1	吮吸
□	paŋ1	程度副词:～老，很老|～坎，很硬
□	pʰaŋ1	翅膀或手等张开
□	maŋ1	儿语，指饭:吃～～
□	laŋ1	～～，物体表面凹进去的痕迹，儿语里也喻指脖子
□	pʰiaŋ1	～籽籽，指撒种
□	tiaŋ1	盛，接
□	y2	蜷缩
□	ba2	量词，把，一～草
□	ba2	儿语，～～，怪物
□	ɡa2	～～叫，指鸭子的叫声
□	ɡua2	讲，～白话，指聊天
□	luei2	钝:铅笔～呱了,要削一下
□	lɔ2	植物等脱水而萎缩或干枯,也可喻指人因疲倦而无精神
□	ɣen2	叹词，表示不满:～，你在搞呢给鬼骚呢
□	baŋ2	量词，一群:一～
□	daŋ2	落la，指拖后腿
□	dʑiaŋ2	动词，整齐地堆放
□	duaŋ2	拟声词，铙等打击乐器发出的声音
□	ɣəŋ2	气恼
□	fu3	动词,打,～一顿。
□	pʰa3	量词，讲一～子，指说了很多话
□	ma3	～～，叔叔
□	dza3	形状乱，头发～起，～子扫把，用竹枝做成的大扫把
□	ʑia3	挺
□	po3	儿语，～～，指蛋
□	kʰue3	～断，指折断
□	pʰai3	一～长，两臂平伸两手伸直的长度
□	pʰai3	～起，用扁担等工具的一头负担重量
□	xuai3	动词，指甩动:～耳巴子，打耳光
□	pei3	埋
