#漢字	音標	解釋
□	pi1	女性生殖器的贬称
□	tɕʰi1	看
□	pu1	大口地往外溢或吐气
□	tsy1	～脓血：挤脓
□	pa1	一～屎
□	tʂʰo1	滑下来
□	xo1	食物变质或异味带给人不舒适的味觉
□	le1	剜
□	tsʰe1	熏
□	e1	大口大口地吐气
□	tsiːɐ1	盐～：被腌渍后再晒干的白菜，可以放很久
□	iːɐ1	～开：衣服敞开
□	tʂuːɐ1	底端是铁制、齿状的挖地用的农具
□	kʰuːɐ1	用刀刮
□	tsyːɐ1	～菜：种菜
□	syːɐ1	推搡
□	tɕyːɐ1	刀～钝
□	ɕyːɐ1	操～：咒骂
□	pã1	扒开
□	liɔ̃1	蛇爬行
□	tɕʰiɔ̃1	用过的碗、碟子没洗就放在那里
□	nĩːɐ1	挨着，碰着
□	iæn1	拧衣服等
□	məŋ1	眼睛眯着，比如“～子眼”就是指眼睛经常眯着或小眼睛的人
□	tsɿ2	一～～：一点点
□	tsʰu2	吵闹，噪杂
□	ku2	呆在一起，腻歪在一起
□	kʰa2	缝隙
□	xua2	面具
□	tʂʰe2	用绳索吊物体上下
□	tʂuːɐ2	～背：{背驼起
□	tʂʰuːɐ2	往上跳跃
□	tyːɐ2	大□地吃，恶狠狠地骂
□	lyːɐ2	
□	tɕʰyːɐ2	蹲
□	kʰuæ̃2	弯，不直
□	xuæ̃2	小火炖
□	nã2	指小孩难缠、不听话；也指妇女泼辣
□	tsʰũːɐ2	流～：流□水
□	tʂʰũːɐ2	～儿：荆棘，刺
□	kʰũːɐ2	弯，不直
□	pʰa3	弄坏东西
□	a3	单数第一人称，相当于“我”
□	tsʰo3	争吵，人声嘈杂
□	tʂe3	看守
□	mæ̃3	～物：什么东西
□	sæ̃3	小孩，男～儿，女～儿
□	tsɔ̃3	淡而无味
□	mĩːɐ3	衣服的边
□	kʰũːɐ3	裤～儿：牵扯住，挂住；扣襻
□	tsʰæn3	一种白色的野生菌，可以食用
□	tʂæn3	湿衣服穿在身上
□	təŋ3	笨：堵在那里
□	xəŋ3	肿起一个包
□	tʂʰi5	挠人痒痒
□	i5	这
□	mo5	腻
□	lo5	稀，水分多
□	te5	拼凑
□	le5	滑，既可以作形容词，意为光滑；也可作动词，意为滑倒
□	tsʰe5	痱子
□	ie5	因劳累后肌肉酸痛
□	iːɐ5	瓜未熟而死
□	syːɐ5	鸡～：鸡窝
□	xuæ̃5	文火烘衣服
□	pã5	衣服绷开，涨开
□	ĩːɐ5	谷～，果实不饱满的谷粒
□	ũːɐ5	挤，摁
□	pʰəŋ5	嗅
□	ləŋ5	柿子等软和
□	tɕʰy6	生气
□	la6	迈进
□	kʰa6	啃骨头等
□	kʰa6	磨蹭，混时间
□	tɕʰyːɐ6	一～：一截
□	kʰɔ̃6	硌人
□	xũːɐ6	锄草
□	iæn6	水～：水里的污物
□	li7	调皮、玩得很疯
□	tʂi7	事物变质
□	tʂi7	测，斜
□	tʂʰi7	～毛：拔毛
□	tʰu7	～吃：只吃菜或只吃饭
□	lu7	～饭：做饭
□	tsu7	短头发被梳成的一束
□	su7	小口地吸食
□	tʂu7	烫，疑是“灼”字
□	tʂʰu7	吃油腻的食物后有反胃的感觉
□	tɕy7	身子或手晃来晃去
□	ɕy7	吹～：吹□哨；～人：骗人
□	ma7	～开：掰开；～入：扭入
□	tʰa7	涂抹
□	kʰa7	压住
□	xua7	丢弃，扔
□	ua7	沤泡
□	ua7	棍棒
□	to7	放置
□	tʂʰo7	火～：火铲
□	tʂʰo7	啄
□	xo7	手上起的血茧
□	se7	变质的肉被吃出的异味
□	e7	揍
□	ie7	打～：饱嗝
□	kʰui7	～断：折断
□	təŋ7	水等在容器里晃来晃去
□	ləŋ7	柿～：柿子
□	tsəŋ7	衣物起褶皱
