#漢字	音標	解釋
□	sɿ1	落～：茄子
□	tɕi1	何～：哪里
□	vu1	～倒：瞪着
□	tu1	凸
□	tu1	nu2～：一种花
□	kʰu1	～nu6柿：刨花
□	nᴀ1	十～日：十几天
□	ʃᴀ1	薄
□	iᴀ1	～pɔ̃ːɐ1：搂抱
□	kɛ1	打～：打饱嗝
□	xɛ1	揍
□	xuɛ1	～～孙：曾孙
□	pʰɔ1	～呐：桑葚、野草莓
□	mɔ1	手～：手套
□	nɔ1	kʰoːɐ5～：裆
□	tsʰɔ1	往下滑
□	tʃɔ1	～～毛：刘海儿
□	tʃɔ1	拖磨～：磨把儿
□	tʃɔ1	tʃʰᴇn5额～：奔儿头
□	kɔ1	～tʃᴀ3蚂：一种昆虫
□	ŋɔ1	～子：疯子、傻子
□	ŋɔ1	～头：抬头
□	xɔ1	～～：一点点
□	poːɐ1	老虎～猪：一种游戏
□	ʃoːɐ1	～牛：母牛
□	koːɐ1	大tʃɔ̃ːɐ1～：麻疹
□	koːɐ1	tʃʰᴀ̃2～龙标坟：清明节前后狂风暴雨加冰雹
□	kʰoːɐ1	～倒拳头：攥着拳头
□	xoːɐ1	～火：拨火
□	teːɐ1	水～：舀水的勺子
□	tʰeːɐ1	舌～：舌头
□	tʰeːɐ1	量词，一～墨
□	tʰiːɐ1	舌～：舌苔
□	tsiːɐ1	～田：插秧
□	tɕiːɐ1	盐～菜：一种蔬菜
□	kuːɐ1	被～：被子
□	tsʰiu1	～猪：母猪的统称
□	ɕiu1	～～：瘊子
□	ɕiu1	～水：往田里放水
□	mᴀ̃1	牛～：牛虻
□	tᴀ̃1	牯～：二三岁的公牛
□	tᴀ̃1	～mᴀ̃6 tʃʰɔ̃ːɐ2：杉针
□	tʰᴀ̃1	床～：床沿
□	ŋᴀ̃1	～苦：很苦
□	pɔ̃ːɐ1	河～滩：滩地
□	tɔ̃ːɐ1	软～～
□	tʃɔ̃ːɐ1	槛～：窗台
□	tʃɔ̃ːɐ1	大～koːɐ1：麻疹
□	tʃɔ̃ːɐ1	～为：故意
□	tʃɔ̃ːɐ1	ʃy3袜～：短袜
□	kɔ̃ːɐ1	～屁股纸：手纸
□	tɕĩːɐ1	阉：～公猪
□	ȵĩːɐ1	火～虫：萤火虫
