#漢字	音標	解釋
□	pɛ1	這～，這樣子，貶
□	tʰɛ1	講～，炫耀
□	nɛ1	
□	lɛ1	拖拉
□	tsɛ1	米粿
□	sɛ1	臭～，惡味
□	kɛ1	腿部大
□	kʰɛ1	啃
□	pœ1	斜踢
□	tʰœ1	斜躺
□	lœ1	滑下
□	tsœ1	馬虎隨便
□	ŋœ1	不靈活
□	hœ1	劣
□	hœ1	吹氣
□	mo1	凸起
□	lo1	目珠～～動
□	kʰo1	喉聲
□	pi1	拔
□	ny1	傢具關節鬆動
□	piu1	噴射
□	kua1	割
□	tsʰuo1	旋
□	ŋyo1	傲慢
□	mai1	孬
□	tai1	小米
□	lai1	不平滑
□	lau1	略視
□	lau1	皺眉
□	kʰau1	混雜
□	ŋau1	～～叫
□	tɛu1	味苦
□	nɛu1	風騷
□	sɛu1	拌
□	huai1	消腫
□	uai1	佔住不還
□	ŋaŋ1	～～叫
□	piŋ1	表兄
□	kiŋ1	冰凍
□	ŋiŋ1	凍
□	tuŋ1	碰
□	ŋiaŋ1	豎起，喙鬚～
□	tsʰieŋ1	蝦
□	tsʰuoŋ1	孔洞
□	tɛiŋ1	毛刺
□	ŋɛiŋ1	死，貶
□	ɛiŋ1	放置
□	mouŋ1	忙亂
□	louŋ1	拳擊
□	møyŋ1	鬆
□	nøyŋ1	不要
□	løyŋ1	通風
□	na2	祚
□	sa2	套上
□	pʰɛ2	黃～
□	mɛ2	蹲伏
□	tʰɛ2	彌～
□	pœ2	又，斜踢
□	pʰœ2	瘖啞
□	mœ2	不確實
□	tœ2	死，貶
□	lœ2	惡罵，指婦女
□	tsʰœ2	呵斥
□	sœ2	外傾
□	kœ2	悶熱
□	hœ2	張開口吹氣
□	œ2	喊叫
□	lo2	竹器
□	ko2	落～，受控制
□	pi2	個，量詞
□	tsʰi2	不平整
□	kʰi2	毒癤
□	kʰi2	
□	ny2	迷住
□	tsʰy2	取消
□	ky2	小兒初話
□	tia2	疲乏
□	tsʰie2	移動
□	kʰiu2	窮困
□	tsua2	猛吃
□	kua2	聒
□	tai2	米蟲
□	sai2	大口吞
□	nɛu2	利益
□	sɛu2	經常
□	sɛu2	勻
□	tsui2	這個
□	hui2	那個
□	siŋ2	一種動物
□	uŋ2	鼻邊～
□	tsʰyŋ2	扭傷
□	yŋ2	均分
□	pʰiaŋ2	關門聲
□	mieŋ2	～乇，薄削
□	tsʰuoŋ2	蹲
□	kuoŋ2	整個
□	pɛiŋ2	半～
□	pʰɛiŋ2	錢幣，音譯詞
□	touŋ2	蜀～
□	souŋ2	刺痛
□	ouŋ2	久
□	møyŋ2	質地鬆而不實
□	tsøyŋ2	沖水
□	lɛ3	正在
□	tsɛ3	齒不齊
□	tsɛ3	對不上
□	pœ3	大舌～
□	nœ3	口腔遇酸的感覺
□	kʰœ3	擲
□	kʰœ3	頭屑
□	tso3	手指擊
□	muo3	妻子
□	uo3	
□	mai3	長不大
□	lai3	小口大肚竹器
□	ŋai3	牙齒
□	aŋ3	閉門
□	pʰiaŋ3	跛
□	kʰiaŋ3	
□	tsuoŋ3	怎
□	nɛiŋ3	胸肉
□	nouŋ3	毛亂
□	køyŋ3	雌性
□	mɔ5	擊
□	nɔ5	膩
□	tsʰɔ5	絲瓜
□	tsʰɔ5	筆～
□	kɔ5	～瘡，疥瘡
□	kʰɔ5	大頭～
□	hɔ5	起哄
□	tsʰɛi5	妝奩
□	ŋɛi5	吱聲
□	pʰou5	凸起
□	ou5	份額
□	lie5	裁，～紙
□	piu5	超出預算
□	niu5	擰
□	kʰiu5	仰鼻
□	kʰiu5	脆
□	hiu5	遊手好閒
□	tsʰua5	出色
□	ua5	越門
□	lai5	不光滑
□	pau5	斷，折
□	pʰau5	張大
□	hau5	～欄杆
□	lɔy5	鑽孔
□	pui5	藥名
□	maŋ5	不行
□	taŋ5	滲出
□	laŋ5	撐起
□	haŋ5	告知
□	tiaŋ5	惡氣味濃
□	liaŋ5	火光閃動
□	ŋiaŋ5	打盹
□	hieŋ5	擲
□	tʰuoŋ5	傳揚
□	huoŋ5	癤子
□	ɛiŋ5	掩火
□	kʰaiŋ5	肋下
□	mɔuŋ5	愚笨
□	lɔuŋ5	亂
□	tsʰøyŋ5	接上
□	kʰøyŋ5	愚昧
□	ŋøyŋ5	怕
□	pʰɔyŋ5	脹大
□	tʰɔyŋ5	水沖走
□	nɔyŋ5	鬆軟
□	lɔyŋ5	冗
□	tsʰɔyŋ5	蓬勃
□	kɔyŋ5	悶熱
□	hɔyŋ5	腫瘤
□	ta6	遮住
□	la6	一下的合音
□	tsʰie6	歪斜
□	liu6	快速
□	ŋiu6	不遜
□	tuo6	路
□	suo6	墊進
□	tai6	放置
□	tsai6	倚
□	kai6	鴨聲
□	pau6	手擊頭
□	pʰau6	量詞
□	tau6	跳動
□	lɔy6	鑽孔
□	kʰiaŋ6	合起來
□	tsieŋ6	愛好玩
□	hɛiŋ6	不出聲
□	tsʰouŋ6	餃
□	tɔuŋ6	失落
□	tʰɔuŋ6	重煮
□	tsɔuŋ6	油燈罩
□	ɔuŋ6	掠過
□	nøyŋ6	彈性鬆
□	tsʰøyŋ6	垢起～
□	søyŋ6	穿衣服
□	kʰøyŋ6	痕，量詞
□	tɔyŋ6	箸～
□	hɔyŋ6	烈日襲人
□	ɔyŋ6	旺
□	maʔ7	癟，喙～～
□	taʔ7	～鉤
□	kaʔ7	曬穀蓆
□	kœʔ7	驚叫
□	hœʔ7	答應聲
□	meʔ7	嘴向內凹的樣子
□	heʔ7	答應聲
□	pɔʔ7	破口大罵
□	mɔʔ7	黑暗中行
□	lɔʔ7	套進
□	hɔʔ7	冷的食物倒進鍋裏加熱
□	ɔʔ7	乖巧
□	piaʔ7	併在一起
□	pʰiaʔ7	水擊石聲
□	miaʔ7	緊貼
□	tʰiaʔ7	眨眼
□	liaʔ7	鞋～
□	liaʔ7	舌～
□	liaʔ7	裂聲
□	liaʔ7	裂開
□	tsiaʔ7	不穩重
□	tsiaʔ7	濺
□	tsiaʔ7	嘗
□	siaʔ7	行疾
□	kiaʔ7	生氣離去
□	ŋiaʔ7	劣
□	hiaʔ7	高處倒下
□	iaʔ7	晃
□	pʰieʔ7	竹器
□	pʰieʔ7	淺舀
□	lieʔ7	臉色變
□	uaʔ7	豬聲
□	puoʔ7	將要
□	tsʰuoʔ7	擦洗
□	kuoʔ7	粗壯
□	kyoʔ7	本領
□	yoʔ7	軟弱
□	lɛiʔ7	僅夠
□	tsʰɛiʔ7	水噴
□	kʰaiʔ7	目～，閉眼
□	kʰaiʔ7	擠
□	mouʔ7	蚊子，小蟲
□	touʔ7	～火
□	touʔ7	點
□	louʔ7	溜走
□	mɔuʔ7	爛了
□	tʰɔuʔ7	熱水衝
□	nɔuʔ7	初入水
□	tʰøyʔ7	不伸
□	nøyʔ7	皺
□	køyʔ7	頭納水中
□	tʰɔyʔ7	捅，刺
□	lɔyʔ7	散了
□	kɔyʔ7	四分之一鬥
□	ɔyʔ7	軟弱
□	taʔ8	熱水中保溫
□	kaʔ8	～～叫
□	kaʔ8	黏住
□	kaʔ8	量詞
□	kaʔ8	撬動
□	kʰaʔ8	文火煮
□	ŋaʔ8	摩擦
□	aʔ8	浮腫
□	kœʔ8	扔，擲
□	kʰœʔ8	咳，～痰
□	kʰœʔ8	死，貶
□	pʰeʔ8	頓坐
□	meʔ8	癟
□	tʰeʔ8	拿，含戲謔意
□	neʔ8	和水揉
□	tseʔ8	服飾美
□	tseʔ8	潮濕
□	keʔ8	惱火
□	kʰeʔ8	吱聲
□	ŋeʔ8	門軸轉動聲
□	loʔ8	套進
□	tsoʔ8	急走
□	ŋoʔ8	昂起
□	pʰiʔ8	水噴出
□	miʔ8	人在水中
□	tsʰiʔ8	水噴射
□	kʰiʔ8	長不大
□	hiʔ8	吸進
□	puʔ8	塵土大
□	pʰuʔ8	浮腫
□	kʰuʔ8	短
□	nyʔ8	揉
□	tsʰyʔ8	踩
□	kyʔ8	濃
□	kyʔ8	僵持
□	kyʔ8	緊迫
□	pʰiaʔ8	擊打
□	miaʔ8	心跳
□	tiaʔ8	聞臭味
□	tsʰiaʔ8	睬
□	pʰieʔ8	膿
□	lieʔ8	淺竹器
□	ieʔ8	移動
□	luaʔ8	鋪位
□	tsuaʔ8	出錯，出亂
□	kuaʔ8	快飲
□	tsʰuoʔ8	驚
□	tsʰuoʔ8	理睬
□	kʰɛiʔ8	用
□	pʰouʔ8	擊打，擊打聲
□	touʔ8	肥～～
□	tʰouʔ8	往下落
□	kʰouʔ8	動
□	ouʔ8	坐在地上手，腳，臀並用前行
□	søyʔ8	顛簸
□	høyʔ8	氣喘
㑟	pɛiŋ5	
㔶	kaŋ3	
㖹	puŋ2	吹，～火
㗜	høyʔ7	
㗜	øyʔ7	又
㥏	tʰieŋ3	
㧩	pui3	撥
㨮	tau1	
㨮	tɛu1	
㩻	kʰi1	斜
㪠	kʰaiŋ5	
㫲	pui6	
㷮	tsau1	
㽃	pʰaŋ1	
㽱	kiu3	
㾦	pʰu3	
㾪	sɛiŋ3	痩，～肉
䀇	ku3	
䁐	ɔuŋ5	看守
䃝	kau5	
䆊	ie6	
䉲	mie1	薄削
䊟	maŋ1	
䋎	tʰieŋ5	縫
䖳	tʰa5	
䘼	uoŋ3	手～
䙎	kʰɛ1	衣裳～
䙑	søy1	
䚵	tʰau5	
䛪	kʰøyŋ5	拾～
䡝	uaŋ3	
䩩	uoŋ3	秤盤
䫌	pʰɛ3	面～
䬢	to1	白～
䭕	tsiaŋ3	味淡
䳡	tsui1	
一	ɛiʔ7	
丁	tiŋ1	
七	tsʰɛiʔ7	
丈	tɔuŋ6-	
丈	tuoŋ6	～奶
丈	tʰuoŋ6	大～夫
三	saŋ1	
上	suoŋ3	～聲
上	tsʰuoŋ6	～水
上	suoŋ6	
下	a6-	
下	kia6-	
下	ha6=	
不	pouʔ7	
丐	kʰui1	
丐	kai5	
且	tsʰia3	
丕	pʰi3	
世	sie5	
丘	kʰiu1	
丙	piŋ3	
丞	siŋ2	
丟	tiu1	
丟	liu1	又
並	pʰiaŋ6	比～
並	pɛiŋ5=	
丫	a1	
中	touŋ1-	
中	tøyŋ5	射～
中	tyŋ1=	
串	tsʰuoŋ5	
丸	uoŋ2	
丹	taŋ1	
主	tsuo3-	
主	tsy3=	
丼	pʰouŋ3	投井聲
乃	nai3	
久	ku3-	永～
久	kiu3=	
乇	nɔʔ7	物
么	iu1	
之	tsi1	
乍	tsa6	暴～
乎	hu1	
乎	hu2	又
乏	huaʔ8	
乒	pʰiŋ1	
乓	pʰouŋ1	
乖	kuai1	
乘	siŋ2	
乘	sɛiŋ6	千～
乙	ɛiʔ7	
乜	mieʔ7	
九	kau3-	
九	kiu3=	
乞	kʰøyʔ7	
也	ia3	
乩	ki1	
乳	tsuo3-	又
乳	uo3-	
乳	y3=	
乾	kuaŋ1-	
乾	kaŋ1	
乾	kieŋ2	
乾	kaŋ1=	
亂	luaŋ6	
了	lau3-	
了	liu3=	
予	y2	
事	tai6-	
事	søy6=	
二	nɛi6	
互	hou6	
五	ŋou6-	
五	ŋu3=	
井	tsaŋ3-	
井	tsiŋ3=	
些	sie1	
亞	a3	
亟	hɛi5	
亟	kɛiʔ7	
亡	uoŋ2	
交	ka1-	
交	kau1=	
亥	hai6	
亦	iʔ8	
亨	hɛiŋ1	
享	hyoŋ3	
京	kiŋ1	
亭	tiŋ2	
亮	liaŋ6-	
亮	luoŋ6	
亳	pouʔ8	
什	siʔ8	
仁	niŋ2-	
仁	iŋ2	
仂	lɛiʔ8	
仃	tiŋ1	
仄	tsaʔ7	
仇	kʰiu2	尋～
今	kiŋ1	
今	taŋ3	現在
介	kai5	
仍	iŋ1	
仍	ɛiŋ6	又
仕	søy6	
他	tʰa1	
仗	tʰuoŋ5-	拍～
仗	tsaŋ6=	～勢
付	hou5	
仙	sieŋ1	
代	tɔy6-	
代	tai6=	
令	lɛiŋ6	
以	i3	
仰	ŋyoŋ3	
仲	tøyŋ6	
仵	ŋu3	又
仵	ŋou6	
任	hɛiŋ6	～汝
任	ɛiŋ6=	
份	houŋ6	
仿	huoŋ3	
企	kʰie3	
伉	kʰɔuŋ5	
伊	i1	
伋	ŋɛiʔ7	
伍	ŋu3	
伐	pʰuaʔ8-	～步，跨步
伐	huaʔ8=	
休	hiu1	
伬	tsʰie1	
伯	paʔ7-	
估	ku3	
伴	pʰuaŋ6	
伶	liŋ1	
伶	liŋ2	～俐
伸	siŋ1	
似	søy6	
伽	kia2	
佃	tieŋ6	
但	taŋ5	
佇	tʰy3	
佈	puo5	
位	ui6	
低	tɛ1-	
低	ti1=	
住	tsøy6-	
佐	tsɔ5	
佑	iu6	
佔	ieŋ5	～去
佔	tsieŋ5=	
何	ho2	
佘	sia1	
佚	iʔ8	
作	tsɔʔ7	仵作
作	tsɔuʔ7	
佞	nɛiŋ6	
佟	tøyŋ3	
你	ni3	
佢	ky2	
佩	pui6	
佯	yoŋ2	
佰	paiʔ7=	
佳	ka1	
併	piaŋ5-	
併	pɛiŋ5=	
佻	tʰiu1	
佻	tʰiu2	客～
使	sai3-	
使	sy3=	
侃	kʰaŋ3	
侄	tiʔ8	
來	lai2-	
侈	tsʰie3	
例	sa5	
侍	søy6-	～候
侍	sɛi6=	
侏	tsuo1	
供	kyŋ1	口～
供	kyŋ3	～養
供	køyŋ5	
依	i1	
侯	hau6	閩～
侯	hɛu2=	
侵	tsiŋ1	
侵	tsʰiŋ1	又
侶	ly3	
侷	kuoʔ8=	
便	mieŋ2-	大～，小～
便	pieŋ2	～～
便	pɛiŋ2	～宜
便	pieŋ6	方～
促	tøyʔ7	
促	tsʰøyʔ7=	
俄	ŋo2	
俅	kiu2	
俊	tsouŋ5	
俏	tsʰiu1-	
俏	tsʰiu3=	
俐	lɛi6	
俗	syʔ8	
俘	hu1	
俚	li3	
保	po3	
俞	y2	
俟	søy6	
俠	hieʔ8	
信	sɛiŋ5	
俥	tsʰia1	
修	siu1	
俯	hu3	
俱	køy6	
俸	houŋ6	
俺	ŋaŋ3	
倅	tsɔʔ7	堵塞
倉	tsʰouŋ1	
個	kɔ5	
倌	kuaŋ1	
們	muoŋ2	
倒	to3	打～
倒	tɔ5	～水
倖	haiŋ6	
倘	tʰouŋ3	
倚	ai3-	
倚	i3=	
