#漢字	音標	解釋
□	tsʰɿ1	小孩顽皮
□	sɿ1	大～:大家、大伙儿
□	sɿ1	po1～:蜘蛛
□	tʂʅ1	树kua3～:树枝
□	pi1	～淡:很淡
□	mi1	代词:～个:那个
□	ȵi1	我～:我们
□	tsu1	(塞)
□	ŋa1	～呵欠
□	lia1	～板:拖鞋
□	lia1	～价:讨价
□	lia1	(碰撞),把凳子～倒了
□	ȵia1	～薄：很薄
□	mie1	揪:～你两下
□	po1	～sɿ1:蜘蛛
□	pai1	(女阴)
□	fai1	(骂人的话)
□	lau1	～轻:很轻
□	sau1	包～:包圆儿
□	tsʰiau1	phin5～:喷嚏
□	lei1	(拿)
□	kʰei1	～ti5:到一边去
□	tan1	用:～毛笔写
□	tian1	～菜:用手指夹菜
□	yan1	(东西腐烂变质)
□	lən1	～～:肉小儿用语
□	lin1	～光:精光
□	lin1	活～～:鲜活
□	pʰaŋ1	驱赶、跟随
□	tiaŋ1	～饭:盛饭
□	ȵiaŋ1	～～：奶奶
□	pʰoŋ1	蓬:头发一～起
□	loŋ1	～起:皱起
□	ŋoŋ1	～火:用灰盖住火
□	fu2	ma5～:很脏
□	ku2	(蹲)
□	lia2	(疲劳)
□	tsia2	～口:口馋
□	kua2	手～：残疾
□	kua2	焦～湿：很湿
□	ŋai2	(形容做事速度很慢)
□	piau2	～风:一种皮肤病
□	tiau2	～一脚:踩一脚
□	liau2	把菜放开水里一下
□	kuei2	(咳嗽)
□	kan2	(烧)
□	kuan2	～～头发:卷发
□	kuan2	～钱:藏钱
□	tsian2	～癣:一种皮肤病
□	tsian2	冇～：没到
□	tɕyan2	～线:把线卷起来
□	tɕin2	(旧)
□	kuin2	(尿布)
□	paŋ2	～大:抚养大
□	koŋ2	(搅动)
□	li3	沿,顺
□	lu3	～匠:补锅的
□	pʰa3	象声词,鞭炮声
□	tʰa3	乖～:女人长得好
□	la3	冇～你
□	xa3	～包:傻子
□	pia3	(象声词)
□	lia3	(舔)
□	tsia3	～到
□	tsia3	mi1～阵:等到那时
□	kʰua3	树～tʂʅ1:树枝
□	tye3	～货：买便宜货
□	tsʰye3	脚～了一下：脚崴了一下
□	tɕye3	吮吸
□	tʰo3	phie2～:做事方便
□	lo3	(哄人开心)
□	o3	～菜:焖菜
□	pʰai3	～起:扛在肩上
□	kʰiau3	用来捉泥鳅、鱼虾的工具
□	ei3	(呕吐)
□	lan3	(给)
