#漢字	音標	解釋
□	tsɿ3	～岸：田埂
□	tsʰɿ1	眯
□	tsʰɿ1	～虫：孑孓
□	tsʰɿ3	撕
□	dzɿ2	拔毛
□	zɿ2	zʌɯ53～：涎
□	pʰi1	劈成薄片
□	pʰi5	～轻：很轻
□	bi2	层，排。量词。
□	bi6	斜向摩擦
□	di6	没～：不可以
□	li4	划破
□	tɕi7	面疙瘩
□	i6	～个：这个
□	bu2	一～花：一朵花
□	vu4	ɔ231-22 ～：漂亮
□	ʔdu3	瓜瓤
□	ʔdu3	牲～：牲口
□	tsu1	口嘴巴～i31：撅嘴
□	kʰu5	固执不化，不灵活
□	u3	不见了
□	ʔdy3	动词，指
□	y3	看守
□	tsʰʮ3	赎
□	ʔba1	拉开、展开
□	ʔba5	拉、拔
□	pʰa1	～pʰɑum55：一种野生藤萝
□	ʔda1	脚～：踝骨
□	tʰa1	～锣：小锣
□	na4	这样。怎～：怎么
□	tsa7	～：烤火
□	dza6	～伤：受伤
□	dza8	雪～子：霰
□	za8	～眼：晃眼
□	ka5	挤、钻
□	ka7	～蜢：蚱蜢
□	ɡa4	～子：现在
□	ɡa4	～鹅：鹅
□	ŋa8	～断：折断
□	xa7	云～：云彩
□	xa7	边。外～：外边
□	xa7	～～钻：冰锥
□	bia2	厚～～：很厚
□	dia4	uɑ35-53～：蜥蜴
□	lia6	～杵：洗衣服用的木杵
□	tsʰia1	拟声词，流水声音。
□	tsʰia3	～钹：铙1
□	tsʰia7	～钹：铙2
□	tɕia7	眨
□	ɕia7	～薄：稀薄
□	ia5	～光：溜光
□	ia6	逗人、引诱
□	kua1	老～头：髑髅
□	kua7	手～掌：手掌
□	kʰua7	脚～头：膝盖
□	xua3	不正，歪
□	pʰɑ3	跨、迈
□	bɑ2	跨、迈
□	mɑ2	玩耍
□	tʰɑ7	～饼：玉米粉做的烤饼
□	dɑ4	藤蔓植物缠绕其他东西生长
□	dɑ6	量词。趟、次、条
□	dɑ8	地～：旱地
□	dzɑ6	谷类饱满
□	sɑ3	～花：绣花
□	ɡɑ4	性子慢、动作迟缓
□	tsʰiɑ5	放
□	siɑ5	uɑ334-33～：肮脏
□	tɕiɑ1	～～：恰恰
□	ȵiɑ1	看
□	ʔiɑ2	因摩擦而变薄
□	kuɑ1	～馋：嘴馋
□	xuɑ1	饭菜煮烂
□	xuɑ1	拟声词，流水声
□	xuɑ7	甩
□	uɑ1	～siɑ53-5：肮脏
□	uɑ8	～bie31：蜥蜴
□	tsyɑ3	提
□	tɕʰyɑ7	以拳击人
□	nɤ6	推
□	kɤ5	～～：发抖1
□	kʰɤ1	擦
□	ɡɤ2	咙～：喉咙
□	ɡɤ2	把身体缩成一团
□	ɡɤ8	～～：发抖2
□	tɕʰiɤ1	掀
□	mei1	祖母
□	mei6	冒烟未发出火不完全燃烧
□	fei5	勿会二字合音
□	ʔdei1	搁
□	ʔdei5	扔、丢掉
□	tʰei5	一～屋：一幢屋子
□	lei6	躺、滚
□	tsʰei5	～个：哪个
□	tsʰei7	缝、织毛衣
□	tsʰei7	勒。～死：绞死
□	kʰei5	i31-22～：这里， ɑ213-22～：那里
□	uei3	喊叫
□	uei6	小孩听话、勤勉
□	tsʰyei7	～痒：哈痒
□	syei7	～光：光溜溜1
□	tɕyei7	吮吸
□	yei7	～光：光溜溜2
□	yei7	把木头、竹片弯成某种形状、矫正
□	zyai8	勿～人：不理人家
□	dʑyai8	尖锐的先端突破袋子
□	pʰɔ1	柚子
□	pʰɔ5	用油炸
□	lɔ4	用竹枝打，皮肤上出现的伤痕
□	zɔ6	～猪：阉割过的猪
□	kɔ1	事情
□	ɡɔ2	～螂：螳螂
□	xɔ3	天将黑
□	ɔ2	～u⁵³：漂亮
□	siɔ7	～嘴：接吻
□	ȵiɔ8	回过头、走回头路
□	iɔ7	给
□	tɕium1	尾巴龙～：尾骨、屁～：椿象
□	vɛ2	语气词
□	ʔdɛ5	说定、约定
□	dɛ4	手～i³¹：两手交叉
□	ɡɛ8	肚子～i³¹：挺肚子
□	bie4	uɑ³⁵⁻⁵³～：蜥蜴
□	tsʰie7	舀米粒等粒状东西。
□	dzie8	把米粒等粒状东西舀来移到别处。
□	tɕie3	木板等不平、扭曲
□	uɛ1	扔
□	tsyɛ3	ɦyɛ31-22～：姑娘。
□	dzyɛ6	石蛙
