#漢字	音標	解釋
㾪	san3	
一	it7	
七	tsʰit7	
丈	tsiaŋ4	
三	sa1	
上	tsyo4	～山
上	tsyo4	～面
下	e4	方位
下	ke4	
不	put7	
世	sai5	
丘	iu1	
中	tsoŋ1	～間
丸	i2	
主	tsou3	
久	ku3	
之	tsi1	
乏	huot7	
乖	kuai2	
九	kau3	
也	ia2	
亂	luon4	
了	lieu3	
事	su4	
二	no4	訓“兩”
五	ŋou4	
井	tsɛ3	
交	kau1	
亦	jiek7	
人	laŋ2	訓
仇	tsʰiu2	
仙	sien1	
代	te4	
以	i2	
件	kien4	
任	nim4	責～
伊	i1	
休	iu1	
伯	pe3	
伴	pʰun2	
位	ui4	
低	ke4	訓“下”
住	he3	
佛	hut8	
作	tsok7	
使	sai3	
侄	tit8	
來	lai2	
供	koŋ1	～應
俗	tsok8	
信	sin5	
修	siu1	
倉	tsʰoŋ1	
倍	pye2	
借	tsyo3	
假	ke3	真～
偉	ui3	
偏	pʰien1	
做	tso5	
停	tʰiŋ2	
偷	tʰau1	
傑	kit8	
傘	sua5	
備	pei4	
傲	ŋou2	
傳	tsun3	～達
債	tsai5	
傷	siaŋ1	
傾	kʰiŋ1	
像	tsʰiaŋ4	不～
儂	laŋ2	
允	un3	
元	uon2	
兄	hia1	
先	sien1	
光	kui1	
免	ɓien3	
兒	kia3	
兔	tʰu3	
兜	tau1	
入	jip8	
全	tsuon2	
兩	no4	～個
兩	liu3	幾～
八	pye3	
公	kaŋ1	
六	lak8	
共	koŋ5	
兵	piŋ2	
具	ky4	
兼	kiam1	
再	tsai5	
冤	uon1	
冬	taŋ1	
冰	piŋ1	
准	tsun3	
凍	liŋ3	
凡	huon4	
凶	hoŋ1	
出	tsʰut7	
刀	to1	
分	hun1	
切	tsʰiet7	
初	tsʰei1	
判	pʰuon5	
別	piet8	
利	lai4	
刮	kue3	
到	kau5	
制	tsai5	
刷	tsʰat7	
削	sia3	
前	tsieŋ2	
剝	ɓak7	
剪	tsien3	
割	kua3	
劉	lau2	
劍	kiam5	
力	lak7	
加	ke1	
助	tso4	
動	toŋ4	
勤	kʰin2	
勳	hun1	
勸	hun5	
包	pau1	
化	hua5	
北	pak7	
匪	fi3	
匹	pʰiet7	
區	kʰy1	
十	tsap8	
千	tsʰan1	
半	pua5	
卒	tsuot7	
協	hiap7	
博	pok7	
占	tsiam5	～領
印	in5	
卵	nui4	
卷	lun3	～起
厚	kau4	
厝	tsʰu5	
原	yen2b	
厭	iam5	
去	kʰi5	
參	tsʰam1	～加
參	tsʰam1	人～
叉	tsʰie1	
及	kiap8	
反	pan3	
叔	tsik7	
受	siu4	
叛	puon5	
口	kʰau3	
句	ky5	
叫	hiam5	
可	ho3	
右	iu2	
各	kok7	
合	hap8	
名	ɓia2	
向	hyo5	
君	kun1	
吞	tʰun1	
吠	pui5	
含	kam2	
吳	ŋou2	
吸	kʰip7	
吹	pun1	訓
呂	ly3	
告	kou5	
周	ciu1	
味	ɓi4	
命	ɓia4	
咒	tsau5	
咬	ka5	
哀	ai1	
品	pin3	
哥	hia1	
哪	tai3	
哭	hau3	
唱	tsʰyo5	
啄	tiem1	訓
問	ɓui4	
善	sien2b	
喉	au2	
喊	hiam4	
喜	kʰi3	
單	tua1	
嘔	au3	
嘗	si5	
器	hi5	
嚇	he3	
嚴	niam4	
四	si5	
囝	kia3	
回	tui3	訓
因	in1	
困	kʰun5	
圈	kʰuon1	圓～
國	kak7	
圍	ui2	
圓	i2	
團	tʰuon2	
土	tʰou3	
在	ti4	
地	tɐi4	
均	kun1	
坐	tse4	
坑	kʰoŋ5	
坡	po1	
垮	lam5	
埋	ɐm1	
基	ki1b	
堂	toŋ2	
堆	tui1	
報	po5	
塊	kʰuoi5	
塌	tʰap7	
塔	tʰap7	
塗	tʰou2	
填	tʰien2	
墊	tien5	
墓	ɓou4	
墟	hi1	
墨	ɓak8	
墩	tun1	
墳	hun2b	
壁	pik7	
壓	at8	
壞	wai4	
士	si4	
壯	tsoŋ5	
壽	siu4	
外	ŋai4	
多	tsai4	訓
夜	ɓe2	訓
夠	kau5	
夢	ɓoŋ4	
大	tua4	
天	tʰi1	
太	tʰai5	
夫	hou1	
失	sit7	
奇	kʰi2	
套	tʰau5	
奧	au5	
奪	tut8	
女	ly3	
奴	nou2	
奶	nai3	
奸	kan1	
好	ho3	～壞
妙	ɓiau3	
妹	ɓoi4	
妻	wou3	
始	tsʰi3	
姐	tsia3	
姑	kou1	
姓	sia5	
委	ui3	
姨	i2	
威	ui1	
娘	niaŋ2	
娶	lo3	
婆	po2	
婦	wou3	
嫁	ke5	
嫂	so3	
嫌	iam2	
嫖	pʰiau2	
嫩	tsi3	
子	kia3	訓“囝”
孔	kʰoŋ3	
字	ji4	
孝	hau5	
孟	ɓaŋ2	
季	kui5	
孫	sun1	
學	o4	
孽	niep8	
守	tsiu3	
安	an1	
宋	saŋ5	
完	uon2	
宗	tsoŋ1	
官	kua1	
定	tiŋ5	
客	kʰe3	
