#漢字	音標	解釋
□	tɕʰi1	～芽子[蛆]
□	y1	～一下[折弯]
□	pʰia1	[拟声词，东西掉在地上的声音]
□	ȵia1	慢慢～[不想吃东西时慢慢吃的样子]
□	tɕʰio1	～人[骗]却确雀鹊
□	tsuo1	把衣服～一下[搓]
□	pʰie1	
□	lou1	～起来[捞]
□	tʰən1	～一下[放在火旁边烤]
□	lən1	～一下[搓一下]
□	pʰaŋ1	傻瓜
□	laŋ1	鼻子～了[鼻塞]
□	pʰu2	饭～了[粥烧开时满溢到锅外]
□	kʰu2	～倒[蹲着]
□	kʰa2	～过去[跨过去]
□	pia2	老～喽[不停地吃]
□	tɕia2	在里头～[挑拨]
□	kʰua2	松～～哩[裤子松松地在胯上的样子]
□	tsʰuo2	～开[用脚蹬]
□	mie2	～歇[不听召唤]
□	tʰie2	怪～哩[有能力、很聪明]
□	kʰie2	～牌[做，玩]
□	tɕye2	
□	fɛ2	[感叹词，疼]
□	sɛ2	别～[别抖动腿]
□	ʋɛ2	[摇晃]
□	tei2	我的～耶[感叹词，表吃惊]
□	pʰan2	～坏[摆弄坏了]
□	san2	别老在那儿～[摇摆、抖动]
□	tɕʰin2	～等着[只管等着]
□	kaŋ2	你听他～你[激将]
□	təŋ2	他～你呢[逗小孩玩]
□	tɕiəŋ2	一～一～哩[走路兴冲冲的样子]
□	ʑi3	[骂人的话，类似于肏的意思]
□	tɕʰy3	～破了[戳破]
□	pa3	[屎]
□	pʰa3	[坐着时腿张开]
□	tsa3	一～长[用手测量时大拇指和小拇指之间的长度]
□	tsʰa3	搞～喽[事情没办好]
□	pʰo3	～倒说[使劲地说]
□	tsuo3	～几[吝啬]
□	tsʰuo3	[应答音，不是、没有]
□	kʰuo3	～开喽[摔出血了]
□	mie3	～开[掰开]
□	kie3	[割]
□	ye3	想～[想呕吐]
□	kʰuɛ3	～倒个篮子[挽着]
□	tei3	[撞上]
□	kʰou3	
□	kʰuaŋ3	～喽[损坏了]
□	pəŋ3	～是～[凸起的部分]
□	ɕiəŋ3	～鼻子[抹鼻涕的动作]
□	mi5	吸～子[头朝下地跳水]
□	pʰu5	
□	ma5	乳房
□	tsʰa5	
□	kʰa5	～里[胯下]
□	xa5	～是[都是]
□	fo5	～我哩[骗、哄]
□	tɕʰio5	老是～[不停烦人地唠叨]
□	suo5	～哩[歪]
□	kie5	硬～～的[加强程度]
□	ye5	攒劲～[使劲喊]
□	tsʰɛ5	硬～[硬给别人夹菜]
□	piɔ5	[跟着]
□	ŋou5	
□	tɕʰiou5	别在那～到[责备语气，站在那里让人不顺眼]
□	kʰuan5	～你啦？[招惹]
□	pʰən5	～到墙上[靠]
□	tʰin5	[麻将用语]
□	tɕʰin5	～等着[只好等着]
□	ʋən5	～了[沉下去]
□	xaŋ5	
一	i1	
丁	tin1	
七	tɕʰi1	
万	ʋan5	
丈	tsaŋ5	
三	san1	
上	saŋ5	
下	ɕia5	
不	pu1	
与	y2	
丑	tsʰou3	
專	tsan1	
專	tɕyɛn1	
且	tɕʰie3	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiou1	
丙	pin3	
業	ȵie1	
叢	tsʰəŋ2	
東	təŋ1	
絲	sɿ1	
丞	tsʰən2	
兩	liaŋ3	
嚴	ian2	
喪	saŋ1	
喪	saŋ5	
个	kuo2	
个	kuo5	
丫	ia1	
中	tsəŋ1	
中	tsəŋ5	
丰	fəŋ1	
串	tɕʰyɛn5	
臨	lin2	
丸	ʋan2	
丹	tan1	
爲	ʋei2	
爲	ʋei5	
主	tɕy3	
丽	li5	
舉	tɕy3	
乃	lɛ3	
久	tɕiou3	
麼	mo3	
義	i5	
之	tsɿ1	
烏	ʋ1	
乍	tsa5	
乎	fu2	
乏	fa2	
樂	luo1	
乒	pʰin1	
乓	pʰaŋ1	
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tsʰən2	
乙	i3	
九	tɕiou3	
乞	tɕʰi5	
也	ie3	
習	ɕi2	
鄉	ɕiaŋ1	
書	ɕy1	
買	mɛ3	
亂	lan5	
乾	tɕʰian2	
了	liɔ3	
爭	tsən1	
事	sɿ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
雲	yn2	
互	fu5	
五	ʋ3	
井	tɕin3	
亞	ia5	
些	ɕie3	
亟	tɕi2	
亡	ʋaŋ2	
亢	kʰaŋ5	
交	tɕiɔ1	
亥	xɛ5	
亦	i1	
產	tsʰan3	
亨	xəŋ1	
畝	mu3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ5	
親	tɕʰin1	
人	ʑən2	
億	i5	
什	sɿ2	
仁	ʑən2	
仆	pʰu1	
仇	tsʰou2	
今	tɕin1	
介	tɕie5	
从	tsʰəŋ2	
倉	tsʰaŋ1	
仔	tsɛ3	
他	tʰa1	
他	tʰa3	
仗	tsaŋ5	
付	fu5	
仙	ɕian1	
代	tɛ5	
令	lin5	
以	i3	
儀	i2	
們	mən2	
仰	ȵiaŋ3	
仲	tsəŋ1	
件	tɕian5	
價	tɕia5	
任	ʑən5	
份	fən5	
仿	faŋ3	
企	tɕʰi5	
伊	i1	
伍	ʋ3	
伐	fa5	
休	ɕiou1	
衆	tsəŋ5	
優	iou1	
伙	xuo3	
會	kʰuɛ5	
會	fei5	
傘	san3	
偉	ʋei3	
傳	tɕʰyɛn2	
傷	saŋ1	
倫	lən2	
僞	ʋei3	
伯	pie1	
估	ku3	
伴	pan5	
伶	lin2	
伸	tsʰən1	
伸	sən1	
伺	tsʰɿ5	
似	sɿ5	
佃	tian5	
但	tan5	
位	ʋei5	
低	ti1	
住	tɕy5	
佐	tsuo1	
佑	iou5	
體	tʰi3	
何	xuo2	
余	y2	
佛	fu2	
作	tsuo1	
你	n3	
佣	ʑəŋ5	
佩	pʰei5	
佯	iaŋ2	
佰	pie1	
佳	tɕia1	
使	sɿ3	
侃	kʰan3	
侄	tsɿ1	
侈	tsʰɿ3	
侉	kʰua3	
例	li5	
侍	sɿ5	
供	kuəŋ1	
供	kuəŋ5	
依	i1	
俠	ɕia2	
僥	tɕiɔ3	
偵	tsən1	
側	tsʰie1	
僑	tɕʰiɔ2	
儈	kʰuɛ5	
侯	xou2	
侯	xou5	
侵	tɕʰin1	
便	pʰian2	
便	pian5	
促	tsʰou1	
俄	ʋo2	
俊	tɕyn5	
俏	tɕʰiɔ5	
保	pɔ3	
信	ɕin5	
倆	liaŋ3	
儉	tɕian3	
修	ɕiou1	
俱	tɕy5	
俸	fəŋ5	
俺	ŋan3	
倍	pei5	
倒	tɔ3	
倒	tɔ5	
倔	tɕye5	
倘	tʰaŋ3	
倚	i3	
借	tɕie5	
倡	tsʰaŋ5	
倦	tɕyɛn5	
倩	tɕʰian5	
倪	ȵi2	
倭	ʋo1	
債	tsɛ5	
值	tsɿ2	
傾	tɕʰin3	
假	tɕia3	
偏	pʰian1	
做	tsuo1	
停	tʰin2	
健	tɕian5	
偶	ŋou3	
偷	tʰou1	
償	tsʰaŋ3	
傀	kʰuei2	
傍	paŋ5	
傣	tɛ3	
儲	tɕʰy2	
催	tsʰei1	
傲	ŋɔ5	
傻	sa3	
像	ɕiaŋ5	
僚	liɔ2	
僧	sən1	
僭	tɕian5	
僵	tɕiaŋ5	
僻	pʰi1	
儡	lei3	
兒	ɚ2	
允	yn3	
元	yɛn2	
兄	ɕiəŋ1	
充	tsʰəŋ1	
兆	tsɔ5	
先	ɕian1	
光	kuaŋ1	
克	kʰuo1	
克	kʰie1	
免	mian3	
兌	tei5	
兔	tʰou5	
黨	taŋ3	
兜	tou1	
全	tɕʰyɛn2	
八	pa1	
公	kuəŋ1	
六	lou1	
蘭	lan2	
共	kuəŋ5	
關	kuan1	
興	ɕin1	
興	ɕin5	
興	ɕiəŋ5	
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tian3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕian1	
獸	sou5	
冀	tɕi5	
內	lei5	
岡	kaŋ3	
冉	ʑan3	
冊	tsʰie1	
再	tsɛ5	
冒	mɔ5	
寫	ɕie3	
軍	tɕyn1	
