#漢字	音標	解釋
□	li1	～xai31：这里
□	tɕi1	pu53～：荸荠
□	ku1	～pi24：牛虻
□	pa1	～得高：爬得高，站得高
□	ta1	跌倒
□	la1	毛～子：婴儿
□	tsʰa1	踏
□	tᴇ1	lai31～：脏
□	lai1	～te31：脏
□	tsau1	～蚂子：蟋蟀
□	tiau1	谷～子：稻穗
□	təu1	阉
□	ləu1	～袖子：捋袖子
□	tsʰəu1	往上推
□	tsʰəu1	～蚕子：蚯蚓
□	ŋəu1	眼睛陷下去了
□	tɕʰiəu1	熏
□	pan1	旁～个儿：旁边扔掉
□	lən1	捻
□	faŋ1	猪～子：猪血
□	laŋ1	～门子：串门儿
□	tɕʰiaŋ1	箩～：箩筐
□	pu2	～tɕi31：荸荠
□	tʰa2	pan24～：扔掉
□	ka2	～子：阴茎
□	puo2	陪～：聊天
□	luo2	～石：鹅卵石
□	tɕio2	套在马嘴上的东西
□	kʰᴇ2	～蟆：蛤蟆
□	tɕyᴇ2	骂
□	ŋai2	～具：镐
□	tau2	戳
□	tsʰan2	口水
□	pi3	ku31～：牛虻
□	tɕʰy3	捅
□	pᴇ3	～痧：中暑
□	miᴇ3	掰、折
□	kai3	螃～：螃蟹
□	ŋai3	～后日：大后天
□	tɕiəu3	拧
□	pan3	～tʰa53：扔掉
□	tsʰən3	摁
□	ma5	乳房
□	tsʰa5	淋
□	vei5	钝
□	liau5	掷
□	iɛn5	～谷种：下种
□	pʰən5	倚
□	kən5	～桌：放神龛的桌子
䀇	ku3	
䖳	tsa5	
䥛	tɕiᴇ1	
鏺	pʰuo1	
钁	yᴇ1	
一	i1	
丁	tin1	
七	tɕʰi1	
万	van5	
丈	tsaŋ5	
三	san1	
上	tsʰaŋ5	
下	ɕia5	
不	pu1	
与	i3	
丐	kai5	
丑	tsʰəu3	
專	tɕyan1	
且	tɕʰiᴇ3	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵiᴇ1	白
業	iᴇ1	文
東	təŋ1	
絲	sɿ1	
丞	tsʰən2	
丟	tiəu1	
兩	liaŋ3	
嚴	iɛn2	
喪	tsʰaŋ1	婚～
喪	tsʰaŋ5	～失
个	kuo5	白
个	kəu5	文
丫	ia1	
中	tsəŋ1	～国
