#漢字	音標	解釋
□	kʰa1	拿的意思
□	ya1	抓痒痒
□	ȶʰo1	丢失的意思
□	tsə1	蹲的意思
□	tsɛ1	爱～，贪玩
□	luɛ1	赶走
□	læ1	娇的意思
□	tsuæ1	～脑壳,低头
□	la2	爬的意思
□	kua2	一种击打乐器
□	pɔ2	打～，亲亲脸蛋
□	o3	～子,个子
□	tʰə3	透气，敨
□	tsʰə3	讽刺
□	tæ3	骗人
□	lɔ3	～～，弟弟
□	la5	
□	ȶʰa5	跨的意思
□	ɕya5	滑的意思
□	tʰɔ5	～粒，板栗
□	tsʰu7	呛意
□	ma7	分开的意思
□	tua7	跺脚的意思
□	lua7	搅拌的意思
□	tsua7	后脑勺不平
一	i7	
丁	tɕiɛ̃1	
七	tɕʰi7	
丈	ȶʰɔ̃5	
三	sã1	
上	ɕiɔ̃5	
下	xa3	
下	xa5	全部的意思
下	ɕia5=	
不	pu5	
丐	kæ5	
丑	ȶʰɯ3	
專	ȶuẽ1	
世	sɿ5	
丘	ȶʰɯ1	
丙	piɛ̃3	
業	iɛ7	
東	təŋ1	
絲	sɿ1	
丟	ȶɯ1	
兩	liɔ̃3	
嚴	iẽ2	
喪	sɔ̃5	丧失
个	kɔ5	
丫	ia1	
中	ȶəŋ1	
中	ȶəŋ5	中枪
丰	fəŋ1	
串	ȶʰuẽ5	
丸	yẽ2	丸子
丸	uã2=	弹丸
丹	tã1	
爲	ui2	
主	tɕy3	
丽	li5	
舉	tɕy3	
乃	læ3	
久	ȶɯ3	
義	i5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu1	
乏	fa7	
樂	io7	
喬	ȶʰə2	
乖	kuæ1	
九	ȶɯ3	
也	ia3-	
習	ɕi7	
鄉	ɕiɔ̃1	
書	ɕy1	
書	tʰi5	
買	mæ3	
亂	luã5	
乳	y3	
乾	tɕʰiẽ2	
了	liə3	了结
予	y3	
爭	tsɔ̃1-	争东西
爭	tsẽ1	斗争
事	sɿ5	
二	ə5	
于	y2	
亏	kʰui1	
云	yɛ̃2	
互	xu5	
五	ŋ3-	
五	u3=	
井	tɕiɔ̃3-	井水
井	tɕiɛ̃3=	井底之蛙
亞	ia5	
些	ɕi1	
亡	ɔ̃2	
交	ȶə1	
亥	xæ5	
亦	i7	
產	tsʰã3	
亨	xẽ1	
京	ȶɛ̃1	
亭	tɕʰiɛ̃2	
亮	liɔ̃5	
親	tɕʰiɛ̃1	
人	ŋ2	
人	iɛ̃2=	人民
億	i5	
什	sɿ1	什物
仁	iɛ̃2	
仅	ȶʰɛ̃5	
仆	pʰu1	
仆	pʰu2	仆人
仇	ȶʰɯ2	
介	kæ5-	
仍	iɛ̃2	
从	tsʰəŋ2	
倉	tsʰɔ̃1	
仕	sɿ5	
他	tʰa1	
仗	ȶɔ̃5	
付	fu5	
仙	sẽ1	
代	tæ5	
令	liɛ̃5	
以	i3	
儀	i2	
仰	iɔ̃3	
仲	ȶʰəŋ5	
件	tɕʰiẽ5	
价	ȶa5	
份	fɛ̃5	
仿	fɔ̃3	
企	tɕʰi3	
伊	i1	
伍	ŋ3-	
伍	u3=	
伏	fu7	
伐	fa7	
休	ɕiɯ1	
众	ȶəŋ5	
优	iɯ1	
會	xuɛ5	开会
會	kʰuæ5	会计
傘	sã3	
偉	ui3	
傳	ȶʰuẽ2	
傳	ȶʰuẽ5	传记
伢	ŋa2	
傷	ɕiɔ̃1	
倫	luɛ̃2	
僞	ui5	
伯	pa7-	叔伯
伯	pɛ7=	
估	ku1	
伴	pʰã3	
伶	liɛ̃2	
伸	ɕiɛ̃1	
伺	sɿ2	
似	sɿ5	
佃	tʰẽ5	
但	tã5	
位	ui5	
低	ti1	
住	tɕʰy5	
佐	tsɔ5	
佑	iɯ5	
体	tʰi3	
何	xɔ2	
佘	ɕia1	
余	y2	
佛	fu7	
作	tso7	
你	ŋ3-	
你	li3	
佩	pʰi5	
佳	ȶa1	
使	sɿ3	
侈	sɿ3	
例	li5	
侍	sɿ5	
供	kəŋ5	
依	i1	
僥	ȶə3	
偵	ȶɛ̃1	
側	tsɛ7	
僑	ȶʰə2	
儂	ləŋ2	
侮	u3	
侯	xə2	
便	pʰẽ2	便宜
便	pʰẽ5	又音，便捷
俄	ɔ2	
俊	tsuɛ̃5	
俏	ȶʰə5	
俗	su7	
俘	fu2	
保	pɔ3	
俟	sɿ5	
信	ɕiɛ̃5	
儼	iẽ3	
儉	tɕiẽ3	
修	ɕiɯ1	
俯	fu3	
俱	tɕy5	
俸	fəŋ5	
俾	pi3	
倍	pʰɛ5	
倒	tɔ3	打倒
倔	ȶuɛ7	
倘	tʰɔ̃3	
候	xə5	
倚	i3	
借	tɕia5-	
倡	ȶʰɔ̃5	
倦	ȶuẽ5	
倪	i2	
債	tsæ5	
值	tsɿ7	
傾	ȶʰuɛ̃1	
假	ȶa3-	新派
假	ka3-	
偏	pʰẽ1	
做	tsu5	
停	tɕʰiɛ̃2	
偶	ɯ3	
偷	tʰə1	
償	ȶʰɔ̃2	
傀	kʰuæ3	
傅	fu5	
傍	pɔ̃5	
儲	tɕʰy2	
催	tsʰui1	
傲	ɔ5	
傻	sa3	
像	tɕʰiɔ̃5-	
僧	sẽ1	
僵	ȶɔ̃1	
僻	pʰi5	
儡	lui3	
儿	ə2	
允	yɛ̃3	
元	yẽ2	
兄	ɕiəŋ1	
充	ȶʰəŋ1	
兆	ȶə5	
先	sẽ1	
克	kʰɛ7	
免	mẽ3	
免	tʰu5	
兌	tuɛ5	
党	tɔ̃3	
兜	tə1	
全	tsʰuẽ2	
八	pa7	
公	kəŋ1	
六	liɯ1	
蘭	lã2	
共	kʰəŋ5	
關	kʰuã1-	关门
關	kuã1=	关系
興	ɕiɛ̃1	兴旺
興	ɕiɛ̃5	兴趣
兵	piɛ̃1	
其	tɕʰi2	
具	tɕy5	
典	tẽ3	
兹	tsɿ1	
養	iɔ̃3	
兼	tɕiẽ1	
冀	tɕi5	
內	lui5	
冉	iẽ3	
冊	tsʰɛ7	
再	tsæ5	
冒	mɔ5	
冗	iəŋ3	
寫	ɕia3	
軍	ȶuɛ̃1	
農	ləŋ2	
冠	kuã1	又音，衣冠
冠	kuã5	冠军
冢	ȶəŋ3	
冤	yẽ1	
冬	təŋ1	
馮	fəŋ2	
冰	piɛ̃1	
冲	ȶʰəŋ1	
决	ȶuɛ7	
况	kɔ̃5	
冷	lɔ̃3-	冷人
冷	lẽ3=	寒冷
凍	təŋ5	
淨	tɕʰiɛ̃5	
准	ȶuɛ̃3	
凉	liɔ̃2	
凌	liɛ̃2	
減	kã3-	减少
減	tɕiẽ3=	裁剪
湊	tsʰə5	
凝	liɛ̃2	
几	tɕi1	茶几
几	tɕi3	几个
凡	fã2	
鳳	fəŋ5	
凭	pʰiɛ̃2	
凱	kʰæ3	
凳	tẽ5	
凶	ɕiəŋ1	
出	tɕʰy7	
擊	tɕi7	
函	xã2	
刀	tɔ1	
刁	tɕiə1	
刃	iɛ̃5	
分	fɛ̃1	
切	tsʰɛ7	
刊	kʰã1	
刎	uɛ̃3	
刑	ɕiɛ̃2	
划	xua2	
列	lɛ7	
劉	liɯ2	
則	tsɛ7	
創	tsʰɔ̃5	
初	tsʰu1	
刪	suã1	
判	pʰã5	
刨	pʰɔ5	
别	pʰɛ7	
别	pɛ7=	
刮	kua7	
到	tɔ5	到达
制	tsɿ5	
刷	sua7	
券	ȶuẽ5	
刺	tsʰɿ5	
刻	kʰɛ7	
剁	tɔ5	
劑	tɕi5	
剃	tʰɛ5-	
剃	tʰi5	
前	tsʰẽ2	
剮	kua3	
劍	tɕiẽ3	
剔	tʰi7	
剖	pʰɔ5	
剜	ua3	
剝	po7	
劇	tɕʰy5	
剩	ɕiɛ̃5	
剪	tsẽ3	
副	fu5	
割	ko7	
剿	ȶə3	
劈	pʰi1	
劐	xo7	
力	li1	
力	li7	
勸	ȶʰuẽ5	
辦	pʰã5	
功	kəŋ1	
加	ȶa1	
務	u5	
劣	lɛ7	
動	tʰəŋ5	
助	tsʰu5	
努	lu3	
劫	tɕiɛ7	
勵	li5	
勁	ȶɛ̃5	
勞	lɔ2	
勢	sɿ5	
勇	iəŋ3	
勉	mẽ3	
勋	ɕyɛ̃1	
勒	lɛ7	
勘	kʰã1	
勤	ȶʰɛ̃2	
勺	ɕio1	
勾	kɯ1	
勿	u7	
勻	yɛ̃2	
包	pɔ1	
匆	tsʰəŋ1	
化	xua5	
北	pɛ7	
匙	sɿ1	
匠	tɕʰiɔ̃5-	
匠	tɕiɔ̃5=	匠心独具
匡	ȶʰɔ̃1	姓氏
匣	xa1-	
匪	fi3	
匹	pʰi1	一匹布
匹	pʰi3	匹夫
區	tɕʰy1	
医	i1	
匾	pẽ3	
匿	li7	
十	sɿ1	
千	tsʰẽ1	
升	ɕiɛ̃1	
午	u3	
半	pã5	
華	xua2	
協	ɕiɛ7	
卑	pi1	
卓	tso7	
單	tã1	
單	ɕiẽ5	
賣	mæ5	
南	lã2	
博	po7	
卜	pʰu1	
占	tɕiẽ5	
卡	kʰa3	
卤	lu3	
卦	kua5	
臥	ɔ5	
衛	ui5	
卯	mɔ3	
印	iɛ̃5	
危	ui2	
即	tɕi7	
卻	ȶʰo7	
卵	lo3	
卵	luã3	
卷	ȶuẽ5	
卸	ɕia5	
卿	ȶʰɛ̃1	
厂	ȶʰɔ̃3	
历	li5	
壓	ŋa5-	
壓	ia7=	
厭	iẽ5	
厚	xɯ3	
原	yẽ2	
廂	ɕiɔ̃1	
厥	ȶuɛ7	
厦	sa1-	偏厦
厦	ɕia5	
廚	tɕʰy2	
厮	sɿ1	
去	xə5-	
去	tɕʰy5=	
縣	ɕyẽ5	
参	tsʰã1	
又	iɯ5	
叉	tsʰa1	
及	tɕʰi2	及格
及	tɕi7	
友	iɯ3	
雙	sɔ̃1	
反	fã3	
发	fa7	
叔	ɕiɯ7-	叔伯
取	tɕʰy3	
變	pẽ5	
敘	tɕʰy5	
叛	pʰã5	
叟	sə1	
疊	ȶo1	叠被子
疊	tʰɛ7=	
口	kʰɯ3	
古	ku3	
句	tɕy5	
另	liɛ̃5	
叨	tɔ1	
叩	kʰə5	
只	tsɿ1	
叫	ȶə5-	
召	ȶə5	
可	kʰo3	
台	tʰæ2	
史	sɿ3	
右	iɯ5	
叶	iɛ1	
号	xɔ2	呼号
号	xɔ5	号码
司	sɿ1	
叹	tʰã5	
吁	y1	
吃	ȶʰa7-	
各	ko7	
吉	tɕi7	
吊	tɕiə5	
同	tʰəŋ2	
名	miɛ̃2	
后	xə5	
吐	tʰu5	
向	ɕiɔ̃5	
吓	xa7-	
吓	xɛ7-	恐吓
吕	y3	
君	ȶuɛ̃1	
吝	liɛ̃5	
吞	tʰẽ1	
否	fə3	
含	xã2	
听	tɕʰiɔ̃1-	听话
听	ȶʰɛ̃1	听力
听	tɕʰiɛ̃1=	听力
启	tɕʰi3	
吴	u2	
吵	tsʰɔ3	
吸	ɕi7	
吹	tɕʰy1-	吹风
吹	tsʰui1=	自吹自擂
吻	uɛ̃3	
吼	xɯ3	
吾	u2	
呆	tæ1	
呈	ȶʰɛ̃2	
周	ȶɯ1	
呱	kua1	
味	ui5	
呼	xu1	
命	miɛ̃5=	命令
和	xɔ2	
咎	ȶɯ1	
咏	yɛ̃3	
咒	ȶɯ5	
咨	tsɿ1	
咬	ŋɔ3	
咳	kʰɛ7	
咸	xã2	
哀	ŋæ1	
哀	suæ1	
