#漢字	音標	解釋
□	ɕyẽ5	(乱丢乱放)
□	lua7	～菜(搅拌菜)
□	xua7	(摔)
一	i7	
丁	tɕiæ̃1-	
丁	tiæ̃1=	
七	tɕʰi7	
丈	ʈʰiɔ̃5	
三	sã1	
上	ɕiɔ̃3	～山
上	ɕiɔ̃5	～面
下	ɕia5	～降
不	pu5	
与	y3	
丐	kæ5	
丑	ʈʰiɤ3	
專	ʈyẽ1	
丕	pʰi1	
世	sɿ5	
丘	ʈʰiɤ1	
丙	piæ̃3	
叢	tsʰəŋ2	
東	təŋ1	
丞	ʈʰiæ̃2	
兩	liɔ̃3	
喪	sɔ̃1	
喪	sɔ̃5	
个	kʊ5	
丫	ia1	
中	ʈiəŋ1	
中	ʈiəŋ5	
丰	fəŋ1	
串	ʈʰyẽ5	
臨	liæ̃2	
丹	tã1	
爲	ui5	～什么
主	tɕy3	
丽	li5	
舉	tɕy3	
乃	læ3	
久	ʈiɤ3	
義	i5	
之	tsɿ1	
烏	u1	
乏	fa7	
樂	iʊ7	
樂	lʊ7	
喬	ʈʰiə2	
乖	kuæ1	
乘	ʈʰiæ̃2	
九	ʈiɤ3	
乞	tɕʰi7	
也	ia3	
習	ɕi7	
鄉	ɕiɔ̃1	
書	ɕy1	
買	mæ3	
亂	luã5	
乳	y3	
乾	tɕʰiẽ2	
了	liə3	
爭	tsɔ̃1-	
事	sɿ5	
于	y2	
亏	kʰui1	
云	yæ̃2	
五	u3	
井	tɕiɔ̃3	
井	tɕiæ̃3=	
亞	ia5	
亡	ɔ̃2	
交	ʈiə1	
亥	xæ3	
產	tsʰã3	
畝	mə3	
享	ɕiɔ̃3	
京	ʈiæ̃1	
亭	tɕʰiæ̃2	
亭	tʰiæ̃2=	
親	tɕʰiæ̃1	
人	iæ̃2	
億	i5	
什	sɿ7	
仁	iæ̃2	
仅	ʈʰiæ̃5	
仆	pʰu7	
仇	ʈʰiɤ2	
今	ʈiæ̃1	
介	kæ5	
从	tsʰəŋ1	
从	tsʰəŋ2	跟～
倉	tsʰɔ̃1	
仕	sɿ5	
他	tʰa1	
仗	ʈʰiɔ̃5	
付	fu5	
仙	sẽ1	
令	liæ̃5	
以	i3	
儀	i2	
仰	iɔ̃3	
仲	ʈʰiəŋ5	
件	tɕʰiẽ5	
价	ʈia5	
任	iæ̃2	
任	iæ̃5	
份	fæ̃5	
仿	fɔ̃3	
企	tɕʰi5	
伊	i1	
伍	u3	
伏	fu7	
休	ɕiɤ1	
众	ʈiəŋ5	
优	iɤ1	
會	xue5	
會	kʰuæ5	
會	kʰuæ5	～计
傘	sã3	
偉	ui3	
傳	ʈʰyẽ5	
伢	ŋa2	
傷	ɕiɔ̃1	
倫	luæ̃2	
僞	ui5	
估	ku3	
伴	pʰã5	
伶	iæ̃2	
伸	ɕiæ̃1	
伺	sɿ5	
佃	tẽ5	
位	ui5	
低	ti1	
住	tɕʰy5	
佐	tsʊ5	
佑	iɤ5	
体	tʰi3	
何	xʊ2	
余	y2	
作	tsʊ7	
你	li3	
佩	pʰe5	
使	sɿ3	
侄	tsɿ7	
侈	sɿ3	
例	li5	
侍	sɿ5	
供	kəŋ1	
供	kəŋ5	上～
依	i1	
偵	ʈiæ̃1	
側	tse7	
僑	ʈʰiə2	
儂	ləŋ2	
侮	u3	
侯	xə2	
侯	xə5	～车
侵	tɕʰiæ̃1	
便	pʰẽ2	～宜
便	pʰẽ5	方～
促	tsʰu7	
俄	ʊ2	
俊	tsuæ̃5	
俏	tɕʰiə5	
俗	su7	
俘	fu2	
保	pɔ3	
儉	tɕʰiẽ5	
修	ɕiɤ1	
俯	fu3	
俱	tɕy1-	
俸	fəŋ5	
俾	pi3	
倍	pʰe5	
倒	tɔ3	
倒	tɔ5	～水
倔	ʈye7	
倘	tʰɔ̃3	
倚	i3	
借	tɕia5	
倡	ʈʰiɔ̃5	
倦	ʈyẽ5	
倪	i2	
倭	ʊ1	
債	tsæ5	
值	sɿ7	
傾	ʈʰyæ̃1	
假	ʈia3	
假	ka3	
偏	pʰẽ1	
做	tsu5	
停	tɕʰiæ̃2	
停	tʰiæ̃2=	
健	tɕiẽ5	
偶	ɤ3	
偷	tʰə1	
償	ɕiɔ̃2	
傀	kʰuæ3	
傅	fu5	
傍	pʰɔ̃2	
儲	tɕʰy2	
催	tsʰui1	
傲	ŋɔ5	
像	tɕʰiɔ̃5-	
像	ɕiɔ̃5=	
僧	sẽ1	
僵	ʈiɔ̃1	
儒	y2	
儡	lue3	
儿	ə2	
允	yæ̃3	
元	yẽ2	
兄	ɕiəŋ1	
充	ʈʰiəŋ1	
兆	ʈʰiə5	
先	sẽ1	
克	kʰe7	
免	mẽ3	
兌	tue5	
兔	tʰu5	
兜	tə1	
入	y7	
全	tsʰuẽ2	
八	pa7	
公	kəŋ1	
六	liɤ8-	
六	liɤ7=	
六	lu7=	
兮	ɕi2	
蘭	lã2	
共	kʰəŋ5	
關	kʰuã1-	
關	kuã1	
興	ɕiæ̃1	～旺
興	ɕiæ̃5	高～
兵	piæ̃1	
其	tɕʰi2	
具	tɕy5	
典	tẽ3	
兹	tsɿ1	
養	iɔ̃3	
兼	tɕiẽ1	
獸	ɕiɤ5	
冀	tɕi5	
內	lui5	
岡	kɔ̃1	
冉	iẽ2	
再	tsæ5	
冒	ui5	
冒	mɔ5	
冗	iəŋ3	
寫	ɕia3	
軍	ʈyæ̃1	
農	ləŋ2	
冠	kuã1	
冠	kuã5	～军
冢	ʈiəŋ3	
冬	təŋ1	
馮	fəŋ2	
冰	piæ̃1	
冲	ʈʰiəŋ1	
决	ʈye7	
况	kʰɔ̃5	
冷	lɔ̃3	
凍	təŋ5	
淨	tɕʰiæ̃5	
准	ʈyæ̃3	
凉	liɔ̃2	
凌	liæ̃2	
減	kã3	
湊	tsʰə5	
凝	iæ̃2	
几	tɕi3	
凡	fã2	
鳳	fəŋ5	
凱	kʰæ3	
凳	tẽ5	
凶	ɕiəŋ1	
出	tɕʰy7	
函	xã2	
鑿	tsʊ8	
刀	tɔ1	
刁	tɕiə1	
刃	iæ̃5	
分	fæ̃1	
切	tsʰe7	
刊	kʰã1	
刎	uæ̃3	
刑	ɕiæ̃2	
划	xua2	
划	xua5	
列	le7	
劉	liɤ2	
則	tse7	
剛	kɔ̃1	
創	tsʰɔ̃5	
初	tsʰu1	
判	pʰã5	
刨	pʰɔ2	
利	li5	
别	pʰe7	
刮	kua7	
到	tɔ5	
制	tsɿ5	
刷	sua5	
券	ʈʰyẽ5	
刺	tsʰɿ5	
刻	kʰe7	
劊	kʰuæ5	
劑	tɕi5	
剃	tʰi5	
削	ɕiʊ7	
前	tsʰẽ2	
剮	kua3	
劍	tɕiẽ3	
剔	tʰi7	
剖	pʰʊ3	
剜	ua3	
劇	tɕy5	
剩	ɕiæ̃5	
剪	tsẽ3	
副	fu5	
割	kua7	
剿	tɕiə3	
劈	pʰia7-	
劈	pʰi8	
劈	pʰia8=	
力	li8-	
力	li7	
勸	ʈʰyẽ2	
勸	ʈʰyẽ5	
功	kəŋ1	
加	ʈia1	
務	u5	
劣	le7	
動	ɕiẽ1	
動	tʰəŋ5	
動	pu5	
動	pʰɔ5	
動	ʈiəŋ5	
助	tsʰu5	
努	lu3	
劫	tɕie7	
勵	li5	
勁	ʈiæ̃5	
勞	lɔ2	
勢	sɿ5	
勇	iəŋ3	
勉	mẽ3	
勋	ɕyæ̃1	
勘	kʰã1	
勤	ʈʰiæ̃2	
勺	ɕiʊ7	
勾	kɤ1	
勿	u7	
勻	yæ̃2	
包	pɔ1	
匆	tsʰəŋ1	
化	xua5	
北	pe7	
匙	sɿ1	
匠	tɕʰiɔ̃1	
匡	kʰɔ̃1	
匪	fi3	
匹	pʰi7	
區	tɕʰy1	
医	i1	
匾	pẽ3	
匿	li7	
十	sɿ8-	
千	tsʰẽ1	
升	ɕiæ̃1	
午	u3	
半	pã5	
華	xua2	
華	xua5	～山
協	ɕie7	
卑	pi1	
卒	tsui7	
單	tã1	
賣	mæ5	
南	lã2	
博	pʊ7	
卜	pʰu7	
占	tsã1	～卦
占	tsã5	～有
盧	lu2	
卤	lu3	
卦	kua5	
臥	ʊ5	
衛	ui5	
卯	mʊ3	
印	iæ̃5	
危	ui1	
即	tɕi7	
卻	ʈʰiʊ7	
卵	luã3	
卷	ʈyẽ3	
卿	tɕʰiæ̃1	
廳	tɕʰiɔ̃1-	
廳	tʰiæ̃1=	
廳	tɕʰiæ̃1=	
历	li5	
壓	ia7	
厭	iẽ3	
厘	li2	
厚	xɤ3	
原	yẽ2	
廂	ɕiɔ̃1	
厥	ʈye7	
厦	ɕia5	
廚	tɕʰy2	
去	tɕʰy5	
縣	ɕyẽ5	
参	tsʰã1	
又	iɤ5	
叉	tsʰa1	
及	tɕi7	
友	iɤ3	
雙	sɔ̃1	
反	fã3	
发	fa7	
叔	ɕiɤ7-	
叔	su7=	
取	tɕʰy3	
受	ɕiɤ5	
變	pẽ5	
敘	tɕʰy5	
叛	pʰã5	
叟	sə3	
疊	tʰe8	
口	kʰɤ3	
古	ku3	
句	tɕy5	
另	iæ̃5	
叨	tɔ1	
只	tsɿ3	
叫	ʈiə5	
召	ʈʰiə5	
可	kʰʊ3	
台	tʰæ1	
台	tʰæ2	
史	sɿ3	
右	iɤ5	
叶	ie7	
号	xɔ5	
叹	tʰã5	
吁	y1	
吃	tɕʰi7	
吃	ʈʰia7	
各	kʊ7	
吆	iə1	
合	xʊ7	
吉	tɕi7	
吊	tɕiə5	
同	tʰəŋ2	
名	miɔ̃2-	
名	pʰi3	
名	pʰu5	
名	miæ̃2=	
后	xə5	
吏	li5	
吐	tʰu5	
向	ɕiɔ̃5	
吕	ly3	
君	ʈyæ̃1	
吝	liæ̃5	
吞	tʰẽ1	
吠	fi5	
否	fə3	
含	xã2	
听	tɕʰiɔ̃1	
启	tɕʰi3	
吴	u2	
吵	tsʰɔ3	
吸	ɕi7	
吹	tɕʰy1	
吹	tsʰui1=	
吻	uæ̃3	
吾	u3	
呆	æ2	
呈	ʈʰiæ̃2	
告	kɔ5	
嘔	ɤ3	
員	yẽ2	
呤	iæ̃2	
周	ʈiɤ1	
