#漢字	音標	解釋
□	ʃʅ1	不穩貌
□	ʒʅ1	離也行也
□	kʰi1	問物
□	tʃʰa1	行難貌
□	ka1	～人：欺諞
□	lo1	俗寫「孬」
□	pʋ̍1	詈語丨童稚語
□	mᵇᴇ1	擬牛呼
□	tʃuᴇ1	手足僵也
□	ʒuᴇ1	老人食貌
□	tʃɛ̃1	割也
□	tʃɛ̃1	言相弄也
□	tʃɐ̃1	西鄉、中部三鎮丨割也
□	tʃɐ̃1	西鄉、中部三鎮丨言相弄也
□	mᵇɒ̃1	聲大
□	xɒ̃1	呼氣貌
□	kuən1	高～
□	tiən1	擲物丨今俗字「掟」
□	ɕyən1	灑也
□	uᴇ2	身壓也
□	ɕʏ2	萬能動詞
□	ɕiɯ2	西鄉、北鄉、城關
□	sɛ̃2	～跑
□	ləŋ2	聚力也；怒聲也
□	səŋ2	怯弱也無力也丨俗字「㞞」丨本字疑為「雄」
□	kʰa3	～人：妄言
□	tɕʰia3	陷阱也
□	ŋɛ̃3	舔舐
□	tsʊ̃3	花生殼尾
□	lɒ̃3	惡～
□	ŋɒ̃3	緩燃
□	tso5	踐也
□	pio5	竊視也
□	fᴇ5	呼痛
□	tʃuᴇ5	拉也
□	ʒuᴇ5	老人食貌唇齒相摩貌丨古城
□	mᵇɐʔ7	「諸問也丨同通語「甚麼」丨又音mᵇəʔ
□	lɐʔ7	在也，至也
□	təʔ7	事了也
㔣	lɪ1	又音
㔣	lɪ2	～撞
㗗	pɪ3	～斷
㗗	pĩ3	～斷丨鼻韻增生
㘱	tʰɛ̃1	
㚂	lɒ̃5	
㜺	tsɛ̃2	美也丨字從俗有疑
㜺	tsɐ̃2	西鄉、中部三鎮音丨美也
㝗	lɒ̃3	
㝩	kʰɒ̃1	
㞎	pa3	俗字丨人穢
㞗	tɕʰʏ1	男陰
㞗	tɕʰiɯ1	西鄉、北鄉、城關
㟭	mᵇiən2	
㤕	tʃʰuəʔ7	
㩍	tsʰɐʔ7	
㩳	səŋ3	～人
㫰	lɒ̃5	曝也
㯓	tʰɐʔ7	
㰤	xa1	氣出也
㱃	jiən3	同飲
㱟	pʰɿ1	～肉
㱟	pʰɿ3	又音
㳹	uɒ̃3	
㸺	ʃa1	
㹾	tɕio5	
㽘	kɒ̃3	
㽱	tɕʏ1	
㽱	tɕiɯ1	西鄉、北鄉、城關
㿷	tsʰo5	同「糙」
㿹	tʰɐʔ7	
䂎	tsʊ̃3	
䇞	kɛ̃3	
䋳	pɪ5	
䋽	pɒ̃1	鞋～
䍐	xɛ̃3	
䍐	xɐ̃3	西鄉、中部三鎮
䏧	la5	
䐇	mᵇiən3	～合
䖭	tɕỹ5	
䗔	xɯ2	
䙡	kʰuɪ5	
䛛	xuɪ2	
䜈	tʃʰo1	～話
䜈	tʃʰo5	又音
䞁	jĩ5	相較也
䞄	pio5	～喫
䟅	tsɛ̃5	相磓也
䟅	tsɐ̃5	西鄉、中部三鎮音丨相磓也
䟕	tʃʰa5	俗字「岔」
䟴	tʃən5	
䣩	ʃuən2	～酒
䤂	mᵇɪ2	
䤉	mᵇiəʔ7	
䤍	mᵇɪ2	
䦧	ɕiəʔ7	
䩍	ȵio3	面白曰～
䬬	jiɒ̃1	飽食也
䱗	tsʰɛ̃1	～條
䱗	tsʰɐ̃1	西鄉、中部三鎮
䳺	ŋɛ̃1	北鄉丨～鶉
䳺	ʔɛ̃1	～鶉
䳺	ʔɐ̃1	西鄉、中部三鎮丨～鶉
一	jiəʔ7	
丁	tiən1	
七	tsʰəʔ7	元疃音
七	tɕʰiəʔ7	
丅	ɕia5	
丈	tʃɒ̃3	老～
丈	tʃɒ̃5	～人
三	sɛ̃1	
三	sɐ̃1	西鄉、中部三鎮
三	ʃɐ̃5	
三	sɐ5	～爺丨前字陰平變調去聲
上	ʃɒ̃5	
下	xa3	劣也
下	ɕia3	又音丨～勁
下	xa5	白丨地～
下	ɕia5	
下	ʔɐ5	弱讀
下	ʔə5	弱讀丨又
不	pəʔ7	
丐	kᴇ5	
丑	tʃʰɯ3	地支
且	tɕʰi3	
丕	pʰɿ1	
丕	pʰɿ3	又音
世	ʃʅ5	
丘	tɕʰʏ1	
丘	tɕʰiɯ1	西鄉、北鄉、城關
丙	piən3	
丞	tʃʰən2	
丟	tʏ1	
丟	tiɯ1	西鄉、北鄉、城關
丨	ʃɐ̃5	
丫	ŋa1	北鄉
丫	ʔa1	～頭
丫	jia1	
中	tʃəŋ1	～間
中	ʃɐ̃5	
中	tʃəŋ5	～獎
丰	fəŋ1	
串	kʊ̃5	今與「穿」混
丸	ʊ̃2	
丹	tɛ̃1	
丹	tɐ̃1	西鄉、中部三鎮
主	tʃəʋ̍ᵝ3	
乃	lᴇ3	
久	tɕʏ3	
久	tɕiɯ3	西鄉、北鄉、城關
之	tʃʅ1	
乍	tʃa5	
乎	xəʋ̍ᵝ2	在～
乏	fɐʔ7	
乒	pʰiən1	新字
乓	pʰɒ̃1	新字
乖	kuᴇ1	
乘	tʃʰən2	～法
乘	ʃən5	馬車也
乙	jiəʔ7	
九	tɕʏ3	
九	tɕiɯ3	西鄉、北鄉、城關
乞	tɕʰiəʔ7	
也	ji3	又
也	jiᴇ3	文讀
乳	ʔa3	白讀
乳	ləʋ̍ᵝ3	又音
乳	ʒəʋ̍ᵝ3	文讀
