#漢字	音標	解釋
□	kia1	
□	ham5	
㐁	lɛ2	
㐁	tʰɛ3	
㑁	tut7	
㓾	tsʰɿ2	
㕸	lɛp8	
㖸	nak7	
㗘	pɔk8	
㗱	tɕip8	
㘔	sai1	
㘝	liap7	
㘝	ŋiap7	
㜮	lam1	
㝗	lɔŋ5	
㧡	kʰai1	
㧾	fut8	
㪐	lut7	
㬹	tsaŋ1	
㸐	nat7	
㸰	tʰɔ2	
㼓	liam5	
㼓	lim5	
㾊	tɕʰi1	
㿸	man5	
䀯	pʰu5	
䃗	pɔk7	
䉂	lui3	
䌈	tʰak7	
䗆	kɔn1	
䘆	hiɛn3	
䟓	taŋ1	
䟘	hɔŋ5	
䢍	faŋ5	
䯋	pʰat8	
一	it7	
丁	tɛn1	
七	tɕʰit7	
丈	tsʰɔŋ1	
丈	tsʰɔŋ5	
三	sam1	
上	sɔŋ1	
上	sɔŋ3	
上	sɔŋ5	
下	ha1	
下	ha3	
下	ha5	
不	put7	
不	put8	
丑	tsʰu3	
且	tɕʰia1	
且	tɕʰia3	
丕	pʰi1	
世	sɛ5	
世	sɿ5	
丘	hiu1	
丙	piaŋ3	
丞	sɿn2	
丟	tiu1	
並	pin5	
个	kɛ5	
中	tuŋ1	
中	tsuŋ1	
中	tsuŋ5	
串	tsʰɔn5	
丸	iɛn2	
丹	tan1	
主	tsu3	
久	kiu3	
之	tsɿ1	
乏	fat8	
乒	pʰin1	
乒	pʰin5	
乓	pʰɔŋ3	
乓	pʰɔŋ5	
乖	kuai1	
乘	sɿn2	
乘	sɿn5	
乙	iɛt7	
乜	mɛ5	
九	kiu3	
乞	kʰiɛ3	
乞	kʰiɛt7	
也	ia1	
也	ia5	
乩	ki1	
乳	i1	
乳	nɛn5	
乾	kɔn1	
乾	kʰiɛn2	
亂	lɔn5	
了	lɛ1	
了	lɛ3	
了	liau2	
了	liau3	
了	liɔ1	
了	liɔ3	
予	i2	
事	sɛ5	
事	sɿ5	
二	ŋi5	
亍	tsʰɔk7	
云	iun2	
互	fu5	
五	ŋ3	
井	tɕiaŋ3	
亞	a3	
亡	mɔŋ2	
亢	kʰɔŋ5	
交	kau1	
交	kʰau1	
亥	hɔi5	
亦	it8	
亨	hɛn1	
亨	kʰiɛn1	
享	hiɔŋ3	
京	kin1	
亭	tʰin2	
亮	laŋ5	
亮	liɔŋ5	
人	ŋin2	
亼	tɕʰip8	
仁	in2	
仃	taŋ2	
仃	taŋ1	
仄	tsɛt7	
仆	pʰuk7	
仇	su2	
今	kim1	
介	kiɛ5	
仍	in2	
仔	ɛ3	
仔	tsɿ3	
仕	sɿ5	
他	tʰa1	
付	fu5	
仙	ɕiɛn1	
代	tʰɔi5	
代	tʰai5	
令	liaŋ5	
令	lin5	
以	i1	
仰	ŋiɔŋ3	
仲	tsʰuŋ5	
件	kʰiɛn5	
任	im5	
份	fun5	
仿	fɔŋ3	
企	kʰi1	
伊	i1	
伊	i2	
伍	ŋ3	
伏	fuk8	
伏	pʰuk8	
伐	fat8	
伐	pʰat7	
休	hiu1	
伕	fu1	
伙	fɔ3	
伯	pak7	
伯	pak8	
估	ku1	
伴	pʰan1	
伴	pʰan5	
伶	laŋ2	
伸	tsʰun1	
伸	sɿn1	
伺	sɿ5	
伽	kʰia1	
佃	tʰiɛn5	
但	tʰan3	
但	tʰan5	
佇	tu5	
佇	tɕʰi1	
佈	pu5	
位	vi5	
低	tai1	
住	tsʰu5	
佐	tsɔ3	
佑	iu5	
何	hɔ2	
佗	tʰɔ2	
余	i2	
佛	fut8	
作	tsɔk7	
你	n2	
你	ŋ2	
你	ni2	
你	ŋi2	
佢	ki2	
佣	iuŋ5	
佩	pʰi5	
佰	pak7	
佳	ka1	
併	pin5	
使	sai1	
使	sɿ3	
來	lɔi2	
侈	tsʰɿ3	
例	li5	
侍	sɿ5	
侖	lun2	
供	kiuŋ1	
供	kiuŋ5	
依	i1	
侮	vu3	
侯	hɛu2	
侵	tɕʰim1	
便	pʰiɛn2	
便	pʰiɛn5	
係	hɛ5	
促	tsʰuk7	
俄	ŋɔ2	
俊	tsun5	
俐	li5	
俗	ɕiuk8	
俘	fu2	
俚	li1	
俚	li3	
保	pɔ3	
俞	i2	
俠	hiap8	
信	ɕin5	
修	ɕiu1	
俯	fu3	
俱	kʰi1	
俸	fuŋ5	
倈	lai5	
倉	tsʰɔŋ1	
個	kɛ5	
倍	pʰi5	
倒	tɔ3	
倒	tɔ5	
倔	kʰut7	
候	hɛu5	
倚	i3	
借	tɕia5	
倡	tsʰɔŋ5	
倦	kʰiɛn3	
倩	tɕʰiɛn5	
倪	ŋa2	
倫	lun2	
倭	vɔ1	
值	tsʰɿt8	
值	tat8	
假	ka3	
假	ka5	
偉	vi1	
偎	va3	
偏	pʰiɛn1	
偕	hai2	
做	tsɔ5	
停	tʰin2	
停	tʰin1	
健	kʰiɛn5	
側	tsɛt7	
偵	tsɿn1	
偶	ŋiɛu3	
偷	tʰɛu1	
僞	ŋui3	
傀	kui3	
傅	fu5	
傍	pɔŋ3	
傍	pʰɔŋ5	
傑	kʰiɛt8	
備	pʰi5	
傢	ka1	
傪	tsʰam5	
催	tsʰui1	
傲	ŋau5	
傳	tsʰɔn2	
傳	tsʰɔn5	
債	tsai5	
傷	sɔŋ1	
傾	kʰin1	
傾	tɕʰin3	
僅	kiun3	
僆	lɔn5	
像	tɕʰiɔŋ5	
像	ɕiɔŋ5	
僑	kʰiɛu2	
僕	pʰuk7	
僚	liau2	
僥	kiɛu3	
僧	sɛn1	
僮	tʰuŋ2	
價	ka5	
僻	pʰit7	
儀	ŋi2	
億	i5	
儆	kʰiaŋ5	
儉	kʰiam5	
儒	i2	
儕	sa2	
儘	tɕʰin3	
償	sɔŋ3	
優	iu1	
儲	tsʰu2	
允	iun3	
元	ŋiɛn2	
兄	hiuŋ1	
充	tsʰuŋ1	
兆	sɛu5	
先	ɕiɛn1	
先	ɕiɛn1	
先	ɕin1	
光	kɔŋ1	
克	kʰiɛt7	
兌	tui5	
免	miɛn1	
兒	i2	
兒	ŋa5	
兔	tʰu5	
兜	tɛu1	
入	ŋip8	
內	nui5	
全	tɕʰiɔn2	
兩	liɔŋ1	
兩	liɔŋ3	
八	pat7	
公	kuŋ1	
六	liuk7	
兮	hi1	
共	kʰiuŋ5	
兵	pin1	
其	kʰi2	
具	kʰi1	
具	kʰi3	
具	kʰi5	
典	tiɛn3	
兼	kiam1	
冀	ki5	
冇	pʰaŋ5	
冉	ŋiam1	
冊	tsʰak7	
再	tsai5	
冒	mɔ5	
冠	kɔn1	
冠	kɔn5	
冤	iɛn1	
冥	mɛn2	
冬	tuŋ1	
冰	pɛn1	
冶	ia1	
冷	laŋ1	
准	tsun3	
凋	tiau1	
凌	lin2	
凍	tuŋ5	
凜	lim3	
凝	nɛn2	
凝	kʰiɛn2	
凡	fam2	
凰	fɔŋ2	
凱	kʰɔi3	
凳	tɛn5	
凴	pɛn5	
凶	hiuŋ1	
凸	tʰiɛt8	
凸	tʰut8	
凹	au1	
凹	ŋiap7	
出	tsʰut7	
函	ham2	
刀	tɔ1	
刁	tiau1	
分	pun1	
分	fun1	
分	fun5	
切	tɕʰiɛt7	
刊	kʰan1	
刎	vun3	
刑	hin2	
划	fa2	
划	pʰa2	
刓	ŋan2	
列	lat8	
列	liɛt8	
初	tsʰu1	
刣	tʰai3	
判	pʰan5	
別	pʰɛt8	
別	pʰiɛt8	
刨	pʰau2	
利	li5	
刪	san1	
刮	kuat7	
到	tɔ5	
制	tsɿ5	
刷	sɔt7	
券	kʰiɛn3	
刺	tsʰɿ5	
刺	tɕʰiak7	
刺	tɕʰiuk7	
刻	kʰat7	
刻	kʰiɛt7	
剁	tɔk8	
剃	tʰi5	
則	tsɛt7	
削	ɕiɔk7	
剋	kʰiɛt7	
前	tɕʰiɛn2	
剛	kɔŋ1	
剝	pɔk7	
剪	tɕiɛn3	
副	fu5	
割	kɔt7	
創	tsʰɔŋ3	
剷	tsʰan3	
剿	tɕiau3	
劃	vak8	
劇	hiak7	
劇	kʰiak7	
劈	pʰiak7	
劉	liu2	
劊	kʰuai2	
劍	kiam5	
劑	tɕi5	
力	lit8	
功	kuŋ1	
加	ka1	
劣	lɔt7	
助	tsʰu5	
努	nu3	
劫	kiap7	
勃	pʰut8	
勇	iuŋ3	
勉	miɛn1	
勒	lɛp8	
勒	lɛt8	
動	tʰuŋ1	
動	tʰuŋ5	
勘	kʰam1	
務	vu5	
務	vu5	
勛	hiun1	
勝	sɿn5	
勞	lɔ2	
募	mɔk7	
勢	sɛ5	
勢	sɿ5	
勢	sɿ5	
勤	kʰiun2	
勵	li5	
勺	sɔk8	
勻	iun2	
勼	kiu5	
勾	kiɛu1	
勿	vut8	
包	pau1	
匆	tsʰuŋ1	
匈	hiuŋ1	
化	fa5	
北	pɛt7	
匙	sɿ3	
匙	tsʰɿ2	
匠	ɕiɔŋ5	
匡	kʰiɔŋ1	
匣	hap8	
匪	fi1	
匯	fi5	
匱	kʰuai2	
匹	pʰit7	
匾	piɛn3	
匿	nit8	
區	kʰi1	
區	ɔ1	
十	sɿp8	
千	tɕʰiɛn1	
升	sɿn1	
午	ŋ3	
卉	fi5	
半	pan5	
卑	pi1	
卒	tsut7	
卓	tsɔk7	
協	hiap8	
南	nam2	
博	pɔk7	
卜	puk7	
占	tɕiam5	
占	tsam5	
卡	kʰa2	
卡	kʰa3	
卦	kua5	
卯	mau1	
印	iaŋ5	
