#漢字	音標	解釋
□	pʰi1	租
□	pʰi1	削
□	ni1	nɐŋ²¹³～：蜻蜒
□	ŋi1	用刀磨制
□	pa1	～鼻：塌鼻子
□	na1	粘贴
□	tsa1	癞～：济疮
□	ka1	～紧：拥抱
□	kʰa1	la³¹～～：指人没有人样
□	ŋa1	甜～～：很甜
□	ha1	波罗蜜中的条状物
□	kua1	提拿
□	pe1	引诱小孩拉屎尿声
□	tse1	tsam³³～：蝉
□	nɔ1	搓：～衫裤
□	sɔ1	在地上爬
□	ȵiɔ1	～脚：搓脚
□	nai1	～肚：肚子不消化
□	lai1	血流血～：血流纵横的样子
□	ȵiai1	搓揉
□	pɐi1	～北：糟糕
□	fɐi1	～头：胆小鬼
□	fɐi1	勤吃懒～：好吃懒做
□	nɐi1	一～：一些
□	nɐi1	一～：一片(肉)
□	kɐi1	neŋ³³～：疤
□	lɔi1	裤头～：裤衩儿
□	lɔi1	沙～帽：礼帽
□	lɔi1	用畚箕捞鱼
□	pau1	烘～～：很热
□	ɬau1	冷～～：很冷
□	tsʰau1	牛用角顶人
□	liau1	十一～：六指儿
□	ȵiau1	手指弯曲，伸不直
□	ȵiau1	～水：从井里或河里取水
□	ȵiau1	花草枯萎
□	kʰiau1	弯曲：竹～～
□	mɐu1	脸～～：脸浮肿
□	nɐu1	泥～：泥鳅
□	ɬɐu1	狗甩干身上的水
□	ŋɐu1	生～～：鲜活的样子
□	ɐu1	金～：用草纸卷成的纸简，迷信者焚化供死者在阴间当钱用
□	ɐu1	～盖：簸箕
□	leu1	～菜：将菜从锅里铲出来
□	heu1	掀
□	tsam1	～tse1：蝉
□	tsʰam1	～胁：撑硬
□	tʰɐm1	品尝
□	nɐm1	～口：无牙抿嘴状
□	nɐm1	～吃：贪吃
□	ŋɐm1	～头：额头前突
□	ɐm1	～煲仔：药罐子
□	ɐm1	躲藏
□	ȵiɐm1	一～仔：一撮
□	kiɐm1	～钉：按图钉
□	tsʰem1	刺杀
□	kuan1	减去碗中饭
□	mɐn1	～巾：汗巾
□	men1	掀开
□	nen1	～倒脚：踮脚
□	len1	卷曲
□	len1	打翻～斗：翻跟斗
□	len1	～地：在地下翻滚
□	zen1	扑克牌的A
□	mɔn1	(对照发音人读音)～巾：汗巾
□	niaŋ1	植物黏液
□	kuaŋ1	冷～～：很冷
□	pʰɐŋ1	一～：一庹
□	tʰɐŋ1	磊：把碗～起来
□	tsɐŋ1	磨的上下两块分别叫上～、下～
□	tsɐŋ1	髻
□	kɐŋ1	～痂：结痂
□	neŋ1	果蒂
□	zeŋ1	～ɔŋ²¹³：一种蛙，叫声一声应，一声ɔŋ²¹³
□	noŋ1	蛤～：蝌蚪
□	koŋ1	凸
□	kʰoŋ1	量词，朵
□	li2	直～～：很直
□	si2	～散圈：橡皮筋
□	ɬu2	～话：回绝
□	ɬa2	～黑：黄昏
□	la2	发鸡～：夜盲
□	fe2	屙～fe⁵⁵：拉稀
□	se2	眼～来～去：眼睛左右看
□	lɔ2	～～：呼狗声
□	ɬai2	眼～～：昏昏欲睡
□	ŋuai2	～～：身体很差，精神很弱
□	zɐi2	
□	hɐi2	痒
□	tsiu2	～～：呼鸡声
□	sau2	差劲；次
□	kʰau2	刮皮
□	nɐu2	样子呆板
□	lɐu2	马～强：螳螂
□	ɬam2	傻
□	lem2	薄～：鲢鱼
□	pʰan2	攀爬
□	ŋan2	～粉：擀面
□	ŋan2	笔～：卷笔刀
□	tiaŋ2	“怎样”的合音
□	kʰuaŋ2	纱～：用于绕线的轮
□	nɐŋ2	～ni³³：蜻蜓
□	ŋɐŋ2	猪头～：腮腺炎
□	hɐŋ2	掹～：绷紧
□	tʰeŋ2	lɐu²¹³～：故意
□	kʰeŋ2	澄
□	ɔŋ2	zeŋ³³～：一种蛙，叫声一声应，一声～
□	tʰoŋ2	迁就
□	ma3	～黑：晚上
□	la3	～kʰa³³kʰa³³：指人没有人样
□	nia3	一～：一点儿
□	lia3	～舌头：伸舌头
□	le3	～蔗泼：吐甘蔗渣
□	tsʰai3	歪
□	kʰuai3	丢
□	tsʰiu3	打阿～：打喷嚏
□	pʰiau3	～杖子：以手做枪的一种游戏
□	miau3	“未有”的合音
□	tʰiau3	倒。～茶：倒茶
□	tɐu3	～头裤：掩腰裤
□	tsɐu3	“这时候”的合音
□	tsʰam3	盘；碟
□	tɐm3	蘸
□	tɐm3	脚～仔：腿肚子
□	tɐm3	榕木～：榕树的气根
□	nɐm3	舀
□	lem3	舔
□	lem3	掭笔
□	pɔm3	炸弹爆炸声
□	pʰan3	～下来：摔下来
□	an3	牛盼～须：络腮朝子
□	pʰɐn3	小孩跑来跑去吵闹
□	mɐn3	“乜人”的合音
□	mɐn3	扑克牌的 Q
□	tɐn3	积水
□	tsɐn3	悭～：节省
□	ɬen3	～仔：竹钉
□	len3	～心菜：包心菜
□	laŋ3	～口：漱口
□	pʰiaŋ3	较大的瓦器碎片
□	pɐŋ3	～口仔：兔唇
□	ɐŋ3	～脚：硌脚
□	neŋ3	鱼篓
□	moŋ3	～……～……：越……越……
□	oŋ3	～火：生火
□	pi5	白～：苍白
□	ni5	这
□	ȵi5	木～：树梢叶
□	ȵi5	狗～牙：狗龇牙
□	zi5	～气：(轮胎)慢慢漏气
□	la5	拨弄
□	fe5	屙fe²¹³～：拉秘
□	tse5	～～：呼鸭声
□	ɬɔ5	修理
□	lɔ5	喉咙～：喉咙不舒服
□	lɔ5	～柚：柚子
□	hɔ5	害羞
□	ȵiɔ5	～～：呼猪声
□	tsai5	程度副闻：多～，很多
□	sai5	炫耀
□	kai5	～死：拼命
□	ȵiai5	啃、嚼
□	tɔi5	～命：拼命满足要求
□	ɬau5	冇ŋa⁵⁵冇～：无聊
□	ŋau5	冇～冇ɬau⁵⁵：无聊
□	tsʰɐu5	和；跟；给；向
□	kʰeu5	刻⁼～：抬杠
□	lou5	～水：用两个碗互倒以便快速把热水弄凉
□	hou5	白颈～：眼镇蛇
□	tɐm5	～百银：差不多一百两很子
□	tɐm5	耳～：耳垂
□	nɐm5	～水：水田积水
□	tsʰɐm5	～草：除草
□	lem5	瓣
□	tsʰem5	～心虫：吃秧苗的虫
□	hɔm5	～～：狗叫声
□	pʰan5	
□	nɐn5	“那阵”的合音
□	kɐn5	冰冷
□	hɐn5	累
□	kuɐn5	骗
□	pen5	东～：东边
□	len5	lɐu⁵⁵～：三番两次
□	mɔn5	舌头～：舌苔
□	pʰaŋ5	谷～：秕子
□	pʰaŋ5	鸭～：小鸭子
□	taŋ5	～地：看风水
□	miaŋ5	遮盖
□	mɐŋ5	量词，截。断～砖：断砖
□	nɐŋ5	～屎：用力大便
□	lɐŋ5	狗相～：狗交配
□	kʰɐŋ5	lɐu³³～：篦子
□	kʰɐŋ5	厉害
□	kʰuɐŋ5	～倒：绊倒
□	teŋ5	地方
□	neŋ5	“那样”的合音
□	tseŋ5	“这样”的合音
□	pʰoŋ5	发胀
□	tʰoŋ5	～仔：棍子
□	noŋ5	钻人
□	koŋ5	～脓：溃脓
□	tap7a	一～屋：一座房屋
□	nap7a	铁～：码钉
□	tsʰap7a	撮箕(装垃圾用)
□	tsʰap7a	～菌：野生磨菇
□	kap7a	脱～：脱臼
□	ɬep7a	～牙：塞牙
□	nat7a	白～：白癜风
□	ɬat7a	ŋat⁵～：小气
□	lat7a	镬～：锅底灰
□	ŋat7a	子ɬat²¹⁴：小气
□	tsʰuat7a	男阴
□	tset7a	～旮旯：挠胳肢窝
□	ket7a	～花：摘花
□	liak7a	用刀刨木使圆滑
□	pɔk7a	堤坝
□	nɔk7a	吸气
□	ɬɔk7a	散散～～：零零散散
□	tiɔk7a	剁
□	tsʰiɔk7a	口～：口里没味
□	tɐp7b	重～～：很重
□	tʰɐp7b	擦水
□	nɐp7b	～口：闭嘴
□	ɬɐp7b	zem²¹³～骨：肋骨
□	ɬɐp7b	～碎：琐碎
□	lɐp7b	套
□	lɐp7b	～～乱乱：杂乱
□	zɐp7b	静～～：很静
□	ŋɐp7b	点头
□	ŋɐp7b	鱼上钩
□	tiɐp7b	猪脚～：猪脚趾甲
□	niɐp7b	瘪：车胎～
□	niɐp7b	撮取
□	nit7b	～～仔：一点点
□	pɐt7b	撮取
□	wɐt7b	熏
□	wɐt7b	青～～：很青
□	wɐt7b	～路：绕路
□	tʰɐt7b	阻挡
□	tʰɐt7b	～下去：滑下去
□	ɬɐt7b	用手卡住脖子
□	lɐt7b	脚～头：膝盖
□	tsɐt7b	擦
□	pʰiɐt7b	打水～：打水漂儿
□	kiɐt7b	粪箕～：指小孩天折。在当地，小孩夭折后，装在粪箕里，用扁担一头扛着去埋
□	ŋiɐt7b	～牙：磨牙
□	tʰuɐt7b	矮～～：很矮
□	tɔt7b	肥～～：很胖
□	sɔt7b	唆使
□	pɐk7b	杯⁼～：槽糕
□	pʰɐk7b	～门仔：简易门
□	mɐk7b	玄孙
□	mɐk7b	大头～：头大的人
□	fɐk7b	树枝反弹打人
□	nɐk7b	用指甲格
□	nɐk7b	白～～：很白
□	ɬɐk7b	一～肩头：一边肩膀
□	lɐk7b	瘦～～：很瘦
□	kʰɐk7b	～kʰeu⁵⁵：抬杠
□	kʰɐk7b	打紧～：打死结
□	tʰek7b	笔画名称：挑
□	kʰek7b	挑；拨
□	iɔk7b	打～：打嗝
□	pok7b	金～：柚子
□	tʰok7b	手tsɐn³³～：胳膊肘儿
□	nok7b	搓揉
□	lok7b	鸡窝
□	kok7b	～印：盖印
□	kok7b	抓住
㒓	tʰat7a	赖账
㞓	hɐi1	女阴
㞘	tok7b	底：镬～
㩄	ɬai1	浪费
㩒	kiɐm5	以手按物
㬹	tsɐŋ1	脚后跟
㷮	tsau1	干燥
㸺	sa1	～牛：黄牛
䆟	kʰɐp7b	盖住
䐺	tʰɐm5	哄；骗
䘆	hen5	红～：泥鳅
一	zɐt7b	
一	ɐt7b	
丁	teŋ1	
七	tsʰɐt7b	
万	man5	
万	wan5	
丈	tsiaŋ5	
三	ɬam1	
上	siaŋ5	～面
下	ha5	
不	pɐt7b	
与	zi3	
丐	kʰai5	
丑	tsʰɐu3	
專	tsen1	
且	tsʰe3	
世	si5	
丘	hɐu1	
丙	peŋ3	
業	ȵiep7a	
叢	tsʰoŋ2	
東	toŋ1	
絲	ɬi1	
丞	tsʰeŋ2	
丟	teu1	
兩	liaŋ3	
嚴	ȵiem2	
並	pʰeŋ5	
喪	ɬaŋ1	
个	kɔ5	
中	toŋ1	～间
中	tsoŋ1	～学
丰	foŋ1	
串	tsʰen5	
臨	lɐm2	
丸	zen2	
丹	tan1	
爲	wɐi2	
主	tsi3	
丽	li5	
舉	ki3	
乃	nai3	
久	kiau3	
義	ȵi5	对照发音人读音
義	zi5	
烏	wu1	
乎	fu1	
乏	fat7a	
樂	lɔk7a	娱～
樂	ŋɔk7a	音～
喬	kʰeu2	
乖	kuai1	
乘	tsʰeŋ2	
乙	zet7a	
乜	mɐt7b	什么
九	kiau3	
乞	hɐt7b	
也	za3	对照发音人读音
也	ze3	
習	tsap7a	
習	tsʰiɐp7b	
鄉	hiaŋ1	
書	si1	
買	mai3	
亂	len5	
乳	ȵiɔi3	
乾	kʰen2	
了	liau3	时态助词
了	leu3	
爭	tsɐŋ1	
事	ɬi5	
二	ɨ5	
于	zi2	
虧	kʰuɐi1	
雲	wɐn2	
互	wu5	
互	ŋu5	对照发音人读音
五	wu3	
井	tseŋ3	
