#漢字	音標	解釋
□	pʰi1	(衣物)摊开晾晒
□	ti6	～时仔:什么时候
□	ti6	家～:自己
□	tʰi3	撕
□	li2	帘子
□	tsi1	～□bai44:女阴
□	dzi6	按
□	kʰi6	西瓜不沙、发柴的口感
□	pu6	孵小鸡
□	tu1	柴垛，量词
□	lu2	耙
□	lu5	蹭
□	su1	量词，(一)套(服装)
□	ku6	耳空～仔:耳挖子
□	pʰa1	卵～:男阴
□	ta1	干
□	la2	～仔:一种青壳贝类
□	la2	～□gia13:蜘蛛
□	la2	着～仔:得了白喉
□	tsa1	～夫:男人
□	ka1	～蚤:跳蚤
□	ha2	筪～:笋壳儿
□	tsʰia2	勺子
□	sia5	～母:做事很有拼劲的女性
□	kia1	～背:后背肌肉僵硬
□	ɡia2	～蚣:蜈蚣
□	hia1	瓢
□	ia6	撒，扬
□	lua1	树～:树枝
□	ua6	跨，迈过
□	pʰe3	喙～:脸颊
□	te5	块
□	tʰe1	斜靠
□	le3	娘～:妈妈(背称)
□	tse6	多
□	tsʰe1	刺～仔:黄鼠狼
□	tsʰe6	澄清
□	tsʰe6	囤积的货物，未清的帐目
□	ke6	低
□	e2	的
□	e3	后～仔:牛轭
□	kʰε2	哽，噎
□	ɡε6	是～:勤快
□	hε2	～ku44:哮喘患者直不起背的样子
□	puε3	拨
□	buε1	阿～:妈妈(面称，老)
□	tuε5	跟随
□	tsʰuε6	寻找
□	kuε1	砖仔～:碎砖
□	kuε6	掭笔
□	kuε6	～筋:筋骨扭伤
□	uε3	剜，挖
□	uε3	用刀子攮
□	pʰo1	檨仔～:桑葚
□	tʰo2	tʰit31～:玩儿
□	lo2	～水:洪水
□	ko1	□tʰai53～:麻风
□	ko2	溪～:一种河鱼，个头不大，灵活好动
□	tsʰio1	～鸡:未阉过的鸡
□	pɔ2	丝瓜瓤
□	pɔ2	衣服下摆
□	bɔ2	皮肤上起的包
□	bɔ3	妻子
□	tɔ2	～动:地震
□	kɔ3	桄
□	hɔ2	捞起沥干
□	bai1	□tsĩ44～:女阴
□	tai2	埋
□	tai2	家禽身上的小虫
□	tʰai3	～□ko44:麻风
□	tsai3	目～:眼泪
□	pʰau1	□pʰin44～:薜荔
□	tau5	下～:中午
□	tʰau2	～□kioŋ44仔:羹匙
□	lau5	落下
□	lau5	～霜风:冬天里的北风
□	kau3	～诈:说话不实在
□	kʰau1	刨
□	liau1	以舌取物
□	tsiau2	全，都
□	dziau3	爪子;挠
□	dziau5	挠
□	siau2	精液
□	siau3	疯
□	kiau3	赌博
□	kiau6	撬
□	kʰiau1	弯曲，上翘
□	ɡiau3	～牙:爪牙
□	liu2	鱼～:泥鳅
□	tsiu1	乌～寒:阴冷
□	tsiu1	目～:眼睛
□	tsʰiu5	□hat31～:打喷嚏
□	siu6	窝
□	kʰiu1	生～:急性肾病
□	kʰiu2	卷起
□	sui1	毛～仔:刘海
□	kui1	整，～年:整年
□	kui1	鸡嗉子
□	hui2	瓷器，陶瓷
□	tʰĩ6	擎
□	nĩ2	～檐口:房檐
□	tsĩ1	柴～仔:楔子;塞进去
□	tsĩ3	～姜:嫩姜
□	kĩ2	边缘
□	kʰĩ2	蜈～:水蛭
□	pʰã5	空心，不结实，质量差
□	mã3	奶奶
□	nã2	～喉仔:喉咙
□	kʰã1	钵
□	hã5	吓唬
□	pʰiã1	骹～:后背
□	tʰiã5	疼
□	niã3	骹□pʰiã22:脊梁骨
□	tsiã3	～水:淡水
□	siã6	～仔:小竹筐
□	kiã2	器物上凸起的厚边
□	nuã6	口水
□	tsuã6	用工具喷水
□	tsuã6	塍～:鳝鱼
□	kuã1	茅草的一种
□	kuã6	拎、提
□	mɛ̃1	～仔:羊
□	tɛ̃6	掐
□	tʰɛ̃2	托，手承物
□	nɛ̃1	乳房
□	tsʰɛ̃2	钹
□	ɛ̃5	～后日:大后天
□	mõ1	茅草的总称
□	niãu1	猫
□	tsʰiũ1	扇扇子
□	kiũ1	山～仔:野山羊
□	iũ3	舀
□	tsʰũi1	骹～:肛门
□	hũi1	乌～:五步蛇
□	hũi2	～仔:鸡罩
□	ũi6	日～:日晕
□	lim1	喝
□	ɡim2	～仔:台阶
□	ɡim6	～仔:屋檐下
□	lam6	～锤:大铁锤
□	kam3	～仔:竹器，网眼密实，可用来晒物或装粉末
□	kʰam1	～嗽:咳嗽
□	kʰam3	胸～仔:胸脯
□	kʰam5	盖子
□	ham5	浮肿，胀
□	am3	～尾:最后一个到的
□	tiam1	案板
□	liam6	瓣，量词
□	siam5	渗水
□	lom3	～仔塍:烂泥田，可用来泡麻杆
□	pʰin1	～□pʰau44:薜荔
□	lin3	你们
□	tsʰin5	秋～:凉快
□	kin6	鸡～:鸡砂囊
□	hin2	头晕
□	in1	他们
□	pun2	吹
□	pʰun1	泔水
□	pʰun5	喷
□	tʰun6	填
□	lun3	碾(米)
□	lun3	蚝～仔:半干的牡蛎
□	tsʰun6	剩
□	hun6	～衫:衬衫
□	pʰan3	摘(果子)，拔(毛)
□	tan2	～雷:打雷
□	tan6	户～:门槛
□	lan1	趼
□	lan2	咱们
□	tsan1	大～齿:槽牙
□	tsan5	层
□	san3	瘦
□	kan3	婢女
□	lian1	卷状物:如刨花
□	suan6	□lak31～:手摇钻
□	ɡuan3	我们
□	liŋ1	乳汁
□	tsiŋ3	～头仔:手指
□	tsʰiŋ6	穿
□	kʰiŋ2	～仔:乌桕
□	taŋ6	小罐
□	laŋ2	胳～下:腋下
□	laŋ3	鱼～仔:鱼篓
□	tsaŋ2	量词，棵
□	kaŋ5	石～:棘胸蛙
□	ɡaŋ6	发愣，呆
□	tsʰiaŋ1	～卷:煤油灯管
□	kiaŋ1	海碗
□	kʰiaŋ5	女子强势、能干
□	koŋ3	圆柱形容器
□	sioŋ1	茫～仔:传说中使人迷失方向而走失的云雾
□	kioŋ1	□tʰau13～仔:羹匙
□	m2	花～:蓓蕾
□	sŋ2	笼～:蒸笼
□	pi1	牛～:牛虻
□	pʰiʔ7	交合
□	tsiʔ7	折叠
□	tsʰiʔ8	螃蟹
□	tʰuʔ7	剔牙
□	tʰuʔ7	撑
□	baʔ7	肉
□	laʔ8	很，非常
□	dzaʔ8	～日:避光的地方
□	saʔ7	垃～:垃圾
□	saʔ8	白灼
□	kʰaʔ7	更
□	kʰaʔ7	鱼篓
□	pʰiaʔ8	出～:出麻疹
□	liaʔ8	筊～:篾制容器，底方，口圆
□	iaʔ8	尾～仔:蝴蝶
□	tʰuaʔ7	～窗:斗鸡眼
□	luaʔ7	～仔:小瀑布
□	luaʔ7	～虫仔:毛毛虫
□	tsuaʔ8	□ka44～:蟑螂
□	tsʰuaʔ7	拔
□	tsʰuaʔ7	～屎星:流星
□	tsʰuaʔ7	用力拔掉
□	suaʔ7	结束
□	teʔ7	压
□	tʰeʔ8	拿
□	tseʔ7	用干布吸干
□	seʔ7	～仔:小米
□	seʔ7	塞
□	kʰeʔ7	挤
□	kʰeʔ7	匣子
□	kʰeʔ7	榨(油、汁等)
□	kʰeʔ7	合眼
□	pεʔ7	～颔:打哈欠
□	pεʔ7	爬
□	pεʔ7	赤～～:形容女子泼辣
□	εʔ8	窄
□	buεʔ7	要
□	kuεʔ7	鐾(刀)
□	uεʔ7	掘
□	koʔ7	又，再
□	tsioʔ7	棉～:棉花胎
□	kʰioʔ7	捡，拾
□	kuaiʔ7	～仔:蕨类
□	pauʔ7	～牙:龅牙
□	pʰauʔ7	鼓鼓的样子
□	bauʔ8	包圆儿
□	kiuʔ7	收缩
□	sĩʔ7	～□nãʔ31:闪电
□	nãʔ7	□sĩʔ31～:闪电
□	hɛ̃ʔ7	歇
□	hãuʔ8	芋头发硬的口感
□	hip7	闷
□	sap7	～仔雨:毛毛雨
□	op7	塍～仔:青蛙
□	pit7	裂
□	tʰit7	～□tʰo13:玩儿
□	tsit7	这
□	kʰit8	楔子
□	hit7	那，远指代词
□	tʰut8	～肠:疝气
□	lut7	脱落
□	sut7	锯～:木屑
□	sut7	抽打
□	sat7	～鼻:囔鼻儿
□	kat7	塗～:土坯
□	hat7	～□tsʰiu21:打喷嚏
□	pʰiat7	～仔:小碟
□	iat8	招手
□	puat7	梨仔～:番石榴
□	lik8	捋袖子
□	tsʰik8	捞(饭)
□	lak7	～□suan22:手摇钻
□	tsʰak8	扎
□	sak7	推，搡
□	hak8	屎～:厕所
□	siak7	摔
□	pʰok7	鱼～仔:鱼鳔
□	lok8	漱口
□	tsok7	撮
□	kʰok8	菜～心:芥菜茎膨起的部分
一	tsit8	～双
一	it7	第～
丁	tiŋ1	
七	tsʰit7	
万	ban6	
丈	tiũ6	姑～
丈	tŋ6	度量衡
三	sã1	～千
三	sam1	～八
上	tsiõ6	1，～山
上	tsʰiõ6	2，～水:从水井里打水
下	kε6	3，低
下	hε6	2，放
下	ε6	1，～骹:下面
丑	tʰiũ3	天干;丑角
專	tsuan1	
且	tsʰiã3	
丕	pʰuε1	
世	si5	
丘	kʰu1	平地的田
丙	piã3	
業	ɡiap8	
東	taŋ1	方向
東	toŋ1	人名
絲	si1	
丞	siŋ2	
兩	nõ6	1，～双
兩	niũ3	2，度量衡
嚴	ɡiam2	
喪	soŋ3	婚丧
喪	soŋ6	～失
个	ko5	
中	tioŋ1	～秋
中	tioŋ5	～状元
丰	hoŋ1	
串	tsʰuan5	
臨	lim2	
丸	uan2	
丹	tan1	
爲	ui2	作为
爲	ui6	为什么
主	tsu3	
丽	le6	
舉	ki3	
久	ku3	
義	ɡi6	
之	tsi1	～前:先前
烏	ɔ1	
乏	huat8	
樂	ɡak8	音～
樂	lok8	快～
乖	kuai1	
乘	siŋ6	
乙	it7	
九	kau3	
乞	kʰit7	
也	ia3	
習	sip8	
鄉	hiũ1	～下
鄉	hiaŋ1	
書	si1	2，秘～
書	su1	1，～法
買	be3	
亂	luan6	
乾	kʰian2	
了	liau3	完，结束
爭	tsɛ̃1	
爭	tsiŋ1	
事	su6	
二	dzi6	
虧	kʰui1	
雲	hun2	
互	hɔ6	
五	ɡɔ6	
井	tsɛ̃3	
亞	a1	
亡	boŋ2	
交	kau1	
亥	hai6	
產	san3	
畝	bɔ3	
享	hiaŋ3	
京	kiã1	
亭	tiŋ2	
亮	liaŋ6	
親	tsʰin1	1，～家
親	tsʰiŋ1	2，～家
人	dzin2	
人	laŋ2	
仁	dzin2	
仇	siu2	
今	kin1	
介	kai5	
仑	lun2	山～仔:小山包
倉	tsʰŋ1	
仕	su6	
他	tʰã1	其～
付	hu5	
仙	sian1	
代	tai6	
令	liŋ6	
以	i3	
儀	ɡi2	
仲	tioŋ6	杜～
件	kiã6	
價	kε5	
任	dzim6	姓;责～
份	hun6	
仿	hoŋ3	
企	tʰi3	～业
伍	ŋõ3	
伏	hok8	
伐	huat8	
休	hiu1	
衆	lioŋ5	
優	iu1	
伙	huε3	
會	kuε5	～计
會	huε6	开～
傘	suã5	
偉	ui3	
傳	tuan6	传记
傳	tʰuan2	
傷	siaŋ1	
倫	lun2	
伯	pεʔ7	
估	kɔ3	
伴	pʰuã6	
伶	liŋ2	
伸	sin1	
伸	tsʰun1	
伺	sai6	服～:照顾
