#漢字	音標	解釋
□	pia1	敷： ～标语
□	mia1	最小的： ～～子
□	lai1	脏： ～稀
□	pʰia2	象声词
□	pia3	扁， 不圆
□	pʰia3	～脚～胯
□	tʰia3	耷拉： ～起耳朶
□	pʰia5	劈： ～你一个耳光
□	tʰən5	～穷： 攀比
一	i2	
丁	tin1	
七	tɕʰi2	
万	uan5	
丈	tʂaŋ5	
三	san1	
上	ʂaŋ5	～面
下	ɕia55=	～面
不	pu2	
与	y3	
丐	kai5	乞～
丑	tʂʰəu3	～时
專	tʂuan1	
且	tsʰie3	
且	tɕʰie3	又音
丕	pʰei1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
業	ɲie2	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʂʰən2	
丟	tiəu1	
兩	liaŋ3	～个
兩	liaŋ3	斤～
嚴	ɲiɛn2-	
並	pin5	
喪	saŋ1	婚～
喪	saŋ5	～失
丫	ia1	～头
中	tʂoŋ1	
中	tʂoŋ5	射～
丰	fəŋ1	
串	tʂʰuan5	
臨	lin2	
丸	yɛn2	～子
丹	tan1	
爲	uei2	作～
爲	uei55	～什么
主	tʂu3	
丽	li5	
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
么	iau1	～二三
義	ɲi5	
之	tʂʅ1	
烏	u1	
乍	tʂa2	
乎	xu1	
乏	fa2	
樂	luo2	快～
樂	yo2	音～
喬	tɕʰiau2	
乖	kuai1	
乘	tʂʰən2	～车
乙	i2	
九	tɕiəu3	
乞	tɕʰi2	
也	ie3	
習	ɕi2	
鄉	ɕiaŋ1	
書	ʂu1	
買	mai3	
亂	lan5	
亂	luan5	
乳	ʐu3	
乾	tɕʰiɛn2	～坤
了	liau3	～结
予	y2	
爭	tsən1	
事	ʂʅ5	
二	ɚ5	
于	y2	
亏	kʰuei1	
云	yn2	
互	xu5	
五	u3	
井	tɕin3	
亞	ia5	～州
些	sie1	
些	ɕie1	又音
亡	uaŋ2	
亢	kʰaŋ5	
交	tɕiau1	
亥	xai5	
亦	i2	
產	tʂʰan3	
亨	xən1	
畝	moŋ3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ5	
親	tɕʰin1	
親	tɕʰin5	～家
人	ʐən2	
億	i5	
什	ʂʅ2	
仁	ʐən2	
仅	tɕin5	
仆	pʰu2	～人
仆	pʰu2	～倒
仇	tʂʰəu2	
仇	tɕʰiəu2	姓
今	tɕin1	
介	kai5-	
介	tɕiɛi5=	
仍	ʐən2	
从	tsʰoŋ2	～容
从	tsʰoŋ2	跟～
倉	tsʰaŋ1	
仕	ʂʅ5	
他	tʰa2	
仗	tʂaŋ5	
付	fu5	
仙	ɕiɛn1	
代	tai5	
令	lin5	
以	i3	
儀	ɲi2	
仰	ɲiaŋ3	
仲	tʂoŋ5	
件	tɕiɛn5	
价	tɕia5	
任	ʐən2	姓
任	ʐən5	～何，～务
份	fən1	股～
份	fən5	一～， 两～
仿	faŋ3	～效
