#漢字	音標	解釋
□	ɛ0	应答声
一	i7	
丁	tian1	
七	tɕʰi7	
万	uan6	
丈	tʂɞ̞ᵑ5	
三	san1	
上	ʂɞ̞ᵑ6	
下	xa6	1，底～
下	ɕia6	～降
与	ʯ3	
丐	kai5	
丑	tʂʰəu̜3	
專	tʂʯɛ̃1	
且	tɕʰiɛ3	
丕	pʰi1	
世	ʂʅ6	
丘	tɕʰiəu̜1	
丙	pin3	
業	iæ7	
叢	tsʰɘŋ2	
東	tɘŋ1	
絲	sɿ1	
丞	tʂʰən2	
丟	tiəu̜1	
兩	ȵiɞ̞ᵑ3	
嚴	ieⁿ2	
喪	sɞ̞ᵑ1	奔～
喪	sɞ̞ᵑ5	～失
个	kɯ5	
丫	ia1	
中	tʂɘŋ1	
中	tʂɘŋ5	
丰	fɘŋ1	
串	tʂʰʯɛ̃5	
臨	ȵin2	
丸	uɛⁿ2	
丹	tan1	
爲	uei2	
爲	uei6	
主	tʂʯ3	
丽	ȵi6	
舉	tʂʯ3	
乃	lai3	
久	tɕiəu̜3	
麼	mɔ3	
義	i6	
之	tʂʅ1	
烏	u1	
乍	tsa5	
乎	xu1	
樂	lɯ7	快～
樂	iɯ7	音～
喬	tɕʰiɔ2	
乖	kuai1	
乘	tʂʰən2	
乙	i7	
九	tɕiəu̜3	
乞	tɕʰi7	
也	ia3	
習	ɕi7	
鄉	ɕiɞ̞ᵑ1	
書	ʂʯ1	
買	mai3	
亂	lɛ̃6	
乳	ʐʯ3	
乾	kɛ̃1	
乾	tɕʰieⁿ2	
了	ȵiɔ3	～结
爭	tsan1	
事	sɿ6	
二	ɭ̩6	
于	ʯ2	
虧	kʰuei1	
雲	ʯən2	
互	xu6	
五	u3	
井	tɕian3	
亞	ia5	
些	ɕia1	
亡	uɞ̞ᵑ2	
交	tɕiɔ1	
亥	xai6	
亦	i7	
產	tsʰan3	
亨	xən1	
享	ɕiɞ̞ᵑ3	
京	tɕin1	
亭	tʰin2	
亮	ȵiɞ̞ᵑ6	
親	tɕʰin5	～家
人	ʐən2	
什	ʂʅ2	
仁	ʐən2	
仄	tsæ7	
僅	tɕin3	
仇	tʂʰəu̜2	
仇	tɕʰiəu̜2	姓
今	tɕin1	
介	kai5	
从	tsʰɘŋ2	
