#漢字	音標	解釋
□	za6	遮挡
□	tæ3	拉,～起米
□	tæ3	～一个，哪一个
□	læ3	鱼篓。可拥在腰间，拾稻穗的时候也能用
□	zæ6	ɕieʔ4～：那里
□	kʰɔ1	箍，〜桶,桶〜
□	dzã6	争论
㪗	tʰɔ3	
㫰	lɔ̃6	
䖳	zo6	
䘼	ø̃3	
一	ieʔ7	
丁	tiŋ1	
七	tɕʰieʔ7	
万	vẽ6	〜岁,〜金油，〜年青
万	mai6	
丈	dʑiã6	〜夫
丈	dɔ̃6	一〜
三	sẽ1	
上	ʑiɔ̃6	
下	ho6	取下东西
下	ɦo6	
不	pəʔ7	
与	ɦy2	
丐	kæ5	
丑	tɕʰio3	〜陋
丑	tʰio3	
專	tɕỹ1	
且	tsʰɿ3	而～
丕	pʰi3	
世	sɿ5	
丘	kʰu1	一～塍
丘	tɕʰio1	
丙	piŋ3	
業	ȵieʔ8	
叢	zoŋ2	
東	toŋ1	
絲	sɿ1	
丞	ʑiŋ2	
丟	mio1	
兩	liã3	〜文
兩	lɔ̃3	
兩	lɔ̃6	
嚴	ȵĩ2	
並	piŋ5	～且，～排
喪	sɔ̃1	
喪	sɔ̃3	
个	ɡe0	语气词
个	kø5	一〜,〜体
丫	ia1	
中	toŋ1	正〜梁
中	tsoŋ5	〜状元
中	tsoŋ1	
丰	hoŋ1	
串	tɕʰioŋ5	
臨	liŋ2	
丸	ɦø2	
丹	tẽ1	牡〜、人～
爲	ɦy2	行～
爲	vai2	作〜
爲	ɦy2	
爲	ɦy6	坐～，～
主	tɕy3	
丽	li6	
舉	tɕy3	
乃	nẽ3	
久	tɕiau3	
義	ȵi6	
烏	u1	
乍	tsəʔ7	
乎	fu1	文
乎	vu6	在～
乏	vəʔ8	
樂	ŋɔ6	
樂	ləʔ8	
樂	ŋəʔ8	
喬	dʑio2	
乖	kuæ1	
乘	ʑiŋ2	
乙	ieʔ7	
九	kɔ3	
乞	tɕʰieʔ7	
也	ɦieʔ8	文
也	aʔ7	
習	zəʔ8	〜惯、学〜
鄉	ɕiã1	家〜,〜政府
鄉	ɕiɔ̃1	〜下
書	ɕy1	
買	mai3	
亂	lø6	
乳	ʑy6	
乾	dʑĩ2	
了	liɔ0	语气词
了	lio3	
爭	tsã1	
爭	dzã2	
事	zɿ6	～干
事	ɕieʔ7	做～
二	ȵĩ6	
于	ɦy2	
虧	kʰø1	
虧	kʰuai1	
雲	ɦioŋ2	〜南
雲	vaŋ2	
互	vu6	
五	ŋ̍6	
井	tsã3	天～，～〜有条
亞	o1	声调特殊
些	ɕi1	
亡	ɦɔ̃2	
交	kɔ1	
亥	ɦø6	辛〜
亦	ɦieʔ8	
產	tsʰẽ3	
亨	haŋ1	
畝	mɔ̃3	
享	ɕiɔ̃3	〜福
享	ɕiã3	文
京	tɕiŋ1	
亭	diŋ2	
亮	liɔ̃6	
親	tɕʰiŋ1	
人	ʑioŋ2	
億	i5	
什	zəʔ8	
仁	ʑioŋ2	
仄	tsəʔ7	
僅	dʑiŋ6	
仇	dʑio2	
今	tɕiŋ1	
介	kæ5	
仍	ʑiŋ6	
从	tsʰoŋ1	
从	dzoŋ2	
仑	laŋ2	
倉	tsʰɔ̃1	
仕	zɿ6	
他	tʰa1	
仗	tɕiɔ̃5	拍〜
付	fu5	
仙	ɕĩ1	
代	dø6	
令	liŋ6	
以	i5	
儀	ȵi6	
仰	ȵiã3	文
仰	ȵiɔ̃3	
仲	dzoŋ6	
件	dʑĩ6	零〜
價	ko5	
任	ȵiŋ6	姓
任	ʑioŋ6	
份	vaŋ6	
仿	hɔ̃3	
企	tsʰɿ3	
伊	i3	第三人称单数
伊	i1	
伍	ŋu3	队，行～
伏	bu6	孵
伏	hɔʔ8	
伐	vəʔ8	
休	ɕiau1	
伓	m̩6	不
衆	tsoŋ5	
優	iau1	
伙	fu3	～计
會	ɦø6	
會	kuai3	
傘	sẽ3	
偉	vai2	
傳	dʑỹ2	
傳	dʑỹ6	
伢	ɦia1	文
傷	ɕiã1	
倫	laŋ2	
僞	vai2	
伯	pa5	
估	ku1	文
估	kʰu1	
伴	bø6	
伶	liŋ2	
伸	ɕiŋ1	文
伸	tɕʰioŋ1	
伺	zɿ6	
似	zɿ6	
伽	ɡo2	
佃	dĩ6	
但	dẽ6	
佈	pu5	
位	ɦy6	牌～，
低	ti1	
住	dʑy6	文
住	dio6	
佐	tsu3	文
佐	tsu5	人名
佑	ɦiau6	
體	tʰi3	文，～育
體	tʰai3	身〜
佔	tɕĩ5	
何	ɡəʔ8	〜物
何	vu2	
佘	ʑi2	
余	ɦy2	
佛	vəʔ8	
作	tsəʔ7	
佣	dʑiã6	
佩	bai2	
佳	ko1	
使	sɿ3	
侄	dʑieʔ8	
侈	tsʰɿ5	
例	lieʔ8	
侍	zɿ6	
供	kɔ̃5	〜桌
供	tɕioŋ5	献～
供	tɕioŋ1	
依	i1	
俠	ɦieʔ8	
僥	tɕio1	
偵	tɕiŋ1	
側	tsʰəʔ7	
僑	dʑio2	
儂	noŋ2	
侮	vu6	
侯	ɦau2	
侵	tɕʰiŋ3	〜略
便	bi2	
便	bĩ6	
促	tsʰəʔ7	
俄	ŋu2	
俊	tɕioŋ5	
俏	tɕʰio5	
俗	ʑieʔ8	
俘	fu1	
保	pau3	〜长
保	ko1	
信	ɕiŋ5	
儼	ȵĩ2	
儉	dʑĩ6	
修	ɕio1	
俯	fu3	
俱	dʑy6	
俸	ɦoŋ6	
倍	bø6	
倒	tau3	
倒	tau5	
倔	tɕʰieʔ7	
倘	tʰɔ̃3	
候	ɦau6	
倚	ɦi2	
借	tɕi5	
倡	tɕʰiã5	
倦	dʑỹ6	
倪	ȵi2	
倭	u1	
債	tso5	还〜,〜主
債	tsa5	
值	dʑieʔ8	文
值	dieʔ8	
傾	tɕʰioŋ3	
假	ko3	
偏	pʰĩ1	
做	tsu5	文
做	tsau5	
停	diŋ2	
健	dʑĩ6	
偶	ŋau3	
偷	tʰɔ1	
償	ʑiã2	
傀	kʰuai3	
傅	fu5	
傍	bɔ̃2	
儲	dʑy2	
催	tsʰø1	
傲	ŋɔ6	
傻	sa1	
像	ʑiɔ̃6	
僧	saŋ1	
僵	tɕiã1	文
僵	tɕiɔ̃1	
僻	pʰieʔ7	
儒	ʑy6	
儡	lai3	
兒	ȵi2	～婿
兒	l̩2	
允	ioŋ3	〜许
元	ȵỹ2	
兄	ɕiã1	
充	tsʰoŋ1	
兆	dʑio6	
兇	ɕioŋ1	
先	ɕĩ1	〜生
先	sãi1	你〜去
光	kɔ̃1	
克	kʰəʔ7	
免	mi3	
兌	dø6	
兔	tʰu5	
兖	ioŋ3	
黨	tɔ̃3	
兜	tɔ1	
入	ʑieʔ8	出〜,收〜
全	ʑỹ2	
八	pəʔ7	
公	koŋ1	
六	ləʔ8	
兮	ɕi1	
蘭	lẽ2	
共	ɡoŋ6	文
共	oŋ6	
共	dʑioŋ6	
關	kuẽ1	〜门，〜公,〜系，分水〜（浙闽交界处）
興	ɕiŋ1	
興	ɕiŋ5	
兵	piŋ1	
其	dzɿ2	
具	dʑy6	
典	tãi3	
養	iɔ̃3	
兼	tɕĩ1	
獸	ɕio5	
內	nai6	
岡	kɔ̃1	
冊	tsʰa5	
再	tsæ5	文
再	tsø5	
再	ioŋ3	
冒	mɔ̃6	感〜
寫	ɕi3	～字眼
軍	tɕioŋ1	
農	noŋ2	
冠	kø̃1	衣〜
冤	ỹ1	
冬	toŋ1	
馮	ɦoŋ2	
冰	piŋ1	
冲	tsʰoŋ1	
决	tɕieʔ7	
况	ɕiɔ̃5	
冷	lã3	
凍	toŋ5	
淨	ʑiŋ6	
準	tɕioŋ3	
凉	liɔ̃2	
凌	liŋ2	
減	kai3	
