#漢字	音標	解釋
一	jiɐt7	
丁	teŋ1	
七	tʰɐt7	
丄	ɕeŋ6	上山。
丈	ɕeŋ4	丈长。 丈天
丈	ɕeŋ6	
丈	ɕeŋ4	
丈	tɕeŋ4	
丈	tɕeŋ6	
三	ɬam1	
上	ɕeŋ6	上面。
下	ha2	底下。
与	y2	给与。
丐	kœ	
丑	tɕʰɐu4	
專	tɕyn1	
且	tʰe3	
丕	pʰi1	
世	ɕei	
丗	ɕei	
丘	jiɐu1	
丙	peŋ4	
業	jip9	
叢	ɬuŋ1	
東	tuŋ1	
絲	ɬi1	
丞	ɕeŋ2	
丠	jiɐu1	
丣	jiɐu4	
兩	leŋ6	几两几钱。 两个
兩	leŋ4	
兩	leŋ6	
嚴	ȵim2	
並	peŋ4	
喪	ɬɔŋ	丧失。
丩	kiu4	纠缠。 纠缠。
丩	kiu4	
丩	kɐu4	
丩	tiu4	
丩	tɐu4	
中	tɕuŋ1	当中。
串	tɕʰyn5	
臨	lɐm2	
丸	yn2	肉丸。
丹	tan1	
爲	uei2	作为。
主	tɕy3	
丼	teŋ3	
丽	lɐi6	
舉	ky3	
乃	nai2	
久	tɕɐu4	
義	ȵi6	
之	tɕi1	
烏	u1	
乎	u1	
乏	fat9	
樂	lɔk9	音乐。 音乐。
樂	lɔk9	
樂	ŋɔk9	
喬	kʰiu2	
乖	kʷai1	
乘	ɕeŋ2	
乘	ɕeŋ2	
乙	it7	
九	kɐu4	
乞	hɐt7	
也	ie2	也是。
習	ɬɐp9	
鄉	heŋ1	
書	ɕy1	
買	mai4	
亂	un6	
乳	ȵoi4	
乾	kin2	乾坤。
亂	un6	
了	liu4	了结。
事	ɕi6	
二	ȵi6	
于	y1	
亏	kʰʷei1	
云	vən2	
互	u2	
五	ŋ4	
井	teŋ3	
亖	ɬi6	
亞	a	
亞	a	
亡	mɔŋ2	
交	kao1	
亥	œ4	
亦	jiek9	
產	tɕʰan4	
亨	hɐŋ1	
享	heŋ3	
京	keŋ1	
亭	tʰeŋ2	
亮	leŋ	
亯	heŋ3	
親	tʰən1	
人	ȵən2	
億	jiek7	
什	ɬap9	什物。
仁	ȵən2	
仅	kən6	
今	kɐm1	
介	kai	
仍	ŋeŋ2	
从	ɬuŋ2	跟从。
倉	tʰɔŋ1	
仕	ɕi6	
他	tʰa1	
仗	tɕeŋ	
付	fu6	
仙	ɬin1	
