#漢字	音標	解釋
〇	lin2	
㑃	æ5	
㒼	mɵ2	
㓟	pʰiᶽ1	
㔶	kɵ3	
㔶	kɵ5	
㔷	ʏ1	
㖏	ȵiã	語氣詞，表示提醒
㖏	ȵiaʔ8	
㖸	ȵiã6	
㛴	næ6	
㢊	ɑˠ3	
㢼	piɪʔ7	
㥡	tsʰ(tʃʰ)ʮ(ʯ)5	
㦌	huəʔ7	
㧙	biɪʔ8	
㧦	ɕiɵ1	
㨟	ɡᴇ2	
㨪	huɑ̃ˠ5	
㩝	ɦæ2	
㩺	pʰiᶽ3	
㪗	tʰøʏ3	
㪥	tsuˠ1	
㪬	z(ʒ)oʔ8	
㫰	lɑ̃ˠ6	
㬟	fən1	
㬵	tɕiæ1	
㮶	s(ʃ)oʔ7	
㱟	pʰiᶽ1	
㶚	puˠ5	
㷈	əʔ7	
㷟	tʰᴇ1	
㸠	diæ6	
㹂	tɕʰi5	
㼈	lɜuᵝ2	
㼑	li6	
㼭	di6	
㽂	s(ʃ)əʔ7	
㽱	kæ3	
㽹	fᴇ5	
㾂	hᴇ1	
㾋	ɕʏ5	
㾘	kã3	
㾦	bᴇ2	
㾹	zɑˠ2	
㿭	tsʰɑˠʔ7	
㿯	taʔ7	
㿴	taʔ7	
䀫	kaʔ7	
䂻	zã6	
䃗	poʔ7	
䃰	tsʰaʔ7	
䄸	pʰoʔ7	
䆅	tsiᶽ5	
䈆	dɑˠ6	
䈰	sæ1	
䈳	daʔ8	
䉬	fiᶽ5	
䊓	z(ʒ)ʮ(ʯ)6	
䌟	pɑˠʔ7	
䌠	tɕʰi1	
䌥	iən3	
䏒	pʰi5	
䐇	min3	
䐇	min6	
䐈	ts(tʃ)əʔ7	
䐊	ɦuən6	
䐛	taʔ7	
䐥	oŋ3	
䐬	zæ2	
䐽	mɵ2	
䑆	ɦiã6	
䑵	mæ6	
䖆	ȵiã6	
䘟	tiæ5	
䛀	fᴇ5	
䛛	uᴇ5	
䛬	tiæ1	
䞁	i5	
䞋	tsʰən5	
䥛	tɕiəʔ7	
䩍	liæ6	
䫈	zən6	
䫌	pʰiᶽ3	
䫜	æ1	
䬵	ɡᴇ6	
䭂	iəʔ7	
䭤	tɕʰi3	
䰾	pɑˠ1	
䱀	ɑ̃ˠ1	
䱗	tsʰɵ1	
䲉	sɿ1	
䴉	ɦuᴇ2	
䴱	tʰɜuᵝ1	
䵑	ȵiən6	
䶕	buˠ2	
一	iəʔ7	
丁	tin1	
七	tsʰiɑˠ1	
七	tsʰiɪʔ7	
丈	z(ʒ)ɑˠ6	
丈	z(ʒ)ã6	
三	sɑˠ1	
三	sᴇ1	
上	z(ʒ)ã6	
上	zɑ̃ˠ6	
下	ɕiɑˠ3	
下	ɦuˠ6	
下	ɦiuˠ6	
不	pəʔ7	
不	piɪʔ7	
丏	mi6	
丐	kᴇ5	
丑	tsʰ(tʃʰ)øʏ3	
且	tsʰiᶽ3	
且	tsʰiɑˠ3	
丕	pʰᴇ1	
世	s(ʃ)ʮ(ʯ)5	
丘	tɕʰʏ1	
丙	pin3	
丞	z(ʒ)ən2	
丟	tøʏ1	
並	pin1	
並	bin6	
丫	iɑˠ1	
丫	uˠ1	
中	ts(tʃ)oŋ1	
中	ts(tʃ)oŋ5	
丰	foŋ1	
串	tsʰ(tʃʰ)ɵ5	
丸	ɦiɵ2	
丸	ɦuɵ2	
丹	tᴇ1	
主	ts(tʃ)ʮ(ʯ)3	
乃	nᴇ1	
乃	nᴇ6	
久	tɕʏ3	
之	ts(tʃ)ʮ(ʯ)1	
乍	zuˠ6	
乎	ɦɜuᵝ2	
乏	vaʔ8	
乒	pʰin1	
乓	pʰã1	
乖	kuɑˠ1	
乖	kuᴇ1	
乘	tsʰ(tʃʰ)ən5	訓讀，本字為“趁”
乘	z(ʒ)ən2	
乙	iəʔ7	
乜	mi6	
九	tɕʏ3	
乞	tɕʰiəʔ7	
也	ɦɑˠ2	
也	i1	
也	ɦaʔ8	
乩	tɕiᶽ1	
乳	z(ʒ)ʮ(ʯ)6	
乾	dʑi2	
乾	kɵ1	
亂	lɵ6	
了	liæ1	
了	liæ6	
予	ɦyᶽ2	
事	zɿ6	
二	ȵiᶽ6	
二	əl6	
于	yᶽ1	
云	ɦyən2	
互	ŋɜuᵝ6	
五	ɜuᵝ1	
五	ŋ6	
井	tsin3	
亙	kən5	
些	siᶽ1	
亞	iɑˠ1	
亞	uˠ1	
亞	iuˠ1	
亟	tɕiəʔ7	
亡	mɑ̃ˠ2	
亡	vɑ̃ˠ2	
亢	kʰɑ̃ˠ5	
交	kæ1	
交	tɕiæ1	
亥	ɦᴇ6	
亦	ɦiəʔ8	
亨	hã1	
亨	hən1	
享	ɕiã3	
京	tɕiən1	
亭	din2	
亮	liã6	
亳	boʔ8	
人	z(ʒ)ən2	
人	ȵiən2	
什	s(ʃ)əʔ7	
什	z(ʒ)əʔ8	
仁	z(ʒ)ən2	
仁	ȵiən2	
仂	ləʔ8	
仃	tin1	
仄	tsəʔ7	
仆	fʉᵝ5	
仇	z(ʒ)øʏ2	
仇	dʑʏ2	
今	tɕiən1	
介	kɑˠ5	
介	tɕiɑˠ5	
仍	z(ʒ)ən2	
仔	tsɿ3	
仕	zɿ6	
他	tʰɑˠ1	
仗	ts(tʃ)ã5	打～
仗	z(ʒ)ã6	炮～
付	fʉᵝ5	
仙	si1	
仞	z(ʒ)ən6	
仟	tsʰi1	
代	dᴇ6	
令	lin6	
以	iᶽ1	
仰	ȵiã3	
仲	z(ʒ)oŋ6	
仳	pʰiᶽ3	
仵	ɜuᵝ1	
仵	ŋ6	
件	dʑi6	
任	z(ʒ)ən2	
任	z(ʒ)ən6	
任	ȵiən2	
份	vən6	
仿	fɑ̃ˠ3	
企	tɕʰiᶽ3	
伉	kʰɑ̃ˠ5	
伊	iᶽ1	
伍	ɜuᵝ1	～子胥
伍	ŋ6	
伎	dʑiᶽ6	
伏	bʉᵝ6	
伏	voʔ8	
伐	vaʔ8	
休	ɕʏ1	
伕	fʉᵝ1	
伙	hɜuᵝ3	
伯	pɑˠʔ7	
伯	pəʔ7	
估	kɜuᵝ3	
伲	ȵiᶽ6	
伴	bɵ6	
伶	lin2	
伸	s(ʃ)ən1	
伺	zɿ2	
伺	zɿ6	
似	zɿ6	
伽	ɡɑˠ2	
佃	di2	
但	dᴇ6	
佇	z(ʒ)ʮ(ʯ)6	
佈	pʉᵝ5	
位	ɦuᴇ6	
低	tiᶽ1	
住	z(ʒ)ʮ(ʯ)6	
佐	tsɜuᵝ5	
佑	ɦʏ6	
佒	ɑ̃ˠ3	
佔	tsi5	
佔	ts(tʃ)ɵ1	
佔	ts(tʃ)ɵ5	
何	ɦɜuᵝ2	
佗	dɜuᵝ2	
佘	zuˠ2	
余	ɦyᶽ2	
佚	ɦiəʔ8	
佛	vəʔ8	
作	tsoʔ7	
佝	køʏ1	
佝	høʏ1	
佞	ȵiən6	
佟	doŋ2	
你	niᶽ1	
佣	ɦioŋ6	
佩	bᴇ6	
佬	læ6	
佮	kəʔ7	
佯	ɦiã2	
佰	pɑˠʔ7	
佳	tɕiɑˠ1	
併	pin3	
佶	tɕiəʔ7	
佻	tʰiæ1	
佼	tɕiæ1	
使	sɿ3	
侃	kʰɵ5	
侄	z(ʒ)əʔ8	
來	lᴇ2	
侈	tsʰ(tʃʰ)ʮ(ʯ)3	
侉	kʰuˠ5	
例	liᶽ6	
侍	zɿ6	
侏	ts(tʃ)ʮ(ʯ)1	
侖	lən2	
侗	doŋ2	
供	koŋ1	
供	koŋ5	
供	tɕioŋ5	
依	iᶽ1	
侮	vʉᵝ2	
侯	ɦøʏ2	
侵	tsʰin1	
侶	liᶽ6	
侷	dʑioʔ8	
便	bi2	
便	bi6	
係	ɕiᶽ5	
促	tsʰoʔ7	
俄	ŋɜuᵝ2	
俅	dʑʏ2	
俊	tsin5	
俎	tsɜuᵝ3	
俏	tsʰiæ5	
俐	liᶽ6	
俑	ɦioŋ6	
俗	zoʔ8	
俘	fʉᵝ1	
俘	fʉᵝ3	
俚	liᶽ1	
俚	liᶽ6	
保	pæ3	
俞	ɦyᶽ2	
俟	zɿ6	
俠	ɦiɑˠʔ8	
信	sin5	
俬	sɿ1	
修	søʏ1	
俯	fʉᵝ3	
俱	dʑyᶽ6	
俸	foŋ5	
俺	ᴇ1	
俾	pᴇ3	
倀	tsʰ(tʃʰ)ã1	
倆	liã6	
倉	tsʰɑ̃ˠ1	
個	kɜuᵝ5	
個	kəʔ7	
倌	kuɵ1	
倍	bᴇ6	
倏	s(ʃ)oʔ7	
們	mən2	
倒	tæ3	
倒	tæ5	
倓	tʰᴇ3	
倔	dʑyəʔ8	
倖	ɦiən6	
倘	tʰɑ̃ˠ3	
候	ɦøʏ6	
候	ɦʏ6	
倚	iᶽ5	
倜	ts(tʃ)øʏ1	
倜	tʰiɪʔ7	
借	tsiɑˠ5	
倡	tsʰ(tʃʰ)ã5	
倣	fɑ̃ˠ3	
倥	kʰoŋ5	
倦	dʑiɵ6	
倨	tɕyᶽ5	
倩	tsʰi5	
倪	ȵiᶽ2	
倫	lən2	
倭	ɜuᵝ1	
倷	nᴇ6	
值	z(ʒ)əʔ8	
偃	i3	
假	kɑˠ3	
假	kɑˠ5	
假	tɕiɑˠ3	
假	tɕiɑˠ5	
偈	dʑiəʔ8	
偉	ɦuᴇ6	
偎	uᴇ1	
偏	pʰi1	
偕	tɕiɑˠ1	
偕	ɦi2	
做	tsɜuᵝ5	
停	din2	
健	dʑi6	
側	tsəʔ7	
側	tsʰəʔ7	
偵	tsən1	
偶	ŋøʏ1	
偶	ŋøʏ3	
偷	tʰøʏ1	
傀	kʰuᴇ3	
傅	fʉᵝ5	
傈	liɪʔ8	
傍	bɑ̃ˠ6	
傑	dʑiəʔ8	
傖	tsʰɑ̃ˠ1	
傘	sᴇ5	
備	bᴇ6	
傢	kɑˠ1	
催	tsʰᴇ1	
傭	ɦioŋ6	
傯	tsoŋ3	
傲	ŋæ6	
傳	z(ʒ)ɵ2	
傳	z(ʒ)ɵ6	
傴	øʏ1	
傴	øʏ5	
債	tsɑˠ5	
傷	sɑ̃ˠ1	
傻	sɑˠ3	
傾	tɕʰiən1	
僂	løʏ2	
僅	dʑiən6	
像	ziã6	
僑	dʑiæ2	
僕	boʔ8	
僖	ɕiᶽ1	
僚	liæ2	
