#漢字	音標	解釋
一	iʔ7	
七	tɕʰiʔ7	
丄	sɔŋ6	上山。
丈	tsʰɔŋ6	
上	sɔŋ6	上面。 上下
上	sɔŋ1	
上	sɔŋ6	
下	ha1	底下、下面读音亦同。
世	sɿ5	
丗	sɿ5	
丘	ɕiu1	
業	niaiʔ8	
東	tɤŋ1	
丠	ɕiu1	
兩	liɔŋ1	斤两。 两个
兩	liɔŋ3	
兩	liɔŋ1	
嚴	nian2	
中	tsɤŋ1	中间。
主	tsu3	
丼	tɕiaŋ3	
義	ni6	
烏	vu1	
乖	kai1	
乞	tɕʰiʔ7	
也	ia3	
習	ɕiʔ8	
書	su1	
買	mai3	
亂	lɔiʔ6	
乳	lui3	
亂	lɔiʔ6	
事	sɿ6	
二	ni6	
亏	kʰui1	
五	ŋ̩3	
井	tɕiaŋ3	
亖	ɕi5	
亞	a5	
亞	a5	
交	kau1	
產	tsʰan3	
親	tɕʰin1	
倉	tsʰɔŋ1	
仙	ɕiɛn1	
件	tɕʰiɛn6	
任	nin6	责任。
休	ɕiu1	
會	fui6	开会 不会。
會	fui6	
會	fɔi6	
會	vui6	
會	vɔi6	
傷	sɔŋ1	
僞	ŋui6	
伴	pʰan6	
位	vui6	
低	tɛ1	
住	tsʰu6	
余	i2	
佛	fuɪʔ8	
作	tso5	
佳	ka1	
來	lɔi2	
例	li6	
供	tɕiɤŋ5	供鸡。
侵	tɕin1	
便	pʰiɛn2	便宜。
俗	ɕiɤʔ8	
修	ɕiu1	
俻	pʰi6	
倉	tsʰɔŋ1	
個	kai5	一个。 个人
個	kai5	
個	ko5	
候	hɛu6	
借	tɕia5	
傾	tɕʰiun3	
假	ka3	真假、放假讀音亦同。
偏	pʰiɛn1	
停	tʰin2	
健	tɕʰiɛn6	
偪	piʔ7	
偶	ŋɛu3	
偷	tʰɛu1	
傑	tɕʰiɛʔ8	
備	pʰi6	
傲	ŋau6	
傷	sɔŋ1	
傾	tɕʰiun3	
僊	ɕiɛn1	
像	tɕʰiɔŋ5	
僞	ŋui6	
允	in1	
元	niuɔn2	
兄	ɕiaŋ1	
光	kɔŋ1	
兒	ɜ2	
兔	tʰu5	
入	niʔ8	
全	tɕʰiuɔn2	
兩	liɔŋ1	斤兩。 兩個
兩	liɔŋ3	
兩	liɔŋ1	
八	paiʔ7	
公	kɤŋ1	
六	lɤʔ7	
蘭	lan2	
共	kʰɤŋ6	共产党 共用。
共	kʰɤŋ6	
共	kʰiɤŋ6	
共	tɕʰɤŋ6	
共	tɕʰiɤŋ6	
關	kan1	姓 关门。
關	kan1	
關	kʰan1	
兵	pin1	
兼	tɕian1	
寫	ɕia3	
軍	tɕiun1	
農	nɤŋ2	
冤	iuɔn1	
冫	pin1	
冬	tɤŋ1	
冰	pin1	
冲	tsʰɤŋ1	
冷	laŋ1	
准	tsun3	
凉	liɔŋ2	
凡	fan2	
鳳	fɤŋ6	
凶	ɕiɤŋ1	
凷	kʰai5	
鑿	tsʰɔʔ8	
刁	tiau1	
分	fun1	
切	tɕʰiɛʔ7	
劉	liu2	
創	tsʰɔŋ1	
別	pʰiɛʔ8	
利	li6	
刮	kɔiʔ7	
刴	to5	
制	tsɿ5	
刻	kʰiɛʔ7	
剁	to5	
削	ɕiɔʔ7	
剝	pɔʔ7	
剪	tɕiɛn3	
割	kɔiʔ7	
創	tsʰɔŋ1	
劈	pʰiaʔ7	
劉	liu2	
力	liʔ8	
勸	tɕʰiuɔn5	
辦	pʰan6	办法、办公室读音亦同。
劣	liɛʔ8	
動	tʰɤŋ1	
動	tʰɤŋ5	
助	tsʰu6	
勁	tɕin5	
勁	tɕin5	
動	tʰɤŋ1	
動	tʰɤŋ5	
勤	tɕʰin2	
勸	tɕʰiuɔn5	
包	pau1	
化	fa5	
北	pɛʔ7	
匠	ɕiɔŋ6	
匪	fui3	
匹	pʰiʔ7	
區	tɕʰi1	
區	tɕʰi1	
十	sɛʔ8	
千	tɕʰiɛn1	
升	ɕin1	
午	vu3	
半	pan5	
華	fa1	
協	ɕiaiʔ8	
協	ɕiaiʔ8	
單	tan1	
賣	mai6	
南	nan2	
卤	ɕi1	
卥	ɕi1	
衛	vi6	
卯	mau3	
卵	lɔn3	
厲	li6	
厚	tui1	训读。
厲	li6	
縣	ɕiuɔn2	
叉	tsʰa1	
及	tɕʰiʔ8	及格。
友	iu3	
雙	sɔŋ1	
发	faiʔ7	
叔	sɤʔ7	
受	ɕiu6	
叚	ka3	真假、放假读音亦同。
叛	pʰan6	
口	hɛu3	白读。 文读
口	hɛu3	
口	kʰɛu3	
叫	tɕiau5	
叶	ɕiaiʔ8	
各	kɔʔ7	
合	haiʔ8	合作。
名	miaŋ2	白读。 文读
名	miaŋ2	
名	min2	
后	hɛu6	
吓	haʔ7	
吞	tʰun1	
吠	pʰɔi6	
含	han2	
吳	ŋ̩2	
吳	u2	
吳	vŋ̩2	
吳	vu2	
吹	tsʰui1	
呂	li1	
周	tɕiu1	
味	vui6	
命	miaŋ6	白读。 文读
命	miaŋ6	
命	min6	
和	fo2	和气。
咸	han2	
哀	ɔi1	
品	pʰin3	
響	ɕiɔŋ3	
哥	ko1	
唱	tsʰɔŋ5	
問	mən5	白读。 文读
問	mən5	
問	mun5	
善	sɛn6	
單	tan1	
器	tɕʰi5	
嚇	haʔ7	
嚴	nian2	
四	ɕi5	
回	fui2	
团	tʰɔn2	
困	kʰun5	
國	kuɪʔ7	
國	kuɪʔ7	
團	tʰɔn2	
圜	iuɔn2	
土	tʰu3	
在	tsʰɔi1	
地	tʰi6	
坐	tsʰo1	
坑	haŋ1	
块	kʰai5	
坣	tʰɔŋ2	
坼	tsʰaʔ7	
垕	tui1	訓讀。
垦	kʰɛn3	
埋	mai2	
域	iuʔ8	
基	tɕi1	
埿	nɛ2	
堂	tʰɔŋ2	
堆	tui1	
堖	nau3	
堦	kai1	
塊	kʰai5	
塔	tʰaiʔ7	
墓	mu5	
牆	tɕʰiɔŋ2	
墨	mɛʔ8	
墬	tʰi6	
墻	tɕʰiɔŋ2	
墾	kʰɛn3	
壁	piaʔ7	
壄	ia3	
壞	fai6	
壯	tsɔŋ5	
壯	tsɔŋ5	
聲	saŋ1	白读。 文读
聲	saŋ1	
聲	sən1	
備	pʰi6	
外	ŋɔi6	外面、外公读音亦同。
多	to1	
夜	ia6	
天	tʰiɛn1	
太	tʰai5	
夫	fu1	
失	ɕiʔ8	
頭	tʰɛu2	
奪	tʰɔiʔ8	
奎	kʰui2	
奪	tʰɔiʔ8	
女	ni3	
婦	fu6	
妹	mɔi5	
姐	tɕi3	
姓	ɕiaŋ5	
姜	tɕiɔŋ1	
姦	kan1	
娘	niɔŋ2	
婆	pʰo2	
婦	fu6	
媆	nun6	
嫁	ka5	
嫌	ɕian2	
嫩	nun6	
嬾	lan1	
字	sɿ6	
孟	məŋ6	
季	tɕi5	
學	hɔʔ8	
學	hɔʔ8	
孼	niɛʔ7	
孽	niɛʔ7	
安	ɔn1	
完	vɔn2	
宗	tsɤŋ1	
官	kuɔn1	
定	tʰiaŋ6	
實	sɛʔ8	
客	kʰaʔ7	
害	hɔi6	
家	ka1	
容	iɤŋ2	
寬	kʰuɔn1	
賓	pin1	
寄	tɕi5	
密	miʔ8	
寒	hɔn2	
寞	moʔ8	
察	tsʰaiʔ7	
實	sɛʔ8	
寨	tsʰai6	
寫	ɕia3	
寬	kʰuɔn1	
寴	tɕʰin1	
尋	tɕʰin2	
封	fɤŋ1	
射	sa6	
尊	tsun1	
尋	tɕʰin2	
小	ɕiau3	
尖	tɕian1	
尺	tsʰaʔ7	
尽	tɕʰin6	
尾	mui1	
局	tɕʰiɤʔ8	
層	tsʰɛn2	
屋	vɤʔ7	
屎	sɿ3	
展	tsɛn3	
層	tsʰɛn2	
山	san1	
歲	sɔi5	
岔	tsʰa1	
岸	ŋan6	
峕	sɿ2	
嵠	ɕi1	
嵾	sɛn1	人参。
嶺	liaŋ1	
左	tso3	
己	tɕi3	
帥	sai5	
帋	tsɿ3	
帳	tsɔŋ5	
帒	tʰɔi6	
帖	tʰiaiʔ7	
帥	sai5	
帶	tai5	
帬	tɕʰiun2	
席	ɕiʔ8	主席 席子。
席	ɕiʔ8	
席	ɕiaʔ8	
席	tɕʰiʔ8	
席	tɕʰiaʔ8	
幫	pɔŋ1	
帳	tsɔŋ5	
帶	tai5	
常	sɔŋ2	
幕	mo5	
幫	pɔŋ1	
平	pʰiaŋ2	白读。 文读
平	pʰiaŋ2	
平	pʰin2	
年	niɛn2	
幹	kɔn5	干部。
幻	hɔn6	
幼	iu5	
幾	tɕi3	
應	in1	应当。
店	tian5	
