#漢字	音標	解釋
□	ya1	～东西，～米，一般是指抓一把颗粒状东西
□	luei1	(环状物或球状物滚动)
□	paŋ1	程度副词，如～硬
□	tiaŋ1	(粘在一起)
□	xa2	～子，多称呼小孩子，也可称年青人，一般是年长者面称年少者用
□	lɔ2	(蔬菜不新鲜)
□	pʰa3	打～，将纸折成正方形的小方块在上进行拍打，以纸方块翻转过来为胜,儿童游戏
□	pʰia3	枪声，俗写作叭
□	tsua3	额头突出部分，～额头
□	po3	～～，儿语，蛋
□	ye3	(不圆)
□	tsuɛn3	(用杆状物触碰他人或用尖细物体戳人)
□	kʰuaŋ3	(关门)
□	pa5	肉～，儿语，熟猪肉
□	ɕya5	(鸡爪子向后抓)
□	ɣe5	程度副词，很
□	pɛn5	(一条绳子从两头拉扯)
□	tɛn5	(拖延时间)
□	un5	(给剩菜加热)
□	ŋ̍5	表示否定，相当于“不”
□	ɣa6	范围副词，全都
□	dʑia6	(跨步)
□	do6	一～钞票
□	tsæ6	～雨，淋雨
□	tʰia7	系的意思，～鞋带
□	tsʰo7	～棍子，即拄拐杖
□	tsuei7	(把东西塞进去)
□	tʰɛn7	(坠)
㞎	pa3	～～，儿语，大粪
䁊	ua1	(物体中间凹陷)
一	i7	
丁	tin1	
七	tʃʰʅ7	
万	fan5	
丈	dʑiaŋ6	
三	san1	
上	ʑiaŋ6	
下	ɣa6-	
下	ʑia6=	
不	pu7	
与	y3	
与	y5	
丐	kæ5	
丑	tɕʰiəɯ3	
專	tɕyɛn1	
且	tɕʰie3	
丕	pi1	
世	ʃʅ5	
丘	tɕʰiəɯ1	
丙	pin3	
業	lie7	
叢	dzəŋ2	
東	təŋ1	
絲	sɿ1	
丞	dʑin2	
丟	tiəɯ1	
兩	ȵiaŋ3	
嚴	ȵiɛn2	
喪	suaŋ5	
个	ko5	
丫	ia7	
中	tsəŋ1	～间
中	tsəŋ5	射～
丰	fəŋ1	
串	tɕʰyɛn5	
臨	ȵin2	
丸	ʑyɛn2-	
丸	uɛn2=	
丹	tan1	
爲	uei2	作～
主	tɕy3	
丽	li5	
舉	tɕy3	
乃	læ3	
久	tɕiəɯ3	
義	ȵi5	
之	tsɿ1	
烏	ʋu1	
乍	tsa5	
乎	fu1	
乎	vu2	
乏	va2	
樂	lo7	快～
樂	io7	音～
乓	pʰaŋ1	
喬	dʑiɔ2	
乖	kuæ1	
乘	dʑin2	
乙	ie7	
九	tɕiəɯ3	
乞	tʃʅ7	
也	ia3-	
也	ie3=	
習	ʃʅ7	
鄉	ɕiaŋ1	
書	ɕy1	
買	mæ3	
亂	luɛn5	
乾	tɕiɛn1	
了	liɔ3	～结，～解
爭	tsɛn1	
事	zɿ6	
二	ɤ5	
于	y2	
虧	kʰuei1	
雲	yn2	
互	vu6	
五	ʋu3	
井	tɕiaŋ3-	
井	tɕin3=	
亞	ia5	
些	tɕʰy1	
些	ɕie7	
亡	vaŋ2	
交	tɕiɔ1	
亥	ɣæ6	
亦	i7	
產	tsʰan3	
亨	kʰɛn1	
畝	mu3	
享	ɕiaŋ3	
京	tɕin1	
亭	tin2	
亮	ȵiaŋ5	
親	tɕʰin1	～切
親	tɕʰin5	～家
褻	ɕie7	
人	ʑin2	
億	ʅ5	
什	ʒʅ2	～物
仁	ʑin2	
仄	tse7	
僅	tɕin3	
仆	bu2	～倒
仇	dʑiəɯ2	
今	tɕin1	
介	kæ5-	
仍	ʑin6	
从	dzəŋ2	
倉	tsʰuaŋ1	
仕	zɿ6	
他	tʰa1	
仗	dʑiaŋ6	
付	fu5	
仙	ɕiɛn1	
代	tæ6	
令	lin5	
以	i3	
儀	ȵi2	
仲	dzəŋ6	
件	dʑiɛn6	
價	tɕia5	
任	ɕin5	
份	vɛn6	
仿	faŋ3	
企	ʤʅ6	
伊	ʅ1	
伍	ʋu3	
伏	ʋu2	
伐	va2	
休	ɕiəɯ1	
衆	tsəŋ5	
優	iəɯ1	
伙	xo3	
會	kʰuæ5	～计
會	ɣuei6	
傘	san3	
偉	uei3	
傳	dʑyɛn2	～达
傳	tɕyɛn5	～记
伢	kʰa1	
傷	ɕiaŋ1	
倫	lɛn2	
僞	uei5	
伯	pe7	
估	ku3	
伴	ban6	
伶	ȵin2	
伸	ɕin1	
伺	sɿ5	
似	zɿ6	
佃	tiɛn5	
但	dan6	
位	uei5	
低	ti1	
住	tɕy6	
佐	tso3	
佑	iəɯ5	
體	tʰi3	
何	ɣo2	
佗	do2	
佘	ʑia2	
余	y2	
佛	vu2	
作	tso7	
你	ȵi3	
佣	iəŋ5	
佩	bei6	
佬	lɔ3	
佳	tɕia1	
佼	tɕiɔ3	
使	sɿ3	
侄	ʤʅ2	
侈	tsʰɿ3	
例	li5	
侍	tsʰɿ5	
供	kəŋ1	～销社
供	kəŋ5	～养，上～
依	ʅ1	
俠	ʑia7	
僥	tɕiɔ3	
偵	tɕin1	
側	tse7-	
側	tsʰe7=	
僑	dʑiɔ2	
侮	ʋu3	
侯	ɣəɯ2	
侵	tɕʰin5	
便	biɛn2	～宜
便	biɛn6	方～
便	biɛn6	～宜
促	tsʰu7	
俄	ŋo2	
俊	tsun5	
俏	tɕʰiɔ5	
俗	dzu2-	
俘	fu1	
保	pɔ3	
俞	y2	
信	ɕin5	
儉	tɕiɛn5	
修	ɕiəɯ1	
俯	fu3	
俱	tɕy1	
倍	bei6	
倒	tɔ3	
倔	tɕye7	
候	ɣəɯ2	
倚	ʅ3	
借	tɕia5-	
借	tɕie5=	
倡	tɕʰiaŋ5	
倦	tɕyɛn5	
倪	ȵi2	
倭	o1	
債	tsæ5	
值	ʤʅ2	
傾	tsʰun1	
假	tɕia3	
偏	pʰiɛn1	
做	tsu5	
停	tin2	
健	dʑiɛn6	
偶	əɯ3	
偷	tʰəɯ1	
償	ʑiaŋ2	
傅	fu5	
傍	baŋ2	
儲	dʑy2	
催	tsʰuei1	
傲	ŋɔ5	
傻	sa3	
傻	xa3	
像	dʑiaŋ5	
僚	liɔ2	
僧	sɛn1	
僵	tɕiaŋ1	
僻	pʰi7	
儒	ʑy2	
儡	luei3	
兒	ɤ2	
允	yn3	
元	yɛn2	
兄	ɕiaŋ1-	
兄	ɕiəŋ1=	
充	tsʰəŋ1	
兆	dʑiɔ6	
先	ɕiɛn1	
光	kuaŋ1	
