#漢字	音標	解釋
□	bu6-	將兩個物體按一定方式對攏，使不留空隙：把鍋蓋蓋～
□	li1	滾動
□	li1	～子：簍子
□	sa1	兩腿或手叉開
□	ka1	小孩吵着要某個東西
□	ŋa1	把東西塞到孔、洞或縫裏，～菜：栽菜
□	pia1	～淡：很淡
□	lia1	發～：敏嬌
□	tsʰe1	～齊：全部都齊了
□	ŋe1	～嗒ȵi11②：喫虧
□	lo1	諂媚、討好：他～嗒幹部想得好處
□	lo1	～蛛子：蜘蛛
□	kʰo1	用中指或食指彎曲起來打人頭頂，疑爲敲
□	xo1	哄：～人；～細傢伙睏
□	lai1	癱瘓
□	lao1	～瘡子：疥瘡
□	ləo1	(又)蹲
□	ləo1	老人的身體由於自然衰老而每況愈下
□	tsəo1	(又)蹲着
□	ŋəo1	很髒，看起來使心裏不舒服
□	liəo1	用棍子等扒開：～火；豬等用嘴拱：～山豬
□	ȵiəo1	～～：女孩子紮起來的短髮
□	kʰuai1	那隻～：那個樣子，帶有鄙視
□	uai1	玩、吵鬧
□	iou1	將纏好的線團迴鬆一段
□	kʰan1	裝東西時比預定量少：箇籮穀還～嗒滴嘰
□	tɕian1	收～：爲走家的小孩收魂的一種迷信活動
□	pʰəŋ1	跑步或爲某事奔忙
□	təŋ1	～起箇痛：一下一下地跳痛
□	liəŋ1	偷偷地：～嗒去打麻將
□	poŋ1	在旁邊加支撐物使穩固：～壁頭
□	loŋ1	圓圈：他胖起頸頸高頭一道～(他胖得脖子上肉疊起)
□	loŋ1	～稀：很稀
□	soŋ1	瘟～：瘟鬼，罵人的話
□	ȵioŋ1	搶着做但又毛里毛糙
□	li2	ŋa55①～：故意找茬
□	da2	～對：蹺蹺板
□	ŋa2	用指甲按住
□	lia2	～壞嗒：弄髒了
□	tɕia2	脾氣很犟
□	ɕia2	～旮旯：腋窩
□	ua2	嘔吐
□	be2	輕輕地碰或摸
□	te2	給，交給
□	tɕʰie2	挪動：他躺在床上，喊箇半日都冇～一下
□	ȵie2	輕輕地打開一絲縫：把鍋蓋～開滴嘰
□	ȵie2	碰、摸：箇隻東西貴，不要亂～
□	dʑye2	揪：他一把就～嗒她箇頭髮
□	ye2	～kuai33③：衰人或差勁的東西
□	lai2	～尿：尿拉在褲子裏或被子裏
□	ɸei2	～一臉絨痰：噴了一臉唾沫，意即呸人
□	tsʰei2	走路踉蹌
□	kʰuei2	人體踡縮或將硬而直的物體弄彎
□	dʑiou2	名詞，指毛栗或板栗等帶刺外殼的一整顆，如：板栗～子；也用作量詞：一～板栗
□	ɕiou2	膩煩：餐餐吃魚，我都吃～嗒
□	ŋan2	深洞：窖～
□	ȵian2	擡、扛：把箇張桌子～起走
□	bəŋ2	跑
□	ɡəŋ2	～綠：很綠
□	ɣəŋ2	火燒得旺：煮蔬菜要～火
□	dʑiəŋ2	彎着腰像駝子
□	βẽ2	～心：心臟
□	dẽ2	挪開東西以留空放別的物品：～開塊壋好放穀
□	lẽ2	騙：他～嗒兩個錢就打牌
□	lĩ2	縫紉：～條長褲
□	tsa3	扯～：發生糾紛
□	pʰia3	～淡：很淡
□	lia3	東西的兩部分向兩邊分開，衣服～起，不像樣
□	lia3	歪斜：碗～箇嗒，湯流箇出來嗒
□	lia3	～舌子：伸舌頭做鬼臉
□	kʰua3	～嘰：樹枝
□	kʰua3	從容器中倒出東西
□	pʰie3	小孩遊戲用的正方形或三角形的紙板
□	pʰie3	～淡：很淡
□	tie3	～嘰：一點兒
□	tɕʰye3	拗斷：把棍子～脫
□	ye3	嘴角向下拉：～起嘴巴就哭
□	ye3	拗斷：把棍子～脫
□	ɕio3	使喚狗的命令聲
□	pʰai3	～起腦殼：擡着頭
□	pʰai3	擔子的兩頭重量不一樣，挑的時候需用手扶着較重的一頭
□	ɸai3	理睬
□	tʰai3	慢慢走以消磨時間
□	ɸei3	嘔吐
□	tʰei3	將用肥皂洗過的衣服在清水中漂洗乾淨
□	tsʰei3	說的話使人氣餒或難堪
□	kuai3	女性生殖器
□	tou3	舉起
□	ɕiou3	吝嗇且不樂於助人：～里～氣
□	tʰan3	用明火將褪了毛的動物身上餘下的絨毛燒掉
□	kan3	添～：再喫一碗飯
□	pʰian3	平攤：費用三個人～
□	uan3	(原文作𢱉)舀：～碗水
□	pəŋ3	山頂：～上
□	tʰəŋ3	物件從附着物上掉下：褲～箇嗒
□	tʰəŋ3	踩：～箇一腳水
□	tɕʰiəŋ3	～起一下：猛的一下
□	ȵiəŋ3	～子：豆角等的藤上長的蟲，小而密；用以形容擁擠的樣子：人都～起嗒
□	ɕiəŋ3	不厭其煩
□	soŋ3	量詞，一段、一截：一～甘蔗
□	ȵioŋ3	抖動、顫動：把衣高頭箇灰～一下
□	tʰẽ3	掉下來
□	tsʰẽ3	～冇：還差得遠
□	pʰĩ3	～子：尿布
□	kĩ3	蓋：～鍋蓋
□	ŋĩ3	憋住氣：你～嗒箇口氣
□	ĩ3	不能滿足別人的意願：把東西搞好，莫～嗒人
□	ĩ3	用竹篾、藤等織的用以蒸或曬東西的物件，薄而平，通常爲圓形：粑～子
□	ɕyẽ3	用勁大聲地罵
□	mi5	嘴巴～嗒：將嘴巴閉着
□	lia5	栽種：～菜
□	pe5	用力拽：～緊
□	tʰo5	用比較重的東西蓋起來
□	tɕʰio5	丟失：錢～箇嗒
□	ɕio5	欺騙：他是～人箇
□	ɕio5	～里～氣：寶氣
□	tsao5	趵、跳躍
□	tsʰao5	從物體的底部往上撬：把箇塊泥～起翻過來
□	iou5	顆粒或莖桿很細：～鐵絲
□	nan5	皮膚上的小斑點：～子
□	pian5	藏起來：他把那本書～箇嗒
□	tɕian5	～～：剛剛
□	ian5	看守：～牛
□	məŋ5	～古卵：沒見過世面的人
□	təŋ5	豎立放置
□	ləŋ5	勞動：他～箇一天
□	ləŋ5	動詞，動：莫～，好些聽課
□	ɕiəŋ5	用小火烤或煎熬：飯乾水嗒，～一下就要的嗒
□	ɕiəŋ5	～膚子：睪丸
□	ɕiəŋ5	不厭其煩
□	poŋ5	躲起來或藏起來
□	pʰẽ5	將剩餘的全部買下：你箇點牛肉，我～嗒
