#漢字	音標	解釋
㿭	tsʰa7-	
㿭	tsʰe7=	
一	i7	
丁	tin1	
七	tɕʰi7	
万	fan6	
丈	tɕian6	
三	san1	
上	ɕian6	～山
下	xa6-	～来
下	ɕia6=	～山
不	pu7	
与	y3	
丏	mien3	
丐	kai5	
丑	tɕʰiu3	
專	tɕyen1	
且	tɕʰie3	
丕	pʰi3	
世	sɿ5	
丘	tɕʰiu1	
丙	pin3	
業	ŋie2	
叢	tsəŋ2	
東	təŋ1	
絲	sɿ1	
丞	tɕin2	
丟	tiu1	
兩	lian3	
嚴	ŋien2	
喪	suan1	婚～
喪	suan5	～失
个	ko5	
丫	a1	
中	tsəŋ1	～央
中	tsəŋ5	射～
丰	xəŋ1	
串	tɕʰyen5	
臨	lin2	
丸	uen2	
丹	tan1	
爲	ui2	作～
爲	ui6	～什么
主	tɕy3	
舉	tɕy3	
乃	nai1	
久	tɕiu3	
麼	mo1	什～
義	ni6	
之	tsɿ1	
烏	u1	
乍	tsa6	
乎	fu2	
乏	fa2	
樂	lo2	
樂	io2	音～
喬	tɕiau2	
乖	kuai1	
乘	tɕin2	
乘	ɕin6	千～之国
乙	ie7	
九	tɕiu3	
乞	tɕʰi7	
也	ia3-	
也	ie3=	
習	ɕi7	
鄉	ɕian1	
書	ɕy1	
買	mai3	
亂	luen3	
乳	ɕy3	
乾	tɕien2	～坤
了	liau3	末～
予	y2	自称
予	y3	授～
爭	tsen1	
事	sɿ6	
二	ə6	
于	y2	
虧	kʰui1	
雲	yn2	
互	fu6	
五	u3	
井	tɕian3-	
井	tɕin3=	
亞	ia5	
些	ɕie1	
亟	tɕi2	
亟	tɕi7	(又)
亡	fan2	
交	tɕiau1	
亥	xai6	
亦	i7	
產	tsʰan3	
亨	kʰen1	
畝	məu3-	
畝	miau3=	
享	ɕian3	
京	tɕin1	
亭	tin2	
亮	lian6	
親	tɕʰin1	
親	tɕʰin5	～家
褻	ɕie7	
人	ɕin2	
億	i5	
什	ɕi2	～物
仁	ɕin2	
仄	tse7	
僅	tɕin6	
仆	pu2	
仆	pʰu7	
仇	tɕiu2	
今	tɕin1	
介	kai5	
仍	ɕin2	
从	tsəŋ2	
倉	tsʰuan1	
仔	tsai3	
仕	sɿ6	
他	tʰa1	
付	fu5	
仙	ɕien1	
代	tai6	
令	lin6	
以	i3	
儀	ŋi2	
們	min2	
仰	ŋian3	
仲	tsəŋ6	
件	tɕien6	
價	tɕia5	
任	ɕin6	
份	fən6	
仿	fan3	
企	tɕi6	
伊	i1	
伍	u3	
伏	fu2	
伐	fa2	
休	ɕiu1	
衆	tsəŋ5	
優	iu1	
伙	xo3	
會	kʰuai5	～计
會	fei6	
傘	san3	
偉	ui3	
傳	tɕyen2	～达
傳	tɕyen6	～记
伢	ŋa2	
傷	ɕian1	
倫	luən2	
僞	ui5	
伯	pe7	
伯	pa7	叔～母
估	ku1	
伴	puen6	
伶	lin2	
伸	tʰin1-	
伸	ɕin1=	
伺	tsɿ6	
似	tsɿ6	
佃	tien6	
但	tan6	
位	ui6	
低	ti1	
住	tɕy6	
佐	tso5	
佑	iu6	
體	tʰi3	
何	xo2	
余	ɕia2	
余	y2	
佛	fu2	
佛	fu7	
作	tso7	
佞	nin6	
佣	in2	
佣	in6	～金
佩	pei6	
佯	ian2	
佳	tɕia1	
使	sɿ3	动词
使	sɿ6	名词
侃	kʰan3	
侄	tɕi2	
侈	tsʰɿ1	
例	li6	
侍	sɿ6	
侖	luən2	
侗	təŋ6	～族
