#漢字	音標	解釋
□	lu1	(人身上的污垢)
□	tɕy1	(往口袋里掏)
□	ka1	～气:吵架
□	tɕʰia1	～婆子:风骚女人
□	ȵia1	～嫩:很嫩
□	ua1	老～:乌鸦
□	ua1	(凹)
□	ya1	把:一～米
□	me1	～黑:很黑
□	me1	(想)
□	mie1	(撕，剥)
□	to1	～底:底下
□	so1	(快速地跑)
□	so1	(吸吮)
□	pai1	～子:瘸子
□	kʰuai1	～～:圆圈圈
□	pei1	搭～:幸亏
□	luei1	～壮的;很壮实
□	luei1	～～:轮子
□	lau1	～软:很软
□	lau1	～pa55:锅巴
□	tsau1	冬天脸上被冻得干燥
□	piau1	(液体从缝隙中喷出)
□	miau1	(四处看)
□	tɕʰiau1	～伙:合伙
□	ləu1	(蹲)
□	lan1	～稀;很稀
□	tian1	(粘)
□	tian1	(蛰)
□	tian1	～重:很重
□	pʰoŋ1	蓬:头发～起
□	fa2	来了几～:来了几次
□	kua2	好～:很多嘴
□	ŋe2	(咬)
□	ɕio2	丢失:表被动
□	ŋai2	(慢腾腾)
□	tsuai2	揍
□	lau2	蔫;菜～了
□	tiau2	(把菜放在开水里～～)
□	tiau2	(惹)
□	xəu2	(应允声)
□	tsan2	(刺)
□	tɕien2	ma55～tɕi22:什么时候
□	toŋ2	一～:一节
□	pʰa3	气球～了:气球胀破了
□	xa3	(傻)
□	pʰia3	(象声词)
□	tia3	～舌头:吐舌头
□	le3	(很)
□	pʰie3	脚～了:脚扭了
□	lo3	粘:～灰
□	ko3	～只:这个
□	pʰai3	～起:扛在肩上
□	tsuai3	～ta22;抓住
□	kuai3	～场:事情变糟了
□	fei3	(呕吐)
□	ŋau3	腌:～菜
□	təu3	(用力蹬)
□	tsʰəu3	～人:呸人
□	pan3	(把东西用力扔到地上)
□	man3	～～:父亲的弟弟
□	kʰuan3	(用力关门)
□	tʰen3	掉
□	tʰen3	下～子:下楼梯
□	ken3	(盖上)
□	tsuen3	(用力戳)
