#漢字	音標	解釋
㔢	tɕyɛ1	
㙲	yoɣ̃1	
㞎	pa3	
㞞	suoɣ̃2	
㪕	tsʰau1	
䉲	mi2	
䌥	iẽ3	
䙚	niau2	
䰖	tsuã3	
䴬	i1	
䵚	tʰau3	
一	i1	
丁	tiɣ̃1	
七	tɕʰi1	
丈	tʂɑɣ̃5	
三	sã1	
上	ʂɑɣ̃5	
不	pu1	
不	pu2	
丐	kai5	
丑	tʂʰɤu3	
且	tɕʰiɛ3	
世	ʂʅ5	
丘	tɕʰiɤu1	
丙	piɣ̃3	
丞	tʂʰəɣ̃2	
丟	tiɤu1	
並	piɣ̃5	
丫	ia1	
中	pfəɣ̃5	
串	pfʰã5	
丸	uã2	
丹	tã1	
主	pfu3	
久	tɕiɤu3	
么	iau1	
之	tsɿ1	
乎	xu1	
乏	fa2	
乒	piɣ̃1	
乓	pɑɣ̃1	
乖	kuai1	
乘	tʂʰəɣ̃2	
乙	i1	
九	tɕiɤu3	
也	iɛ3	
乳	vu3	
乾	tɕʰiã2	
乾	kã1	
亂	lã5	
亂	luã5	
了	liau3	
事	sɿ5	
二	ɚ5	
于	y2	
云	yẽ2	
互	xu5	
五	u3	
井	tɕiɣ̃3	
些	ɕiɛ1	
亞	ia5	
亡	vɑɣ̃2	
交	tɕiau1	
亥	xai5	
享	ɕiɑɣ̃3	
京	tɕiɣ̃1	
亭	tʰiɣ̃2	
亮	liɑɣ̃5	
人	ʐẽ2	
仁	ʐẽ2	
仇	tʂʰɤu2	
仇	tɕʰiɤu1	
今	tɕiẽ1	
介	tɕiɛ5	
仍	vəɣ̃2	
仕	sɿ5	
他	tʰa1	
仗	tʂɑɣ̃5	
付	fu5	
仙	ɕiã1	
代	tai5	
令	liɣ̃5	
以	i1	
仨	sa1	
仰	iɑɣ̃3	
仰	niɑɣ̃3	
仲	pfəɣ̃5	
件	tɕiã5	
任	ʐẽ2	
任	ʐẽ5	
份	fẽ5	
仿	fɑɣ̃3	
企	tɕʰi2	
伊	i1	
伍	u3	
伏	fu2	
伐	fa2	
休	ɕiɤu1	
伢	nia1	
伯	pei1	
估	ku3	
估	ku5	
伴	pã5	
伶	liɣ̃2	
伸	ʂẽ1	
伺	tsʰɿ5	
似	sɿ3	
似	sɿ5	
但	tã5	
佈	pu5	
位	uei5	
低	ti1	
住	pfu5	
佔	tʂã5	
何	xuɤ2	
佘	ʂɤ2	
余	y2	
佛	fuɤ2	
作	tsuɤ1	
你	ni1	
佩	pʰei3	
佮	kɤ1	
佳	tɕia1	
併	piɣ̃5	
使	sɿ3	
來	lai2	
侈	tʂʰʅ3	
例	li5	
供	kuoɣ̃1	
供	kuoɣ̃5	
依	i1	
侮	vu3	
侯	xɤu2	
侵	tɕʰiẽ1	
便	piã5	
便	pʰiã2	
係	ɕi5	
促	tsʰu1	
促	tsʰɤu1	
俄	ŋɤ2	
俊	tɕyẽ5	
俏	tɕʰiau5	
俑	yoɣ̃3	
俗	ɕy2	
俘	fu2	
保	pau3	
信	ɕiẽ5	
修	ɕiɤu1	
俯	fu3	
