#漢字	音標	解釋
一	i6	
丁	teŋ1	
七	tsʰi2	
万	van6	
丈	tʃaŋ6	
三	san1	
上	ʃaŋ6	
下	hia5	
不	pu5	
与	hy3	
丐	kai5	
丑	tʃʰəu3	
專	tʃyen1	
且	tʃiɛ3	
世	ʃi5	
丘	kʰiəu1	
丙	peŋ3	
業	niɛ6	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʃʰəŋ2	
丟	tiəu1	
兩	liaŋ3	
嚴	nien2	
並	pʰeŋ5	
喪	saŋ1	
喪	saŋ5	
个	kᵘo5	
丫	ʝa1	
中	tʃoŋ1	
丰	foŋ1	
串	tʃʰyen5	
臨	lən2	
丸	huan2	
丹	tan1	
爲	vəi2	
主	tʃy3	
丽	li6	
舉	ky3	
乃	nai6	
久	kiəu3	
義	i5	
之	tʃi1	
烏	u1	
乍	tʃa5	
乎	hu1	
乏	fa6	
樂	lᵘo6	
喬	kʰiau2	
乖	kuai1	
乘	tʃʰəŋ2	
乙	i6	
九	kiəu3	
乞	tʃʰi2	文
乞	tʃʰi6	白
也	ʝɛ3	
習	si2	
鄉	hiaŋ1	
書	ʃy1	
買	mai3	
亂	lon6	
乳	y3	
乾	kʰien2	
了	liau3	
爭	tsəŋ1	
事	sɿ5	
二	ɤ5	
于	y2	
虧	kʰuəi1	
雲	yn2	
互	hu5	
五	u3	
井	tseŋ3	
亞	ʝa1	白
亞	ʝa5	文
些	siɛ1	
亡	maŋ2	
交	kiau1	
亥	hai5	
亦	i6	
產	tʃʰan3	
亨	həŋ1	
畝	məu3	
享	hiaŋ3	
京	keŋ1	
亭	tʰeŋ2	
亮	liaŋ6	
親	tsʰən1	
人	in2	
億	i5	
什	ʃi2	
仁	in2	
僅	kin3	
仆	pʰu2	
仇	tʃʰəu2	
仇	tʃʰiəu2	
今	kin1	
介	kai5	
仍	iŋ2	
从	tsʰoŋ2	
倉	tsʰaŋ1	
仕	sɿ5	
他	tʰa1	
仗	tʃaŋ6	
付	fu5	
仙	sien1	
代	tai6	
令	leŋ5	
以	i3	
儀	i5	
仰	niaŋ3	
仲	tʃoŋ5	
件	kien6	
價	kia5	
任	in5	
任	in6	
份	fən5	
仿	faŋ3	
企	kʰi5	
伍	u3	
伏	fu6	
伐	fa6	
休	hiəu1	
衆	tʃoŋ5	
優	ʝəu1	
伙	hᵘo3	
會	kʰuai5	
會	huəi5	
傘	san3	
偉	vəi3	
傳	tʃʰyen2	
傳	tʃyen5	
傷	ʃaŋ1	
倫	lən2	
僞	vəi5	
伯	pɤ6	
估	ku3	
伴	pon6	
伶	leŋ2	
伸	ʃin1	
伺	tsʰɿ2	
似	tsʰɿ5	
但	tan6	
佈	pu5	
位	vəi5	
低	ti1	
住	tʃy6	
佐	tsᵘo3	
體	tʰi3	
佔	tʃien5	
何	hᵘo2	
余	y2	
佛	fu6	
作	tsᵘo6	
你	ni3	
佩	pʰəi5	
佳	kia1	
使	ʃi3	
侄	tʃi6	
侈	tʃʰi3	
例	liɛ6	
侍	sɿ5	
供	koŋ5	
依	i1	
俠	hia6	
僥	hiau1	
偵	tʃin1	
側	tsʰɤ6	
僑	kʰiau2	
侮	u3	
侯	həu2	
侵	tsʰən5	
便	pʰien2	
便	pien6	
係	hi5	
促	tʃʰu6	
俄	ŋᵘo2	
俊	tsən5	
俏	siau1	
俗	su6	
俘	fu1	
保	pau3	
信	sən5	
儼	nien3	
倆	liaŋ3	
儉	kien3	
修	siəu1	
俯	fu3	
俱	ky6	
倍	pəi6	
倒	tau3	
倒	tau5	
倔	ky6	
倘	tʰaŋ3	
候	həu5	
借	tsiɛ5	
倡	tʃʰaŋ5	
倣	faŋ3	
倦	kʰyen5	
倪	ni2	
倭	o1	
債	tsai5	
值	tʃi6	
傾	kʰin1	
假	kia3	
偏	pʰien1	
做	tsəu5	
停	tʰeŋ2	
健	kien5	
偶	əu3	
偷	tʰəu1	
償	ʃaŋ2	
傀	kʰuəi3	
傅	fu5	
傍	pʰaŋ6	
傢	kia1	
儲	tʃy6	
催	tsʰəi1	
傲	ŋau5	
傻	ʃa3	
像	siaŋ5	
僕	pʰu2	
僚	liau2	
僧	tsəŋ1	
僵	kʰiaŋ1	
僻	pʰi6	
儒	y3	
儘	tsən6	
儡	ləi3	
儽	ləi3	
兒	ɤ2	
允	yn3	
元	yen2	
兄	hioŋ1	
充	tʃʰoŋ1	
兆	tʃau5	
兇	hioŋ1	
先	sien1	
光	kuaŋ1	
克	kʰɤ6	
免	mien3	
兌	təi5	
兔	tʰu5	
黨	taŋ3	
兜	təu1	
入	y5	
全	tʃʰyen2	
八	pa2	
公	koŋ1	
六	lu2	
蘭	lan2	
共	koŋ6	
關	kuan1	
興	heŋ1	
興	heŋ5	
兵	peŋ1	
其	kʰi1	白
其	ki2	文
具	ky6	
典	tien3	
兹	tsɿ1	
養	ʝaŋ3	
兼	kien1	
獸	ʃəu5	
內	nəi6	
岡	kaŋ1	
冉	ʝen3	
冊	tsʰɤ6	
再	tsai6	
冒	mau6	
寫	siɛ3	
軍	kyn1	
農	noŋ2	
冠	kuan5	
冤	yen1	
冥	meŋ2	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tʃʰoŋ1	
决	kʰyɛ6	
况	kʰuaŋ5	
冷	ləŋ3	
凍	toŋ5	
淨	tseŋ6	
凄	tsʰi1	
準	tʃyn3	
凉	liaŋ2	
凌	leŋ2	
減	kan3	
湊	tsʰəu5	
凝	neŋ2	
几	ki1	
几	ki3	
凡	fan2	
鳳	foŋ5	
凭	pʰeŋ2	
凱	kʰai3	
凰	vaŋ2	
凳	təŋ5	
凶	hioŋ1	
凹	o1	
