#漢字	音標	解釋
□	tsa1	发～:发瘟疫
□	la1	ləu34b～:东西
□	la1	啃咬:～骨头
□	la1	～润:湿润
□	pa1	披
□	tʃia1	～个:哪个。又tʃiε44
□	ə1	还没有～:还没有呢
□	sə1	用锯子锯
□	sə1	taŋ11b～:我家
□	sə1	路～:路上
□	tʃiɛ1	哪。又tʃia44
□	nai1	园～:菜园
□	nai1	掏，拿:～出来
□	xau1	丢失东西
□	tsau1	蹲
□	tiəu1	用扁担一头挑在肩上
□	taŋ1	肉等食物煮得软烂
□	maŋ1	ko11～:甘蔗
□	pʰaŋ1	追赶
□	tʃioŋ1	蜷缩
□	la2	爬
□	na2	uən34b～:天气冷
□	lia2	困倦
□	nia2	～家崽:小孩子
□	no2	～起:围起来
□	təi2	阳物，用于骂人:尔晓得箇～
□	iəi2	～水:流得很慢的水
□	uən2	～na34b:天气冷
□	ɲʰioŋ2	蔫
□	u3	淹没
□	y3	～走:驱赶开;追赶
□	kʰa3	二～儿:秕子
□	ka3	maŋ53～:妻子
□	ya3	扔，撒
□	ʃia3	好～行，莫乱走:好好地走，别乱跑
□	tʃia3	尔～:那里
□	pʰia3	山上斜坡
□	tso3	丈夫，男人
□	ɲio3	怕～:害羞
□	tsʰə3	～儿:黍类
□	tʃʰiɛ3	话～:告诉
□	tʃʰiɛ3	耿～:耿直
□	tʃiɛ3	一～路:一里路
□	nai3	觑～起:看不起
□	tʰai3	匏～:大脖子病
□	naŋ3	倒下
□	pa4	～～:大便，对小孩说
□	tʃya4	拿
□	tə4	～来:起来
□	tʃyɛ4	淋雨;～雨:淋雨
□	ni5	挼～:搓绳子
□	ni5	小
□	ni5	打滚:～地
□	pʰu5	泼水，洒水
□	sa5	～底日:明天
□	na5	睡
□	liɛ5	掏搂出来
□	nɡai5	锋利
□	tsai5	扭紧
□	tai5	拿，端
□	tai5	扛:～柴
□	ləi5	～儿:砻
□	pən5	撕
□	pʰaŋ5	箇～:这帮
□	pʰaŋ5	灰尘大，相当于别处的“塳”
□	noŋ5	推
□	sa6	倒:～水
□	so6	瀑布，上头叫“～头”，下头叫“～底”
□	tʃyɛ6	～头:叩头
□	tsi7	间:一～屋儿
□	tʰi7	来nai11～了:来不及了
□	tʃy7	打
□	xa7	傻
□	tsa7	压住
□	la7	走
□	na7	踩踏
□	ʃya7	～把:掸子，笤帚
□	tia7	拉扯
□	lo7	蘸，粘裹
□	lo7	哄骗
□	ʃio7	男女关系不正常
□	miɛ7	陷落
□	pʰai7	搧
□	pʰai7	庹
□	tsau7	剁
□	ʃin7	傻
□	tsaŋ7	趼子
□	maŋ7	～ka11:妻子
□	ti8	慢慢～行:慢慢的走
□	ta8	～ti11:咱们
□	tʃia8	拃或跬
□	pia8	挨靠
□	tiɛ8	佢在食倒饭～:他在吃着饭呢
□	pai8	砍
□	taŋ8	～呃:我
㸊	lai5	烫
䍇	tʰo7	酒～:酒坛
一	i5	
丁	tin1	
七	tsʰai7	
万	uən5	
丈	soŋ4	一～两～
三	soŋ1	
上	soŋ4	～山:送葬
上	soŋ6	～头
下	xa1	乡～
下	a7	～底头:下面|～课
丑	tsʰəu5	
專	tʃyɛn1	
且	tsʰə7	
世	si5	
丙	pin7	
業	ɲiɛ3	
東	taŋ1	
絲	si1	
丞	sən8	
兩	nioŋ7	斤～
兩	noŋ7	
嚴	ɲiɛn3	
喪	soŋ1	
个	o5	一～月。又ko35
个	ko5	tʃia44～:哪个。又o35
丫	a1	～头
中	tsoŋ1	
中	tsoŋ5	
丰	xoŋ1	
串	tʃʰy5	
臨	nin3	～桂
丸	ɲy2	
丹	tan1	
爲	uəi3	行～|因～
主	tʃy3	
丽	li5	
舉	tsi3	
久	tʃuəi3	
麼	ma1	～个:什么
義	ɲi5	
之	tsi1	
烏	u1	
乏	xua3	缺～
樂	io7	音～
喬	tʃiəu2	
乘	sən8	～法
九	tʃuəi3	
也	ia7	
習	si3	～惯
鄉	ʃin1	下～
書	səu1	
買	mə7	
亂	nəi5	～来
乾	tʃiɛn8	～坤
了	ə1	语气词，表已经，相当于“了2”
了	liəu7	～嘎:了结
爭	tso1	正～月。又tsən35
事	sai6	
二	nai5	
虧	tʃʰyəi1	喫～
互	u5	～助组
五	ŋ7	
井	tʃio3	天～
亞	ia5	
交	tʃio1	缴交
亥	xai5	
產	tsʰan7	
畝	məu7	
享	ʃin3	
京	tʃin1	
亭	tin8	桥～
亮	nin3	月～。又nioŋ35
亮	nioŋ5	天～嘎:天亮了。又nin11
親	tʃʰin1	
親	tʃʰin5	
人	ŋ2	
億	i5	
仁	sən8	
仆	pu8	～倒
仇	səi2	
今	tsi1	～晡日:今天
介	kai5	
倉	tsʰoŋ1	
仔	tsai7	
仕	si6	
他	tʰa1	
他	si8	
仗	tsoŋ5	打～
仗	soŋ8	炮～
付	fu5	
仙	si1	
代	tai6	
令	nin5	
以	i7	～为
儀	ɲi3	～器
仲	soŋ6	
件	tsi6	
價	ka5	
任	sən6	～务
份	paŋ6	一～
企	tsi6	～业
伍	u7	队～
伏	fu3	
休	ʃiəu1	
衆	tsoŋ5	
伙	xo7	～计
會	kʰuai5	～计
會	xuəi5	开～
傘	so3	
偉	uəi7	
傳	tʃyɛn6	水浒～
傳	tʃyɛn8	～达
傷	soŋ1	
倫	nən3	
伯	pa7	
估	ku7	～计
伴	pən4	
佃	tiɛn6	
但	tan5	
佈	pu5	
位	uəi5	
住	tai6	
佑	i1	保～
體	tʰi7	
何	xo3	
余	y3	
佛	fu3	～教
佛	xuai3	供～:供菩萨
作	tso1	工～
你	nɡə2	
佢	si8	
佩	pʰəi5	
佮	ko7	～合
使	si7	指～。又sai53
使	sai7	～法:施法术。又sɿ53
侄	tai8	
例	liɛ5	
供	koŋ1	
供	tʃioŋ5	～佛
依	i1	
側	tsʰə3	～面
僑	tʃiəu2	
侯	xəu3	
便	pi2	～宜
便	piɛn5	方～
俗	səu3	
保	pu3	～出来
保	pau7	～卫|～证
信	ʃin5	
修	sai1	
俸	pʰoŋ7	姓氏
倍	pəi6	
倒	təu3	着:坐～
借	tʃia5	
值	tsi8	～班
假	ka3	
假	tʃia7	放～
偏	pʰiɛ1	
偏	pʰiɛ3	～开:让开
做	tso5	
停	tin2	～倒
偷	tʰau1	
償	saŋ7	赔～
傅	fu5	
催	tsʰəi1	
像	tʃin6	
僧	sən1	
僻	pʰi3	偏～
兒	ə1	名词词尾
允	yn7	～许
元	yɛn3	
充	tsʰoŋ1	
兆	sau6	
先	si1	
光	kuaŋ1	～头
光	koŋ1	食～:吃光
克	kʰə3	
免	mi7	～得
兌	təi5	
兔	tʰəu5	
黨	taŋ7	
入	ɲia3	交合
入	nai3	～来:进来
全	si2	～州。又tʃyεn11b
全	tʃyɛn8	又sɿ34b
八	pə7	
公	koŋ1	
六	lai3	
蘭	nan3	～花
共	koŋ6	
關	kuən1	
興	ʃin1	
兵	pin1	
具	tʃy6	～备
典	tiɛn7	
養	ɲin7	
獸	ʃiəu5	
岡	koŋ1	武～:湖南县名
冊	tsʰə3	
再	tsai5	
冒	mau5	
寫	ʃia3	
軍	tʃyn1	
農	noŋ3	
冠	kuən1	～儿
冠	kuan5	
冤	yɛn1	
冬	taŋ1	
冬	toŋ1	～至，又taŋ44
冰	pin1	～棒|结～
冲	tsʰoŋ1	
决	tʃyɛ3	
况	kʰuaŋ5	
冷	no7	
凍	taŋ5	
淨	tʃin6	
準	tʃioŋ3	～确
準	tʃyn7	
凉	nioŋ2	
減	kan7	
湊	tsʰau5	
几	tsi7	
凡	kuan3	
鳳	xoŋ5	～凰
凭	pio2	
凭	paŋ6	凭靠，扶
凱	kʰai7	
凳	taŋ5	
凶	ʃioŋ1	
出	tʃʰiɛ7	
擊	tsi3	
凼	toŋ4	坑
鑿	səu8	～儿
刀	təu1	
刀	ʃiəu7	
刁	tiəu1	
分	xuən1	春～。又paŋ44
分	paŋ1	
切	tsʰi7	～菜
刑	tʃin2	判～
划	xua5	
列	liɛ3	
劉	lai2	
則	tsə3	
剛	kaŋ1	
創	tsʰoŋ5	～造
初	tsʰau1	
判	pʰən5	
利	lai5	唔～:不锋利
刮	kua3	～毛
到	təu5	
制	tsi5	
刷	ʃya3	
刺	tsʰi5	～刀
刺	tsʰai5	
刻	kʰə3	一～钟
剃	tʰi5	
削	ʃiəu7	
前	tʃin2	～日年:前年，又sɿ11b
前	si8	面～
剮	kua3	
劍	tsi5	～刀:剑
剔	tʰi3	～骨头
剝	po7	
劇	tʃy5	京～
剪	tʃiɛ3	
副	fu5	
割	kuəi7	阉割:～猪
剿	tʃiəu3	～匪
劈	pʰia7	
力	lai3	
勸	tʃʰy5	
辦	pən6	
功	koŋ1	
加	tʃia1	
務	u5	
動	taŋ4	
助	səu6	
劫	tsi7	打～
勵	li5	
勁	tʃin5	
勢	si5	
勇	ɲʰioŋ7	
勒	lə3	
勘	kʰan1	～探
勤	tʃin2	
勺	səu8	～儿
勾	kau1	
勻	ɲʰioŋ2	～tʃin44:均匀
包	po1	
包	pau1	～崽:扣子
匆	tsʰoŋ1	
匏	po2	～tʰai11:大脖子病
化	xua5	
北	pai7	
匠	tʃin6	木～
匡	kʰuaŋ1	
匪	xuəi7	
匹	pʰi1	
區	tʃʰy1	
醫	i1	
匾	piɛ3	
十	si8	
千	tsʰi1	
升	sən1	
半	pən5	
華	xua3	中～|～山
卒	tsəu3	
單	to1	
賣	mə5	
南	noŋ2	
占	tsi5	～领
卡	kʰa3	卡住
盧	ləu3	
卤	ləu7	
卦	kua5	
衛	uəi5	
卯	mau7	
印	ɲin5	
卵	nəi7	
卷	tʃy3	
廠	tsʰoŋ3	～棚
廳	tʰio3	下～
厲	li5	
厘	li3	
厚	au7	
原	yɛn3	
廂	ʃin1	～房
廂	ʃiaŋ1	车～
廚	tʃy2	～pa11:厨子
去	xau5	
縣	tʃy6	一～:一个县
参	tsʰan1	
参	sən1	党～
又	ia5	
叉	tsʰa1	
及	tsi3	～格
友	iəu7	朋～
雙	soŋ1	
反	kuan7	
发	xuai3	头～
发	xuə7	～财
叔	pau4	～～:叔父。训读，应另有本字
取	tsʰau3	取出:～钱;解开，解除:～衣|～开|～脱
取	tʃʰy7	争～
受	səi6	
變	pi5	
叛	pʰan5	～变
口	xau3	
古	ku3	
句	ku5	
另	nin5	
叨	tau1	唠里唠～
只	tsi1	～有
叫	au7	
召	tsau1	
可	kʰo7	～以
台	tʰin5	
史	si7	历～
右	iəu5	
葉	i3	～儿:叶子
號	xau3	tiε242b～:哭
號	xau5	
司	si1	
嘆	tʰan5	
各	ko3	
吆	au7	
合	xo3	
吉	tsi3	～利
同	toŋ2	
名	mio2	
吏	li5	
吐	tʰəu5	
向	ʃiaŋ5	
吕	y7	
君	tʃyn1	
吞	tʰaŋ1	
否	xəu7	
含	ŋ2	
听	tʰio5	
启	tsʰi7	～发
吴	u2	
吹	tʃʰyəi1	
呃	ə1	佢～:他
呆	nɡai3	～板
告	ku5	～状
嘔	au3	～吐
員	yɛn3	
周	tsəu1	
味	uəi5	～道
呼	fu1	招～
命	mio5	
和	xo3	～气
咍	xai1	玩，耍
咒	tsəu5	
咧	liɛ1	语气词，相当于“呢”
咬	io7	
咳	kʰo3	
品	pʰin7	
哈	xa1	放置;给
響	ʃin3	
啞	a3	
啞	nɡa7	～狗:哑巴的蔑称
哥	ko1	表～
唆	so1	啰～
唐	toŋ2	
唔	ŋ7	～好:不好
嘮	lau3	见“叨”
唯	uəi3	
唱	tsʰoŋ5	
啄	tʃyɛ6	～木鸟
商	saŋ1	～家
啊	a1	语气词
啼	tiɛ4	～号:哭
善	san6	
喉	xəu3	黄～:猪牛的心血管
喜	i1	欢～
喜	si7	～事。又i44
喝	xo7	饮:～酒;吸入
喫	tʃʰia7	～亏
噴	pʰaŋ5	
嗅	ʃioŋ5	
嗉	sai5	鸡～袋
嗍	so7	
嗓	saŋ7	
嗰	o1	结构助词，的
嗽	sau5	
嘎	ka3	肚饥～:肚子饿了
嘴	tsəi3	～巴
器	tsʰi5	瓷～
嚇	xa7	
囂	ʃiau1	
四	sai5	
回	xuəi2	～润:回潮
因	ɲin1	
团	to2	
園	ɲy2	～nai44:菜园
困	kʰuən5	
囱	tsʰoŋ3	烟～
圍	yəi2	
固	ku5	
國	kuə3	大～|中～
圖	təu8	
圈	tʃʰy1	
圈	tʃʰya1	
圝	nəi2	圆
圝	nən2	～年sau11:整年，成年。又nəi34b
土	tʰəu3	～地
在	tiɛ8	
地	tai6	土～
圳	tʃyn5	深～。又tʃioŋ35
圳	tʃioŋ5	水～:水沟。又tʃyn35
場	soŋ2	一～
均	tʃyn1	
坎	kʰan7	打～:挖坎
壞	uə5	
坐	so4	
坑	xaŋ1	～～:坑儿
塊	kʰuə3	
墳	uən2	
坡	pʰo1	
坤	kʰuən1	
坦	tʰan7	～白
坪	pio2	
坯	pʰəi1	
坳	io5	大路～:地名
坼	tsʰa7	
垂	səi8	永～不朽
壟	noŋ7	～断
型	tʃin8	
垜	to8	摞:～起
墾	kʰən7	
墊	ti6	
垮	kʰua7	
埋	mə2	
城	sən2	～墙
城	sən8	
埠	pu6	～头:水边码头
培	pəi8	
基	tsi1	～脚:地基
堂	toŋ2	
堆	təi1	
堡	pau7	
堤	ti2	
塔	tʰa3	
塘	toŋ2	
塞	sai7	～壩
填	ti2	
境	tʃin5	
牆	tʃin2	
增	tsən1	
墟	ʃy1	y11～:赶墟
墨	mai3	
墩	taŋ3	桥～
壁	pia7	墙～。木的叫壁，石头的叫墙
壅	ŋ1	～蔸:在根部施肥。於容切
壕	xau3	
壩	pa5	
士	si6	
壬	sən8	
壯	tsoŋ5	肥，胖:ləi44～:很壮
聲	so1	
殼	ʃio7	～～:壳儿
壺	u2	
處	tʃʰy5	到～
處	tʃʰy7	～理
備	pi6	准～
夏	a7	立～节
外	uəi5	～公|～婆
多	to1	
夜	ia5	半～
大	ta6	
天	tʰi1	
太	tʰa5	
夫	fu1	脚～
失	si3	
頭	tau2	又lau11
頭	lau3	户～。又tau34b
夸	kʰua1	
夾	ka7	
奪	təi8	抢夺
奇	tsi8	
奈	na5	
奉	xoŋ5	
奮	xuən5	
契	tsʰi5	～纸:契约
獎	tʃiaŋ7	
套	tʰau5	手～
套	tʰəu5	～儿:套子
奠	tiɛn6	
奧	nɡau5	
女	nai7	
奴	ləu3	～才|～婢
奶	nai5	乳汁
奸	tʃiɛn1	
好	fu3	
如	tʃy8	假～
妃	xuəi1	
婦	pai2	新～:媳妇
婦	fu5	～女:女人
媽	ma1	阿～:母亲
妖	iau1	
妙	miau5	巧～
妥	tʰo7	
妨	uaŋ3	～碍
妹	məi5	～～
姊	tsai3	～妹家
始	si7	开～
姐	tʃiɛ7	～～
姑	ku1	尼～
姓	fu5	
姓	ʃio5	
委	uəi7	
姚	iau3	
姜	tʃiaŋ1	
姨	ai7	～婆:姨妈
姿	tsi1	
威	uəi1	
嬌	tʃiəu1	
娛	y3	～乐
婆	po2	
婚	xuən1	
婢	pi6	奴～
婿	si1	郎～:女婿
媒	məi2	
嫁	ka5	
嫂	sau7	
嫌	si4	
嫌	ʃiɛn8	～弃
嫖	piəu2	
嫡	ti3	
嫩	naŋ5	
子	tsai3	又tsɿ53
子	tsi7	猴～。又tsai11
孔	kʰoŋ7	
字	si6	
存	sən2	～钱
孫	saŋ1	
孝	ʃio5	～顺
孟	moŋ5	
季	tsi5	
孤	ku1	
學	io3	
學	ʃio3	开～
孽	ɲiɛ3	造～
寧	nin3	
宅	sa8	住～
守	səi3	
安	uən1	～心
宋	soŋ5	
完	uən2	
宏	xoŋ3	
宗	tsoŋ1	
官	kuən1	
宙	tsəu5	
定	tin6	
宜	ɲi3	
寶	pau7	
實	si3	～在
審	sən7	
客	kʰa7	
室	si3	
宪	ʃiɛn5	
宮	koŋ1	
宰	tsai7	
害	xai5	
宵	ʃiəu1	通～
家	ka1	
容	ɲʰioŋ2	～易
賓	pin1	
宿	səu3	
寄	tsi5	
寅	ɲin3	
密	mi3	
寇	kʰəu5	日～
富	fu5	
寒	xan3	大～小～
寡	kua3	
寨	sə6	
寸	tsʰaŋ5	
對	təi5	
寺	si6	
尋	tʃin2	
導	tau8	领～
壽	səi6	
封	xuaŋ1	
射	sa8	
將	tʃiaŋ1	～来|～军
將	tʃiaŋ5	大～
尊	tsən1	
小	ʃiau7	～学
少	səu3	
少	sau5	～年
尔	ŋ1	那。又ŋ11
尔	nɡə2	
尔	ŋ3	你。又ŋ44
尔	ŋ7	～门: 那么,那么做
尖	tsi1	～～:尖儿
尘	sən8	灰～
尚	saŋ6	和～
嘗	soŋ2	
尤	iəu3	～其
堯	iau3	
就	sai6	做～嘎:做完了
屍	si1	
尹	yn7	
尺	tsʰa7	
尻	tʃʰio3	～儿:睾丸
尼	ɲi3	～姑
尽	tʃin6	
尾	mi7	～巴
尾	uəi7	年～:年底。又mi53
尿	niəu5	
屁	pʰi5	
層	saŋ2	
居	tʃy1	
屈	tʃʰy3	委～
屆	tʃiɛ5	～首:兴安地名
屋	u7	
屎	si3	
屏	pio5	躲藏。卑正切
屑	si7	～屎:垃圾
屬	səu3	
屠	təu2	～行
山	sə1	～头
歲	səi5	
豈	tsʰi7	～有此理
岔	tsʰa5	
崗	koŋ1	
島	tau7	
岩	nɡo2	
岩	nɡai3	～洞
岭	nio7	
岳	io5	～丈
峯	xoŋ1	
崇	soŋ8	
崑	kʰuən1	
崔	tsʰəi1	
崙	nən3	崑～
崩	paŋ1	
崽	tsai7	
嵩	soŋ1	
川	tʃʰy1	四～
州	tsəi1	
州	tsəu1	
工	koŋ1	
左	tso5	
巧	tʃʰiau7	
差	tsʰa1	
己	tsi7	损人利～
已	i7	～经
巳	si6	
巴	pa1	
巾	tʃin1	
幣	si2	
幣	pi6	
市	si6	
布	pu5	
帥	sai5	元～
帆	kuan3	～布
師	si1	老～|～傅
希	si1	
帳	tsoŋ5	
帖	tʰi7	
帘	niɛn3	
帝	ti5	
帶	ta5	
席	si3	～面
席	tʃia8	草～
幫	paŋ1	
常	soŋ2	
帽	mu5	
幕	mu5	
干	kan5	～部
平	pio2	
年	ni2	过～
并	pin5	合～
幸	ʃin5	万～|～福
