#漢字	音標	解釋
□	ŋa1	～开，张开
一	ei7	十～
一	i7	
丁	tin1	
七	tsʰei7	
万	uaŋ5	
丈	tsʰaŋ1	一～布
三	so1	
上	saŋ3	～声
上	saŋ5	～面
下	xo1	
下	xo5	看一～
不	pɯ5	～来
丐	kai5	
專	tɕin1	
且	tɕʰiɛ3	
丕	pʰi3	
世	sɿ5	
丘	tɕʰi1	
丘	tɕʰiɛu1	
丙	pin3	
業	ni7	
叢	tsʰoŋ2	
東	toŋ1	
東	ɕio2	
絲	sɿ1	
丞	tsʰeŋ2	
丟	tiɛu1	
兩	liaŋ1	
兩	liaŋ3	
嚴	nin2	
喪	saŋ1	
喪	saŋ5	
个	kɯ5	
丫	ŋa1	
丫	o1	
中	tsoŋ1	
中	tsoŋ3	
中	tsoŋ5	
丰	foŋ1	
串	tsʰɯ5	
丹	taŋ1	
爲	uei2	
爲	uei5	
主	tɕy3	
丽	li5	
舉	tɕy3	
乃	nai3	
久	tɕi3	
么	mo1	
么	iau1	
義	ni5	
之	tsɿ1	
烏	u1	
乎	fu2	
乏	fa7	
樂	lo7	
樂	io7	
乒	pin1	
乓	paŋ1	
喬	tɕʰiau2	
乖	kuai1	
乘	seŋ2	
乜	miɛ1	
九	tɕiɛu3	
乞	tɕʰi7	
習	ɕi7	
鄉	ɕiaŋ1	
鄉	ɕio2	
書	ɕy1	
買	ma1	
亂	lɯ5	
乳	naŋ3	
乾	tɕʰin2	
了	liau3	
予	y3	
爭	tsaŋ1	
事	sa5	话～，说话，原书作“说”
二	ɛ5	
于	y1	
亏	kʰuei1	
云	in2	
互	fu5	
五	u3	
井	tseŋ3	
亞	ia5	
些	ɕiɛ1	
亟	tɕʰi7	
亡	uaŋ2	
交	kau1	～秋
交	tɕiau1	
交	kau5	～剪
亥	xai5	
產	tsʰaŋ3	
亨	xeŋ1	
畝	mɛu2	
享	ɕiaŋ3	
京	tɕin1	
亭	teŋ2	
亮	liaŋ5	
親	tsʰeŋ1	
亳	po7	
褻	ɕiɛ7	
人	nin2	
人	in2	
億	i5	
什	sɿ5	家～
仁	in2	
仄	tɕiɛ7	
仅	tɕin5	
仆	pʰo7	
仇	tsʰɛu2	
仇	tɕʰiɛu2	
介	ka5	
介	kai5	
仍	in2	
从	tsʰoŋ1	
从	tsʰoŋ2	
仑	leŋ2	
倉	tsʰaŋ1	
仔	tsai3	
仕	sɿ5	
他	tʰa1	其～
他	kei7	渠
仗	tsaŋ5	
付	fu5	
仙	ɕin1	
仝	toŋ2	
仟	tɕʰin1	
代	ta5	一～人
代	tai5	～替
令	lin5	
以	i3	
仨	sa1	
儀	ni2	
們	meŋ2	
仰	iaŋ2	
仲	tsʰoŋ5	
件	u3	
件	tɕin5	
价	ko5	
任	in5	
份	feŋ5	
仿	faŋ3	
企	tɕʰi5	
伉	kʰaŋ5	
伊	i1	
伍	u3	
伎	tɕʰi5	
伏	fu7	
伐	fa7	
休	ɕiɛu1	
众	tsoŋ5	
优	iɛu1	
伙	xɯ3	
會	fei5	开～
會	kʰuai5	～计
傘	so3	
偉	uei3	
傳	tɕʰin2	
伢	ŋa7	
倫	tsʰaŋ1	
倫	leŋ2	
僞	uei5	
伯	pai1	
估	ku1	
伴	pʰaŋ5	
伸	sei1	
伺	tsʰɿ5	
似	tsʰɿ5	
佃	tin5	
但	taŋ5	
位	uei5	
低	tai1	
住	tɕʰy5	
佐	tsʰo5	
佑	iɛu5	
佑	ioŋ5	保～
体	tʰi3	
何	xɯ2	
佗	tɯ2	
余	y2	
佚	i7	
佛	fu7	
作	tso5	
作	tso7	
你	nei1	
佣	ioŋ5	
佧	kʰa3	
佩	pʰei5	
佬	lau3	
佳	tɕia1	
佶	tɕi7	
佻	tʰiau1	
佼	tɕiau3	
使	sa3	
使	sɿ3	
侃	kʰaŋ3	
侄	tsɿ7	
侈	tsʰɿ3	
侉	kʰua3	
例	li5	
侍	tsʰɿ5	
侏	tɕy1	
侔	mɛu1	
侗	toŋ2	
侗	toŋ5	
供	koŋ1	
供	tɕioŋ1	
依	i1	
俠	ɕia7	
侣	ly3	
僥	iau1	
偵	tseŋ1	
側	tɕiɛ7	
儈	kʰuai5	
儕	tsʰai2	
儂	noŋ2	
侮	u3	
侯	xɛu2	
侯	xɛu5	
侵	tɕʰin1	
便	pi2	～宜
便	pi5	方～
便	pin5	随～
促	tsʰɯ7	
俄	ŋo2	
俅	tɕʰiɛu2	
俊	tseŋ5	
俎	tsu3	
俏	tɕʰiau5	
俐	li5	
俑	ioŋ3	
俗	sɯ7	
俚	li3	
保	pau3	
俞	y2	
俟	tsʰɿ5	
信	kuaŋ1	
信	seŋ5	
儔	tsʰɛu2	
儼	nin1	
儼	nin3	又音
倆	liaŋ3	
儷	li5	
倈	la1	～牯崽
儉	tɕʰin5	
修	ɕiɛu1	
俯	fu3	
俱	tɕy5	
俳	pai2	
俳	fei3	
俸	foŋ5	
俾	pʰi3	
倍	pei5	
倒	tau3	
倒	tau5	
倘	tʰaŋ3	
倚	tɕʰi1	
倚	i3	
借	tɕio5	
倡	tsʰaŋ5	
倥	kʰoŋ1	
倦	tɕin5	
倩	tɕʰin5	
倪	li7	
倭	o1	
倯	soŋ2	
值	tsɿ7	
傾	tɕʰin1	
偃	in3	
假	ko3	
假	tɕia3	～期
偌	io7	
偏	pʰi1	
偏	pʰin1	
做	tsu5	
停	teŋ2	
健	tɕin5	
偶	ŋɛu3	
偷	tʰai1	
僂	lɛu5	
償	saŋ3	
傀	kuei1	
傅	fu5	
傍	paŋ2	
傍	piɛ5	
傣	tai3	
儲	tɕʰy3	
儺	lo3	
催	tsʰei1	
傲	ŋau5	
傻	sa3	
像	tɕʰiaŋ5	
像	ɕiaŋ5	
僖	ɕi1	
僚	liau2	
僧	seŋ1	
僮	toŋ2	
僵	tɕiaŋ1	
僻	pʰi7	
儆	tɕin3	
儒	y2	
儿	ɛ2	
兀	ŋɛ7	
元	in2	
兄	ɕin1	
兄	ɕioŋ1	～弟
充	tsʰoŋ1	
兆	tsau5	
先	ɕi1	
光	kuaŋ1	
克	kʰɛ7	
免	min3	
兌	tei5	
兔	tʰu5	
党	taŋ3	
兜	tai1	
兜	tai5	～刀把
入	iei1	～去，进去的意思
全	tɕʰin2	
八	po7	
公	koŋ1	
六	liɛu7	
兮	ɕi1	
蘭	laŋ2	
共	koŋ5	
共	tɕʰioŋ5	
關	kuaŋ1	～系
關	kʰuaŋ1	～门
興	ɕin1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tin3	
兹	tsɿ1	
養	iaŋ1	
兼	tɕin1	
獸	sɛu5	
冀	i5	
內	nei5	～外
冇	mau1	
岡	kaŋ2	
冉	in3	
再	tsai5	
冒	mau5	
冕	min3	
冗	ioŋ3	
寫	ɕio3	
農	noŋ2	
冠	kuaŋ1	
冠	kuaŋ5	
冢	tsoŋ3	
冤	in1	
冥	min2	
