#漢字	音標	解釋
□	nyn2	土～，蚯蚓
□	həm2	打阿～，打哈欠
□	ȵai3	嚼
□	kəp7	～过去，合起来
□	niəp7	镊
□	kɛp7	～扣，按扣
□	iak7	～脚舞，类似于跳房子的游戏
□	uak7	挖
□	ɬəp8	～水芋，芋头煮的不软也不硬
□	kʰəp8	～嘴，表示闭嘴
□	pʰat8	用手拨拉东西
□	fat8	～起来，表示拉起来
□	lat8	倒～走，表示倒退着行走
□	ŋat8	～人，骗人
□	kot8	～臂，一只手臂断掉的人
□	tak8	～松被子，叠被子前把被子展平
□	tək8	～头发，梳头发时动作
一	i2	
丁	tin1	
七	tʃʰi2	
万	uan5	
丈	tʃiaŋ5	
三	ɬan1	
上	ʃiaŋ5	
下	hia5	
丐	kʰai5	
丑	tʃʰiou3	
專	tʃyɛn1	
且	tʃʰɛ3	
世	ʃi5	
丘	hiou1	
丙	pin3	
業	niɛ2	
叢	tʃʰoŋ2	
東	toŋ1	
絲	ɬɿ1	
丞	tʃʰin2	
丟	tiou1	
兩	liaŋ3	
嚴	niɛn2	
喪	ɬaŋ1	婚～
喪	ɬaŋ5	～失
个	ko5	
丫	ia1	
中	tʃoŋ1	～间
中	tʃoŋ5	～奖
丰	foŋ1	
串	tʃʰyɛn5	
臨	lin2	
丸	yɛn2	
丹	tan1	
爲	uei2	
主	tʃy3	
丽	li5	
乃	nai3	
久	kiou3	
義	i5	
之	tʃi1	
烏	u1	
乎	hu1	
乏	fa2	
樂	io2	音～
喬	kʰiau2	
乖	kuai1	
乘	tʃʰin2	
乙	iɛ2	
九	kiou3	
乞	i2	
也	iɛ3	
習	ɬi2	
鄉	hiaŋ1	
書	ʃy1	
買	mai3	
亂	ion5	
乳	nuei3	
了	liau3	
爭	tʃən1	
二	ə5	
于	y1	
虧	kʰuei1	
雲	yn2	
互	u5	
五	u3	
井	tʃin3	
亞	ia1	
些	ɬiɛ1	
亡	maŋ2	
交	kiau1	
亥	hai2	
亦	i2	
產	tʃʰan3	
亨	həŋ1	
畝	mu3	
享	hiaŋ3	
京	kin1	
亭	tʰin2	
亮	liaŋ5	
親	tʃʰin1	
人	in2	
億	i5	
什	ʃi2	
仁	in2	
僅	kin3	
仆	pʰu2	
仇	tʃʰiou2	
今	kin1	
介	kai5	
仍	nin2	
从	tʃʰoŋ2	
仑	lən2	
倉	tʃʰaŋ1	
仕	sɿ5	
他	tʰa1	
仗	tʃiaŋ5	
付	fu5	
仙	ɬiɛn1	
代	tai5	
令	lin5	
以	i3	
儀	i5	
仰	niaŋ3	
仲	tʃoŋ5	
件	kiɛn5	
價	kia5	
任	in5	
份	fən5	
仿	faŋ3	
企	ki5	
伍	u3	
伏	fu2	
伐	fa2	
休	hiou1	
衆	tʃoŋ5	
優	iou1	
伙	ho3	
會	huei5	
傘	ɬan3	
偉	uei3	
傳	tʃʰyɛn2	～奇
傳	tʃyɛn5	自～
傷	ʃiaŋ1	
倫	lən2	
伯	pə2	
估	ku3	
伴	pon5	
伶	lin2	
伸	ʃin1	
伺	tsɿ5	
似	tsɿ5	
但	tan5	
位	uei5	
低	ti1	
住	tʃy5	
佐	tʃo3	
佑	iou5	
體	tʰi3	
何	ho2	
余	y2	
佛	fu2	
作	tʃo2	
你	ni3	
佩	pʰei5	
佳	kia1	
使	ʃi5	
侄	tʃi2	
例	li5	
侍	tsɿ5	
供	koŋ1	～应
供	koŋ5	～养
依	i1	
俠	kia2	
僥	hiau2	
偵	tʃin1	
側	tsə2	
側	tʃək7	
僑	kʰiau2	
儂	noŋ2	
侮	u3	
侯	hou2	
侵	tʃʰin1	
便	piɛn1	～宜
便	piɛn5	方～
促	tʃu2	
俊	tʃin5	
俗	ɬu2	
俘	fu1	
保	pau3	
信	ɬin5	
儼	niɛn2	
倆	liaŋ3	
儉	kiɛn5	
俯	fu3	
俸	foŋ1	
倍	pei5	
倒	tau3	
倘	tʰaŋ3	
倚	i3	
借	tʃɛ5	
倡	tʃʰiaŋ5	
倦	kyɛn5	
債	tʃai5	
值	tʃi2	
傾	kʰin1	
假	kia3	
偏	pʰiɛn1	
做	tʃo5	
停	tʰin2	
健	kiɛn5	
偶	ŋou3	
偷	tʰou1	
償	ʃiaŋ3	
傀	kʰuei3	
傅	fu5	
傍	pʰaŋ2	
儲	tʃy5	
催	tsʰuei1	
傲	ŋau5	
傻	ɬo2	
像	ɬiaŋ3	
僚	liau2	
僧	tʃən1	
僳	lei3	
僵	kʰiaŋ1	
僻	pʰi2	
儒	y2	
儡	lei3	
兒	ə2	
允	in3	
元	yɛn2	
兄	hioŋ1	
充	tʃʰoŋ1	
兆	tʃiau5	
先	ɬiɛn1	
光	kuaŋ1	
克	kʰə2	
免	miɛn3	
兌	tei5	
兔	tʰu5	
黨	taŋ1	
兜	tou1	
入	y2	
全	tʃʰyɛn2	
八	pa2	
公	koŋ1	
六	lu2	
蘭	lan2	
共	koŋ5	
關	kuan1	
興	hin1	
興	hin5	
兵	pin1	
其	kʰi2	
典	tiɛn3	
兹	tsɿ1	
養	iaŋ3	
兼	kiɛn1	
獸	ʃiou5	
岡	kaŋ1	
冉	iɛn3	
冊	tsʰə2	
再	tʃai5	
冒	mau5	
寫	ɬiɛ3	
軍	kyn1	
農	noŋ2	
冠	kon1	
冠	kon5	
冤	yɛn1	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tʃʰoŋ1	
决	kʰyɛ2	
况	kʰuaŋ5	
冷	lən3	
凍	toŋ5	
淨	tʃin5	
凄	tʃʰi1	
準	tʃyn3	
凉	liaŋ2	
凌	lin2	
湊	tʃʰou5	
凝	ni2	
几	ki1	茶～
几	ki3	～个
凡	fan2	
凭	pʰin2	
凱	kʰai3	
凰	uaŋ2	
凳	təŋ5	
凶	hioŋ1	
凸	tət8	
凹	o1	
凹	məp7	
出	tʃʰy2	
擊	ki2	
函	han2	
鑿	tʃʰo2	
刀	tau1	
刁	tiau1	
刃	in5	
分	fən1	
切	tʃʰɛ2	
刊	kʰan1	
刑	hin2	
划	hua2	
划	hua5	
列	liɛ2	
劉	liou2	
則	tsə2	
剛	kaŋ1	
創	tʃʰuaŋ1	
初	tʃʰu1	
刪	ʃan1	
判	pʰon5	
刨	pʰau2	
利	li5	
别	piɛ2	
