#漢字	音標	解釋
一	nhaats	
丁	ddinh	
丁	cheenh	
丁	tranhf	
丂	khaor	
七	thaats	
万	vanj	
万	mawcj	
丈	truwowngj	
三	tam	
三	tams	
上	thuwowngj	
上	thuwowngs	
下	haj	
下	has	
不	baats	
不	phaauf	
不	phur	
不	phi	
不	phu	
与	duwx	
与	duwj	
与	duw	
丏	dieenx	
丏	cais	
丐	cais	
丑	suwur	
丑	xus	
專	chuyeen	
且	thar	
且	thuw	
丕	phi	
世	thees	
丘	khaau	
丘	khieeu	
丙	binhs	
業	nghieepj	
叢	tungf	
東	ddoong	
絲	ti	
丞	thuwaf	
丞	chuwng	
丟	ddaau	
兩	langj	
丟	ddaau	
丣	daauj	
兩	luwowngx	
兩	langj	
嚴	nghieem	
並	tinhj	
喪	tang	
喪	tangs	
丨	coonr	
个	cas	
丫	nha	
中	trung	
中	trungs	
丯	phong	
丰	phong	
丱	quans	
串	xuyeens	
串	quans	
臨	laam	
臨	laams	
丶	chur	
丸	hoanf	
丹	ddan	
爲	vi	
爲	vij	
主	chur	
丽	leej	
丽	li	
舉	cuwr	
丿	phieetj	
丿	trieetj	
乀	phaatj	
乂	ngheej	
乃	naix	
乃	ais	
久	cuwur	
乆	cuwur	
么	yeeu	
么	ma	
義	nghiax	
之	chi	
烏	oo	
乍	saj	
乍	tacs	
乎	hoof	
乎	hoo	
乏	phapj	
樂	nhacj	
樂	lacj	
樂	nhaoj	
乒	binh	
乓	bangf	
喬	kieeuf	
乖	quai	
乘	thuwaf	
乘	thawngj	
乙	aats	
九	cuwur	
九	cuwu	
乞	khaats	
乞	khis	
也	dax	
習	taapj	
鄉	huwowng	
書	thuw	
乩	kee	
買	maix	
亂	loanj	
乳	nhux	
乾	can	
乾	kieenf	
乾	canf	
亂	loanj	
亅	quyeets	
了	lieeux	
予	duwx	
予	duw	
爭	tranh	
爭	tranhs	
事	suwj	
二	nhij	
亍	xucs	
于	vu	
于	hu	
于	uw	
亏	khuy	
云	vaan	
互	hoox	
五	ngux	
井	tinhr	
亘	tuyeen	
亘	hoanf	
亙	cawngs	
亞	as	
些	ta	
些	tas	
亞	as	
亞	as	
亟	cuwcs	
亟	khis	
亠	ddaauf	
亡	vong	
亡	voo	
亢	khangs	
亢	cang	
亢	cuwowng	
交	giao	
亥	howij	
亦	dieecj	
產	sanr	
亨	hanh	
亨	huwowngr	
亨	phanh	
畝	maaux	
享	huwowngr	
京	kinh	
京	nguyeen	
亭	ddinhf	
亮	luwowngj	
亯	hanh	
親	thaan	
親	thaans	
亳	bacj	
褻	tieets	
亶	ddanr	
嚲	ddar	
亹	vir	
亹	meen	
亹	moon	
人	nhaan	
亻	nhaan	
億	uwcs	
什	thaapj	
什	thaamj	
仁	nhaan	
仃	ddinh	
仄	trawcs	
仅	caanj	
仆	phos	
仆	boocj	
仇	cuwuf	
仉	chuwowngr	
今	kim	
介	giowis	
仌	bawng	
仍	nhuwng	
从	tongf	
从	tungj	
从	thung	
从	tungs	
从	tung	
从	tungf	
佛	phaatj	
仑	loon	
倉	thuwowng	
倉	thangr	
仔	tuwr	
仔	teer	
仕	six	
他	tha	
仗	truwowngj	
付	phos	
仙	tieen	
仝	ddoongf	
仞	nhaanj	
仟	thieen	
仡	ngaatj	
代	ddaij	
令	leenhj	
令	linh	
以	dix	
儀	nghi	
們	moon	
仰	nguwowngx	
仲	trongj	
仳	tir	
仵	ngoox	
件	kieenj	
价	giowis	
价	gias	
任	nhaamj	
任	nhaam	
任	nhieemj	
份	phaanf	
份	baan	
仿	phangr	
仿	phongr	
企	xis	
伃	duw	
伉	khangs	
伊	y	
伋	caaps	
伍	ngux	
伎	kix	
伏	phucj	
伏	phu	
伐	phatj	
休	huwu	
伕	phu	
众	chungs	
优	uwu	
伙	hoar	
會	hooij	
會	coois	
傴	ur	
傘	tans	
傘	tanr	
偉	vix	
傳	truyeenj	
傳	truyeenf	
傳	truyeens	
傷	thuwowng	
倀	tranhf	
倫	luaan	
傖	sanh	
僞	nguyj	
佇	truwx	
伯	bas	
伯	bachs	
估	coor	
伱	neex	
伴	banj	
伶	linh	
伸	thaan	
伺	tis	
伺	tuws	
伻	binhf	
似	tuwj	
伽	giaf	
佃	ddieenf	
但	ddanx	
佇	truwx	
佈	boos	
佉	khuw	
佋	thieeuj	
佋	chieeu	
位	vij	
低	ddee	
住	truj	
住	trus	
佐	tas	
佑	huwuj	
体	theer	
佔	chieem	
佔	chieems	
何	haf	
佗	ddaf	
佗	tha	
佘	xaf	
余	duw	
佚	daatj	
佚	ddieetj	
佛	phaatj	
佛	phaats	
佛	bootj	
佛	baatj	
作	tacs	
佝	caau	
佞	ninhj	
佟	ddoong	
你	nhix	
你	neex	
佣	dong	
僉	thieem	
佩	booij	
佬	laox	
佯	duwowng	
佰	bachs	
佰	machj	
佳	giai	
佴	nhij	
佴	naij	
併	tinhs	
佶	cats	
佺	thuyeen	
佻	ddieeu	
佻	ddieeuj	
佻	dieeu	
佼	giaor	
佽	thuws	
佾	daatj	
使	suwr	
使	suws	
侁	saan	
侁	taan	
侃	khanr	
侄	chaats	
來	lai	
來	laix	
侈	xir	
例	leej	
侌	aam	
侍	thij	
侏	chu	
侑	huwuj	
侔	maau	
侖	loon	
侗	ddoongf	
侗	ddoongj	
侘	sas	
侚	tuaanx	
供	cung	
依	y	
依	yr	
俠	hieepj	
侣	luwx	
僥	nghieeu	
僥	kieeur	
偵	trinh	
側	trawcs	
僑	kieeuf	
儈	quais	
儕	saif	
侫	ninhj	
儂	noong	
侮	vux	
侯	haauf	
侵	xaam	
侶	luwx	
侷	cucj	
