#漢字	音標	解釋
□	mi1	摆弄
□	nəu1	低级
□	təu3	尽可以
□	tɕiəu5	拧
□	βi7	放置
㞘	təu7	底部；猛坐
一	i7	
七	ʑi7	
与	y3	
丑	zəu3	
丕	βi1	
世	sɿ5	
丘	ʑiəu1	
爲	wi2	
爲	wi6	
主	tɕy3	
丽	ɾi6	
舉	tɕy3	
久	tɕiəu3	
義	ŋi6	
之	tsɿ1	
烏	u1	
乎	fu2	
乙	i7	
九	tɕiəu3	
乞	ʑi7	
習	ɕi7	
乳	y3	
予	y2	第一人称
事	sɿ6	
二	y6	
于	y2	
虧	wi1	
互	fu6	
五	u3	人名，一～一十
亟	ʑi7	
亦	i7	
億	i5	
仆	βu7	
仇	zəu2	
仔	tsɿ3	
仕	sɿ6	
付	fu5	
以	i3	
儀	ŋi2	
仵	u3	
企	ʑi6	
伊	i1	
伍	u3	
伎	ʑi6	
伏	fu7	
休	ɕiəu1	
優	iəu1	
會	fi6	
偉	wi6	
僞	wi6	
估	ku1	
伺	zɿ2	
伺	sɿ6	
似	sɿ6	
位	wi6	
低	ti1	
住	ʑy6	
佑	iəu6	
體	ɾi3	
余	y2	
佚	i7	
你	ni3	
佩	βi5	
使	sɿ3	
侄	zɿ7	
侈	zɿ3	
例	ɾi6	
侍	sɿ6	
侏	tɕy1	
依	i1	
侣	y3	
侮	u3	
促	zəu7	
促	ʑiəu7	
俅	ʑiəu2	
俐	ɾi6	
俗	ɕiəu7	
俘	fu2	
俞	y6	
修	ɕiəu1	
俯	fu3	
俱	ʑy6	
倍	βi6	
倚	i1	
倪	ŋi2	
值	zɿ7	
做	tsɿ5	
做	tsəu5	
傅	fu5	
儲	zəu2	
催	ʑi1	
僻	βi7	
儒	y2	
儡	ɾi3	
兒	y2	
兀	u6	
兌	ti5	
兔	ɾəu5	
兔	nəu5	
六	ɾiəu7	
兮	ɕi1	
其	ʑi2	
具	ʑy6	
兹	tsɿ1	
獸	səu5	
冀	tɕi5	
內	ni6	
內	ŋi6	
農	nəu2	
凄	ʑi1	
凝	ŋi2	
几	tɕi1	
几	tɕi3	
凸	ɾəu7	
擊	tɕi7	
劉	ɾiəu2	
初	zɿ1	～五
初	zəu1	
利	ɾi6	
制	tsɿ5	
刺	zɿ5	
劊	kwi5	
劑	tɕi5	
剃	ɾi5	
剔	ɾi7	
劇	tɕy5	
副	fu5	
劈	βi7	
力	ɾi7	又ɾin
務	u6	
助	zɿ6	
助	zəu6	
努	nəu3	
勵	ɾi6	
勢	sɿ5	
匍	βu2	
匐	fu2	
匕	pi3	
匙	sɿ2	
匪	fi3	
匹	βi7	又βin
區	ʑy1	
醫	i1	
匿	ŋi7	
午	u3	
卉	fi5	
卜	βu7	
盧	nəu2	
卤	nəu3	
衛	wi6	
危	wi2	
即	tɕi7	
历	ɾi7	
厲	ɾi6	
廁	zɿ5	
厘	ɾi2	
廚	ʑy2	
去	ʑy5	
又	iəu6	
及	ʑi7	
友	iəu3	
叔	fy7	又ɕy
取	ʑi3	
受	səu6	
敘	ɕi6	
古	ku3	
句	tɕy5	
只	tsɿ3	
只	tsɿ7	
叱	zɿ7	
史	sɿ3	
右	iəu6	
吉	tɕi7	
吏	ɾi6	
吐	ɾəu5	
吕	y3	
吕	ɾi3	
吠	fi5	
启	ʑi3	
吱	tsɿ1	
吴	u2	
吸	ɕi7	
吸	tɕi7	
吹	ʑy1	
吾	u2	
嗚	u1	
周	tsəu1	
味	wi6	
呼	fu2	
咀	tɕi3	
和	fu2	～牌
咎	ʑiəu6	
咐	fu5	
咒	tsəu5	
咕	ku1	
咨	tsɿ1	
