#漢字	音標	解釋
□	dʑʰia5	
□	dzʰai6	～雨，淋雨
㪕	dʰɑu1	
㪗	dʰɛ3	
㿭	dzʰaʔ7	
䜺	tsɛʔ7	
一	iʔ7	
丁	tiɑŋ1	
七	dʑʰiʔ7	
丈	dʰɔŋ6	
三	san1	
上	sɔŋ6	
下	ha3	
下	ha6	
不	pənʔ7	
丐	kai5	
丑	dʰəu3	
丕	bʰi1	
世	sɿ5	
丘	dʑʰiəu1	
丙	pin3	
丞	sən2	
丟	tiəu1	
並	bʰin6	
丫	ŋa1	
中	tən1	
中	tən5	
串	dʰœn5	
丸	yɛn2	
丹	tan1	
主	təu3	
乃	nai3	
久	tɕiəu3	
么	iɑu1	
之	tsɿ1	
乎	fu1	
乏	faiʔ7	
乖	kuai1	
乘	sən2	
乙	iʔ7	
九	tɕiəu3	
乞	dʑʰiʔ7	
也	ia3	
乳	y3	
乾	kœn1	
乾	dʑʰiɛn2	
亂	nœn6	
了	nɛ3	
事	sɿ6	
二	y6	
于	y2	
云	yn2	
互	fu6	
五	ŋ3	
井	tɕiɑŋ3	
些	ɕia1	
亞	ia5	
亡	uɔŋ2	
交	kɑu1	
亥	hai6	
亦	iʔ7	
亨	hɑŋ1	
享	ɕiɔŋ3	
京	tɕin1	
亭	dʰin2	
亮	dʰiɔŋ6	
人	ȵin2	
什	sənʔ7	
仁	ȵin2	
仆	bʰuʔ7	
仇	dʰəu2	
仇	dʑʰiəu2	
今	tɕin1	
介	kai5	
仍	in2	
仕	sɿ6	
他	dʰa1	
仗	dʰɔŋ6	
付	fu5	
仙	ɕiɛn1	
代	dʰai6	
令	dʰin6	
以	i3	
仰	ȵiɔŋ3	
仲	dzʰən6	
件	dʑʰiɛn6	
任	ȵin6	
份	fən6	
仿	fɔŋ3	
企	dʑʰi3	
伊	i1	
伏	fuʔ7	
伐	faiʔ7	
休	ɕiəu1	
伢	ŋa2	
伯	paʔ7	
估	ku1	
伴	bʰœn6	
伶	dʰin2	
伸	sən1	
伺	dzʰɿ5	
似	sɿ6	
佃	dʰiɛn6	
但	dʰan6	
佈	pu5	
位	ui6	
低	ti1	
住	dʰəu6	
佐	tso3	
佔	tœn5	
何	ho2	
佘	sa2	
余	ui2	
佛	fənʔ7	
作	tsoʔ7	
佞	ȵin6	
佢	iɛ3	
佩	bʰi5	
佳	tɕia1	
併	pin5	
使	sɿ3	
來	nai2	
侈	dzʰɿ3	
侉	ua3	
例	dʰi6	
