#漢字	音標	解釋
□	lɛ0	相当于动词后头作补语的助词“得”,用“来”替代
□	kɔ0	相当于助问“的”的“各”的变体
□	kɤ0	的,用“个”替代
□	li1	提
□	ɕi1	撒：～草
□	tsu1	凸起:～出来-块
□	su1	～腿.抖腿
□	u1	陷入
□	tʰa1	遗尿:～尿
□	xa1	割取:～点肉下来
□	ia1	溜，避開，閃身
□	tei1	投放,～豆种
□	uei1	～草,水草
□	pʰɔ1	滚。～下来
□	xɔ1	鱼肉或食油等经久变质,有哈喇味
□	ɕiɔ1	掀.掲:被子～起来:～到第几页
□	nɤ1	当地妇女旧时的取名.一般写作“奴”
□	kʰɤ1	围:太阳～.日晕
□	xɤ1	～头,一时想起
□	pʰaŋ1	酸～气,食品变酸的气味
□	kaŋ1	争着比高下:～酒
□	kʰuaŋ1	～得～不得,舍不舍得
□	kʰuaŋ1	初步估算:～～看,要多少钱
□	xuaŋ1	蛋～.蟹～.“黄”的音变
□	koŋ1	钻入
□	yoŋ1	软瘫下来
□	yoŋ1	绕线:～绒线
□	tʰəŋ1	烟或臭气勲人:～臭气
□	kəŋ1	～～.大便的俗称
□	kʰəŋ1	翻动寻找,带有贬义
□	xəŋ1	斗嘴.刺激他人
□	uəŋ1	麦～:麦壳、麦芒等混合物
□	ɕiɪ̃1	称物时秤尾高
□	pæ̃1	东～.东边
□	fæ̃1	水放少了,饭或面较干硬
□	fæ̃1	老人身體硬朗
□	kæ̃1	钳:蟹～人
□	kuæ̃1	不经意地看到
□	xuæ̃1	老年人身体硬朗
□	tum̩1	稍微沾一点:～点尝尝
□	tʰum̩1	铺床:～床
□	tʰum̩1	坡度小,跟“断”相对
□	um̩1	～口.像酒坛那种口形
□	tɕym̩1	虫蛀
□	tɕʰym̩1	滑下来:当心～下来:拉稀:肚里～
□	bi2	称物时称尾低
□	di2	量词.粒:几～寒豆
□	ba2	拉,拽:～虾网,～架
□	va2	～锄.即锄头
□	da2	挪动,转移:延宕
□	da2	暂借:～点钱
□	ɣa2	应答的疑问词:～,你说嗲?
□	dʑia2	能幹：兇橫
□	ɡua2	走路时腿歪的～子
□	ua2	～裆：腿裆
□	zɛ2	都
□	ɡɛ2	碰，惹.格个人～不得
□	dei2	整理，拿材料一～好
□	ɣei2	兒子，男
□	dʑiɔ2	盖子不盖紧,露一点缝:拿盖头～点
□	ɡo2	骑跨，～来凳里;生吃硬～.强买或强占
□	ŋo2	啃;～玉米
□	ʑyo2	鱼类变质,鱼肉变松:引申为懦弱无能:～货
□	bɤ2	玩弄:～火
□	mɤ2	遮～,遮蔽:太阳遮～
□	dɤ2	硌，～脚
□	dzɤ2	催眠动作,轻轻拍拍婴儿
□	ɣɤ2	蛼～.文蛤
□	ɡaŋ2	推挤,又音gəŋ113
□	vəŋ2	方言字,未曾的合音,副词
□	dzəŋ2	种蚕豆，～寒豆
□	ɡəŋ2	推挤
□	ɕiŋ2	
□	dʑiɪ̃2	～较跟人攀比
□	ɡuæ̃2	低头弯腰:～下米，垂下，稻～头作
□	dum̩2	收最在地窖里:～地瓜种
□	fu3	抛撒
□	xu3	又音.抛洒
□	la3	用筢子搂柴草
□	tsa3	～脸,指胆量、能耐:你果有～?
□	tɕia3	驱牛的吆喝声
□	tɕʰya3	唆狗咬人，引申为唆使
□	pʰɛ3	投弄:仔细～～,拣练干净:拨拉:～算盘珠
□	tsʰɛ3	播种后用锄头再蒙上一层土:～趟子
□	xuɛ3	俗语.大吃,带有戏谑性
□	uɛ3	晃动
□	ɕyɛ3	俗语,吃,带有戏谑性
□	tei3	指别的疑问词,什么,～东西
□	tsei3	油炸:～油条,～长生果
□	ɕiei3	頑皮，格小安忒～
□	nɔ3	表示给予或近指的指示词:～.拿去|～,来～格那，在这儿
□	miɔ3	斜著眼睛微看一下:～～
□	tʰiɔ3	让人占便宜:～你发财
□	tɕiɔ3	外～,即外行
□	tɕiɔ3	壅根时把土翻到根部的动作
□	niɔ3	～调,什么都不如意,吵闹不体.一般指小孩
□	kʰo3	骨鲠在喉
□	kʰo3	塞:身里～～杀杀
□	o3	呕吐
□	tɕyo3	爱打扮:她蛮～各
□	mɤ3	沿着地围慢慢移动:拿只缸～过籴
□	mɤ3	～～;估算
□	lɤ3	～嘴,有涩味
□	lɤ3	用筛子随粮食时,把要除去的杂物扰在一起的动作
□	tsʰɤ3	唆使人相斗:你和他～
□	kɤ3	表疑问副词,加在动词前,构成“可vp”式
□	ɤ3	～逸,安逸
□	laŋ3	稀疏:齜牙～齿.牙齿又外露又稀疏
□	uaŋ3	缚:～车
□	tɕyaŋ3	把散乱之物整理整齐:～牌
□	tʰoŋ3	暫借
□	tsoŋ3	吃,詈语:你快点～
□	tsəŋ3	挤压:～牙膏.～牛奶
□	tsʰəŋ3	捧起来抖几下,淘汰差的
□	uəŋ3	大鱼游过时水面出现的旋涡
□	tɕyŋ3	称物时秤尾高
□	ɕiɪ̃3	扯,撕，～叶子
□	næ̃3	以物强予人或强要作人购物,又读阳去
□	kʰum̩3	被绊脚差一点向前跌倒
□	bu4	坍塌
□	vu4	木匠打眼的动作:～钻,打眼的工具
□	ʑy4	把过长的竹木锯掉或把绳索扯断一截
□	za4	哆嗦
□	ɡua4	叉开：～脚拉手，站立不正的样子
□	dʑya4	同tɕʰya51
□	ɡɛ4	嗳气.打饱嗝儿
□	ɣɛ4	表懊恼伤感的叹词
□	dei4	煩躁不安，他～殺作:吃了不消化
□	ʑiei4	掙扎
□	ʑyei4	储存,积囊:～点钱起房子
□	dʑiɔ4	～座前:七数里,即死后七七四十九天内,一天三次,灵位前上供,座即座子,供奉灵位处
□	ɣɤ4	表惊叹的语气词
□	zaŋ4	身体上下抖动
□	ɡəŋ4	鲁莽,生硬:死心眼儿,不灵活:脾气倔强
□	tsɿ5	引诱:你～我上当
□	tʰi5	和面时水掺多了,太黏糊，面忒～
□	ɕi5	液体沿着器壁或縫隙慢慢向上移动
□	fu5	用牙齿瓣去芦粟等皮儿
□	tsa5	～边～沿,指大小长短正好够到
□	sa5	看～姆;亲友探望产妇,一般在产后一周左右
□	ka5	～二胡.即拉二胡
□	ka5	～里:这上面,这里面
□	tia5	什么，起称代作用的疑问词:你说～?
□	kɛ5	～～.这样
□	kuɛ5	～～.那样
□	mei5	觅
□	tsʰei5	把柴火塞进灶膛里烧:～火
□	nɔ5	表示远指的指示词:～,来～骨那，在那儿
□	sɔ5	齿外露:牙齿～各
□	kɔ5	糟蹋:～作
□	kʰɔ5	买酒、油等:～酒.～油
□	tiɔ5	～～儿·很少
□	ɕiɔ5	豆荚、油菜等的果实因成熟而裂开
□	tɕyo5	往下用劲,赖着不走:他～好仔不肯跑,～丧,棺材拍起来时感到特別重
□	pʰɤ5	量词.次,遍:衣裳过仔两～,书念仔三～
□	mɤ5	腌制鱼肉时,先用少许盐擦拭
□	ŋɤ5	～冲冲.慢慢地
□	laŋ5	枝～,技条
□	tsʰaŋ5	磨擦:身上痒～～
□	saŋ5	～里～唐.穿着不利索
□	kaŋ5	填土使之高:沟坎～高点
□	kaŋ5	摊:～烧饼
□	xaŋ5	抵挡.承担:你果～得住?
□	kuaŋ5	抚摩
□	kuaŋ5	裂开:～㿭
□	pʰoŋ5	打牌用語,已有一对,吃进一张,凑成三张
□	foŋ5	～篤：浮肿
□	loŋ5	用锅铲攪拌,以防烧糊
□	tsʰoŋ5	～手,扒手
□	tsʰoŋ5	～～,溜达
□	tsʰoŋ5	～货,质次价高的货
□	tsəŋ5	大便时屏气用劲
□	xəŋ5	担,耐饥
□	xəŋ5	食物未煮软;肉皮～各
□	xəŋ5	爱理不原的情态;他人忒～
□	iŋ5	熄灭
□	kuəŋ5	焖:煮开仔再～～,闷热天气
□	tɕiɪ̃5	～裙,旧妇女穿的
□	tɕiɪ̃5	斜插进去
□	tɕʰiɪ̃5	牵扯:～手夺脚
□	iɪ̃5	小孩好动而顽皮
□	pæ̃5	门～扣,门鼻儿
□	tsʰæ̃5	推翻.傾倒
□	kæ̃5	擦屁股
□	kæ̃5	言语伤人
□	tɕʰym̩5	用刀铲草
□	tɕʰym̩5	根茎分孽:～仔好幾个头:蔓延:癢瘡～仔一身
□	ni6	
□	bu6	蹲:～绣房
□	ɡu6	污垢附著在人体或器物上:～手,沾手
□	y6	条播种子:～麦
□	dza6	拉肚子:肚里～
□	za6	溜走,窜:他～拉作
□	za6	～子.柴火垛
□	ŋa6	～子,文蛤的俗名,又叫蛼蜊;蛎～.一种贝类
□	dʑia6	撇尿：～尿
□	lɛ6	在,介词:住～哪里:副词,一落雨:动词:～屋里，用“来”替代
□	ʑiɛ6	卖～.装穷酸出洋相
□	dzei6	疊:拿碗～起来
□	ɣei6	就,副詞:～来各
□	dʑiei6	疊，補丁～補丁
□	dzɔ6	～七～八,乱猜乱说
□	zɔ6	踩踏
□	ɡɔ6	纠缠不休,扰乱:头脑糊涂错乱
□	dʑyo6	弯腰蹲下
□	mɤ6	盘旋飞翔
□	laŋ6	繩索沒繃緊住下彎
□	ɡuaŋ6	洒泼:～点水.浇浇菜:用长柄镰刀大幅度地割草
□	dʑyaŋ6	动词，往上堆叠:～上去:量词,叠:一～书
□	dəŋ6	～怂,说反话挖苦人
□	dəŋ6	缝纫方法:～被子
□	zəŋ6	头低下
□	yŋ6	热敷
□	bæ̃6	靜～.安靜
□	dæ̃6	～块.这里
□	næ̃6	以物强给与人
□	ɣum̩6	～田,平整水田
□	um̩6	钢板有图案的一面
□	laʔ7	拦
□	tsʰaʔ7	舀取非液体
□	kaʔ7	“个啊”的合音词,表疑网,用于句末
□	kʰaʔ7	从上壓下:当心上头东西～下来
□	xaʔ7	相当于“给”,动词,介詞:表被动
□	xaʔ7	痕迹
□	liaʔ7	舔碗的动作
□	tɕiaʔ7	瘸,～子
□	tɕʰiaʔ7	嵌入.插入;～板
□	kʰuaʔ7	～辣子,块状物,大致相当于“疙瘩”
□	xuaʔ7	跨過：一～候過去
□	xuaʔ7	甩：東溝～到西溝
□	moʔ7	疣
□	noʔ7	～子.尿布
□	loʔ7	两手抓着杆上往上爬
□	xoʔ7	贴近,紧挨;～来一道:～嘴·接吻
□	kuoʔ7	～腮.腮帮子
□	kuoʔ7	屋架上有几根檩条叫几～:在～五～头房子
□	kʰuoʔ7	器物口下放置:～下来
□	xuoʔ7	农作物植株密而生长时旺,影响间种的作物:玉米～黄豆
□	ȵyoʔ7	用力揉搓
□	yoʔ7	使竹子变直或者变弯
□	fəʔ7	～疱,水疱
□	fəʔ7	分解开来:拿绳～开来
□	fəʔ7	腐朽:木头～啦作,引申为窝囊;他尼个老～.又说xuəʔ34
□	təʔ7	粘
□	təʔ7	跺:～脚
□	tsəʔ7	～脈，把～
□	tsʰəʔ7	系.栓:拿鞋帶～好仔
□	kəʔ7	這.指小代词
□	kiəʔ7	～个,～格一:kəʔ34 iəʔ34 的合音
□	iəʔ7	～虫子,变质的面粉中生出的小虫子
□	kuəʔ7	指示代问,那:～个,那个
□	kʰuəʔ7	粮食,衣物等因存放时间过长而变质
□	xuəʔ7	腐朽,又音fuəʔ34
□	xuəʔ7	～疱,水疱
□	zaʔ8	～进～出:.凹凸不平
