#漢字	音標	解釋
㐸	kʰɵn5	
㒨	sen1	
㒹	ten1	
㓻	kiaŋ1	
㕗	jeu5	不符合該方言古今對應規律。
㕛	jeu1	
㖒	ta2	
㚷	nɵ1	
㛐	sau3	
㛮	sau3	
㝱	mɔŋ6	
㞙	ȵiɛu6	
㞡	tʃen3	
㠀	tau3	
㠯	ji3	
㡨	tsʰen1	
㢓	tʃɛn5	
㢡	tsɛn3	
㨨	tʃʰeu1	
㨾	jɛn6	
㩒	kʰʌn2	
㩧	pʰɑu6	
㪬	tʃʰɵ1	不符合該方言古今對應規律。
㪷	tɑu3	一斗。
㬉	noŋ1	
㬱	tʰɵ5	
㭊	sei6	
㭰	tsʌu3	
㮚	lei1	
㮣	kʰɵ5	不符合該方言古今對應規律。
㮤	tsʰɔŋ2	松木。
㱕	kᵛuei1	
㱿	hau6	
㲈	ʃɛu2	韶關。
㳂	joŋ2	
㳅	leu2	
㸣	nei1	
㽵	tʃaŋ1	
㾛	tʃʰʌn3	不符合該方言古今對應規律。
䃺	mɔu6	石磨。
䄬	ji2	
䆫	tʃʰoŋ1	不符合該方言古今對應規律。
䆫	tsʰaŋ1	不符合該方言古今對應規律。
䈇	tʃau5	
䈥	kʌn1	
䊡	mɵn6	不符合該方言古今對應規律。
䊧	pʰei5	
䍤	tsei3	
䐗	tʃy1	
䑞	ʃʌn6	不符合該方言古今對應規律。
䒱	tʃai1	
䒶	tʰen1	
䒶	tʰei1	
䔖	lai2	
䕬	kiɛn1	生薑。
䗶	lɵ1	
䘇	mʌn2	
䘱	jy6	
䛒	pen6	
䛻	jeu5	不符合該方言古今對應規律。
䢅	ʃʌn2	
䢉	nɔŋ2	
䨮	su6	
䪩	jʌn6	不符合該方言古今對應規律。
䫉	mau6	
䯳	sɔŋ1	輕鬆。
䰞	tʃy3	
䰟	vʌn2	
䲒	kʰɔi3	不符合該方言古今對應規律。
䲔	kiai1	不符合該方言古今對應規律。
一	i3	不符合該方言古今對應規律。
丁	tai1	
七	tsʰei6	
丄	ʃɛi1	上山。
丄	ʃɛn6	山上
丄	ʃɛi6	上午。
丈	tʃʰɛn6	
三	sɵ1	
上	ʃɛi1	上山。
上	ʃɛn6	山上
上	ʃɛi6	上午。
下	hɔu1	下山。
下	hɔu6	山下。
丑	tʃʰeu3	丑子。
且	tsʰɔi3	
世	ʃɔi5	
丘	kʰieu1	
丙	pai3	
丠	kʰieu1	
並	pai5	並排。不符合該方言古今對應規律。
中	tʃɔŋ1	中間。
中	tʃɔŋ5	打中。
串	tʃʰu5	
丸	voŋ2	
主	tʃy3	
丼	tsai3	
久	kieu3	
之	tʃi1	
乏	fɵ6	不符合該方言古今對應規律。
乖	kᵛuɵ1	
乘	ʃai2	
乙	u6	
九	kieu3	
乾	kᵛu1	乾濕。
乾	kʰien2	乾坤。
亂	loŋ6	
了	lɛu1	
事	ʃi6	
二	ȵi6	
互	vu6	
五	n1	
亖	sei5	
亞	a1	不符合該方言古今對應規律。
亡	maŋ2	
交	kiau1	
亥	kʌu6	
亨	hɛn3	
京	kiai1	
亭	tai2	
亮	lɛn6	
亯	hɛn3	
人	ȵiʌn2	
仁	ȵiʌn2	
今	kʌn1	
介	kɵ5	
从	tsʰɔŋ2	
仕	ʃi6	
仗	tʃʰɛn6	
仙	sen1	
仝	tɔŋ2	
仝	tsʰoŋ2	
代	tʌu6	
令	lai6	
以	ji3	
仰	ȵiɛi3	
件	kʰien6	
任	jʌn6	責任。
仿	faŋ3	相仿。
企	kʰi1	企業。不符合該方言古今對應規律。
伏	fɑu1	
伐	fɵ6	不符合該方言古今對應規律。
休	hieu1	
伯	pa6	
伱	hi1	不符合該方言古今對應規律。
伴	pu1	
伸	ʃʌn1	
似	tsʰɿ5	不符合該方言古今對應規律。
佀	tsʰɿ5	不符合該方言古今對應規律。
佃	ten6	
但	tɵn6	
位	vuei6	
低	ta1	
住	tʃʰy6	
何	hɔu2	
佛	fu1	拜佛。
作	tsɿ5	《廣韻》「作」同「做」。
作	tsau6	
佩	pʰʌu5	不符合該方言古今對應規律。
佳	kɵ1	
使	ʃa3	
來	lʌu2	
例	lei6	
侍	ʃi6	
供	kɔŋ1	供給。
依	i1	
侯	hɑu2	
侵	tsʰʌn1	
便	pen6	方便。
促	tʃʰɑu6	不符合該方言古今對應規律。
俄	ŋɔu2	
俊	tsʌn5	
俗	sɑu6	不符合該方言古今對應規律。
保	pau3	
信	sʌn5	
修	seu1	
俸	fɔŋ6	
俻	pei6	
倉	tsʰaŋ1	
倒	tau3	倒水。不符合該方言古今對應規律。
候	hɑu6	
借	tsɔi5	
倡	tʃʰaŋ5	
倦	kɵn5	不符合該方言古今對應規律。
倫	lʌn2	
值	tʃʰɔi1	
假	kɔu3	真假。
偉	vei3	
偏	pʰen1	
停	tai2	
健	kɵn5	不符合該方言古今對應規律。
偪	pɔi6	
側	tsa6	不符合該方言古今對應規律。
偵	tʃʌn1	
偶	ŋɑu1	
偷	tʰɑu1	
傅	fu6	姓傅。不符合該方言古今對應規律。
傍	paŋ2	不符合該方言古今對應規律。
傑	kʰi1	
傘	sɵ5	不符合該方言古今對應規律。
備	pei6	
催	tsʰʌu1	
傲	ȵiau6	
傳	tʃʰoŋ2	傳達。
傳	tʃʰoŋ6	傳記。
債	tʃɵ5	
傷	ʃɛn1	
傾	kʰen3	不符合該方言古今對應規律。
僅	kʌn3	不符合該方言古今對應規律。
僊	sen1	
像	tsʰɛn6	
僧	tsa1	
價	kɔu5	
僻	pʰɔi6	
儀	ȵi2	
儁	tsʌn5	
億	i5	不符合該方言古今對應規律。
儆	kiai3	
儉	kʰien6	
儒	jy2	
儛	vu3	
償	ʃɛn2	
優	jeu1	
儲	tʃʰy2	儲蓄。
儽	lʌu6	勞累。
允	vʌn3	
元	joŋ2	
兄	fai1	
充	tʃʰɔŋ1	
兆	ʃɛu6	
先	sen1	
光	kᵛuaŋ1	
克	kʰa6	
兌	tʌu5	不符合該方言古今對應規律。
免	men1	
兒	ji2	
兔	tʰu5	
兜	tɑu1	
入	ȵy1	
內	nʌu6	
全	tsʰoŋ2	
兩	lɛi1	兩尺，二兩讀音亦同。
八	pɵ6	
公	kɔŋ1	
六	lɑu1	
共	kʰɔŋ6	
兵	pai1	
其	kʰi2	
具	kʰʌu6	
典	ten3	
兼	kien1	
冊	tʃʰa6	
再	tsʌu5	
冒	mau6	
冠	kᵛuoŋ5	冠軍。
冤	voŋ1	
冫	pai1	
冬	tɔŋ1	
冰	pai1	
况	kʰᵛuaŋ5	
冷	la1	
准	tʃʌn2	很準。
凉	lɛn2	
凌	lai2	
凍	tɔŋ5	
凡	fɵn2	
凳	tɛi5	
凶	hɔŋ1	凶吉。
出	tʃʰi6	
函	hoŋ2	
刀	tau1	
刁	tɛu1	
分	fʌn1	
分	fʌn6	
切	tsʰei6	
刊	kʰɵn3	不符合該方言古今對應規律。
刑	hai2	
划	va1	划船。不符合該方言古今對應規律。
列	lei1	
初	tʃʰɑu1	
判	pʰoŋ5	
別	pei6	離別。不符合該方言古今對應規律。
利	lei6	
刪	ʃoŋ1	不符合該方言古今對應規律。
刮	kᵛuɵ6	
到	tau5	
刱	tʃʰaŋ5	
制	tʃi5	
刷	tʃʰɵ6	
刺	tsʰɿ5	
刻	kʰɛi6	
刾	tsʰɿ5	
剃	tʰa5	
則	tsa6	
削	sɛi6	
前	tsʰen2	
剔	tʰɔi6	
剛	kiaŋ1	
剝	pau6	
剩	ʃai6	
剪	tsei3	
副	fu6	不符合該方言古今對應規律。
割	kᵛu6	
創	tʃʰaŋ1	
創	tʃʰaŋ5	
劃	va1	計劃。
劇	kʰʌu6	戲劇。不符合該方言古今對應規律。
