#漢字	音標	解釋
□	tsɿ1	～人：用指甲抓伤他人
□	sɿ1	张开嘴露出牙齿
□	ŋa1	张开嘴
□	pæ1	女性性器官
□	tʰæ1	衣服等物品过长拖到地上：～地下
□	hæ1	食物变质
□	tso1	～伙：一起
□	kʰo1	～平：用手把东西铺平
□	pʰɔ1	悬
□	lɔ1	怂恿：你不要～我
□	tsʰɔ1	调侃
□	tɤ1	踢
□	tsʰɤ1	语气词
□	tsʰɤ1	提起：～起裤子
□	sɤ1	调侃他人
□	hɤ1	馋
□	le1	用眼睛瞪别人
□	le1	碾：～过去
□	tse1	牵
□	se1	敞开：～开
□	ke1	低下头萎靡不振的样子
□	pu1	蹲：～下来
□	tʰy1	吃（含贬义）
□	tsʰɛ1	～酒
□	ɛ1	抱
□	tĩ1	钻
□	pʰã1	摔
□	tɕia1	肢体不灵活或是残疾
□	ɕia1	不正经
□	ia1	衣服松松垮垮的样子
□	tɕio1	形容字潦草
□	piɔ1	跳
□	tiɔ1	聪明
□	ŋiã1	嗑撞
□	niɛ̃1	形容人娇气
□	tɕʰiɛ̃1	大声喊
□	ũɛ̃1	拥抱
□	tɤŋ1	遮住
□	ŋa2	～：嘴巴
□	læ2	忘记；～尿（尿床）
□	ŋæ2	磨蹭，慢
□	tsʰo2	欺负他人
□	so2	差劲
□	le2	倚靠在别人身上
□	se2	笨
□	tʰi2	批发：～货，～雪糕
□	pʰu2	扶：～稳
□	hɛ2	厉害
□	tiɔ2	惹
□	tʰiɔ2	欺骗
□	niɔ2	爱打扮：～头
□	ue2	傻，木讷
□	lɔŋ2	穷苦潦倒
□	ka3	～下：裆部
□	a3	经常
□	tʰæ3	休息：～一下
□	po3	两人之间关系很好
□	kɔ3	玩：去～
□	ŋɔ3	咬
□	tɤ3	踢
□	pe3	不好，坏
□	tʰɛ3	用脚踩
□	tsɛ3	压
□	tsʰɛ3	熟透
□	pʰĩ3	甩
□	tɕʰĩ3	看
□	ɕĩ3	炫耀
□	tia3	疲倦
□	ia3	用手抓：～起来
□	sue3	摸索
□	hũɛ̃3	摇
□	uãŋ3	跑
□	pɔŋ3	～茶
□	lɔŋ3	洗：～一下
□	tɕʰyɛ̃3	用舌头舔
□	pɤŋ3	抱
□	lɤŋ3	欺骗
□	tsɤŋ3	吃（贬义）
□	tsʰɤŋ3	推
□	kɤŋ3	搅合
□	ŋo4	我们
□	mi4	浸，淹
□	tɕʰi4	站立
□	pʰu4	舀水的工具：～勺
□	tɕʰĩ4	鸡胗：～嘚
□	hã4	表示疑问语气
□	tɕio4	水里的灰尘或沉淀物
□	maʔ7	～嘚
□	tsaʔ7	蛮～：很厉害
□	tsʰaʔ7	爆～：裂缝
□	kaʔ7	蛮～：很好
□	tsʰoʔ7	
□	meʔ7	放置时间过长腐烂：～烂
□	kieʔ7	担忧
□	tɕieʔ7	涩，水果未成熟的口感
□	huaʔ7	甩
□	tɕyeʔ7	吸
□	ɕyeʔ7	喝
□	tsa5a	按照
□	sa5a	踢
□	a5a	～来～去
□	pæ5a	骂
□	ŋæ5a	咬
□	tsʰo5a	放置
□	lɔ5a	毒害：～鱼
□	tɤ5a	安装
□	pʰe5a	做菜：～菜
□	tʰe5a	跑
□	tse5a	大喊大叫：～口
□	mi5a	思考，想
□	tɕʰy5a	酸痛
□	tɕʰĩ5a	一直，经常
□	tia5a	用刀割
□	tɕʰia5a	跨：～过去
□	ȵia5a	撒娇
□	kie5a	用刀割
□	ɕie5a	是
□	ie5a	撒：～肥
