#漢字	音標	解釋
□	pʰu1	溢
□	pʰa1	食物炖的时间过长绵软的样子
□	ka1	～～：外祖母
□	kʰa1	用手勒住脖子
□	pia1	形容女孩子行为举止放荡不羁、风骚
□	tia1	～～：外祖父
□	lia1	粘，贴
□	ia1	亲昵撒娇
□	lo1	搓
□	kʰo1	裤子～下来：松下
□	pe1	用棍状物挑弄
□	me1	妈妈
□	ye1	折叠
□	pai1	腿瘸
□	kʰuai1	圆圈
□	tsuai1	蹲
□	mei1	食物软烂
□	luei1	胖的生动词缀。胖～～
□	lau1	操
□	təu1	棵。一～树
□	ləu1	食物放置时间过长而失水
□	xəu1	手用力攥紧
□	lian1	～～：姑姑
□	mən1	默默地想
□	kən1	咽下喉头
□	tɕyn1	吮
□	ɔŋ1	遮
□	kʰa2	用拇指和食指围成一个圈
□	tia2	提
□	tʰia2	～～鞋：拖鞋
□	lia2	累
□	tɕia2	～火：烤火
□	sua2	～的：对他人或事情的否定评价
□	to2	刺，扎
□	se2	丢失
□	luei2	使劲塞。～进去
□	liau2	痞话睾丸。～子
□	tɔŋ2	人不正常，发神经
□	tsʰɿ3	不～他：理睬
□	ka3	屎
□	tsa3	～肉，腌肉
□	pia3	～水～咕：味道淡。
□	pʰia3	两条腿大张开
□	tʰia3	用舌头舔
□	tʰia3	白～～：惨白
□	lia3	衣服不扣扣子，衣襟敞开
□	po3	打～：接吻
□	po3	～～：小的珠状物
□	tɕʰio3	骗
□	me3	记忆，回想
□	e3	理睬
□	pie3	掰
□	pʰie3	头向一边歪
□	mie3	用手指捏一点
□	tɕʰye3	不正，一歪一歪的
□	pʰai3	带
□	xuai3	吃。～了一餐
□	tsuai3	扔出去
□	uai3	折。～断
□	pei3	埋
□	tuei3	二手贩子倒卖商品
□	kʰuei3	跪
□	tʰiau3	交换
□	təu3	
□	ləu3	～水：邋遢，上不得台面
□	pʰan3	群。一～
□	kʰuan3	撞
□	tʰən3	量词（计量阶梯的）。一～坡
□	ən3	抵。石子在鞋里～脚
□	ɕin3	～鼻涕：抽鼻涕
□	pɔŋ3	蠢气
□	kɔŋ3	钻进去
□	tsʰɔŋ3	推
□	sɿ5	加～：努力
□	li5	～个：这个
□	tia5	往下流。～口水
□	lia5	撒野。这个人好～
□	tɕʰia5	～～：钹
□	tɕʰia5	跨过较宽的水沟等处
□	tsua5	鸡～米
□	ke5	割
□	kʰe5	去
□	lai5	热
□	tɕiəu5	拧。～干
□	man5	饭
□	ɕian5	～火：烤火
□	pən5	
□	tən5	～脚：脚跺地
□	tən5	竖立。～了一根棍。
□	tʰən5	跟人比，争高下
□	kən5	冷。～水。
□	tɕyn5	鸡～头：鸡胗
䀇	ku3	～子
一	i2	
丁	tin1	
七	tɕʰi2	
万	uan5	
丈	tsan5	
三	san1	
上	san5	～面
上	san5	～山
下	ɕia3	底～
下	xa5	等～
下	ɕia5	～降
不	pu2	
与	y3	给～
丐	kai5	乞～
丑	tsʰəu3	子～
丑	tsʰəu3	丑～
專	tsuan1	
且	tɕʰie3	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	lie2	
叢	tsʰɔŋ2	
東	tɔŋ1	
絲	sɿ1	
丞	tsʰən2	
丟	tiəu1	
兩	lian3	几～几钱
兩	lian3	～个
嚴	iẽ2	
喪	san2	婚～
喪	san5	～失
个	ko5	～人，一～
丫	ia1	～头
中	tsɔŋ1	当～
中	tsɔŋ5	射～
丰	xɔŋ1	
串	tsʰuan5	
臨	lin2	
丸	uan2	肉～，弹～
丹	tan1	
爲	uei2	作～
爲	uei5	～什么
主	tsu3	
丽	li5	美～
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
么	iau1	～二三
義	i5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu1	
乏	xua2	
樂	lo2	
樂	io2	音～
樂	le5	
喬	tɕʰiau2	
乖	kuai1	
乘	tsʰən2	
乙	i2	
九	tɕiəu3	
乞	tɕʰi2	
也	ie3	者～，～是
習	ɕi2	
鄉	ɕian1	
書	su1	
買	mai3	
亂	luan5	
乳	iu3	
了	liau3	～
爭	tsən1	
事	sɿ5	
二	au5	
于	y2	～此
于	y2	
亏	kʰuei1	
云	yn2	
互	xu5	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕie1	
亡	uan2	
交	tɕiau1	
亥	xai5	
亦	i2	
產	tsʰan3	
亨	xən1	
畝	mu3	
享	ɕian3	
京	tɕin1	
亭	tʰin2	
亮	lian5	
親	tɕʰin1	
親	tɕʰin5	～家
人	in2	
億	i5	
什	sən3	～物
仁	in2	
仅	tɕin5	
仆	pʰu2	仆人
仆	pʰu2	倒
仇	tsʰəu2	
仇	tɕʰiəu2	姓
今	tɕin1	
介	kai5	
仍	in2	
从	tsʰɔŋ2	
仑	luən2	
倉	tsʰan1	
仕	sɿ5	
他	tʰa1	
仗	tsan5	
付	xu5	
仙	ɕiɛn1	
代	tai5	
令	lin5	
以	i3	
儀	i2	
仰	ian3	
仲	tsɔŋ5	
件	tɕiẽ5	
价	tɕia5	
任	in5	姓
任	in5	责～
份	xuən5	一～两～
仿	xuan3	～效
仿	xuan3	相似
企	tɕʰi3	
伊	i1	
伍	u3	
伏	xu2	
伐	xua2	
休	ɕiəu1	
优	iəu1	
伙	xo3	
會	kʰuai5	～计
會	xuei5	～不～
會	xuei5	开～
傘	san3	
偉	uei3	
傳	tsʰuan2	～达
傳	tsuan5	～记
傷	san1	
倫	luən2	
僞	uei5	
伯	pe2	
估	ku3	～计
伴	pan5	
伶	lin2	
伸	sən1	
伺	tsʰɿ5	
似	sɿ5	
佃	tiẽ5	
但	tan5	
位	uei5	
低	ti1	
住	tsu5	
佐	tso3	
佑	iəu5	
体	tʰi3	
何	xo2	
余	y2	
佛	xu2	彷～
佛	xo2	
作	tso2	作～，工～
佞	li5	
你	li3	
佩	pʰei5	
佳	tɕia1	
使	sɿ3	
侄	tsɿ2	
侈	tsʰɿ3	奢～
例	li5	
侍	sɿ5	
供	kɔŋ5	～养，上～
供	kɔŋ5	～给，～不起
依	i1	
僥	tɕiau3	～幸
偵	tsən1	
側	tsʰe2	
僑	tɕʰiau2	
侮	u3	
侯	xəu2	
侵	tɕʰin1	
便	pʰiẽ2	～宜
便	piẽ5	方～
促	tsʰu2	
俊	tɕyn5	
俏	tɕʰiau5	
俗	su2	
俘	xu2	～虏
保	pau3	
儼	iɛn5	～然
儉	tɕiẽ3	
修	ɕiəu1	
俯	xu3	
俱	tɕy5	
俸	xɔŋ5	
俾	pi3	
倂	pin5	合～
倍	pei5	
倒	tau3	～水
倒	tau3	打～，颠～
倔	tɕye2	～强
倘	tʰan3	～使
候	xəu5	
倚	i3	
借	tɕie5	
倡	tsʰuan5	提～
倦	tɕʰyẽ5	
倭	o1	
債	tsai5	
值	tsɿ2	
傾	tɕʰyn1	
假	tɕia3	真～
假	tɕia5	放～
偏	pʰiɛn1	
做	tso5	
停	tʰin2	
健	tɕiẽ5	
偶	əu3	配～
偶	əu3	～然
偷	tʰəu1	
償	san2	
傀	kʰuei3	～儡
傅	xu5	
傍	pã5	
傍	pan5	
傢	tɕia1	～具
儲	tsʰu2	～蓄
催	tsʰuei1	
傲	ŋau5	
傻	sa3	
像	ɕian5	
僧	sən1	
僵	tɕian1	
僻	pʰi2	
儒	iu2	
儡	luei3	傀～
儿	e2	
允	yn3	
元	yẽ2	
兄	ɕiɔŋ1	
充	tsʰɔŋ1	
兆	tsau5	
先	ɕiɛn1	
光	kuan1	
克	kʰe2	
免	miẽ3	
兌	tuei5	
兔	tʰu5	
党	tan3	
兜	təu1	
入	iu2	
全	tɕʰyẽ2	
八	pa2	
公	kɔŋ1	
六	lu2	
兮	ɕi1	
蘭	lan2	
共	kɔŋ5	
關	kuan1	
興	ɕin1	～旺
興	ɕin5	高～
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tiɛn3	
兹	tsɿ1	
養	ian3	
兼	tɕiɛn1	
獸	səu5	
冀	tɕi5	
內	luei5	
岡	kan1	
冉	iɛn3	
冊	tsʰe2	
再	tsai5	
冒	mau5	
冗	iɔŋ3	拨～，～长
寫	ɕie3	
軍	tɕyn1	
農	lɔŋ2	
冠	kuan1	衣～
冠	kuan5	～军
冢	tsɔŋ3	
冤	yɛn1	
冬	tɔŋ1	
馮	xɔŋ2	
冰	pin1	
冲	tsʰɔŋ1	
决	tɕye2	
况	kʰuan5	
冷	lən3	
凍	tɔŋ5	
准	tsuən3	
凉	lian2	
凌	lin2	
減	kan3	
湊	tsʰəu5	
凝	li2	
凝	li2	汤～成冻了
几	tɕi1	茶～
几	tɕi1	～乎
几	tɕi3	～个
凡	xuan2	
鳳	xɔŋ5	
凭	pʰin2	
凱	kʰai3	
凳	tən5	
凶	ɕiɔŋ1	～恶
凶	ɕiɔŋ1	～吉
出	tsʰu2	
擊	tɕi2	
函	xã2	
刀	tau1	
刀	kan5	～了，～钢
刁	tiau1	
刃	in5	
分	xuən1	～开
切	tɕʰie2	～开
刊	kʰan1	
刎	uən3	
刑	ɕin2	
划	xua2	～船
划	xua2	
列	lie2	
劉	liəu2	
則	tse2	
剛	kan1	
創	tsʰuan5	
初	tsʰu1	
刪	san1	
判	pʰan5	
刨	pʰau2	～地
刨	pau5	
利	li5	
别	pie2	离～
别	pie2	区～
别	pie5	
刮	kua2	
到	tau5	
制	tsɿ5	～衣
制	tsɿ5	～度
刷	sua2	
券	tɕʰyẽ5	
刺	tsʰɿ5	
刻	kʰe2	时～
刻	kʰe2	用刀～
劊	kʰuai5	
剁	to5	
劑	tɕi5	一～药，面～子
剃	tʰi5	
削	ɕio2	
前	tɕʰiẽ2	
剮	kua3	
劍	tɕiẽ5	
剔	tʰi2	
剖	pʰəu3	
剝	po2	
劇	tɕy2	戏～
劇	tɕy5	～烈
剩	sən5	
剪	tɕiɛn3	
副	xu5	
割	ko2	
剿	tɕiau3	
劈	pʰi1	
力	li2	
力	təu3	
勸	tɕʰyẽ5	
辦	pã5	
功	kɔŋ1	
加	tɕia1	
務	u5	
劣	lie2	
動	tɔŋ5	
助	tsu5	
努	lu3	
劫	tɕie2	
勵	li5	
勁	tɕin5	～敌
勁	tɕin5	有～
勞	lau2	
勢	sɿ5	
勃	po2	
勇	iɔŋ3	
勉	miẽ3	
勋	ɕyn1	
勒	le2	
勘	kʰan5	～误，～探
募	mu5	
勤	tɕʰin2	
勺	sau2	～子
勾	kəu1	～当
勿	u2	
勻	yn2	
包	pau1	
化	xua5	
北	pe2	
匙	sɿ1	汤～，钥～
匠	tɕian5	
匡	kʰuan1	
匣	ɕia2	箱～
匪	xuei3	
匯	xuei5	
匹	pʰi2	一～布，一～马
區	tɕʰy1	～域
医	i1	
匾	piẽ3	
匿	li2	
十	sɿ2	
千	tɕʰiɛn1	
升	sən1	
午	u3	
半	pã5	
華	xua2	中～
華	xua5	～山，姓
協	ɕie2	
卑	pei1	
卒	tsu2	兵～
卓	tso2	
單	tan1	～独
單	san5	姓
賣	mai5	
南	lan2	
博	po2	
卜	pu3	～卦
占	tsan5	～卜
占	tsan5	
卡	kʰa3	
盧	lu2	
卤	lu3	
卦	kua5	
臥	o5	
衛	uei5	
卯	mau3	
印	in5	
危	uei1	
即	tɕi2	
卻	tɕʰy2	
卵	luan3	
卷	tɕyẽ3	～起
卷	tɕyẽ3	考试～
卸	ɕie5	
卿	tɕʰin1	
厂	tsʰan3	
廳	tʰin1	
历	li2	日～
历	li2	～练
厲	li5	
壓	ia2	
厭	iɛn5	
廁	sɿ1	～所，茅～
厘	li2	
厚	xəu5	
原	yẽ2	
廂	ɕian1	
厦	sa5	偏～，前廊后～
厦	ɕia5	～门
廚	tsʰu2	
厮	sɿ1	
去	tɕʰy5	来～，～皮
縣	ɕiẽ5	
参	tsʰan1	
参	tsʰən1	～差
参	sən1	人～
又	iəu5	
叉	tsʰa1	
及	tɕi2	
友	iəu3	
雙	suan1	～生
反	xuan3	
发	xua2	头～
发	xua2	～财
叔	su2	
取	tɕʰy3	
受	səu5	
變	piẽ5	
敘	ɕy5	
叛	pʰan5	
叟	səu3	
口	kʰəu3	
古	ku3	
句	tɕy5	
另	lin5	
叨	tau1	唠～
叩	kʰəu5	～头
只	tsɿ1	一～
只	tsɿ3	～有
叫	tɕiau5	
召	tsau5	
可	kʰo3	
台	tʰai2	
台	tʰai2	天～
史	sɿ3	
右	iəu5	
叶	ie2	
号	xau2	呼～
号	xau5	～数
司	sɿ1	
叹	tʰã5	
吁	ɕy1	
吃	tɕʰi2	
各	ko2	
吆	iau1	～喝
合	xo2	十～一升
合	xo2	
吉	tɕi2	
吊	tiau5	
同	tʰɔŋ2	
名	min2	
后	xəu5	皇～
后	xəu5	～面
吏	li5	
吐	tʰu3	狗嘴里～不出象牙
吐	tʰu5	呕～
向	ɕian5	
吓	xe2	～一跳
吓	xo5	恐～
吕	ly3	
君	tɕyn1	
吝	lin5	～啬
吞	tʰən1	
吟	in2	
否	xəu3	
含	xã2	
听	tʰin1	～见，～话
听	tʰin5	～其自然，～任
启	tɕʰi3	
吴	u2	
吵	tsʰau3	
吸	ɕi2	
吹	tsʰuei1	
吻	uən3	
吼	xəu3	
吾	u2	
呆	tai1	
呆	ai2	
呈	tsʰən2	
告	kau5	
嘔	əu3	～吐
員	yẽ2	
周	tsəu1	
味	uei5	
呼	xu1	
命	min5	
和	xo2	～气
和	xo5	～面
咎	tɕiəu5	
咏	iɔŋ3	
咒	tsəu5	
咨	tsɿ1	
咬	ŋau3	
咳	kʰe2	～嗽
咸	xã2	
咸	ɕiẽ2	
咽	iɛn5	
哀	ai1	
品	pʰin3	
哄	xɔŋ3	～骗
哈	xa1	～腰
響	ɕian3	
啞	ia3	
噦	ye3	干～
哥	ko1	
哪	la3	～个
哭	kʰu2	
哲	tse2	
哽	kən3	骨～在喉
唆	so1	啰～
唇	tsʰuən2	
唐	tʰan2	
嘮	lau2	～叨
喚	xuan5	
售	səu5	
唯	uei3	
唱	tsʰan5	
唾	tʰo2	～液，～沫
啄	tso2	
商	san1	
嗇	se2	吝～
囉	lo1	～唆
啼	tʰi2	
善	san5	
