#漢字	音標	解釋
□	sɿ1	污～：垃圾
□	pʰi1	怀孕：～崽
□	ŋi1	～人：抓
□	kua1	屁股：ɕi～
□	piᴇ1	男阴
□	ŋiᴇ1	烂泥：～勒泥
□	mɤ1	量词，根，支：一～烟
□	kʰɯ1	挨～：挨批评
□	ui1	喊，唤
□	ɕyi1	胡同：～嘞
□	niu1	跟：～他去
□	kiu1	一～：一撮
□	tɕiᴇn1	城内，城墙
□	tɕʰiaŋ1	强光刺眼
□	mi2	猜～
□	pu2	里面：城～
□	la2	撕
□	la2	用手掰开
□	lua2	形容不好看，质量不好
□	miᴇ2	哥哥：～嘞
□	niᴇ2	不好看不美观；愚蠢：～人～事
□	uᴇ2	饭锅：～嘞
□	tɕyᴇ2	留菜，剩下的留到下回吃
□	sɤ2	～pɤ：媳妇
□	xɯ2	门～：门外
□	kiao2	～嘞话：官话；～叽螺蛳：你说东他却说西
□	ɕiu2	泡菜坛，酒坛：～嘞
□	ɕiu2	～门：额
□	iu2	到：见～他
□	nᴇn2	～处；～人
□	kᴇn2	倒下：墙～，树～
□	tɕʰiᴇn2	不好，坏了
□	ɕiaŋ2	开头，前：～ta
□	pʰoŋ2	拟声词：～啷～啷
□	moŋ2	迷路
□	noŋ2	妻子称丈夫
□	ioŋ2	我们，又音
□	sɿ3	声音：声～
□	pi3	迈方步
□	tɕi3	表程度高
□	ki3	鸡～：鸡胗
□	nu3	表成串的量词：一～一～
□	lu3	串门：～家
□	su3	（猪）肠子：lu～
□	u3	～丝蟛蓬：蜘蛛
□	u3	冬：～天
□	la3	～嘞，果子
□	ka3	膝盖
□	tɕia3	迁就：i～
□	tɕyᴇ3	稳～：稳当
□	lyᴇ3	搅拌：～糜饭
□	mɔ3	～～：祖母
□	kɔ3	屎
□	tʰɯ3	每：～年
□	tʰɯ3	停
□	tɕiᴇn3	管：～闲事
□	uᴇn3	舀
□	poŋ3	乡巴佬：～公；傻子：～子
□	noŋ3	你们，又音
□	sɿ5	～巴：丢失
□	pʰi5	女阴：～嘞
□	si5	～股：屁股，可能是“肯”、“肎”
□	tu5	～拳，握拳
□	tʰu5	～拳，打拳
□	kʰu5	一～笔：量词
□	ta5	掉了
□	sa5	休息：～li tɤ
□	pia5	不守规矩的
□	ia5	交合
□	liᴇ5	量词，一～屋：一间房
□	liᴇ5	热饭菜
□	pɤ5	棉花
□	tɤ5	pɤ～：棉花
□	nɤ5	～～水：精液
□	tɔ5	量词：只用于人：一～人
□	tɔ5	张开嘴巴
□	mao5	转过来
□	tao5	给轻的一头加压
□	tɕiu5	玩耍：～tɕiu
□	niaŋ5	姑姑：～～
□	toŋ5	每：～月，～年
□	soŋ5	蠢
□	kioŋ5	涮盆
□	mi6	陷
□	tɕi6	勿～：不一样
□	pu6	～公，～婆：曾祖父母
□	lu6	（猪）肠子：～su
□	su6	选东西
□	su6	～埠：村里
□	sa6	水涝：～tɕi
□	pia6	拟声，枪声、鞭炮声
□	kʰuᴇ6	幼乌鸦叫声：乌脚～～：乌鸦
□	uᴇ6	～跤嘞：跌跤
□	kɯ6	挂的竹篓
□	tɕiɯ6	自己：～家
□	lao6	蔫
□	kʰao6	放
□	tɕiu6	玩耍：～tɕiu
□	kiu6	抓：～拳头
□	mᴇn6	布
□	kʰᴇn6	次：量词
□	tɕiᴇn6	压
□	ɕiaŋ6	～月，十二月
□	xoŋ6	后天：～pu工
□	m6	棉布
□	ŋ6	什么：～咯
□	tsɿ7	愁
□	sɿ7	～月：十一月
□	mi7	～痰
□	tʰi7	绣花：～花
□	li7	～以下，表示时间短暂
□	pu7	张开嘴巴：～开嘴公
□	tʰa7	探头看一下
□	la7	个，量词
□	pia7	热～水，烫～手
□	kua7	手头～：手肘
□	kua7	～凳
□	ua7	折断
□	kʰuᴇ7	折断
□	pɤ7	劳动中的休息
□	tɤ7	～公～婆：外公外婆
□	lɤ7	没～：没有
□	nɔ7	形容人胖、畜生肥壮
□	kɔ7	勒：～紧
□	xɯ7	动物叫，吼
□	tɕiɯ7	量词
□	kui7	跑
□	tɕyi7	帽檐：帽嘞～～
□	ɕyi7	胡同：～嘞
□	tʰao7	撮箕：～斗
□	tɕʰiu7	一腿猪肉
□	iu7	我们：～ti kɤ
□	niaŋ7	叔婶
□	niaŋ7	那样：～咯
□	tɕʰiaŋ7	斜
□	kiaŋ7	这样：～咯
□	poŋ7	里面：～tɕin
□	toŋ7	他们：～ti kɤ
□	noŋ7	你们
□	loŋ7	他们：～ti kɤ
□	loŋ7	他们：～tɤ
□	koŋ7	各自：～顾～
一	i5	
七	tʰa7	
万	uᴇn6	
丈	soŋ5	
三	su3	
上	ɕiaŋ5	
下	xu5	
丑	tɕʰiɯ3	
專	tɕyᴇn1	
世	sɿ5	
丘	tɕʰiɯ1	
丙	piu3	～田：地名
東	tiᴇ1	
絲	sɿ1	
兩	liaŋ5	
嚴	ŋᴇn2	
喪	soŋ1	
个	kɤ5	这
丫	u3	～头婆
中	tɕiaŋ1	
串	tɕʰyᴇn6	
臨	liu2	
丸	uᴇn2	
爲	ua2	难～，谢谢
爲	ua6	
主	tɕio3	
舉	ɕio5	
烏	u1	～脚
烏	o1	
乖	kui6	好看
乙	i5	
九	tɕiɯ3	
也	i1	
也	i5	
鄉	ɕiaŋ1	
買	mi3	
亂	lyᴇ6	又音
亂	loŋ6	～转
乳	yi3	～豆腐：腐乳
了	la5	语气词
了	liɯ5	～这桩事
爭	tᴇn1	
事	sɿ6	
二	nɯ6	
二	ŋ6	
虧	kʰua1	
雲	yi2	
五	ŋ5	
井	tɕiu3	
亡	uᴇn2	
交	kiɯ1	
畝	mɔ5	
亭	tɕʰio2	凉～屋
亮	liaŋ6	
親	tɕʰi1	
親	tɕʰiu5	～家
人	ŋ2	
億	i7	
仇	ɕiɯ2	
今	tsɿ1	～年
今	tsoŋ1	今天：～日工
介	ki5	
倉	tʰoŋ1	
他	tɤ6	
仗	soŋ5	
仙	sᴇn1	
代	ti5	
件	kʰᴇn5	又音，东西：物件
件	tɕiᴇn5	又音，东西：物件
價	ku5	
份	piᴇ6	
伍	ŋ5	
伏	xu6	～子天
衆	tɕiaŋ5	
伙	xu3	
會	kʰui5	
會	xo6	开～
會	o6	～不～
傘	sᴇn3	
傳	tɕyᴇn2	～达
傷	ɕiaŋ1	
伯	pɤ3	～爷
估	ko3	
伴	poŋ5	
伶	liu2	～俐
伸	ɕi1	
伸	tɕʰiᴇn1	又音，～手
伸	ɕiᴇn1	又音
位	ua6	上～
低	ti1	
住	so6	
何	xu2	
佛	xu2	寿～
你	ŋ5	
侄	ɕyᴇ2	
侯	xɯ2	
便	pa2	～宜
便	pᴇn6	
俐	la6	伶俐
保	pa3	
信	si5	
倆	liaŋ5	
修	ɕiɯ1	
倍	pɤ5	
倒	ta3	
倔	tɕyᴇ7	
候	xɯ5	
倚	tsɿ5	站立
借	tɕiu5	
假	ku3	真～
假	ku5	请～
偏	pʰᴇn1	
做	tɤ5	
偷	tɕʰio5	
傅	xu2	师～
催	tɕʰio1	
像	ɕiaŋ5	
元	uᴇn2	
兄	ɕiu1	
先	sᴇn1	先前：～头
光	kui1	
兔	tʰo5	
黨	tu3	
入	ŋ6	
全	tɕyᴇn2	
八	pi7	
公	kiᴇ1	
六	liɯ6	
蘭	lu2	
關	kuᴇn1	
兵	piu1	
養	iaŋ5	
岡	koŋ1	
寫	ɕiu3	
冠	koŋ1	
冤	uᴇn1	伸～
冬	tiᴇ1	
馮	xiᴇ2	
冷	kiᴇ5	训读
凍	tiᴇ5	
準	tɕyi3	
凉	liaŋ2	
減	kɤ3	又音
減	kᴇn3	又音
湊	tʰɯ5	
几	tsɿ3	～个
凳	tiᴇ5	
出	ɕya7	
鑿	sao6	
刀	ta1	
分	piᴇ1	
切	tʰi7	
刑	xᴇn2	
划	xu6	
劉	liɯ2	
初	tʰo1	
判	pʰᴇn5	
刨	pi3	推～
利	la6	
刮	kuᴇ1	
到	ta5	
刷	ɕya7	
刺	tʰa5	树～
刻	kʰɤ7	一～咳
剁	tao5	
剃	tʰi5	
削	ɕiɯ1	又音
剝	pi7	
剩	ɕi6	
剪	tᴇn3	
割	kɤ7	～禾
劈	pʰi1	
劈	ki5	剖开：～柴
力	liɤ6	
勸	kʰuᴇn5	
辦	pᴇn6	～事
功	kiᴇ1	
加	ku1	
動	tiᴇ6	
勺	tɕʰiɯ5	饭～
勾	kɯ1	
勿	mɤ6	不：～去
勻	yi2	
包	pi1	
北	pɤ7	
匙	tsɿ3	锁～
匠	tɕiaŋ6	
匹	pʰɔ1	
匾	pᴇn3	
十	ɕiɤ6	
千	tsʰᴇn1	
升	ɕi1	
午	ŋ5	
半	poŋ5	
卒	tɯ7	
單	tᴇn1	
賣	mi6	
南	nu2	
卜	pu5	萝～
占	tɕiɤ5	
卡	kʰɔ7	～死
卦	kua7	
衛	ua6	
印	i5	
卵	loŋ3	蛋：鸡～
卷	kuᴇn3	
廠	tɕʰiaŋ3	
廳	tɕʰio1	大～屋
历	liu6	～本：挂历
厲	la6	
壓	ŋɔ7	
廁	sɿ3	
厘	la2	
原	uᴇn2	
廂	ɕiaŋ1	
廚	so2	
去	xo5	
又	i1	
叉	tʰu1	
及	tsɿ6	
友	iɯ3	
雙	soŋ1	
反	xuᴇn3	
发	xui5	头～
发	xui7	～财
叔	ɕiɯ7	
取	tɕʰyi3	
受	ɕiɯ5	
變	pᴇn5	
口	xɯ3	
古	ko3	
句	tɕio5	
只	tɕiu7	
台	ti2	
右	iɯ6	
葉	i6	
號	xa6	吹～
司	sɿ1	
嘆	tʰᴇn5	
合	kua2	重量单位，相当于八两
合	xu6	
吊	liɯ5	
名	miu2	
后	xɯ5	
吐	tʰo5	
向	ɕiaŋ5	
嚇	xu7	
吟	ŋi2	
含	xoŋ2	
听	tɕʰiu5	
吴	ŋo2	
吵	tʰao3	
吹	tɕʰya1	
告	ka5	～状
告	kuaŋ5	～诉
周	tɕiɯ1	
味	ua6	
命	miu6	
和	xu2	～气
和	xɯ6	和面：～粉嘞
咒	tɕiɯ5	
咬	ŋɔ3	
咯	kɤ5	结构助词
咸	xu2	
咽	kiᴇ6	
品	pʰio3	
哄	xoŋ1	
響	ɕiaŋ3	
哐	kʰuaŋ6	拟声词
啞	u3	
噦	yᴇ1	干呕：打～
哪	iu3	
哭	xo7	
哽	kiᴇ1	
唐	toŋ2	
唱	tɕʰiaŋ5	
啄	tɕyi7	
商	ɕiaŋ1	
啜	ɕyi7	喝
啪	pʰa1	
啪	pʰa6	
啼	ti2	
喂	o1	～饭
喉	xɯ2	
喜	sɿ3	
嗯	ŋ5	
嗯	ŋ7	表示奇怪
嗽	sɿ5	
嘞	lɤ2	后加成分
囑	tɕio7	
嘴	tɕio1	
器	kʰi7	
嚼	tɕiao6	
四	sa5	
团	toŋ2	
園	uᴇn2	
困	kʰuᴇn5	头～：枕头
圍	ua2	
國	ko7	
圓	kioŋ2	
圈	kio6	圈子：～嘞
土	tʰo3	
在	ti5	
地	ta6	
場	soŋ2	
址	tsɿ3	
壞	xui5	
坐	sao5	
塊	kʰui5	
坛	toŋ2	
壩	pɔ6	塘～
坡	nɔ1	
坦	tʰu3	～背：地名
坪	piu2	
坯	pʰɤ1	
垂	tɕya2	
垌	tiᴇ5	田地
垒	tɕio1	
墊	tᴇn5	
城	ɕiu2	
埠	pu6	～头：地方
堂	toŋ2	
堆	tɕio1	
堤	ti2	
堵	to3	
塍	iɯ2	田埂：～头
塔	tʰu5	
塘	toŋ2	
塞	sɤ7	
填	tᴇn2	
牆	tɕiaŋ2	
墨	mɤ6	
壁	piu7	
壕	xa2	
聲	ɕiu3	
壺	xo2	
處	tɕʰio5	用～
夏	xu6	立～
外	o6	
多	tao1	
夜	iu6	
够	kɯ5	
大	tu6	老～，～小
天	tʰᴇn1	
太	tʰi5	
夫	xu1	
頭	tɯ2	
夾	ki7	
夾	ku7	～衣
契	tsʰɿ6	～纸
套	tʰa5	
女	nio5	
奴	no2	
奶	ni5	
好	xa3	表程度：～高
婦	pɤ5	
妖	iɯ1	
妨	xoŋ1	
妹	mɤ5	
始	sɿ3	
姐	ta3-	
姑	ko1	
姓	ɕiu5	
姜	tɕiaŋ1	
姨	i2	～娘
姻	i1	
威	ua3	
嬌	kiɯ1	
娘	nao2	寄～
婆	pu1	鸭～
婆	pu2	
婚	xuᴇ1	
婿	si5	
嫁	ku5	
嫂	sa3	
