#漢字	音標	解釋
□	tsã1	刴
□	tsʰã1	～板：杴，锹属
□	ɕiᶽ3	～蛛蛛：蜘蛛
□	kã3	～～蛋
□	tʰiɔ3	交换
□	l5	手提
□	hɑ6	～得很：很坏
㪕	tsʰuəʔ8	㪕起棍子
㿭	tsʰəʔ8	
䝋	tsɔ̃1	
一	iɛʔ8	
丁	tin1	
七	tɕʰiɛʔ8	
万	uã5	
丈	tɕiã6	
三	sã1	
上	niã5	语流中的读音
上	ɕiã6	上山
上	ɕiã6	上面
下	hɑ6	
不	pəʔ7	
与	ʮ3	给与
丐	kᴇ5	乞丐
丑	tɕʰy1	
丑	tɕʰy3	
專	tsuɤᶦ1	
世	sɿ5	
丘	tɕʰy1	
丙	pin1	
業	iɛʔ8	
叢	tsʰuɔ̃2	
東	tɔ̃1	
絲	sɿ1	
丞	tsʰẽ2	
丟	ty1	
兩	niã1	两个
兩	niã1	几两几钱
嚴	iᶽ2	
喪	sɔ̃1	
个	kəʔ7	
丫	ŋɑ1	脚～
丫	ɑ1	～鬟
中	tsɔ̃1	当中
中	tsɔ̃5	射中，～枪
丰	fɔ̃1	
串	tsʰuɤᶦ5	
臨	nin2	
丸	uã2	肉丸
丹	tã1	
爲	uɤᶦ2	
主	tʃʮ3	
丽	l5	美丽
舉	tʃʮ3	
乃	nᴇ1	
久	tɕy3	
義	zɿ5	
之	tsɿ1	
烏	vu1	
乎	fu6	
樂	ləʔ8	
喬	tɕiɔ2	
乖	kuᴇ1	
乘	tsẽ2	
乙	iɛʔ8	
九	tɕy3	
乞	tɕʰiɛʔ8	
也	iã1	
習	ɕiɛʔ8	
鄉	ɕiã1	
書	ʃʮ1	
買	mᴇ1	
亂	lɤᶦ5	
乳	ʮ2	
乾	ɕiᶽ2	乾坤
了	niɔ1	没完没～
了	niɔ2	～结
了	niɔ3	～不起
爭	tsẽ1	
事	sɿ6	
二	l5	
虧	kʰuɤᶦ1	
雲	yɪ̃2	
互	fu6	
五	vu3	
井	tɕin3	
亞	iɑ6	
些	sɿ3	
亡	uɔ̃2	
交	tɕiɔ1	
亥	hᴇ6	
產	tsʰã3	
亨	hẽ1	
畝	mʊ1	
享	ɕiã3	
京	tɕin1	
亭	ɾin2	
亮	niã5	
親	tɕʰin1	
親	tɕʰin5	亲家
人	nin2	
億	zɿ3	
什	səʔ8	～么，什物
仁	zẽ2	
僅	tɕin3	
仆	pəʔ8	倒
仇	tɕy2	
仇	tɕy2	姓
今	kẽ1	～朝
今	tɕin1	从～往后
介	kᴇ5	
从	sɔ̃2	跟从
倉	tsʰuɔ̃1	
仕	sɿ6	
他	tã1	
仗	tɕiã5	打～
付	fu5	
仙	ɕiᶽ1	
代	tᴇ6	
令	nin5	命～
以	zɿ1	
儀	zɿ2	
仰	niã1	
仲	tsɔ̃1	姓
仲	sɔ̃6	
件	tɕiᶽ6	
價	kɑ5	
任	zẽ5	姓
任	zẽ5	责任
份	fẽ6	
仿	fɔ̃3	
企	tsʰɿ3	
伍	vu1	
伏	fəʔ8	
伐	fɛʔ8	
休	ɕy1	
衆	tsɔ̃5	
優	y1	
伙	hʊ3	
會	kʰuᴇ5	会计
會	uɤᶦ5	
傘	sã5	
偉	uɤᶦ1	雄～
傳	tsuɤᶦ2	传达
傳	tsuɤᶦ6	传记
伢	ŋɑ2	小孩子
傷	ɕiã1	
倫	uẽ2	
僞	uɤᶦ2	
伯	pəʔ7	
估	ku3	
伲	nɿ2	加在人称“我”或“你”后表示单数：我～，你～
伴	pʊ6	
伶	nin2	
伸	sẽ1	
但	tã6	
位	uɤᶦ5	
低	tɿ1	
住	tʃʮ6	
佑	y5	
體	tʰɿ3	
何	hʊ2	
余	ʮ2	
佛	fəʔ8	
作	tsəʔ7	
你	n1	
佩	pʰɤᶦ5	
使	sɿ3	
侄	tsəʔ8	
侉	kʰuɑ3	
例	l5	
侍	sɿ5	
供	kɔ̃6	供给
供	kɔ̃6	供养
依	zɿ1	
偵	tsẽ1	
側	tsəʔ7	
僑	tɕiɔ2	
侯	hɯ2	
便	bɿ2	便宜
便	bɯ6	方便
促	tsʰəʔ8	
俄	ŋʊ2	
俊	tɕyɪ̃5	
俏	tɕiɔ5	
俗	səʔ7	
俘	fu3	俘虏
保	pɔ3	
信	ɕin5	
儉	tɕiᶽ3	
修	ɕy1	
俱	tʃʮ6	
俸	fɔ̃6	
倍	pɤᶦ6	
倒	tɔ3	打倒
倒	tɔ5	倒水
候	hɯ2	
借	tɕiɑ5	
倡	tɕʰiã5	提倡
倪	l2	
債	tsᴇ5	
值	tsəʔ8	
假	kɑ3	真假
假	tɕiɑ3	放假
偏	pʰɯ1	
做	tsʊ5	
停	ɾin2	
健	tɕiᶽ5	
偶	ɯ1	
偷	tʰy1	
償	ɕiã0	
傅	fu5	
傍	pɔ̃2	
儲	tʃʮ2	
催	tsʰɤᶦ1	
傲	ŋɔ5	
傻	sɑ3	
像	ɕiã6	长得～
僧	sẽ1	
僵	tɕiã1	
僻	pʰiɛʔ8	
儒	ʮ2	
儡	lɤᶦ2	
兒	l2	
允	yɪ̃1	
元	y2	
兄	suɔ̃1	
充	tsʰɔ̃1	
兆	tsɔ6	
先	ɕiᶽ3	
光	kuɔ̃1	
克	kʰəʔ8	
免	mɤᶦ1	
兌	tɤᶦ5	
兔	tʰʊ5	
黨	tɔ̃3	
兜	ty1	
入	zuəʔ8	
全	ɕiᶽ2	
八	pɛʔ7	
公	kɔ̃1	
六	ləʔ8	
兮	sɿ1	
蘭	lã2	
共	kɔ̃6	
關	kuã1	
興	ɕin1	～起，兴旺
興	ɕin5	高兴
兵	pin1	
其	tsʰɿ2	
具	tʃʮ5	
典	tiᶽ3	
養	iã1	
兼	tɕiᶽ1	
獸	ɕy5	
內	lɤᶦ5	
岡	kɔ̃1	
冊	tsʰəʔ8	
再	tsᴇ5	
冒	mɔ5	
寫	ɕiɑ3	
軍	tɕyɪ̃1	
農	nɔ̃2	
冠	kuã5	冠军
冤	y1	
冬	tɔ̃1	
馮	fɔ̃2	
冰	pin1	
冲	tsʰɔ̃1	
决	tsuəʔ7	
况	kʰuɔ̃5	
冷	nẽ1	
凍	tɔ̃5	
淨	tɕin6	
準	tɕyɪ̃3	
凉	niã2	
凌	nin2	
減	tɕiᶽ3	
湊	tɕʰy5	
几	tsɿ3	茶几
几	tsɿ3	几乎
几	tsɿ3	几个
凡	vã2	
鳳	fɔ̃6	
凭	bin2	
凱	kʰᴇ3	
凳	tẽ5	
凶	suɔ̃1	
出	tʰuəʔ8	
擊	tɕiɛʔ7	
函	hã2	
鑿	səʔ8	
刀	tɔ1	
刁	tiɔ1	
分	fẽ1	分开
切	ɕiɛʔ8	
刊	kʰã1	
刑	ɕin2	
划	uɑ2	计～，划船
划	uɑ6	
列	niɛʔ8	
劉	ny2	
則	tsəʔ7	
剛	kɔ̃1	
創	tsʰuɔ̃5	
初	tsʰu3	
刪	ɕiã1	
判	pʰʊ5	
刨	pɔ6	木工工具
利	l5	
别	piɛʔ8	区别
别	piɛʔ8	离别
刮	kuɛʔ7	
到	tɔ5	
制	tsɿ5	
刷	suɛʔ7	
券	tsʰuɤᶦ5	
刺	tsʰɿ5	
刻	kʰəʔ8	时刻
刻	kʰəʔ8	用刀刻
劊	kuɤᶦ5	
劑	tsɿ5	
剃	tʰɿ5	
削	ɕiɛʔ7	
前	ɕiᶽ2	
剮	kuɑ3	
劍	tɕiᶽ5	
