#漢字	音標	解釋
㑳	zrus (鋤佑切 芻聲 幽1)	媰轉註分化字
㑳	ʔsro (莊俱切 芻聲 侯)	
㑳	rnuːb (女洽切 芻聲 緝3)	又口旁
㩳	soŋʔ (息拱切 雙聲 東)	
㪻	pʰlons (芳万切 龻聲 元3)	
㪻	klons/kplons (居願切 龻聲 元3)	
㮴	suːw (蘇遭切 叟聲 幽1)	或作艘
䁝	qʷraːŋʔ (烏猛切 熒聲 陽)	
䉛	quɡ (於六切 奧聲 覺1)	
䊮	l'eːwɢ (徒歷切 翟聲 藥2)	
䑣	l̥ʰun (丑林切 彡聲 侵3)	依說文補，羅振玉謂即《書》肜字
䒦	pʰom (匹凡切 乏聲 談3)	
䒦	pʰoms (孚梵切 乏聲 談3)	
䙡	kʰruds (丘愧切 貴聲 隊2)	
䙡	kʰluds (丘畏切 貴聲 隊2)	
䝼	zleŋs (疾政切 生聲 耕)	
䝼	zleŋ (疾盈切 生聲 耕)	
䡩	kʰriːn (丘閑切 眞聲 眞1)	
䣮	boːd (蒲撥切 犮聲 月3)	
䫄	rtʰoːd (丑刮切 兌聲 月3)	
䱷	ŋa (語居切 魚聲 魚)	亦同漁見周禮
䲁	quds (於胃切 尉聲 隊2)	
一	qliɡ (於悉切 一聲 質2)	
丁	rteːŋ (中莖切 丁聲 耕)	
丁	teːŋ (當經切 丁聲 耕)	釘（鋌塊）初文
丂	kʰluːʔ (苦浩切 丂聲 幽1)	古文考
七	sn̥ʰid (親吉切 七聲 質1)	
丄	djaŋʔ (時掌切 上聲 陽)	古文上
丄	djaŋs (時亮切 上聲 陽)	
丅	ɡraːʔ (胡雅切 下聲 魚)	古文下
万	mans (無販切 万聲 元1)	集韻注通作萬
万	mɯːɡ (莫北切 万聲 職)	
丈	daŋʔ (直兩切 丈聲 陽)	
三	suːm (蘇甘切 三聲 侵3)	
三	suːms (蘇暫切 三聲 侵3)	
上	djaŋʔ (時掌切 上聲 陽)	
上	djaŋs (時亮切 上聲 陽)	
下	ɡraːʔ (胡雅切 下聲 魚)	
下	ɡraːs (胡駕切 下聲 魚)	
不	pɯ (甫鳩切 不聲 之)	
不	pɯʔ (方久切 不聲 之)	象花柎與本同源
不	pɯ' (分勿切 不聲 物1)	中古才促化
与	laʔ (余呂切 与聲 魚)	同與，省文
丏	meːnʔ (彌殄切 丏聲 元2)	
丐	kaːds (古太切 丐聲 祭1)	同匃，俗訛變
丐	kaːd (古達切 丐聲 月1)	原作匃，此依說文
丑	n̥ʰuʔ (敕久切 丑聲 幽1)	
且	shjaːʔ (七也切 且聲 魚)	甲文象男根崇拜所之且，爲祖初文（郭沫若）
且	ʔsa (子魚切 且聲 魚)	
丕	pʰrɯ (敷悲切 不聲 之)	不的轉註字
世	hljebs (舒制切 世聲 蓋2)	本枼葉初文（文源）
丘	kʰʷɯ (去鳩切 丘聲 之)	
丙	pqraŋʔ (兵永切 丙聲 陽)	甲文象二石相對並，與竝同源，後轉註爲兩。又史諱通景
丞	ɡljɯŋ (署陵切 丞聲 蒸)	拯之初文
丞	ɡljɯŋs (常證切 丞聲 蒸)	
丠	kʰʷɯ (去鳩切 丘聲 之)	古文丘
丣	luʔ (與久切 酉聲 幽1)	酉古文
並	beːŋʔ (蒲迥切 並聲 耕)	同竝，隸變爲並
