#漢字	音標	解釋
□	xu1	〜一下
□	xa1	“□一顿”即“打一顿”
□	kua1	〜嘴
□	ɕiɛ1	玩
□	pɯ1	走
□	xən1	撕
□	xɑŋ1	吹走
□	ɑŋ1	狗叫声
□	bu2	摸
□	dʑia2	〜佬：坏的，差的
□	ɡo2	霸住,不给别人。
□	ɡo2	象猪叫声
□	xɑŋ3	瓜
□	tɕʰia5	〜上去：斜着向上
□	pʰɑŋ5	浮
□	tsoŋ5	跳
□	dza6	小便说“〜尿”
□	ɡæ6	看住，盯住，打球时一个〜住一个
□	ɡuɛi6	〜你一顿
□	kuaʔ7	脚〜郎
□	xuaʔ7	甩
□	təʔ7	黏
□	tɔʔ7	一〜眼泪
□	tɔʔ7	敲、掷
□	tɔʔ7	煮：笋〜肉
□	ŋaʔ8	小缺口
□	tʰəʔ8	〜下来
□	ɡəʔ8	牛用角挑人
□	əʔ8	植物堆起来发酵发热
□	dʑiɔʔ8	行：不〜
□	ȵiʔ8	眼〜
㪗	tʰei3	
㬟	vən6	
䝋	tsoŋ1	
䱗	tsʰæ1	
一	iʔ7	
丁	tin1	
七	tɕʰiʔ8	
万	væ6	
丈	dza6	〜人
丈	dzæ6	一〜
三	sæ1	
上	zæ2	〜头
上	zæ6	〜山
下	ʑia6	〜降
下	ɦo6	〜头
下	ɦo6	〜降
下	xaʔ7	一〜子
不	pəʔ7	
丐	kɛi5	
丑	tsʰei3	
專	tɕʏ1	
且	tɕʰia3	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiɯ1	
丙	pin1	
業	ȵiʔ8	
東	toŋ1	
絲	sɿ1	
丞	dzən2	
丟	tei1	
兩	ȵiɛ4	
嚴	ȵiɪ1	
喪	sæ1	
喪	sɑŋ1	
个	kəʔ7	
丫	o1	〜头
中	tsoŋ1	
中	tsoŋ5	
丰	foŋ1	
臨	ȵin1	
丸	ʏ2	
丹	tæ1	
爲	uei1	
主	tsu3	
丽	ȵi5	
舉	tɕy3	
乃	lɛi3	
久	tɕiɯ3	
義	i5	
之	tsɿ1	
烏	u1	
乏	vaʔ8	
樂	iaʔ7	
樂	lɔʔ8	
喬	dʑiao2	
乖	kua1	
乘	dzən2	
乙	iʔ7	
九	tɕiɯ3	
乞	tɕʰiʔ8	
也	ia3	
習	ʑiʔ8	
鄉	ɕiɛ1	
鄉	ɕiɑŋ1	
書	su1	
買	ma4	
亂	ȵʏ5	
乾	dʑiɪ2	
了	ȵiao3	〜结
爭	tsən1	
事	zɿ6	
二	ȵi5	
二	əl6	
虧	kʰuei1	
雲	yn2	
互	ɦu6	
五	ŋ̍3	
井	tɕin3	
亞	ia3	
亟	tɕiʔ7	
亡	mɑŋ1	
交	tɕiao1	
亥	ɦɛi6	
亦	iʔ7	
產	tsʰæ3	
亨	xən1	
畝	m̩3	
畝	mɯ4	
京	tɕin1	
亭	din2	
亮	ȵiɛ5	
親	tɕʰin1	
亳	bɔʔ8	
人	ȵin1	
人	zən2	
億	i5	
什	zəʔ8	
仁	zən2	
仂	ləʔ8	
僅	tɕin3	
仆	pʰɔʔ8	
仇	dʑiɯ2	姓
仇	dzei2	
今	tɕin1	
介	tɕia3	
介	tɕiɛ3	
介	ka5	〜意
仍	zən2	
从	dzoŋ2	
倉	tsʰɑŋ1	
仔	tsɿ3	
仕	zɿ6	
他	tʰa1	
仗	dzæ6	
付	fu5	
仙	ɕiɪ1	
代	dɛi6	
令	ȵin5	
儀	i1	
仰	ȵiɛ4	
仲	tsoŋ5	
件	dʑiɪ6	
價	ko5	
任	zən1*	
任	zən5*	
份	vən6	
仿	fɑŋ3	
企	tɕʰi3	
伊	i1	
伍	u3	
伏	vɔʔ8	
伐	vaʔ8	
休	ɕiɯ1	
