#漢字	音標	解釋
一	it7	
七	tsʰit7	
丄	ʂɔŋ1	上山
丅	ha1	方位
丈	tʂʰɔŋ5	
上	ʂɔŋ5	上面
下	ha1	方位
不	pət7	
世	ʂʅ5	
丗	ʂʅ5	
丘	tɕʰiu1	
業	niɛt8	
東	təŋ1	
絲	sɿ1	
丠	tɕʰiu1	
兩	liɔŋ1	儿俩
嚴	niɛn2	
中	tʂəŋ1	中间
丸	iɛn2	
主	tʂu3	
丼	tsiaŋ3	
久	tɕiu3	
義	ni5	
之	tʂʅ1	
烏	vu1	
乏	fat7	
乖	kuai1	
九	tɕiu3	
習	sit7	
鄉	ɕiɔŋ1	
書	ʂu1	
買	mai1	
亂	lɔn5	
亂	lɔn5	
了	liau3	
事	sɿ5	
二	ni5	
亏	kʰui1	
五	ŋ3	
井	tsiaŋ3	
亖	si5	
交	kau1	
產	tsʰan3	
親	tsʰin1	
人	nin2	
从	tsʰəŋ2	从来
倉	tsʰɔŋ1	
仙	siɛn1	
代	tʰɔi5	
以	i3	
件	tɕʰiɛn5	
任	nin5	责任
休	ɕiu1	
會	fɛi5	开会
傘	san3	
偉	vɛi3	
傷	ʂɔŋ1	
伯	pak7	
伴	pʰan5	
位	vɛi5	
低	tɛ1	
住	tʂʰu5	
余	i2	
佛	fət8	
作	tsɔ5	
使	sɿ3	
來	lɔi2	
例	li5	
俗	siuk8	
信	sin5	
修	siu1	
俻	pʰi5	
倉	tsʰɔŋ1	
倍	pʰi5	
借	tsia5	
債	tsai5	
傾	tɕʰin1	
假	ka3	真假
偉	vɛi3	
偏	pʰiɛn1	
停	tʰin2	
健	tɕʰiɛn5	
偪	pit7	
偷	tʰɛu1	
傑	tɕʰiɛt8	
傘	san3	
備	pʰi5	
催	tsʰɛi1	
傲	ŋau5	
債	tsai5	
傷	ʂɔŋ1	
傾	tɕʰin1	
僊	siɛn1	
像	tsʰiɔŋ5	像不像
儛	vu3	
允	in3	
元	niɛn2	
兄	ɕiaŋ1	
先	siɛn1	
光	kɔŋ1	
免	miɛn3	
兒	ə2	
兔	tʰu5	
兜	tɛu1	
入	nit8	
全	tsʰiɛn2	
兩	liɔŋ1	兒倆
八	pat7	
公	kəŋ1	
六	liuk7	
蘭	lan2	
共	kʰəŋ5	
關	kuan1	
興	ɕin1	兴旺
兵	pin1	
具	tɕʰi5	
兼	tɕiɛn1	
寫	sia3	
軍	tɕin1	
農	nəŋ2	
冤	iɛn1	
冫	pin1	
冬	təŋ1	
冰	pin1	
冲	tʂʰəŋ1	
准	tʂən3	
凉	liɔŋ2	
凡	fan2	
鳳	fəŋ5	
凶	ɕiəŋ1	
凷	kʰuai3	
鑿	tsʰɔk8	
刀	tau1	
分	fən1	
切	tsʰiɛt7	
劉	liu2	
初	tsʰɿ1	
判	pʰan5	
別	pʰiɛt8	
利	li5	
刮	kuat7	
到	tau5	
刷	tsɔt7	
刻	kʰɛk7	
削	siɔk7	
前	tsʰiɛn2	
剝	pɔk7	
剪	tsiɛn3	
割	kɔt7	
劉	liu2	
劍	tɕiɛn5	
劒	tɕiɛn5	
劔	tɕiɛn5	
力	lit8	
勸	tɕʰiɛn5	
辦	pʰan5	
加	ka1	
動	tʰəŋ1	
助	tsʰɿ5	
效	hau5	
勋	ɕin1	
動	tʰəŋ1	
勛	ɕin1	
勤	tɕʰin2	
勳	ɕin1	
勸	tɕʰiɛn5	
包	pau1	
化	fa5	
北	pɛk7	
匪	fɛi3	
匹	pʰit7	
區	tɕʰi1	
區	tɕʰi1	
十	ʂət8	
千	tsʰiɛn1	
升	ʂən1	
半	pan5	
華	fa1	
協	ɕiɛt7	
協	ɕiɛt7	
單	tan1	
賣	mai5	
南	nan2	
博	pɔk7	
卤	si1	
卥	si1	
衛	vɛi5	
印	in5	
壓	at7	
厚	hɛu5	
原	niɛn2	
叉	tsʰa1	
及	tɕʰit8	
雙	səŋ1	
叔	ʂuk7	
受	ʂu5	
變	piɛn5	
叚	ka3	真假
叛	pʰan5	
口	kʰɛu3	
叫	tɕiau5	
可	kʰɔ3	
叶	ɕiɛt7	
各	kɔk7	
合	hat8	
名	miaŋ2	白读 文读
名	miaŋ2	
名	min2	
吓	hak7	
吞	tʰən1	
含	han8	
启	tɕʰi3	
吳	ŋ2	
吸	tɕʰit8	
吹	tʂʰɛ1	
呂	li1	
告	kau5	
周	tʂu1	
呪	tʂu5	
味	vi5	
命	miaŋ5	白读 文读
命	miaŋ5	
命	min5	
哀	ɔi1	
品	pʰin3	
響	ɕiɔŋ3	
哥	kɔ1	
唆	sɔ1	
唱	tʂʰɔŋ5	
問	vən5	
啓	tɕʰi3	
啟	tɕʰi3	
善	ʂɛn5	
喉	hɛu2	
喊	han3	
喜	ɕi3	
單	tan1	
嘗	ʂɔŋ2	
噏	tɕʰit8	
器	tɕʰi5	
嚇	hak7	
嚴	niɛn2	
四	si5	
回	fɛi2	
因	in1	
团	tʰɔn2	
囪	tsʰɔŋ1	文读 白读
囪	tsʰɔŋ1	
囪	tsʰəŋ1	
困	kʰun5	
圍	vɛi2	
國	kuɛk7	
圖	tʰu2	
圓	iɛn2	
國	kuɛk7	
圍	vɛi2	
圓	iɛn2	
圖	tʰu2	
團	tʰɔn2	
圜	iɛn2	
土	tʰu3	
地	tʰi5	
坐	tsʰɔ1	
坑	haŋ1	
块	kʰuai3	
墳	fən2	
坡	pʰɔ1	
坣	tʰɔŋ2	
坼	tsʰak7	
垕	hɛu5	
墊	tʰiɛn5	
埋	mai1	
基	tɕi1	
埽	sau5	
埿	nɛ2	
堂	tʰɔŋ2	
堆	tɛi1	
堖	nau3	
堦	kai1	
報	pau5	
塊	kʰuai3	
塔	tʰat7	
塗	tʰu2	
填	tʰiɛn2	
墊	tʰiɛn5	
墓	mu5	
牆	tsʰiɔŋ2	
墨	mɛk8	
墩	tən1	
墬	tʰi5	
墳	fən2	
墻	tsʰiɔŋ2	
壁	piak7	
壄	ia1	
壓	at7	
士	sɿ5	
壯	tsɔŋ5	
壯	tsɔŋ5	
聲	ʂaŋ1	
壽	ʂu5	
備	pʰi5	
外	ŋɔi5	
多	tɔ1	
夜	ia5	
天	tʰiɛn1	
太	tʰai5	
夫	fu1	
失	sət7	
頭	tʰɛu2	
奪	tʰɔt8	
奪	tʰɔt8	
女	ni3	
好	hau3	好坏
婦	fu5	
妙	miau5	
妹	mɔi5	
妻	tsʰi1	
始	tʂʰʅ3	
姐	tsia3	
姑	ku1	
姓	siaŋ5	
委	vɛi3	
姦	kan1	
姨	i2	
威	vɛi1	
娘	niɔŋ2	
婆	pʰɔ2	
婦	fu5	
媆	nən5	
嫁	ka5	
嫂	sau3	
嫌	ɕiɛn2	
嫩	nən5	
嬾	an1	
子	tsɿ3	
字	sɿ5	
孫	sən1	
孝	hau5	
孟	məŋ5	
季	tɕi5	
學	hɔk8	
孫	sən1	
學	hɔk8	
孼	niɛt7	
孽	niɛt7	
守	ʂu3	
安	ɔn1	
完	vɔn2	
宗	tsəŋ1	
官	kuɔn1	
定	tʰin5	
寶	pau3	
實	ʂət8	
客	kʰak7	
宮	kəŋ1	
害	hɔi5	
家	ka1	
容	iəŋ2	
寬	kʰuan1	
賓	pin1	
寄	tɕi5	
密	mit8	
富	fu5	
寒	hɔn2	
察	tsʰat7	
實	ʂət8	
寫	sia3	
寬	kʰuan1	
寴	tsʰin1	
寶	pau3	
寸	tsʰən5	
對	tɛi5	
尋	tsʰin2	
壽	ʂu5	
封	fəŋ1	
射	ʂa5	
尊	tsən1	
尋	tsʰin2	
對	tɛi5	
小	siau3	
少	ʂau3	多少
尖	tsiɛn1	
尝	ʂɔŋ2	
就	tsʰiu5	
尺	tʂʰak7	
尽	tsʰin5	
尾	mi1	
尿	niau5	
局	tɕʰiuk8	
層	tsʰɛn2	
屋	vuk7	
屍	ʂʅ1	
屎	ʂʅ3	
展	tʂɛn3	
層	tsʰɛn2	
山	san1	
歲	sɛi5	
岔	tsʰa1	
岸	ŋɔn5	
峕	ʂʅ2	
嶺	liaŋ1	
州	tʂu1	
巢	tsʰau2	
工	kəŋ1	
左	tsɔ3	
巷	hɔŋ5	
巾	tɕin1	
市	ʂʅ5	
布	pu5	
帥	sai5	
師	sɿ1	
帋	tʂʅ3	
帳	tʂɔŋ5	
帒	tʰɔi5	
帚	tʂu3	
帥	sai5	
帶	tai5	
師	sɿ1	
帬	tɕʰin2	
幫	pɔŋ1	
帳	tʂɔŋ5	
帶	tai5	
常	ʂɔŋ2	
帽	mau5	
幫	pɔŋ1	
平	pʰiaŋ2	白读 文读
平	pʰiaŋ2	
平	pʰin2	
年	niɛn2	
幹	kɔn5	干活
幼	iu5	
牀	tsʰɔŋ2	
應	in1	应当
店	tiɛn5	
廟	miau5	
度	tʰu5	
座	tsʰɔ5	
庿	miau5	
廚	tʂʰu2	
廟	miau5	
廠	tʂʰɔŋ3	
廧	tsʰiɔŋ2	
延	iɛn2	
建	tɕiɛn5	
開	kʰɔi1	
弊	pi5	
弌	it7	
弍	ni5	
弓	kəŋ1	
引	in3	
弟	tʰɛ1	白读 文读
弟	tʰɛ5	
弟	tʰi1	
弟	tʰi5	
弟	tʰɛ1	
張	tʂɔŋ1	
彎	van1	
弱	niɔk8	
張	tʂɔŋ1	
強	tɕʰiɔŋ2	强大
强	tɕʰiɔŋ2	强大
彊	tɕʰiɔŋ2	强大
彎	van1	
歸	kui1	
形	ɕin2	
彪	piau1	
彭	pʰaŋ1	
影	iaŋ3	白读 文读
影	iaŋ3	
影	in3	
役	it7	
待	tʰɔi5	
律	lit8	
後	hɛu5	前后
徐	tsʰi2	
得	tɛk7	
從	tsʰəŋ2	从来
徧	pʰiɛn5	
心	sin1	
忍	nin1	
志	tʂʅ5	
忙	mɔŋ2	
快	kʰuai5	
念	niɛn5	
忽	fət8	
怕	pʰa5	
急	tɕit7	
怪	kuai5	
恐	kʰəŋ3	
恠	kuai5	
恥	tʂʰʅ3	
恨	hɛn5	
恩	ɛn1	
恾	mɔŋ2	
悔	fɛi3	
悲	pi1	
情	tsʰin2	
惜	sit7	
惡	ɔk7	善恶
慣	kuan5	
想	siɔŋ3	
惹	nia1	
愁	tsʰɛu2	
意	i5	
愛	ŋɔi5	
感	kɔn3	
慈	tsʰɿ2	
慢	man5	
慣	kuan5	
憂	iu1	
懂	təŋ3	
應	in1	应当
懶	lan1	
懶	lan1	
懷	fai2	
懽	fɔn1	
戲	ɕi5	
成	ʂaŋ2	白读 文读
成	ʂaŋ2	
成	ʂən2	
成	tʂʰaŋ2	
成	tʂʰən2	
戰	tʂɛn5	
戰	tʂɛn5	
戲	ɕi5	
戴	tai5	
戶	fu5	
戶	fu5	
房	fɔŋ2	
扁	piɛn3	
扇	ʂɛn5	扇子
手	ʂu3	
掃	sau5	掃地
扯	tʂʰa3	
扶	fu2	
批	pʰi1	
抄	tsʰau1	
把	pa3	
折	tʂɛt7	折断
報	pau5	
披	pʰi1	
抭	iau3	
抱	pʰau5	
抹	mat7	
抽	tʂʰu1	
拈	niɛn1	
拏	nak8	
拕	tʰɔ1	
招	tʂau1	
拜	pai5	
揀	kan3	
括	kuat8	
拱	kəŋ3	
拳	tɕʰiɛn2	
挂	ua5	
指	tʂʅ3	动、名
挑	tʰiau1	
捉	tsɔk7	
捋	lɔt8	
捏	niɛt8	
撈	lau1	
捨	ʂa3	舍不得
捭	pai3	
掀	ɕiɛn1	
掃	sau5	扫地
掌	tʂɔŋ3	
排	pʰai1	
掛	kua5	
接	tsiɛt7	
揀	kan3	
提	tʰi2	文讀 白讀
提	tʰi2	
提	tʰia2	
插	tsʰat7	
換	vɔn5	
攪	kau3	
搖	iau2	
搜	sɛu1	
攤	tʰan1	
摘	tsak7	
摤	tsʰiɔŋ3	
摸	mɔ1	
摺	tʂɛt7	折叠
撆	pʰiɛt7	
撇	pʰiɛt7	
撈	lau1	
撘	tat7	
撦	tʂʰa3	
操	tsʰau2	体操
擔	tan1	担任
擺	pai3	
攃	tsʰat7	
攤	tʰan1	
攪	kau3	
支	tʂʅ1	
收	ʂu1	
攷	kʰau3	
改	kɔi3	
放	fɔŋ5	
效	hau5	
敏	min3	
救	tɕiu5	
敗	pʰai5	
教	kau5	教育
敢	kan3	
