#漢字	音標	解釋
一	i7	
七	tsʰi7	
万	uan5	
三	san1	
上	ʂan6	
下	xa6-	
下	ɕia6=	
世	ʂʅ5	
業	ȵie7	
東	toŋ1	
絲	sɿ1	
丟	tiəu1	
兩	lian3	
嚴	ȵiẽ2	
个	ko5	
中	tʂoŋ1	
丰	xoŋ1	
主	tɕy3	
舉	tɕy3	
義	ȵi5	
烏	u1	
九	kiəu3	
習	si7	
書	ɕy1	
買	mai3	
亂	lõ6-	
亂	lõ5=	
爭	tsən1	
事	sɿ6-	
事	sɿ5=	
二	ə6	
虧	kʰuei1	
雲	yn2	
五	u3	
井	tsin3	
交	kiau1	
產	tsʰan3	
亮	lian6-	
亮	lian5=	
親	tsʰin1	
人	in2	
倉	tsʰan1	
付	fu5	
件	kiẽ6-	
件	kiẽ5=	
任	in5	
休	siəu1	
優	iəu1	
會	fei6	
傘	san3	
傳	tɕyẽ2	
傳	tɕyẽ6	
傷	ʂan1	
位	uei6-	
位	uei5=	
低	ti1	
住	tɕy6	
余	y2	
佛	fu7	
作	tso7	
使	ʂʅ3	
侄	tʂʅ7	
側	tsə7	
便	piẽ6	
俊	tsən5-	
俊	tɕyn5=	
修	siəu1	
借	tsia5-	
借	tsie5=	
假	kia3	
做	tsəu5	
停	tin2	
健	kiẽ5	
偷	tʰəu1	
像	sian5	绣～
像	tsian6	好～
僧	tsən1	
兒	ə2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
先	siẽ1	
光	kuan1	
黨	tan3	
入	y7	
全	tsiẽ2	
八	pa7	
公	koŋ1	
六	ləu7	
蘭	lan2	
共	koŋ6-	
共	koŋ5=	
關	kuan1	
興	ɕin5	
兵	pin1	
典	tiẽ3	
寫	sie3	
軍	tɕyn1	
冤	yẽ1	
冬	toŋ1	
冰	pin1	
冲	tʂʰoŋ1	向前～
冲	tʂʰoŋ5	～鼻子
决	tɕye7	
冷	lən3	
凍	toŋ5	
準	tɕyn3	
減	kan3	
湊	tsʰəu5	
几	ki3	
鳳	xoŋ5	
凳	tən5	
凶	ɕioŋ1	
出	tɕʰy7	
擊	ki7	
刀	tau1	
分	fən1	
切	tsʰie7	
划	fa5	
列	lie7	
初	tsʰəu1	
判	pʰõ5	
别	pʰie7	
刮	kua7	
制	tʂʅ5	
刷	ɕya7	
刺	tsʰɿ5	
刻	kʰə7	
剃	tʰi5	
削	sio7	
前	tsiẽ2	
劍	kiẽ5	
剝	po7	
劇	tɕy5	
剩	ʂən6	
剪	tsiẽ3	
副	fu5	
割	ko7-	
割	kə5=	
劈	pʰia7	
力	li7	
勸	tɕʰyẽ5	
辦	pan6	
動	toŋ6-	
動	toŋ5=	
勁	kin5	
勤	kin2	
勺	so7	
勻	yn2	
包	pau1	
化	fa5	
北	pə7	
匠	tsian6	
匹	pʰi7	
區	tɕʰy1	
十	ʂʅ7	
升	ʂən1	
半	põ5	
華	fa2	
協	ɕie7	
卒	tsəu7	
單	tan1	
賣	mai3-	
賣	mai5=	
南	lan2	
占	tʂə̃5	
衛	uei5	
印	in5	
危	uei2	
卷	tɕyẽ3	
廠	tʂʰan3	
廳	tʰin1	
历	li7	
厭	iẽ5	
厚	xəu6-	
厚	xəu5=	
原	yẽ2	
去	kʰə5-	
去	tɕʰy5=	
縣	ɕiẽ6	
参	sən1	
及	ki7	
雙	ɕyan1	
反	fan3	
发	fa7	
叔	ʂəu7	
取	tsʰi3	
變	piẽ5	
口	kʰəu3	
古	ku3	
句	tɕy5	
叫	kiau5	
可	kʰo3	
台	tai2	
右	iəu6	
葉	ie7	
號	xau6	
吃	kʰia7-	
吃	kʰi7=	
各	ko7	
吉	ki7	
名	min2	
后	xəu6	
向	ɕian5	
吕	lei3	
吞	tʰən1	
含	xan2	
听	tʰin5	
吴	u2	
吸	ki7-	
吸	ɕi7=	
吹	tɕʰyei1	
味	uei6-	
味	uei5=	
命	min6-	
命	min5=	
咸	xan2	
品	pʰin3	
響	ɕian3	
啞	ŋa3-	
啞	ia3=	
哭	kʰu7	
脣	ʂən2	
唱	tʂʰan5	
善	ʂə̃6-	
善	ʂə̃5=	
喊	xan3	
喜	ɕi3	
嘴	tsei3	
器	kʰi5	
四	sɿ5	
回	fei2	
園	yẽ2	
困	kʰuən5	
圍	uei2	
國	kuə7	
圖	təu2	
圓	yẽ2	
圈	tɕʰyẽ1	
土	tʰəu3	
地	ti6-	
地	ti5=	
均	tɕyn1	
壞	fai6	
坐	tso6	
坑	kʰən1	
塊	kʰuai3	
墳	fən2	
垂	tɕyei2	
墊	tiẽ6	
埋	mai2	
城	tʂən2	
塔	tʰa7	
塞	sə7	
墨	mə7	
墩	tən3-	
墩	tən1=	
壁	pi7	
壯	tɕyan5	
聲	ʂən1	
殼	kʰo7	
壺	fu2	
夏	ɕia6	
外	uai6	
多	to1	
夜	ia6-	
夜	ie5=	
够	kəu5	
大	tai6-	
大	ta5=	
天	tʰiẽ1	
失	ʂʅ7	
頭	təu2	
夾	ka7	
奪	to7	
契	kʰi5	
女	y3-	
女	ȵy3=	
奴	ləu2	
奸	kan1	
好	xau3	
如	y2	
婦	fu5	
妹	mei6-	
妹	mei5=	
姐	tsia3-	
姐	tsie3=	
姓	sin5	
姜	kian1	
姨	i2	
娘	ȵian2	
婆	po2	
婚	fən1	
嫁	ka5-	
嫁	kia5=	
嫂	sau3	
嫌	ɕiẽ2	
嫩	lən5	细～
嫩	lən6	很～
子	tsɿ3	
孔	kʰoŋ3	
字	tsɿ6	
孫	sən1	
孝	ɕiau5	
季	ki5	
學	ɕio7	
