#漢字	音標	解釋
□	ŋa1-	～口:张嘴
□	tsɿ1	内心像抓挠般难受：心里～
□	tsʰɿ1	～哒一跤：因滑摔倒
□	tsʰi1	～～话：悄悄话
□	ma1	～稀：还过得去，不算很差
□	so1	吸面粉之类：～碗粉
□	xo1	哄小孩：～细伢子
□	xo1	形容很嫩：～嫩的
□	lai1	无精打采：～起～起
□	lau1	～轻的：形容轻
□	ȵiau1	抬起：～嘴巴、～脚
□	ɕiau1	掀翻：～桌子
□	ləu1	铁锈：～铁
□	sẽ1	～薄：非常薄
□	kʰan1	～一截：差一截，没装满
□	tʰian1	～别个：揶揄取笑或者讽刺某人
□	lin1	偷偷地：～哒出去
□	pu2	一绺：一～
□	lai2	遗忘：～塌哒
□	ŋai2	拖延：～时间
□	ŋau2	～实：老年人身体好
□	kõ2	～背：弯腰
□	tsan2	刺：～人
□	tsʰɿ3	搭理：莫～他
□	pʰa3	拟声词，比如炸裂：气球～了
□	ma3	偷走东西：～起走
□	la3	～糊：不爱卫生或不精致
□	lia3	向下斜：～肩膀
□	kua3	～鸡蛋：没能孵出小鸡的蛋
□	po3	物品很次：你这鞋太～了
□	lo3	将食物用舌头揉搓：咬不动，～下子算了
□	sai3	理睬：不～你
□	fei3	（小孩）吐：～奶
□	mau3	～一下：打一下
□	pʰiẽ3	～肉酱：蘸酱类
□	pʰan3	～门：用力关门、锁门
□	kʰan3	谷物等坏了：米～了
□	kʰuan3	常形容食物不结实致密：～泻的
□	ŋən3	～人、～脚：使不平顺
□	ɕin3	做事冲动不聪明：～头
□	tsoŋ3	物品老旧而易碎：棉絮～哒
□	tsi5	～～：指乳房或奶水
□	tɕy5	从口袋等掏出来：～哒半天
□	ma5	形容很旧：～旧
□	mia5	～唧啦黑：形容很黑
□	tɕia5	形容很湿：衣服打得～湿
□	tɕya5	～～叫：拟声词
□	ɕya5	～亮的：锃亮
□	tʰo5	～块砖头：压块砖头
□	so5	丑：样子～；欺骗：莫～我咯
□	ye5	饭碗一只～：缺口
□	tsiəu5	拧或掐：～被窝
□	man5	因小而胀：衣服～烂哒
□	kuan5	形容很绿：～绿
□	in5	量：～米
□	tsɿ6	小孩顽皮而执拗：～孽
□	la6	形容粗：～粗的
□	tsa6	小灌木丛，荆棘丛：～子
□	ka6	量词，用手指量从拇指尖到中指尖或者两脚跨一步之间的距离都叫一～；动词，跨：～过去
□	kua6	口里～木的：麻木，尝不出味
□	kua6	气～哒：生气的样貌
□	kʰua6	形容人没精神：～泄的
□	to6	往下叠放物品：～锅子
□	lo6	毒死：～死狗
□	kə6	粗糙：～粗
□	kʰuai6	（小物件）贴身放或带：～得书包里
□	liəu6	熟悉：玩～哒
□	liẽ6	～常：经常
□	man6	～痂子：身上摩擦出的污垢
□	tʰan6	晃荡：水在～
□	kuan6	磕碰绊：～哒脚
□	kʰuan6	撞着或碰着：骑车莫～哒人
□	tsʰi7	～一眼：靠近看一下
□	ta7	～模：人或物大而笨重，不精致
□	tɕia7	脾气倔强：发～
□	tɕia7	很：衣服汗湿了，～润的
□	tʰo7	绳子～哒：绳子断了
□	lo7	往上放物品：～得阁楼上
□	pie7	詈语，女阴
□	ȵie7	凹陷
□	ȵie7	小孩特别顽劣：好～
□	tsei7	塞：～得口袋里
□	tsʰei7	（骂人）乱走动：～到哪里去
□	tɕiəu7	空间狭小而没伸展：纸～坏了
□	toŋ7	用力往下压：～藕煤
㞎	pa3	～～：屎或脏东西，儿语
䁊	ua7	～进去：凹进去
䋎	tsan5	用针线缝钉：～扣子
䐬	tsau2	饿：肚子～
䞀	xəu2	贪心，对财物等想占为己有：～心重
一	i7	
丁	tin1	
七	tsʰi7	
万	uan6	
丈	tsan6	
三	san1	
上	san6-	
上	san5=	
下	xa6-	底～；都：大家～有份
下	ɕia6-	～决心
下	ɕia5	为人抠门又品行不好：为人～
不	pu7	
与	y3	给～
丐	kai5	
丑	tsʰəu3	
專	tɕye1	
且	tsʰie3	
丕	pʰei1	
世	sɿ5	
丘	tɕʰiəu1	一～田
丙	pin3	
業	ȵie7	
叢	tsoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tsən2	
丟	tiəu1	
兩	lian3	
嚴	ȵiẽ2	
嚴	ŋan2	～实
並	pin5	
喪	san1	
喪	san5	～气
个	ko5	
丫	ŋa1	
丫	ia1	～头
中	tsoŋ1	～间
中	tsoŋ5	～标
丰	xoŋ1	
串	tɕʰyẽ5	
臨	lin2	
丸	yẽ2	
丹	tan1	
爲	uei2	作～
爲	uei6	～什么
主	tɕy3	
丽	li5	
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
么	mo3	～子事
義	ȵi5	
之	tsɿ1	
烏	u1	
乎	fu1	
乏	fa7	
樂	lo7	～开花
樂	io7	～器
樂	lə7	咯只人好～：这个人让人乐
乒	pʰin3	
喬	tɕiau2	
