#漢字	音標	解釋
□	tɕi1	天萝～:油条
□	tɕʰi3	～救：抢救
□	bu2	花～:花蕊
□	ku1	蹲
□	tɕʰy3	嘴
□	mɛ3	不会。“弗解”的合音
□	lɛ2	解大小便
□	lɛ3	差，不好
□	lɛ6	讲～:讲大话
□	zɛ6	陡
□	ɛ-53	～□ne0:咱们
□	duɛ6	钝，不快
□	tsuɛ3	一～葡萄:一串葡萄
□	suɛ5	谷～：稻穗
□	zuɛ2	丑，难看
□	pʰe1	猪～:公猪
□	pʰe3	～痰:吐痰
□	me3	母亲
□	me6	～鸟:小孩的阴茎
□	me6	养细～：生小孩
□	te-44	～走～讲:边走边说
□	ne0	我～：我们
□	ne0	作神□ɕiŋ0～:小心
□	le3	～过去:钻过去
□	ze6	一～风:一阵风
□	e6	那
□	ɕie3	唾～:围嘴儿
□	ɕie5	鸡～袋：鸡嗦子
□	due2	阴茎
□	pʰɔ1	披
□	pʰɔ1	～阄:拈阄
□	mɔ0	□khɔʔ5～:如果
□	tɔ5	～起:架起来
□	dɔ6	～姊:姐姐
□	lɔ-8	2（这个字应与“□”zɔ212”同源。）（弗～:不要）
□	tsɔ3	拥挤
□	zɔ6	1（要）
□	kʰɔ3	拿
□	ɡɔ6	拃
□	ɡɔ6	～个:谁
□	xɔ1	～痒:挠使痒
□	tɕʰiɔ1	完蛋,完了
□	ɕiɔ3	唆使
□	kuɔ5	往上够
□	bo2	煨
□	mo0	骹～膝头:膝盖
□	to1	动词,指
□	ko1	瓢～:汤匙
□	ŋo2	～子:傻子
□	xo5	大便
□	buo2	瓠子
□	duo6	毒害
□	kuo3	车～:轮子
□	uo3	遗失
□	uo0	场～:地方
□	tɕʰyo-42	～里:家里
□	ʑyo6	动词，塞
□	yo3	看守
□	məɯ6	猜～儿:猜谜
□	ləɯ1	用手掏
□	ɡəɯ6	斜靠，倚
□	tiəɯ5	～酒:酿酒
□	tʰiəɯ-42	～头:马头
□	tɕiəɯ-44	～桌布:抹布
□	iəɯ3	折叠
□	iəɯ6	～儿:哨子
□	lɯ1	抠
□	xɯ5	馋嘴
□	tiɯ1	一～树:一棵树
□	tɕʰiɯ1	蚊虫～:孑孓
□	tsui3	扯
□	tsui3	柱～:柱础
□	ui2	便宜
□	nã1	拿
□	tsã1	□□nʌʔ2khəʔ4～:栗暴
□	kʰã1	□khəʔ4～;刚
□	ɡã6	跨
□	xã3	簸粮食
□	ã1	凹
□	ã6	这么
□	ŋuã1	乖
□	tɕʰyã1	大～:大不了
□	duɑ̃2	湿
□	tsuɑ̃5	用指甲掐
□	vɛ̃0	身～:身材
□	kʰɛ̃-44	～馃:糍粑
□	ɕiɛ̃0	厨～:厨房
□	iɛ̃6	食饭～儿:中午
□	tɕʰyɛ̃3	黄～:蚯蚓
□	dʑyɛ̃6	门～:门坎
□	pʰəŋ1	闻
□	dəŋ2	～手:伸手
□	dəŋ6	暖和
□	dəŋ6	～雨:下雨
□	nəŋ6	怎么
□	kʰəŋ3	盖住，罩住
□	tʰiŋ5	跟,和
□	ɕiŋ0	些
□	ʑiŋ2	老～农:老头儿
□	tɕyŋ3	一～笔:一支笔
□	tɕʰyŋ-44	灶～老佛:灶王爷
□	foŋ5	校：原作⿰弗曾）（未
□	noŋ6	蚊子咬成的疙瘩
□	loŋ6	～蛤蟆:蟾蜍
□	zoŋ2	～柿:漤柿子
□	koŋ5	熏
□	xoŋ1	鸡～:公鸡
□	xoŋ3	擤
□	oŋ2	胖
□	oŋ2	～虫:蟑螂
□	oŋ3	抽脾～:发疟子
