#漢字	音標	解釋
一	jit7	
七	tʰɜt7	
丈	tɕʰiɛŋ5	
三	ɬam1	
上	ɕiɛŋ6	
下	ha6	
丌	ki1	
不	ʋut7	
丑	tsʰɜu2	
專	tsɔn1	
丙	ʋɜn2	
業	ŋiɜp9	
兩	liɛŋ2	
嚴	ŋiɜm4	
个	kɔi1	
中	tsəŋ1	
串	tsʰɔn5	
丹	ʔan1	
主	tɕi2	
舉	køy2	
乃	nai5	
乃	nai5b	
久	kɜu2	
麼	mɔ2	
麼	mɔ5	
乍	tsa6	
乏	fat9	
乙	jɔt7	
乜	mɔt7	
乜	niɛ2	
乞	hat7	
也	ja5	
買	mai1	
亂	lɔn6	
乳	ŋøy5	
乸	na2	
乾	kʰiɜn4	
爭	tsaŋ1	
事	ɬu6	
二	ŋɛi6	
雲	ʋun4	
五	ŋ2	
井	tɜn2	
井	tiɛŋ2	
亞	ʔa1	
些	ɬiɛ1	
亢	kʰaŋ1	
亦	jɜt9	
亨	haŋ1	
亮	liɛŋ6	
親	tʰɜn1	
僅	kɜn2	
仆	pʰək7	
今	kɜm1	
介	kai1	
从	tʰəŋ4	
他	ha1	
代	ʔɔi6	
以	ji5	
仰	ŋiɛŋ5	
份	fun6	
仿	fɔŋ2	
企	kʰɛi1	
企	kʰɛi2	
伏	fək9	
伏	fək10	
休	hɜu1	
優	jiu1	
會	ʋɔi6	
會	ʋɔi5	
傘	ɬan1	
偉	ʋui2	
傳	tsɔn6	
傳	tsʰɔn4	
伯	ʋak10	
估	ku2	
伴	hɔn5b	
伴	pɔn6	
似	ɬu5	
但	ʔan6	
何	hɔ5b	
佛	fut9	
作	tɔk8	
作	tɔk7	
你	nɛi1	
你	nɛi5	
你	nɛi5b	
佢	kʰøy1	
侄	tɕit9	
俠	hiɜp9	
側	tsak7	
促	tʰək7	
保	ʋɔ2	
儉	kiɜm6	
修	ɬɜu1	
俸	fəŋ2	
俾	pɛi2	
倍	hɔi5	
借	tiɛ1	
倡	tɕʰiɛŋ1	
傾	kʰɜn2	
假	ka2	
偌	niɛk8	
偌	niɛk7	
偌	niɛk10	
做	tou1	
健	kiɜn6	
傻	sɔ4	
僧	ɬaŋ1	
兀	ŋək7	
兀	ŋɵt7	
兀	ŋɵt9	
允	ʋun5	
兆	ɕiɜu5	
先	ɬiɜn1	
光	kɔŋ5b	
免	miɜn5	
兌	ʔøy6	
黨	ʔɔŋ2	
入	jip9	
全	tʰiɜn4	
八	ʋat8	
八	ʋat7	
公	kəŋ5	
六	lək9	
共	kəŋ6	
其	kʰɛi4	
典	ʔiɜn2	
兼	kiɜm1	
內	nøy6	
冇	mɔ1	
再	tɔi1	
寫	ɬiɛ2	
冚	kʰam2	
軍	kun1	
農	nəŋ4	
冬	ʔəŋ1	
冲	tsʰəŋ1	
决	kʰiɜt7	
冷	laŋ1	
冷	laŋ2	
冷	laŋ6	
冷	laŋ5	
準	tsɵn2	
湊	tʰau1	
凛	lɜm5	
几	ki2	
几	kiɛ1	
凡	fan4	
鳳	fəŋ6	
凳	ʔaŋ5	
凸	ʔɵt9	
凹	nɜp8	
凹	nɜp10	
凹	ʋa1	
出	tsʰɵt7	
擊	kɜt7	
鑿	tʰɔk10	
刃	jin6	
切	tʰiɜt8	
切	tʰiɜt7	
則	tak7	
初	tsʰou1	
刨	pʰau4	
利	lɛi6	
刮	kat8	
制	tsai1	
刷	tsʰat8	
刷	tsʰat10b	
券	hiɜn5	
刹	sat7	
剝	mɔk8	
劇	kʰiɛk7	
剩	tsɜn6	
割	kɔt8	
剿	tiɜu2	
劈	pʰiɛk8	
劈	pʰiɛk10	
務	mou6	
動	ʔəŋ6	
助	tsou6	
努	nou2	
劫	kiɜp7	
勞	lɔ4	
勇	jəŋ5	
勒	lak9	
勒	lak10	
勾	kau5	
勻	jɵn4	
包	ʋau1	
包	ʋau8b	
包	ʋau5	
包	ʋau5b	
化	fa1	
化	fa5	
北	ʋak7	
匝	tsat7	
匝	tsat10	
醫	ji1	
匿	nat8	
匿	nɜt7	
匿	nɜt9	
十	ɕip9	
千	tʰiɜn1	
卅	ɬap9	
升	sɜn1	
升	sɜn5	
午	ŋ5	
半	ʋɔn1	
半	ʋɔn5	
卌	ɬɜp9	
卒	tɵt7	
卓	tɕʰiɛk7	
單	ɕiɜn6	
賣	mai6	
南	nam4	
南	nam4b	
博	pɔk7	
博	ʋɔk7	
卜	mək7	
卞	piɜn6	
占	tɕiɜm1	
卡	kʰa2	
卡	kʰak8	
卡	kʰak7	
卡	kʰak10	
卤	lou2	
卵	lɔn2	
卷	kiɜn2	
廠	tsʰɔŋ2	
历	lɜt9	
壓	ʔat7	
厭	jiɜm1	
厚	hau5	
去	høy1	
縣	jɔn6	
参	tʰam1	
参	tʰam2	
参	tʰɜm1	
又	jiu6	
及	kiɜp9	
友	jiu5	
反	fan2	
发	fat8	
叔	sək7	
取	tʰøy2	
疊	ʔiɜp9	
另	lɜn6	
只	tɕiɛk8	
召	tɜu1	
叮	ʔɜn1	
台	hɔi4	
葉	jiɜp10	
號	hɔ6	
叻	liɛk7	
吃	hiɛk8	
各	kɔk7	
合	hap9	
名	miɛŋ4b	
嚇	hak8	
否	fau2	
吧	pa1	
启	kʰai2	
吹	tsʰøy1	
吾	m4	
呃	ŋak7	
呆	ŋɔi4	
呐	nɛ4	
呢	nai4	
呢	ni2	
周	tɕiu1	
味	mɛi6b	
呷	hap8	
呼	fu5	
命	mɜn6	
命	miɛŋ6	
和	kuɔ5	
咒	tɕiu5b	
咕	ku6	
咧	liɛ5	
咩	miɛ2	
咬	ŋau2	
咯	lɔk8	
咯	lɔk7	
咱	tsan5	
咳	kʰat8	
咳	kʰat7	
哈	ha2	
響	hiɛŋ2	
啞	ʔa2	
噠	ttat8	
噠	ʔat10	
哗	ʋa4	
喲	jɔ2	
哥	kou2	
哦	ʔɔ8b	
哪	na6	
哭	hək8	
哭	hək7	
哺	pou6	
哼	hŋ6	
唔	ŋ4b	
嘜	mak7	
喚	fɔn6	
售	ɕiu4	
唼	sap8	
啊	ʔa6	
啡	fɛ2	
啤	piɛ2	
啥	sa4	
啮	ŋat9	
啮	ŋiɜt9	
啱	ŋam2	
喇	la1	
喋	tsap10	
喋	ʔiɜp7	
喘	tsʰɔn2	
喙	tsɔi1	
喜	hɛi2	
喳	tsa2	
嗄	ʔa8b	
嗍	sɔk8	
嗝	ʔək10	
嗦	sak7	
嗲	ʔiɛ2	
嗽	ɬau1	
嘅	kɛ1	
嘢	jiɛ1	
嘣	paŋ2	
嘬	tɔt8	
囑	tsək8	
嘴	tøy2	
噎	jiɜt7	
噏	ŋap7	
噢	ʔɔ1	
嚏	tɕʰi6	
嚿	kau6	
囊	nɔŋ4	
囊	nɔŋ5	
囔	nɔŋ2	
囚	tʰɜu4	
四	ɬɛi1	
回	ʋɔi4	
因	jin1	
圓	jɔn4	
圓	jɔn5b	
土	hou2	
在	tɔi6	
地	tɛi6	
地	tɛi6b	
地	ʔɛi6	
圳	tsɵn5	
場	tɕʰiɛŋ4	
圾	ɬap7	
壞	ʋai6	
坑	haŋ5	
堅	kiɜn1	
墳	fun4	
墜	tsøy6	
坤	kʰun1	
坪	hiɛŋ5	
垂	søy4	
垃	lap9	
墾	kʰan2	
墶	hat10	
埠	fau6	
培	pʰɔi4	
堆	ʔøy1	
塹	tʰiɜm5	
塔	tʰap7	
塘	hɔŋ4	
塞	ɬak7	
塞	tʰɛi1	
墒	ɕiɛŋ1	
增	taŋ1	
墟	høy5	
墨	mak9	
墨	mak10	
墩	ʔɵn2	
壤	ŋiɛŋ4	
壬	ŋɜm4	
聲	ɕiɛŋ5b	
處	tsʰøy2	
備	ʋɛi6	
夕	tɜt9	
外	ŋai6b	
多	ʔou1	
夜	jiɛ6	
大	ʔai6	
天	hiɜn1	
天	hiɜn6	
太	hai8b	
央	jiɛŋ1	
失	ɕit7	
夾	kap8	
奪	ʔɔt9	
奏	tau1	
契	kʰai1	
契	kʰai4	
奔	ʋɜn1	
女	nøy2	
奴	nou4	
奶	niɜn5b	
好	hɔ2	
如	ŋøy4	
妝	tsɔŋ1	
媽	ma2	
妊	ŋɜm5	
妖	jiɜu2	
妗	kʰɜm5	
妙	miɜu6	
妹	mɔi2	
妹	mɔi5b	
妻	tʰai1	
妾	tʰiɜp7	
姊	tɛi2	
姐	tiɛ2	
姑	ku1	
姜	kiɛŋ1	
姿	tu1	
嬌	kiɜu1	
娘	niɛŋ4	
娣	hai5	
娣	hai5b	
娥	ŋou4	
婆	hou4	
婆	hou5	
婿	ɬai5	
嫂	ɬɔ2	
嫡	ʔɜt7	
嫩	nɵn6	
孔	kʰəŋ2	
孖	ma1	
字	tu6	
存	tʰɵn4	
孫	ɬɵn1	
孝	hau1	
孟	maŋ6	
學	hɔk9	
孬	jai4	
孻	lai2	
孽	ŋiɜt7	
安	ʔɔn1	
宏	faŋ4	
官	kɔn1	
宙	tsau6	
定	ʔɜn6	
定	ʔiɛŋ6	
實	ɕit9	
寵	tsʰəŋ2	
審	ɕim2	
宰	tɔi2	
害	hɔi6	
家	ka1	
家	ka8b	
容	jəŋ4	
寅	jin4	
密	mɜt9	
密	mɜt10	
富	fu1	
寒	hɔn4	
寢	tʰɜm2	
察	tsʰat7	
寨	tsai6	
寸	tʰɵn1	
對	ʔøy5	
尋	tʰɜm4	
尋	tʰɜm5	
壽	ɕiu6	
射	ɕiɛ6	
將	tiɛŋ1	
尊	tɵn1	
小	ɬiɜu2	
少	ɕiɜu2	
尔	ŋɛi5	
尖	tiɜm1	
尖	tiɜm5	
尚	ɕiɛŋ6b	
嘗	ɕiɛŋ4	
堯	ŋiɜu4	
尺	tɕʰiɛk8	
尺	tɕʰiɛk10	
尼	nai2	
尾	mɛi2	
局	kək9	
層	tʰaŋ4	
居	køy1	
屈	kʰut7	
屏	pɜn2	
屏	ʋiɛŋ1	
屐	kʰiɛk10	
展	tɕin2	
屬	tsək7	
山	san1	
崗	kɔŋ5	
岭	liɛŋ5	
岳	ŋɔk9	
岸	ŋɔn6	
峭	tʰiɜu2	
崇	səŋ4	
崩	ʋaŋ1	
嵴	tiɛk8	
巢	tsʰau4	
巧	kʰau2	
巨	køy6	
鞏	kəŋ2	
差	tsʰa1	
巷	hɔŋ6	
市	ɕi5	
希	hɛi1	
帖	hiɜp7	
帶	ʔai1	
帶	ʔai5	
席	tiɛk9	
幫	ʋɔŋ1	
幫	ʋɔŋ8b	
平	hiɛŋ4	
平	pʰɜn4	
年	niɜn4	
并	ʋɜn6	
幸	haŋ6	
廣	kɔŋ2	
慶	hɜn1	
牀	tsʰɔŋ4	
店	ʔiɜm1	
府	fu2	
度	ʔɔk9	
廿	ŋɜp9	
開	hɔi1	
弄	ləŋ6	
引	jin2	
引	jin5	
弟	ʔai6b	
張	tɕiɛŋ1	
弩	nou5	
强	kʰiɛŋ4	
歸	kui1	
當	ʔɔŋ1	
形	jɜn4	
彥	ŋiɜn6	
彬	pɜn1	
影	jɜn2	
彳	tsʰɜt7	
役	ʋɜt9	
往	ʋɔŋ5	
徐	tʰøy4	
得	tak8	
得	ʔak8	
徨	ʋɔŋ4	
德	ʔak7	
心	ɬɜm1	
必	ʋiɜt7	
忌	kɛi6	
忍	ŋɜn5	
快	fai1	
忱	sɜm4	
念	niɜm6	
忽	fut10	
懷	ʋai4	
慫	tʰəŋ2	
愴	tʰɔŋ2	
怒	nɜu1	
怒	nou6	
怕	pʰa1	
急	kɜp7	
怨	jɔn1	
總	təŋ2	
恁	nɜn5	
恃	tɕʰi5	
戀	liɜn2	
恆	haŋ4	
恨	han6	
恬	hiɜm5	
息	ɬɜt7	
恶	ʔɔk8	
恶	ʔɔk7	
