#漢字	音標	解釋
□	iap10	張開翅膀扇動
□	kɛt10	抬起
□	kœk10	大頭～：大頭角
□	na1	傷疤
□	ȵia1	拿著
□	ŋai1	雙手搓
□	tʃau1	死的俗稱
□	am1	逼迫
□	man1	扳過來
□	nan1	～白，慘白
□	lan1	滾開，走開
□	ŋan1	無聊，空虛
□	han1	節省
□	ŋɐi1	哀求
□	ɐi1	雞鴨等胃前臨時裝食物的食道囊
□	pɐu1	差勁
□	mɐu1	香酥
□	kʰɐu1	端起、端著
□	hɐu1	盯著
□	ȵiɐu1	抓緊
□	tɐm1	鎖住，捆緊
□	nɐm1	量詞，個
□	lɐm1	癢
□	kʰɐm1	結實，耐穿
□	nɐn1	咽下去
□	iɐn1	頻率高，很快
□	mɐŋ1	拔
□	lɐŋ1	毛線
□	ŋɐŋ1	大聲喊
□	ȵiɐŋ1	抓緊、扯緊
□	uɐŋ1	壞了或辦砸了
□	pɛ1	焊
□	pʰɛ1	撲克
□	mɛ1	擬聲詞或充當尾碼
□	nɛ1	踮起腳
□	kʰɛ1	爛屎
□	tʃɛ1	鳩～：男性器官的俗稱
□	ȵiɛ1	癡迷
□	nɛu1	形容粥比較稠
□	kɛu1	形容東西非常稠
□	kʰɛu1	撬起來
□	kʰɛn1	kʰœŋ32～：蜻蜒
□	pɛŋ1	～秧：拔秧
□	pʰɛŋ1	驅趕
□	tɛŋ1	死的俗稱
□	pʰœ1	肚～hœ44：形容孕婦的大肚子
□	lœ1	拼命幹
□	ȵiœ1	錐子；身上突起的肉疙瘩
□	pʰœŋ1	鋤頭
□	pʰɔ1	空心
□	kʰɔ1	音譯詞，呼叫
□	iɔ1	起哄
□	mɔm1	吃～：吃飯(對小孩說)
□	lɔm1	～kʰɔm44：形容東西拱起來
□	mɔn1	獅子～清：舞著獅子去摘吊在空中的禮物
□	tʃʰɔn1	（雞用嘴）啄
□	poŋ1	用拳頭打
□	ŋoŋ1	弓著身體
□	ȵioŋ1	～hoŋ44：頭髮很長很亂
□	nin1	乳房、母乳
□	pʰiᵊŋ1	煙～：竹片編成用來曬煙葉的工具
□	ŋyn1	鑽
□	lu1	因酥松而崩跨
□	kua2	爬
□	au2	風騷
□	tʃɐi2	完蛋，死
□	iɐi2	不乖
□	tɐm2	蓋著
□	nɐm2	煮得很軟很爛
□	ɐn2	癢
□	iɐn2	均勻
□	kɛŋ2	臭～：臭昆蟲的一種
□	pɔm2	形容跳進水裏的聲音
□	ŋin2	碾
□	mai3	歪
□	tʰai3	放養
□	nai3	～軟
□	iau3	大口吃，敞開吃
□	ŋam3	凹進去
□	lei3	拔
□	kei3	這個
□	iei3	抓住，扯緊
□	mou3	腐爛，腐朽
□	nou3	-鬥～：滿滿的一鬥或一碗
□	lou3	攪拌
□	tɐm3	撞
□	kʰɐm3	用網去蓋或捉
□	mɐn3	（鴨子）用嘴喝水
□	tɐn3	屯積
□	nɐn3	挑逗、戲耍
□	iɐn3	玩
□	tʰɐŋ3	臺階，土級
□	nɐŋ3	形容酸菜壞了，或形容人很蠢笨
□	kɐŋ3	無法扭動；倔
□	tʃʰɐŋ3	有尿意或屎意
□	nɛ3	向同伴炫耀或誘惑
□	kʰɛ3	劈
□	tʃʰɛ3	雨～～：形容小雨一陣陣地下
□	fɛu3	用皮鞭、竹條打
□	lɛu3	搗亂
□	kʰɛu3	滑頭，狡猾
□	ɛn3	挺起，腆起
□	tɛŋ3	lɛŋ52-32～：形容駝背的樣子
□	lɛŋ3	不大
□	kɛŋ3	提起
□	hɛŋ3	～pɛŋ52：小腿
□	tʃʰɛŋ3	用腳蹬開
□	ȵiɛŋ3	用腳蹬
□	uɛŋ3	量詞，次
□	nɛk3	燒焦的味道
□	mœŋ3	殺～：小孩玩的殺敵遊戲
□	nœŋ3	骨～～：腿發抖
□	hœŋ3	形容沒有油水、很幹
□	pɔm3	爆破的聲音
□	ɔm3	碰、撞
□	oŋ3	推
□	pʰi3	吐（口水、痰）
□	iᵘ3	搞怪，幽默
□	miᵋ3	什麼，“乜嘢”的合音
□	im3	痂子
□	niᵊŋ3	竹子編的口小肚大的漁具
□	ty3	動詞，遞過去
□	tʃʰy3	用工具鏟或除
□	ȵy3	指著
□	y3	髒、難看或蠢
□	tʰyn3	～nyn52：很白很胖
□	nyn3	身上起的疙瘩
□	lyn3	蜷縮、卷
□	mun3	用嘴唇或牙肉吃東西
□	pa4	水流聲
□	la4	擬聲詞
□	kua4	亂抓
□	pai4	扒
□	tʃai4	舔
□	tʃam4	玻璃紮到
□	kuɐi4	用不正當的手段獲得
□	lɐu4	很假，很差勁
□	ȵiou4	抖動，跳動
□	nɐm4	亂攪
□	nɐn4	爛泥；膩
□	iɐn4	滿
□	pɐŋ4	擬聲詞
□	fɐŋ4	～～，轉動的樣子
□	tɐŋ4	很笨
□	lɐŋ4	掙扎
□	kɐŋ4	阻礙拌住
□	iɐŋ4	～～，晃動的樣子
□	uɐŋ4	～～，轉動或眩暈的樣子
