#漢字	音標	解釋
□	ka1	拟声词：用力关门的声音
□	tsʰua1	拟声词：水流声
□	zɛ1	拟声词：嚼东西声
□	tɕyœ1	～起：用力扯
□	kuai1	磨刀：在瓮沿上～～刀
□	tei1	打盹：～盹
□	tsei1	近指：～儿
□	tsʰu1	～儿：麻疹
□	su1	味～：味道
□	pə̃1	额头：～髅
□	kʰa2	拟声词：用力咳嗽的声音
□	ȵia2	人～：人家
□	kʰua2	水～：水坑
□	mɛ2	扔出去：～了可远嘞
□	tsʰei2	扶：把他～起来
□	ku2	象声词:大口喝水的声音
□	pʰɤ3	～身：投入身心
□	tɕyœ3	骂：～人
□	pai3	洗：～布子
□	pʰai3	指挥别人做事：～调
□	sai3	从振动的物上摔下来：从车上～下来哩
□	ŋei3	焦：～糊味
□	və̃3	远指：～个做
□	tsə̃3	近指：～个做
□	sa5	～菜：择菜
□	tɔ5	尘土飞扬：～了人一身土
□	nɔ5	:很多
□	nɛ5	握：～着手里
□	iɛ5	烧火
□	xai5	玩耍：这娃子可～嘞
□	vei5	远指：～儿
□	ku5	些：一～～
□	xu5	表粘稠
□	sɛo5	洒雨点：雨～了一窗台
□	taʔ7	遗传：他～了他父亲哩
□	laʔ7	磨碎粮食：～食食
□	pʰiaʔ7	～猪：鬃猪
□	pʰəʔ7	乱跑：～出的
□	xəʔ7	～里：里边
□	tsəʔ7	近指：～个
□	iəʔ7	夹：～进书里
□	tuəʔ7	用棍子捅
□	kuəʔ7	～驴儿：山羊
□	tsʰuəʔ7	调制：～浆糊
□	tɕyəʔ7	累伤了：～着哩
□	pɔʔ7	～拉：碍手碍脚
㷟	tʰuei5	
䌥	iə̃3	
一	iəʔ7	
丁	tiə̃1	
七	tɕʰiəʔ7	
万	vɛ5	
丈	tsɔ5	
三	sɛ1	
上	sɔ5	
下	xa5-	～雨
下	ɕia5=	
不	pəʔ7	
与	y3	
与	y5	
丐	kai5	
丑	tsʰei3	
專	tsuɛ1	
且	tɕʰiɛ3	
丕	pʰei2	
世	sɿ5	
丘	tɕʰiei1	
丙	piə̃3	
業	iəʔ7	
叢	tsʰuə̃2	
東	tuə̃1	
絲	sɿ1	
丞	tsʰə̃2	
丟	tiei1	
兩	lia3-	～斤
嚴	iɛ2	
喪	sɔ1	婚～
喪	sɔ5	～失
个	kuai5-	
个	kuəʔ7-	一～
丫	ia1	
中	tsuə̃1	
丰	fə̃1	
串	tsʰuɛ4	
臨	liə̃2	
丸	vɛ2	
丹	tɛ1	
爲	vei2	
爲	vei5	
主	tsu3	
丽	li5	
舉	tɕy3	
乃	nai3	
久	tɕiei3	
義	i5	
之	tsɿ1	
烏	vu1	
乍	tsa5	
乎	xu1	
乏	faʔ8	
樂	iəʔ7	
乒	pʰiə̃1	
乓	pʰɔ1	
喬	tɕʰiɛo2	
乖	kuai1	
乘	tsʰə̃2	
乙	iəʔ7	
乜	miɛ1	
九	tɕiei3	
乞	tɕʰiəʔ7	
也	iɛ3	
習	ɕiəʔ8	
鄉	ɕiɔ1	
書	su1	
買	mai3	
亂	luɛ5	
乳	zu3	
乾	tɕʰiɛ2	
了	lɛo3-	吃～它
了	liɛo3=	
予	y3	
爭	tsɿ1-	
爭	tsə̃1	
事	sɿ5	
二	ai5	
于	y2	
虧	kʰuei1	
雲	yə̃2	
互	xu5	
五	vu3	
井	tɕi3-	～
井	tɕiə̃3=	
亘	kə̃5	
亞	ia5	
些	ɕiɛ1	
亡	uɤ3	
交	tɕiɛo1	
亥	xai5	
亦	i5	
產	tsʰɛ3	
亨	xə̃1	
畝	mu3	
享	ɕiɔ3	
京	tɕiə̃1	
亭	tʰiə̃2	
亮	liɔ5	
親	tɕʰiə̃1	
親	tɕʰiə̃5	
人	zə̃2	
億	i5	
什	səʔ8	
仁	zə̃2	
仄	tsɔʔ7	
僅	tɕiə̃3	
仆	pʰəʔ7	
仆	pʰɔʔ7	
仇	tsʰei2	
今	tɕiə̃1	
介	tɕiɛ5	
仍	zə̃2	
从	tsʰuə̃2	
仑	lyə̃2	
他	tʰa1	
仗	tsɔ5	
付	fu5	
仙	ɕiɛ1	
仟	tɕʰiɛ1	
代	tai5	
令	liə̃5	
以	i3	
儀	i2	
們	məʔ7	
仰	ȵiɔ3	
仲	tsuə̃5	
件	tɕiɛ5	
價	tɕia5	
任	zə̃2	
份	fə̃5	
仿	fuɤ3	
企	tɕʰi3	
伊	i1	
伍	vu3	
伏	fəʔ8	
伐	faʔ8	
休	ɕiei1	
衆	tsuə̃5	
優	iei1	
伙	xuɤ3	
會	kʰuai5	
會	xuei5	
傘	sɛ3	
偉	vei3	
傳	tsʰuɛ2	
傳	tsuɛ5	
倫	lyə̃2	
僞	vei3	
佇	tsu5	
伴	pɛ5	
伶	liə̃2	
伸	sə̃1	
伺	tsʰɿ5	
似	sɿ5	
佃	tiɛ5	
但	tɛ5	
位	vei5	
低	ti1	
住	tsu5	
佐	tsuɤ3	
佑	iei5	
體	tʰi3	
何	xɤ2	
佘	sɤ2	
余	y2	
佛	fəʔ7	
作	tsuəʔ7	
佝	kei3	
佟	tʰuə̃2	
你	ȵiəʔ7-	～们；你的：～行
你	ni3=	
佣	yə̃1	
佩	pʰei5	
佬	lɛo3	
佰	piəʔ7	
佳	tɕia1	
使	sɿ3	
侄	tsəʔ7	
侉	kʰua3	
例	li5	
侍	sɿ5	
供	kuə̃5	
依	i1	
俠	ɕiaʔ7	
侣	ly3	
僥	tɕiɛo3	
偵	tsə̃1	
側	tsəʔ7-	～楞：侧着身子睡觉
側	tsʰɔʔ7-	～面面
僑	tɕʰiɛo2	
侮	vu3	
侯	xei2	
侵	tɕʰiə̃1	
