#漢字	音標	解釋
□	liɛ1	刺，名词
□	tiə1	～菜:择菜
□	mei1	～里:那里
□	ia3	～倒，抓住
□	mɯ5	
□	ʃyɛ̃5	扔掉:～嘎
□	tʃʰiə6	丢失;表～嘎哩
□	dzau6	(错误)
一	i1	
丁	tẽ1	
七	tʃʰi1	
万	vã6	
丈	ʤõ3-	
丈	ʤõ6=	
三	sã1	
上	ʒõ6	
下	ɣa6	
不	pu5	
与	ʒy2	
丐	ka5	
丑	tʃʰiu3	
專	̃tʃyɛ̃1	
且	tʃʰɛ3	
世	sɿ5	
丘	tʃʰiu1	
丙	pẽ3	
業	iĩ1-	
業	iɛ5=	
叢	dzɤŋ2	
東	tɤŋ1	
絲	sɿ1	
丞	ʤẽ2	
丟	tiə1	
兩	liã3	
嚴	ʒiĩ2	
喪	sõ5	
个	kɯ5	
丫	ia1	
中	tʃɤŋ1	～间
中	tʃɤŋ5	～奖
丰	fɤŋ1	
串	̃tʃʰyɛ̃6	
臨	lẽ2	
丸	ɣõ2	
丹	tã1	
爲	vei2	作～
爲	uei5	～什么
主	tʃy3	
丽	li5	
舉	tʃy3	
乃	lai3	
久	tʃiu3	
義	ŋ̍5-	
義	i5=	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	fu1	
乏	fa1	
樂	lɯ5	快～
樂	iu5	音～
喬	ʤau2	
乖	kuai1	
乘	ʤẽ2	
乙	iɛ1	
九	tʃiu3	
乞	tʃʰi3	
也	ia3-	
也	iɛ3=	
習	ʃi5	
鄉	ʃõ1	
書	ʃy1	
買	mai3	
亂	lõ5	
乳	y3	
乾	ʤiĩ2	
了	liə3	
爭	tsẽ1	
事	zɿ6	
二	ɛ5	
于	ʒy2	
亏	kʰuei1	
云	ʒyn2	
互	vu6	
五	u3	
井	tʃiã3-	
亞	ia5	
些	ʃɛ3	
亡	õ2	
交	tʃau1	
亥	ɣai6	
亦	i5	
產	tsʰã3	
亨	xẽ1	
畝	miə3	
享	ʃõ3	
京	tʃẽ1	
亭	dẽ2	
亮	liã5	
親	tsʰẽ1	～人
親	tsʰẽ6	～家
人	n̩2-	
人	zẽ2=	
億	i5	
什	ʂʅ5	
仁	ʒẽ2	
仅	tʃʰẽ6	
仆	pʰu1	～人
仆	pʰu6	～倒
仇	ʤiu2	
今	tʃẽ1	
介	kai5	
仍	ʒẽ2	
从	dzɤŋ2	
仑	luən2	
倉	tsʰõ1	
仕	zɿ6	
他	tʰa1	
仗	tʃõ5	
付	fu5	
仙	ʃiĩ1	
代	dai6	
令	lẽ5	
以	i3	
儀	ʒi2	
仰	iã3	
仲	ʤɤŋ6	
件	ʤiĩ6	
价	tʃa5	
任	ʒẽ2	
份	vẽ6	
仿	xõ3	
企	ʤi6	
伍	u3	
伏	fu5	
伐	fa5	
休	ʃiu1	
众	tʃɤŋ5	
优	iu1	
伙	xɯ3	
會	kʰuai6	～计
會	ɣuei6	开～
會	ɣuei6	～不～
傘	sã3	
偉	uei3	
傳	ʤyɛ̃2	～说
傳	ʤyɛ̃6	～记
傷	ʃõ1	
倫	luən2	
僞	uei5	
伯	piɛ1	
估	ku1	
伴	bõ6	
伶	lẽ2	
伸	ʃẽ1	
伺	zɿ6	
似	zɿ6	
但	dã6	
位	uei5	
低	ti1	
住	ʤy6	
佐	tsɯ3	
体	tʰi3	
何	ɣɯ2	
佘	ʒɛ2	
余	ʒy2	
作	tsɯ5	
佞	lẽ2	
你	n̩3-	
你	li3=	
佢	tʃi3	(第三人称：他她它)
佩	pʰei6	
佳	tʃa1	
使	sɿ3	
侃	kʰã3	
侄	tʂʅ1	
侈	tsʰɿ3	
例	liɛ5	
侍	zɿ6	
供	kɤŋ5	
依	i1	
俠	ʃa5	
僥	tʃau3	
偵	tʃẽ1	
側	tʃʰɛ6	
僑	ʤau2	
儂	lɤŋ2	
侮	u3	
侯	ɣiə2	
侵	tsʰẽ6	
便	biĩ2	～宜
便	biĩ6	方～
促	tsʰu6	
俄	ɡɯ2-	
俄	ŋɯ2=	
俊	tsuən5	
俏	tʃʰiə6	
俗	su5	
俘	fu1	
保	pau3	
信	sẽ5	
儼	ʒiĩ2	
倆	liã3	
儉	tʃiĩ5	
修	ʃiu1	
俯	fu3	
俱	ʤy6	
俸	vɤŋ6	
倍	bei6	
倒	tau3	打～
倒	tau5	～水
倔	tʃyɛ5	
倘	tʰõ3	
候	ɣiə6	
倚	i3	
借	tʃɛ5	
倡	tʃʰõ6	
倦	ʤyɛ̃6	
倪	ʒi2	
倭	ɯ1	
債	tsai5	
值	tʂʰʅ6	
傾	kʰɤŋ1-	
傾	tʃʰyn3=	
假	tʃa3	
偏	pʰiĩ1	
做	tsu5	
停	dẽ2	
健	ʤiĩ6	
偶	iə3	
偷	tʰiə1	
償	ʤõ2	
傀	kʰuei3	
傅	fu5	
傍	bõ6	
傢	tʃa1	
儲	ʤy2	
催	tsʰuei1	
傲	ɡau6-	
傲	ŋau5=	
傻	sa3	
像	ʃiã5	
僚	liə2	
僧	sẽ1	
僵	tʃõ1	
僻	pʰi1	
儒	ʒy2	
儡	luei3	
儿	ɛ2	
允	yn3	
元	ʒyɛ̃2	
兄	ʃɤŋ1	
充	tsʰɤŋ3	
兆	ʤau6	
先	ʃiĩ1	
光	kõ1	
克	kʰiɛ1	
免	miĩ3	
兌	duei6	
兔	tʰu6	
党	tõ3	
兜	tiə1	
入	ʒy6	
全	ʤyɛ̃2	
八	pa1	
公	kɤŋ1	
六	liu5	
兮	ʃi1	
蘭	lã2	
共	ɡɤŋ6	
關	kõ1	
興	ʃẽ1	～旺
興	ʃẽ5	高～
兵	pẽ1	
其	ʤi2	
具	ʤy6	
典	tiĩ3	
兹	dzɿ2	
養	iã3	
兼	tʃiĩ1	
獸	ʃiu5	
冀	tʃi5	
內	luei5	
岡	kã1	
冉	iĩ3	
冊	tʃʰɛ6	
再	tsai5	
冒	mau5	
寫	ʃɛ3	
軍	tʃyn1	
農	lɤŋ2	
冠	kõ1	衣～
冠	kõ5	～军
冤	yɛ̃1	
冥	mẽ2	
冬	tɤŋ1	
馮	ɣɤŋ2	
冰	pẽ1	
冲	tʃʰɤŋ1	
决	tʃyɛ5	
况	kʰõ6	
冷	lẽ3	
凍	tɤŋ5	
淨	dzẽ6	
凄	tʃʰi1	
准	tʃyn3	
凉	liã2	
凌	lẽ2	
減	kã3	
湊	tʃʰiə6	
凝	ʒi2	
几	tʃi3	
凡	vã2	
鳳	fɤŋ5	
凭	bẽ2	
凱	kʰai3	
凰	ɣõ2	
凳	tẽ5	
凶	ʃɤŋ1	
凹	ŋau5	
出	tʃʰy1	
擊	tʃi1	
函	ɣã2	
鑿	tsʰɯ6	
刀	tau1	
刁	tiə1	
刃	ʒẽ6	
分	fẽ1	～开
分	vẽ6	过～
切	tʃʰɛ1	
刊	kʰã1	
刎	vẽ3	
刑	ʒẽ2	
划	ɣua2	～船
划	fa6	计～
列	liɛ5	
劉	liu2	
則	tʃʰɛ6	
剛	kã1	
創	tsʰõ6	
初	tsʰu1	
刪	sã1	
判	pʰõ6	
刨	bau6	
利	li5	
别	piɛ1	区～
别	pʰiɛ6	离～
刮	kua1	
到	tau5	
制	tsɿ5	
刷	sua1	
券	̃tʃʰyɛ̃6	
刺	tsʰɿ6	
刻	kʰiɛ1	
劊	kʰuai3	
剁	tɯ3	
劑	tʃi5	
剃	tʰi6	
削	ʃiu1	
前	ʤiĩ2	
剮	kua3	
劍	tʃiĩ5	
剔	tʰi6	
剖	pʰiə3	
剜	õ3	
剝	pɯ1	
劇	tʃy5	
剩	ʒẽ6	
剪	tʃiĩ3	
副	fu5	
割	kua1-	
割	kiɛ5=	
剿	tʃiə3	
劈	pʰiɛ1-	
劈	pʰi1=	
力	li5	
勸	̃tʃʰyɛ̃6	
辦	bã6	
功	kɤŋ1	
加	tʃa1	
務	vu6	
劣	liɛ5	
動	dɤŋ3-	
動	dɤŋ6=	
助	dzu6	
努	lu3	
劫	tʃɛ1	
勵	li5	
勁	tʃẽ5	
勞	lau2	
勢	sɿ5	
勃	pɯ1	
勇	iɤŋ3	
勉	miĩ3	
勋	ʃyn1	
勒	liɛ5	
勘	kʰã1	
募	mɯ5	
勤	ʤẽ2	
勺	ʃiu5	
勾	kiə1	
勿	vu6	
勻	ʒyn2	
包	pau1	
匆	tsʰɤŋ1	
匈	ʃɤŋ1	
化	xua5	
北	piɛ1	
匙	zɿ6	
匠	ʤiã6	
匡	tʃʰiã1-	
匡	kʰõ1=	
匣	ʃa5	
匪	fi3	
匹	pʰi3	
區	tʃʰy1	
医	i1	
