#漢字	音標	解釋
□	ko1	鸡蛋：儿语
□	tsua5	～脑壳:点头
□	tsʰau5	(错)
□	pã5	(藏起来)
㪗	hiə3	
一	i1	
丁	tẽ1	
七	tsʰi1	
万	uã5	
丈	tʃʰõ3	
三	sã1	
上	ʃõ3-	
上	ʃõ5=	
下	ha3	～来
下	ha5	一～
不	pu5	
与	y2	
丐	kiɛ5	
丑	tʃʰiəu3	
專	tʃyɛ̃1	
且	tsʰiɛ3	
世	sɿ5	
丘	tʃʰiəu1	
丙	pẽ3	
業	iĩ5	
叢	tsʰɤŋ2	
東	tɤŋ1	
絲	sɿ1	
丞	tʃʰẽ2	
丟	tiəu1	
兩	liã3	
嚴	iĩ2	
喪	sõ1	
喪	sõ5	
个	kə5	
丫	ia1	
中	tɤŋ1-	～间
中	tʃɤŋ5	～奖
中	tʃɤŋ1=	～间
丰	fɤŋ1	
串	tʃʰyɛ̃5	
臨	lẽ2	
丸	xuã2	
丹	tã1	
爲	ui2	作～
爲	ui5	～什么
主	tʃy3	
丽	li5	
舉	tʃy3	
乃	lai3	
久	tʃiəu3	
義	i5-	
義	ŋ̍5-	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu1	
乏	fa5	
樂	yo5	音～
樂	lo7	快～
喬	tʃʰiə2	
乖	kuai1	
乘	tʃʰẽ2	
乙	ɛ7	
九	tʃiəu3	
乞	tʃʰi3	
也	ia3	
習	si7	
鄉	ʃõ1	
書	ʃy1	
買	mai3	
亂	luã5	
乳	y3	
乾	tʃʰiĩ2	
了	liə3	
爭	tsẽ1	
事	sɿ5	
二	ɛ5	
于	y2	
亏	kʰui1	
云	yn2	
互	xu5	
五	u3	
井	tsiã3-	
亞	ia1	
些	siɛ1	
亡	õ2	
交	tʃiə1	
亥	hai5	
亦	i5	
產	tsʰã3	
亨	hẽ1	
畝	miə3	
享	ʃõ3	
京	tʃẽ1	
亭	hẽ2	
亮	liã5	
親	tsʰẽ1	～人
親	tsʰẽ5	～家
人	n̩2-	
人	iẽ2	
億	i5	
什	ʃi5	
仁	iẽ2	
仅	tʃʰẽ5	
仆	pʰu2	～人
仆	pʰu5	～倒
仇	tʃʰiəu2	
今	tʃẽ1	
介	kai5	
仍	iẽ2	
从	tsʰɤŋ2-	～前
从	tsʰɤŋ1	～容
仑	luən2	
倉	tsʰõ1	
仕	sɿ5	
他	ha1	
仗	tʃõ5	
付	fu5	
仙	siĩ1	
代	hai5	
令	lẽ5	
以	i3	
儀	ŋ̍2-	
儀	i2=	
仰	iã3	
仲	tʃʰɤŋ5	
件	tʃiĩ5	
价	tʃa5	
任	iẽ5	
份	fẽ5	
仿	fõ3	
企	tʃʰi3	
伍	u3	
伏	fu7	
伐	fa7	
休	siəu1	
众	tʃɤŋ5	
优	iəu1	
伙	xo3	
會	kʰuai5	～计
會	xui5	～不～
會	xui5	开～
傘	sã3	
偉	ui3	
傳	tʃʰyɛ̃2	～说
傳	tʃʰyɛ̃5	～记
伢	ã7	
傷	ʃõ1	
倫	luən2	
僞	ui5	
伯	piɛ1	
估	ku1	
伴	pʰõ5	
伶	lẽ2	
伸	ʃẽ1	
伺	sɿ5	
似	sɿ5	
但	hã5	
位	ui5	
低	ti1	
住	tʃʰy5	
佐	tso3	
体	hi3	
何	xo2	
佘	ʃɛ2	
余	y2	
佛	fu7	
作	tso5	
你	n̩3	
佢	tʃi3	第三人称他她它
佩	pʰei5	
佳	tʃa1	
使	sɿ3	
侃	kʰã3	
侄	tʃʰi5	
侈	tsʰɿ3	
例	liɛ7	
侍	sɿ5	
供	kɤŋ5	
依	i1	
俠	ʃa7	
僥	tʃiə3	
偵	tʃẽ1	
側	tsʰiɛ5	
僑	tʃʰiə2	
儂	lɤŋ2	
侮	u3	
侯	hiə2	
侵	tsʰẽ1	参～
便	pʰiĩ2	～宜
便	pʰiĩ5	方～
促	tsʰu7	
俄	o2	
俊	tsuən5	
俏	tʃʰiə5	
俗	su7	
俘	fu2	
保	pau3	
信	sẽ5	
儼	iĩ2	
倆	liã3	
儉	kã1	
儉	tʃiĩ3	
修	siəu1	
俯	fu3	
俱	tʃy1	
俸	fɤŋ5	
倍	pʰei5	
倒	tau3	打～
倒	tau5	～水
倔	tʃyɛ7	
倘	hõ3	
候	hiə5	
倚	i3	
借	tsiɛ5	
倡	tʃʰõ5	
倦	tʃʰyɛ̃5	
倪	i2	
倭	o1	
債	tsai5	
值	tʃʰi5	
傾	kʰɤŋ1-	
傾	tʃʰyn1=	
假	tʃa3	
偏	pʰiĩ1	
做	tso5	
停	hẽ2	
健	tʃʰiĩ5	
偶	iə3	
偷	hiə1	
償	tʃʰõ2	
傀	kʰui3	
傅	fu5	
傍	pʰõ5	
傢	tʃa1	
儲	tʃʰy2	
催	tsʰui1	
傲	au5	
傻	sa3	
像	siã5	
僚	liə2	
僧	sẽ1	
僵	tʃõ1	
僻	pʰi5	
儒	y2	
儡	lui3	
儿	ɛ2	
允	yn3	
元	miĩ2	
兄	ʃɤŋ1	
充	tʃʰɤŋ1	
兆	tʃʰiə5	
先	siĩ1	
光	kuã1	
克	kʰiɛ7	
免	miĩ3	
兌	tui5	
兔	hu5	
党	tõ3	
兜	tiə1	
入	y5	
全	tʃʰyɛ̃2	
八	pa1	
公	kɤŋ1	
六	liəu5	
蘭	lã2	
共	kɤŋ5	
關	kuã1	
興	ʃẽ1	～旺
興	ʃẽ5	高～
兵	pẽ1	
其	tʃʰi2	
具	tʃʰy5	
典	tiĩ3	
兹	tsʰɿ1	
養	iã3	
兼	tʃiĩ1	
獸	ʃiəu5	
冀	tʃi5	
內	lui5	
岡	kõ1	
冉	iĩ3	
冊	tsʰiɛ5	
再	tsai5	
冒	mau5	
寫	siɛ3	
軍	tʃyn1	
農	lɤŋ2	
冠	kuã1	衣～
冠	kuã5	～军
冤	miĩ1	
冥	mẽ2	
冬	tɤŋ1	
馮	fɤŋ2	
冰	pẽ1	
冲	tʃʰɤŋ1	
决	tʃyɛ7	
况	kʰuã5	
冷	lẽ3	
淨	tsʰẽ3	
凄	tsʰi1	
准	tʃyn3	
凉	liã2	
凌	lẽ2	
減	kã3	
湊	tsʰiə5	
凝	lẽ2	
几	tʃi3	
凡	fã2	
鳳	fɤŋ5	
凭	pʰẽ2	
凱	kʰai3	
凰	xuã2	
凳	tẽ5	
凶	ʃɤŋ1	
凹	au5	
出	tʃʰy1	
擊	tʃi5	
函	hã2	
鑿	tsʰo5	
刀	tau1	
刁	tiə1	
刃	iẽ5	
分	fẽ1	～开
分	fẽ5	过～
切	tsʰiɛ7	
刊	kʰã1	
刎	uən3	
刑	ʃẽ2	
划	xua5	
列	liɛ7	
劉	liəu2	
則	tsiɛ5	
剛	kõ1	
創	tsʰõ5	
初	tsʰu1	
刪	sã1	
判	pʰõ5	
刨	pʰau5	
利	li5	
别	piɛ1	～针
别	pʰiɛ5	区～
刮	kua1	
到	tau5	
制	tsɿ5	
刷	sua1	
券	tʃʰyɛ̃5	
刺	tsʰɿ7	
刻	kʰiɛ1	
劊	kʰuai5	
剁	to5	
劑	tsi5	
剃	hi5	
削	siə1	
前	tsʰiĩ2	
剮	kua3	
劍	tʃiĩ5	
剔	hi5	
剖	pʰiə1	
剜	uã1	
剝	po7	
劇	tʃy5	
剩	ʃẽ5	
剪	tsiĩ3	
副	fu5	
割	kua1	
剿	tʃiə3	
劈	pʰiɛ1-	
劈	pʰi1=	
力	li5	
勸	tʃʰyɛ̃5	
辦	pʰã5	
功	kɤŋ1	
加	tʃa1	
務	u5	
劣	liɛ5	
動	tẽ5	
動	hɤŋ5	
助	tsʰu5	
努	lu3	
劫	tʃɛ7	
勵	li5	
勁	tʃẽ5	
勞	lau2	
勢	sɿ5	
勃	po7	
勇	iɤŋ3	
勉	miĩ3	
勋	ʃyn1	
勒	liɛ5	
勘	kʰã1	
募	mo5	
勤	tʃʰẽ2	
勺	ʃyo5	
勾	tʃiə1	～销
勾	tʃiə5	～当
勿	u7	
勻	yn2	
包	pau1	
匆	tsʰɤŋ1	
匈	ʃɤŋ1	
化	xua5	
北	piɛ1	
匙	sɿ5	
匙	sɿ7	
匠	tsʰiã5	
匡	tʃʰõ1	
匣	ʃa7	
匪	fi3	
匹	pʰi3	
區	tʃʰy1	
医	i1	
匾	piĩ3	
匿	li5	
十	ʃi5	
千	tsʰiĩ1	
卅	sa5	
升	ʃẽ1	
午	u3	
半	põ5	
華	xua2	
協	ʃɛ7	
卑	pei1	
卒	tsʰu2	
卓	tso1	
單	tã1	
賣	mai5	
南	lã2	
博	po7	
卜	pʰu3	
占	tʃiĩ1	～卜
占	tʃiĩ5	～领
卡	kʰa3	
盧	lu2	
卤	lu3	
卦	kua5	
臥	o5	
衛	ui5	
卯	mau3	
印	iẽ5	
危	ui2	
即	tsi7	
卻	tʃʰyo7	
卵	luã3	
卷	tʃyɛ̃3	～起来
卷	tʃyɛ̃5	试～
卸	siɛ5	
卿	tʃʰẽ1	
厂	tʃʰõ3	
廳	hẽ1	
历	li5	
厲	li5	
壓	ia1	
厭	iĩ5	
廁	sɿ3	
厘	li2	
厚	hiə5	
原	miĩ2	
廂	siã1	
厥	tʃyɛ5	
