#漢字	音標	解釋
一	iɛ5	
七	tsʰiɛ5	
丄	ʃɔ̃3	上山。
丈	tʃʰɔ̃6	
上	ʃɔ̃6	上下、上面读音亦同。
下	ha6	底下、下面读音亦同。
世	ʃʅ5	
丗	ʃʅ5	
丘	ɕiu1	
業	ȵiɛ6	
東	təŋ1	
丠	ɕiu1	
兩	liɔ̃1	斤两。 两个
兩	liɔ̃3	
兩	liɔ̃1	
嚴	ȵiɪ̃2	
中	tʃəŋ1	中间。
主	tʃu3	
丼	tsiã1	
義	ȵi5	
烏	vu1	
乖	kuæ1	
乞	tɕʰieʔ7	
也	ia1	
習	soɛ6	
書	ʃu1	
買	mæ1	
亂	lɔ̃6	
乳	lu3	
亂	lɔ̃6	
事	sɿ6	
二	ȵi6	
亏	kui1	
五	ŋ̩3	
井	tsiã1	
亖	sɿ5	
亞	a1	
亞	a1	
交	kɔ1	
產	tsʰã3	
親	tsʰẽ1	
倉	tsʰɔ̃1	
仙	siɪ̃1	
件	tɕʰiɪ̃6	
任	iẽ6	责任。
休	ɕiu1	
會	fi6	开会 不会。
會	fi6	
會	foɛ6	
會	vi6	
會	voɛ6	
傷	ʃɔ̃1	
僞	vi3	
伴	pʰã6	
位	vi6	
低	te1	
住	tʃʰu6	
余	y2	
佛	fa6	
作	tso5	
佳	ka1	
來	loɛ2	
例	lie6	
供	tɕəŋ5	供鸡。
侵	tsʰẽ1	
便	pʰiɪ̃2	便宜。
俗	siu6	
修	siu1	
俻	pʰi6	
倉	tsʰɔ̃1	
個	kæ5	一个。 个人
個	kæ5	
個	kɤ5	
候	hieu6	
借	tɕia5	
傾	tɕʰyẽ3	
假	ka3	真假、放假讀音亦同。
偏	pʰiɪ̃1	
停	tʰẽ2	
健	tɕʰiɪ̃6	
偪	peʔ7	
偶	ŋieu3	
偷	tʰieu1	
傑	tɕʰiɛʔ7	
備	pʰi6	
傲	ŋɔ6	
傷	ʃɔ̃1	
傾	tɕʰyẽ3	
僊	siɪ̃1	
像	tsʰiɔ̃6	
僞	vi3	
允	yẽ3	
元	ȵiɔ̃2	
兄	ɕiã1	
光	kɔ̃1	
兒	ɚ2	
兔	tʰu5	
入	iɛ6	
全	tɕʰiɔ̃2	
兩	liɔ̃1	斤兩。 兩個
兩	liɔ̃3	
兩	liɔ̃1	
八	pa5	
公	kəŋ1	
六	liuʔ7	
蘭	lã2	
共	kʰəŋ6	共产党 共用。
共	kʰəŋ6	
共	kʰiəŋ6	
共	tɕʰəŋ6	
共	tɕʰiəŋ6	
關	kuã1	姓 关门。
關	kuã1	
關	kʰuã1	
兵	pẽ1	
兼	tɕiɪ̃1	
寫	sia3	
軍	tɕyẽ1	
農	nəŋ2	
冤	iɔ̃1	
冫	pẽ1	
冬	təŋ1	
冰	pẽ1	
冲	tʃʰəŋ1	
冷	liã1	
准	tʃuẽ3	
凉	liɔ̃2	
凡	fã2	
鳳	fəŋ6	
凶	ɕiəŋ1	
凷	kʰuæ5	
鑿	tsʰɤʔ7	
刁	tiɔ1	
分	fẽ1	
切	tsʰiɛ5	
劉	liu2	
創	tsʰɔ̃1	
別	piɛʔ7	
利	li6	
刮	koɛ5	
刴	tɤ5	
制	tʃʅ5	
刻	kʰeʔ7	
剁	tɤ5	
削	siɤʔ7	
剝	pɤʔ7	
剪	tsiɪ̃3	
割	koɛ5	
創	tsʰɔ̃1	
劈	pʰiaʔ7	
劉	liu2	
力	le6	
勸	tɕʰiɔ̃5	
辦	pʰã6	办法、办公室读音亦同。
劣	liɛ6	
動	tʰəŋ6	
動	tʰəŋ5	
助	tsʰu6	
勁	tɕiẽ5	
勁	tɕiẽ5	
動	tʰəŋ6	
動	tʰəŋ5	
勤	tɕʰiẽ2	
勸	tɕʰiɔ̃5	
包	pɔ1	
化	hua5	
北	peʔ7	
匠	siɔ̃6	
匪	fi3	
匹	pʰiɛ5	
區	tɕʰy1	
區	tɕʰy1	
十	ʃɛ6	
千	tsʰiɪ̃1	
升	ʃẽ1	
午	ŋ̩3	
半	pã5	
華	ha1	
協	ɕiɛ6	
協	ɕiɛ6	
單	tã1	
賣	mæ6	
南	nã2	
卤	si1	
卥	si1	
衛	vi6	
卯	mɔ3	
卵	lɔ̃3	
厲	li6	
厚	hieu1	
厲	li6	
縣	ɕiɔ̃2	
叉	tsʰa1	
及	tɕʰiɛʔ7	及格。
友	iu3	
雙	sɔ̃1	
发	fa5	
叔	ʃuʔ7	
受	ʃiu6	
叚	ka3	真假、放假读音亦同。
叛	pʰã6	
