#漢字	音標	解釋
㾪	ɬaŋ3	
䘼	ui3	
一	ik7	
一	iak8	訓
七	tsʰik7	
丈	tiɛu4	
丈	tsiaŋ4	
三	ɬa1	
上	ɬiaŋ4	～山
上	ɬiaŋ4	～面
上	tsiɛu1	～面
下	ia4	方位
不	put7	
世	ɬi5	
丘	kʰiu1	
中	tsoŋ1	～間
丸	iŋ2	
主	tsu3	
久	ku3	
之	ɬu1	
乏	huak8	
乖	ɔ6b	訓
九	kau3	
也	jia1	
亂	nui1	
了	liɛu3	
事	ɬu4	
二	ji1	
五	ŋɛu4	
井	tsia3	
交	kiau1	
亥	hai4	
亦	jiɛk8	
人	naŋ2	訓
仇	tsʰiu2	
仙	ɬiŋ1	
代	tai4	
以	ji3	
件	kiŋ4	
任	im4	責～
伊	i1	
休	hiu1	
伯	pia6b	
伴	pʰua3	
位	ui1	
低	tɔi1	
住	tiu1	
佛	put8	
作	tsok7	
使	ɬai3	
侄	tsik7	
來	lai2	
例	lɔi1	
供	koŋ1	～應
俗	ɬok8	
信	ɬiŋ5	
修	ɬiu1	
倉	tsʰoŋ1	
倍	pɔi4	
借	tsiau6b	
假	kia3	真～
偉	ui3	
偏	pʰiŋ1	
做	tsɔ6b	
停	tʰɛŋ2	
偷	tʰau1	
傑	kik8	
傘	ɬua5	
備	pi4	
催	tsʰui1	
傲	ŋau4	
傳	tsʰun2	～達
債	tsia5	
傷	ɬiaŋ1	
傾	kʰɛŋ1	
像	ɬiŋ5	不～
儂	naŋ2	
允	un3	
元	jiŋ2	
兄	hia1	
先	ɬai1	
光	kuaŋ1	
免	miŋ3	
兒	lu2	
兔	tʰɛu5	
兜	tau6b	
入	ip8	
全	tsʰun2	
兩	nɔ4	～個
兩	niŋ3	幾～
八	pɔi6b	
公	koŋ1	
公	koŋ6b	
六	lak8	
共	koŋ4	
兵	pia1	
具	ki4	
兼	kiam1	
再	tsai5	
冤	iŋ1	
冬	taŋ1	
冰	pɛŋ1	
准	tsun3	
凍	taŋ5	
凡	huaŋ2	
出	tsʰut7	
刀	tɔ1	
分	hun1	
切	tsʰik7	
初	tsʰɔ1	
判	pʰun5	
別	pit8	
利	li4	
刮	kua6b	
到	tau5	
制	tsɔi5	
刷	ɬak7	
削	ɬiap7	
前	tsai2	
剝	mok7	
剪	ka1	訓“鉸”
割	kua6b	
劉	lau2	
劍	kiam5	
力	lak8	
加	kia1	
助	tsɔ4	
動	toŋ4	
勤	kʰiŋ2	
勸	kʰiŋ5	
包	pau1	
化	hua5	
北	pak7	
匪	hui3	
匯	hui4	
匹	pʰik7	
區	kʰi1	
十	tsap8	
千	tsʰai1	
半	pua5	
卒	tsut7	
協	hiap8	
博	pok7	
占	tsiam5	～領
印	iŋ5	
卵	nui4	
卷	kʰɛŋ6b	～起
厚	hau4	文
厚	kau4	
厝	tsʰu5	
原	jiŋ2	
厭	iam5	
去	kʰu5	
參	tsʰam1	～加
參	tsʰam1	人～
叉	tsʰia1	
及	kip8	
反	huaŋ3	
叔	tsip7	
受	ɬiu4	
叛	pʰun5	
口	kʰau3	
句	ku5	
叫	kiɛu5	
可	kʰɔ3	
右	iu4	
各	kok7	
合	hap8	
名	mia2	
向	hiaŋ5	
君	kiŋ1	
吞	tʰun1	
吠	pui1	
含	ham2	
吳	kɛu2	
吸	kʰip7	
吹	pun2	訓
呂	li3	
告	kau5	
周	tsiu1	
味	mi1	
命	mɛŋ4	
命	mia1	
咒	tsiu5	
咬	ka4	
哀	ai1	
品	pʰiŋ3	
哥	kɔ6b	
哪	ti4	
哭	kʰau5	
唱	tsʰiɛu5	
啄	tʰiaŋ6b	
啄	tsʰem6b	訓
問	mui1	
啞	ia3	
善	ɬiŋ4	
喉	au2	
喊	ham5	
喜	hi3	
單	taŋ1	
嘔	au5	
嘗	tsʰiŋ2	
器	kʰi5	
嚇	hia5	
嚴	ŋiam2	
四	ɬi3	
囝	kia3	
回	tui3	訓
因	iŋ1	
困	kʰun5	
圈	kʰiŋ2	圓～
國	kuak7	
圍	ui2	
圓	i2	
圖	tʰu2	
團	tʰun2	
土	tʰɛu2	訓“塗”
在	tsai4	
地	ti4	
均	kʰiŋ1	
坐	tsɛ4	
坑	kʰaŋ1	
坡	pʰɔ1	
垮	kʰua3	
埋	mai2	
基	ki1	
堂	tʰaŋ2	
堆	tui6b	
堤	ti1	
報	pɔ5	
塊	kau2	
塌	tʰa1	
塔	tʰa6b	
塗	tʰɛu2	
塗	tʰu2	
填	tsʰaŋ2	
墊	tʰiam4	
墓	mɛu1	
墟	hu1	
墨	mak8	
墩	tun1	
壁	pia6b	
壓	ak7	
壞	uai1	
士	ɬu4	
壯	tsuaŋ5	
壽	ɬiu4	
外	hua1	
多	tsɔi1	訓
夜	mia2	訓
夠	kau5	
夢	maŋ1	
大	tua1	
天	tʰi1	
太	tʰai5	
夫	hu1	
失	ɬik7	
奇	kʰi2	
套	tʰɔ5	
奧	ɔ5	
奪	tut8	
女	ni3	
奴	nɛu2	
奶	ma3	
奸	kaŋ1	
好	hɔ3	～壞
妙	miɛu4	
妹	mui6b	
妻	mai3	
始	ɬi3	
姐	tsiɛ6b	
姑	ku1	文
姑	kɛu1	
姓	ɬia5	
委	ui3	
姨	ji6b	
威	ui1	
娘	niɛu2	
娶	tɔ3	
婆	pɔ2	
婦	hu4	
嫁	kia5	
嫂	ɬɔ3	
嫌	hiam2	
嫖	pʰiɛu2	
嫩	iu5	訓“幼”
子	kia3	訓“囝”
孔	kʰoŋ3	
字	tsu1	
孝	hiɛu5	
孟	maŋ4	
季	kui5	
孫	ɬun1	
學	ɔ1	
守	ɬiu3	
安	ŋaŋ1	
宋	ɬoŋ5	
完	hun2	
宗	tsoŋ1	
官	kua1	
定	tia1	
定	tɛŋ4	文
宜	ji2	
客	kʰia6b	
宮	koŋ1	
害	hai4	
家	kia1	
容	jioŋ2	
寄	kia5	
密	wak8	
富	hu5	
寒	kua2	
察	tsʰak7	
實	ɬik8	
寫	ɬia3	
寬	kʰua6b	
寶	pɔ3	
寸	tsʰun5	
封	hoŋ1	
射	ɬia4	
尊	tsun1	
尋	tsʰim2	
小	ɬiɛu3	
少	tsiɛu3	多～
尖	tsiam6b	
就	tsiu4	
尺	tsʰiɛu6b	
尾	ɓɔi3	
尿	iɛu1	
局	kok8	
屈	kʰut7	
屋	tsʰu5	訓“厝”
屍	ɬi1	
屎	ɬai3	
展	tsiŋ3	
層	tiaŋ2	
山	ɬua1	
岸	ŋaŋ4	
嶺	nia3	
州	tsiu1	
巢	tau5	訓
工	kaŋ1	
左	tsɔ3	
巷	laŋ5	
巾	kiŋ1	
市	ɬi4	
布	pɛu5	
帖	tʰiap7	
帚	tsiu3	
帥	ɬuk7	
師	ɬi1	
帳	tiŋ5	
帶	tua5	
常	tsʰiaŋ2	
帽	lɔi4	訓“笠”
幫	poŋ1	
平	pʰɛŋ2	
年	hi2	
幸	hɛŋ4	
幹	kaŋ1	～杯
幼	iu5	
幾	kui3	～個
牀	tsʰoŋ2	
店	tiam5	
度	tɔk8	
座	tsɛ4	
廚	tu2	
廟	wiɛu1	
廠	tsʰoŋ3	
廬	lɛu2	
延	iŋ2	
建	kiŋ5	
弓	kiaŋ1	
引	iŋ3	
弟	ti6b	
弱	jiak8	
張	tiŋ1	
強	kʰiaŋ2	～大
彈	taŋ2	～琴
彎	uaŋ1	
形	hɛŋ2	
彪	piɛu1	
彭	paŋ2	
