#漢字	音標	解釋
□	ly1	钻入：～泥；～被窝
□	pa1	～虫：臭虫
□	pʰa1	扫砍：～刺
□	pʰa1	庹
□	tsa1	～罗卜：萝卜干儿
□	mia1	女阴
□	lya1	～tʃiai²¹：疲惫
□	mə1	食物软烂；物件霉烂或破烂
□	fə1	掀开：～屎兵（蜣螂）
□	ŋɔ1	～嘴：张嘴
□	iɔ1	～～刺：一种茎叶带刺儿的草本植物
□	lai1	溪流
□	mau1	～冬瓜：不结实
□	mau1	东西腐烂而起的霉
□	laŋ1	～皮：牛脖子下的赘肉
□	tiaŋ1	用容器盛接
□	ləŋ1	动作慢
□	ȵia2	没有，不：～钱；～唱
□	lya2	～屎：逸屎
□	fə2	掉～头：脱肛
□	ŋə2	我们
□	tʃiai2	拿
□	ȵiai2	交合
□	ləi2	～təi³³：啰嗦
□	tʃiau2	板变形不平
□	tsəu2	～头：点头
□	məŋ2	不能生育的畜禽：～牛娘
□	pa3	甑～：箅子
□	tʃia3	～li³³：这样
□	ua3	拔扯
□	lya3	奶：～猪仔（吃奶的小猪）；～柱山（奶子山下的一个村子）
□	tʃya3	量词，串：一～葡萄；一～谷子
□	pʰie3	～着脚：崴了脚
□	pʰə3	～lə³³ sə³³：拉拉杂杂一大堆
□	fə3	往后闪腰或者揉屈手指关节
□	lə3	遮挡
□	lə3	pʰə³³～sə³³：拉拉杂杂一大堆
□	sə3	pʰə³³ lə³³～：拉拉杂杂一大堆
□	kʰə3	拗断，折断
□	so3	笱
□	tsɔ3	含水多而无味
□	tsɔ3	把水流截断以提高水位：～水
□	tʰai3	～哩：台阶儿
□	uai3	～手：两手交叉在胸前
□	təi3	贩
□	ləi3	～子：铜板儿
□	tiəu3	～痧：扭痧，掐捏身体某个部位以去痧气
□	pʰaŋ3	打～：走路摇晃不稳
□	pʰaŋ3	～ty²¹：蒸熟的肘子
□	maŋ3	叔叔
□	pəŋ3	～耶个口哩：剌了个口子
□	pəŋ3	玩弄；拌搅
□	məŋ3	～哩：苍蝇
□	tsʰəŋ3	推
□	liɲ3	山涧
□	tʃiɲ3	吝～：又贪又吝啬
□	tʃʰiɲ3	～哩：在肉里的刺儿
□	tu5	～～虫：柳蚕
□	nu5	～锅佬：补锅的
□	tʃy5	～鼻孔：齈鼻孔
□	fa5	拨，撇：～开
□	ha5	软；虚胖
□	tʃia5	怎样：～做；～吃
□	lya5	流下：～口水
□	tʃya5	啄：鸡～米
□	lie5	蹍滚
□	ŋə5	割，刈
□	mɔ5	刎，割
□	mɔ5	码起来：～柴
□	fɔ5	冒出
□	pʰai5	帮，伙
□	lai5	唠唠叨叨
□	mau5	～耶：肿了
□	lau5	痒～哩：疥疮
□	lau5	～子：桐子
□	liau5	～眼：斜眼
□	laŋ5	～猪：架子猪
□	pəŋ5	穿过的（洞）
□	səŋ5	坡：上～
□	kəŋ5	～子树：乌桕树
□	uəŋ5	囚禁
□	ty6	pʰaŋ³³～：蒸熟的肘子
□	pʰa6	～桩：敲打木桩
□	tʰa6	～沕子：潜水
□	tʰa6	敲击
□	tsə6	～出去：撵出去
□	kə6	淘挖：～洞；～薯
□	hə6	碰～：正好碰上；射～：射中；猜～：猜中；扣～碰着他：刚好遇上他
□	nɔ6	～年：前年
□	hai6	按压
□	tʃiai6	疲倦
□	uai6	～饭：做饭
□	pʰau6	一大～：一大堆
□	mau6	满
□	tʃʰiəu6	揪
□	laŋ6	裤～：裤裆
□	kaŋ6	扔
□	kuaŋ6	掩：～起门
□	tsʰəŋ6	往里塞紧
□	tu7	凸
□	ty7	用手指
□	ʃy7	～～哩：塞儿
□	øy7	塞入
□	tʰa7	凹
□	pia7	～禾：打稻谷
□	tʃya7	菜～哩：种菜的小锄头
□	ʃya7	扔
□	ye7	刀等刃口崩缺或钝
□	pə7	竹梆，做容器或瓢用的竹筒
□	tə7	女阴
□	tsə7	簸扬
□	tsʰə7	半生的
□	tsʰə7	回忆起
□	to7	重重放下或摔下
□	pʰai7	挑担子
□	tai7	用肩顶的撑船竹篙
□	tsai7	估计，估算
□	sai7	掂估重量
□	tsʰau7	用刀横扫割取
□	kʰau7	敲打：～锣
□	hau7	拿，持
□	tiau7	女人过分表现自己，瞧不起人
□	liau7	焯：～芥菜；～猪红
□	tʰiəu7	硬塞
□	maŋ7	
□	tiɲ7	偷
□	tʃioŋ7	断：～尾巴狗；～尾巴树
㞞	soŋ2	差
一	i3	
一	i7	
丁	tai1	
七	tʃʰi7	
万	ɔ6	
丈	tiaŋ6	
三	sɔ1	
上	saŋ3	～树
上	saŋ6	楼～；山～
下	hɔ3	～山；～去
下	hɔ6	楼～；～截：下面
不	pu3	
与	øy3	
丐	ka5	
丑	tsʰəu3	
專	tʃye1	
且	tʃʰie3	
丕	pʰi3	
世	ʃi5	
丘	tʃʰiəu1	
丙	pai3	
業	nie7	
叢	tsəŋ7	
東	təŋ1	
絲	ʃɿ1	
丞	tsəŋ2	
丟	tiəu1	～脸
兩	liaŋ3	
嚴	iẽ2	
喪	saŋ1	
喪	saŋ5	
个	ko5	
丫	ɔ1	
中	tʃioŋ1	
中	tʃioŋ5	
丰	fəŋ1	
串	tʃʰye5	
臨	lai2	
丸	ye2	～药
丸	uã2	药～
丹	tɔ1	
爲	uəi2	
爲	uəi6	
主	tʃy3	
丽	li6	
舉	tʃy3	
久	tʃiəu3	
麼	iau1	
義	i5	起～；～务
義	i6	～气
之	tʃi1	
烏	øu1	
乎	fu1	
乏	fɔ2	缺～
樂	lə5	
樂	lo7	快～
樂	iau7	～器
喬	tʃiau2	
乖	kua1	
乘	sai2	
乙	ie7	
九	tʃiəu3	
乞	tʃi2	～求
也	a3	
習	ʃi7	
鄉	ʃiaŋ1	
書	ʃy1	
買	mia3	
亂	nu6	～来；～讲
亂	lɔ6	
乳	øy3	豆腐～
乾	tʃie2	
了	niau3	
爭	tsa1	
事	ʃɿ6	
二	i6	
于	øy2	
虧	kʰuəi1	
雲	ioŋ2	
互	fu6	
五	ŋ̍3	
井	tsai3	
亞	ia5	
亡	uaŋ2	
交	tʃiau1	
亥	ha6	
亦	i2	
產	tʃʰiɔ3	
亨	həŋ1	
畝	mu3	
享	ʃiaŋ3	
京	tʃiɲ1	
亭	tai2	
亮	liaŋ6	
親	tʃʰiɲ1	
親	tsʰai5	老～；～家
人	iɲ2	
億	i5	
什	ʃie6	
仁	iɲ2	
僅	tʃiɲ3	
仇	səu2	
仇	tʃiəu2	
今	tʃi1	
介	ka5	
仍	iɲ2	
从	tsoŋ2	
仑	ləŋ2	
倉	tsʰaŋ1	
仔	tsə3	猪～：小猪
仕	ʃɿ6	
他	tʰɔ1	
仗	tsaŋ6	
付	fu5	
仙	ʃie1	
代	tə6	
令	lai6	
以	i3	
儀	i2	
仰	iaŋ3	
仲	tsoŋ6	
件	tʃie6	
價	kɔ5	
任	iɲ5	
份	fəŋ6	
仿	faŋ3	
企	tʃʰi5	
伊	i1	
伍	ŋ̍3	
伏	fə6	三～天
伐	fɔ7	
休	ʃiəu1	
衆	tʃioŋ5	
優	iəu1	
伙	fu3	～食
伙	ho3	～计
會	kʰua5	
會	fə6	
傘	sɔ5	
偉	uəi3	
傳	tʃye2	
傳	tʃyã6	
傷	saŋ1	
倫	ləŋ2	
僞	uəi6	
伯	pa7	
估	ku1	
伴	pɔ6	
伶	lai2	
伸	tʰiɲ1	
伺	ʃɿ6	
似	ʃɿ6	
佃	tie6	
但	tã6	
佈	pu6	
位	uəi6	
低	ta1	
住	ty6	
佐	tso3	
佑	iəu6	
體	tʰi3	
何	ho2	
余	øy2	
佛	fu2	烧香拜～；～教；～手
作	tso7	
你	ni3	
佩	pʰə5	
佳	tʃiɔ1	
使	ʃi3	大～
使	ʃye3	～用；～田：犁田
侄	tsai6	
例	li6	
侍	ʃɿ6	
供	kuəŋ1	
供	koŋ1	～应
供	koŋ5	口～；～销社
依	i1	
偵	tsəŋ1	
側	tsai7	
僑	tʃiau2	
侮	øu3	
侯	hau2	
侵	tʃʰiɲ5	
便	pai2	～ho³³：便宜
便	pie6	
促	tsu7	
俄	ŋo2	
俊	tsəŋ5	
俏	tʃʰiau5	
俗	su2	风～
俗	ʃiəu7	各乡各～
俘	fu6	
保	pau3	
信	ʃiɲ5	
儉	tʃie3	
修	ʃiəu1	
俯	fu3	
俱	tʃy6	
俸	pʰəŋ3	姓氏
倍	pə6	
倒	tau3	
倒	tau5	
候	hau6	
借	tʃiɔ3	
倡	tsʰaŋ1	
倣	faŋ3	
倪	li2	
債	tsə6	
值	tsai6	～钱
值	tʃi7	～班
假	kɔ3	
假	tʃiɔ3	
偏	pʰie1	～心
做	tsɿ5	
停	tai2	
健	tʃiẽ5	
偶	ŋəu3	
偷	tʰau1	
償	saŋ2	
傀	kʰuəi3	
傅	fu6	
傍	paŋ6	
傢	tʃiɔ1	
儲	tʃy2	
催	tsʰə1	
傲	ŋau5	
傻	ʃyai2	
像	tʃiaŋ6	
僧	tsai1	
僵	tʃʰiaŋ1	
儒	øy2	
儘	tʃiɲ6	
儡	ləi3	
兒	ə2	
兒	i3	猫～：猫
允	iɲ3	
允	ioŋ3	
元	ye2	
兄	fai1	
充	tsʰəŋ1	
兆	tsau6	
兇	ʃioŋ1	
先	ʃie1	
光	kuaŋ1	
克	tʃʰia1	
免	mie3	
兌	tə5	
兔	tʰu5	
黨	taŋ3	
兜	tau1	
入	ȵi7	
全	tsə2	
八	pɔ7	
公	kəŋ1	
六	liəu7	
蘭	lɔ2	
共	koŋ6	
關	kuə1	
關	ko1	～帝庙。部分人说
關	kuã1	
興	hai1	
興	hai5	
兵	pai1	
其	tʃi2	
具	tʃy6	
典	tie3	
兹	tsɿ2	
養	iaŋ3	
兼	tʃiẽ1	
獸	səu6	
內	lə6	
岡	kaŋ1	
冊	tsʰa7	
再	tsə5	
冒	mau6	
寫	ʃiɔ3	
軍	kəŋ1	
軍	tʃyɲ1	～队
農	noŋ2	
冠	ko1	鸡～哩：鸡冠
冠	kuã5	
冤	ye1	
冬	təŋ1	
馮	fəŋ2	
冰	piɲ1	
冲	tsʰəŋ1	
决	tʃye7	
况	kʰuaŋ5	
冷	la3	～天
冷	lɔ7	～天；～水
凍	təŋ5	
淨	tsai6	
準	tʃioŋ3	
凉	liaŋ2	
凌	lai2	
減	kɔ3	
湊	tsʰau5	
几	tʃi3	
凡	fɔ2	下～
凡	fã2	～是
鳳	fəŋ6	
凭	pai2	～据
凱	kʰa3	
凳	tai5	
凶	ʃioŋ1	
出	tʃʰy7	
擊	tʃi7	
函	hɔ2	
鑿	tsɔ6	
刀	tau1	
刁	tiau1	
分	fəŋ1	
切	tʃʰie7	
刊	kʰã1	
刑	hai2	
划	hɔ6	
划	ua7	～船
列	lie7	
劉	niəu2	
則	tsa7	
剛	kaŋ1	
創	tʃʰyaŋ5	
初	tsʰu1	
刪	ʃiɔ1	
判	pʰɔ5	
刨	pau2	
利	li6	
别	pə5	
别	pie6	
刮	kɔ7	
到	tau5	
制	tʃi5	～度
制	tsɿ6	～造
刷	ʃiɔ7	
券	tʃyẽ5	
刺	tsʰɿ5	
刻	tʃʰia1	
劊	kʰua5	
剁	to5	
劑	tʃi5	
剃	tʰa5	
削	ʃio7	剥～
前	tʃie2	
剮	kɔ7	
劍	tʃie5	
剔	tʰi7	～毛：拔毛
剝	po7	
劇	tʃy5	
剩	sai6	
剪	tʃie3	
副	fu5	
割	ko7	
剿	tʃiau3	
劄	tʃiɔ7	
劈	pʰie7	
力	lie7	
勸	kʰə5	
辦	pɔ6	
功	kəŋ1	
加	tʃiɔ1	
務	øu6	
劣	lie7	
動	təŋ3	
動	təŋ6	运～
助	tsu6	
努	nu3	
劫	tʃie7	
勵	li6	
勁	tʃiai5	
勞	lau2	
勢	ʃi5	
勃	po7	
勇	ioŋ3	
勉	mie3	
勋	ʃyɲ1	
勒	lai7	
勘	kʰã1	
募	mu6	
勤	tʃiɲ2	
勥	tʃiaŋ6	脾气～
勾	tʃiau1	
勻	ioŋ2	
包	pau1	
匆	tsʰəŋ1	
匏	pau2	～颈哩：大脖子的人
化	hɔ5	～油：猪油；～灰：把石灰化开
化	hɔ6	文～
北	pai7	
匙	ʃi2	
匠	tʃiaŋ6	
匡	kʰuaŋ1	
匣	kɔ7	
匪	fəi3	
匹	pi2	～夫有责
區	tʃʰy1	
醫	i1	
匾	pie3	
十	ʃie6	
千	tʃʰie1	
升	sai1	
午	ŋ̍3	
半	po5	
華	fa2	
協	ʃie7	
卑	pəi1	
卒	tsu7	～子；挺～：下象棋拱卒
卓	tso7	
單	tɔ1	
賣	mia6	
南	nɔ2	
博	po7	
卜	pu2	
占	tʃie5	
盧	nu2	
卤	nu3	
卦	kɔ5	
臥	ŋo6	
衛	uəi6	
卯	mau3	
印	iɲ5	
危	uəi1	
即	tʃi7	
卵	lo3	男阴
卷	kə3	
卿	tʃʰiai1	
廠	tsʰaŋ3	
廳	tʰai1	
厲	li6	
壓	ia7	～力；～扁
壓	ɔ7	
厭	ie5	
廁	ʃɿ3	
厘	li2	
厚	hau3	
原	yẽ2	
廂	ʃiaŋ1	
厥	kə7	
厦	ʃia1	～门
厦	ʃia7	～门
廚	tʃy2	
去	kʰɯ5	
縣	ʃie6	
参	tʃʰiɔ1	
参	sa3	
又	iəu6	
叉	tʃʰiɔ1	
及	tʃi7	～时
友	iəu3	
雙	ʃyaŋ1	
反	fɔ3	
发	fɔ7	～菜；～财
叔	ʃye7	
取	tʃʰy3	
受	səu6	
變	pie5	
敘	ʃy5	
叛	pʰã5	
叟	səu5	
疊	tie7	
口	tʃʰiau3	
古	ku3	
句	kɯ5	
另	lai6	
叨	tau1	
叩	tʃʰiau5	
只	tʃi3	
叫	tʃiau5	
召	tsau1	
可	kʰo3	
台	tə2	
史	ʃi3	
右	iəu6	
葉	ie7	
號	hau2	
號	hau6	
司	ʃɿ1	
嘆	tʰɔ5	
吁	øy6	
各	ko7	
合	ho7	
吉	tʃi7	
同	təŋ2	
名	mai2	
后	hau6	
吏	li6	
吐	tʰu5	
向	ʃiaŋ5	
吕	ny3	
君	tʃyɲ1	
吝	liɲ5	～tʃiɲ³³：又贪又吝啬
吞	tʰəŋ1	
否	fəu3	
含	hɔ2	
听	tʰai5	
启	tʃʰi3	
吴	øu2	
吵	tsʰau3	
吸	tʃi7	
吹	tʃʰy1	
吼	hau2	
吾	øu2	
呆	ŋa2	～板
呈	sai2	
告	kau5	
員	ye2	
周	tsəu1	
味	uəi6	
呼	fu1	
命	mai6	
和	ho2	～气；～麺
咒	tsəu5	
咨	tsɿ1	
咬	ŋau3	
咳	kʰa7	
咸	hɔ2	
咽	ie5	
哀	ŋa1	
品	pʰai3	～行
品	pʰiɲ3	～茶；作～
哄	həŋ1	
哈	hɔ1	打～欠
哈	hɔ3	～巴狗
響	ʃiaŋ3	
啞	ɔ3	
哥	ko3	
哩	li6	名词词尾，子
