#漢字	音標	解釋
□	fi1	口哨
□	ku1	蜷脚
□	kɤ1	拇指中指张开的长度
□	ŋɤ1	砚台：～碗
□	tei1	明天：那～
□	tsei1	女阴
□	xei1	猪拱墙
□	pau1	哑～，哑巴
□	pau1	黑蜂：～□蜂
□	iau1	恶心：～肚
□	tʃiəu1	近视眼：近～眼
□	tʃiəu1	拧
□	nan1	溪
□	nan1	涧
□	tsan1	剁
□	nuən1	缝纫机：～衣机
□	nyn1	搓
□	tsʰɑ̃1	个～，现在
□	ni2	茅屋：稃～
□	tʰiɑ2	木板鞋：～～鞋
□	nau2	倒
□	təu2	拴
□	kən2	端
□	naŋ2	竹竿：～竿竹
□	nɑ̃2	青苔：青～
□	tsɑ̃2	动词，裁
□	uɑ3	呕吐
□	mo3	掩耳
□	mo3	壅火：～火
□	so3	抖衣服上的灰尘
□	nei3	动词，把脚翘起来
□	nəu3	动词，逗小孩
□	pan3	月亮：～～姑
□	nan3	山槽：山～
□	uan3	月晕：龙～月
□	naŋ3	扣眼：扣～
□	tsʰaŋ3	推
□	moŋ3	一处地方
□	ʃi4	滑
□	tʃʰy4	打
□	pɑ4	脚～肚，腿肚子
□	tʰɑ4	头发全掉完
□	nɑ4	水冷
□	kuɑ4	大～佬，蜘蛛
□	kuɑ4	握
□	ʃie4	麻雀：～甲鸟
□	tso4	一串葡萄
□	tɤ4	里，内
□	nai4	些
□	pʰau4	招风耳：～耳朵皮
□	nau4	黑蜂：□～蜂
□	kʰau4	鸡～，鸡罩子
□	əu4	仰头：～头
□	suan4	鸡～，鸡肫
□	nɑ5	屁股沟：屁股～
□	xɑ5	破～裤，开裆裤
□	tʃʰie5	动词，绕路
□	xo5	去年：～年
□	mɤ5	背带：～带
□	nai5	些
□	uei5	满月酒：洗～酒
□	nau5	毛～虫
□	tsəu5	一束花
□	niəu5	斗鸡眼：～眼
□	tʃiəu5	斜眼：～眼
□	nan5	桑葚：蚕雨镜～
□	san5	坡地：～地
□	kən5	淬火：～水
□	tʃʰin5	一座桥
□	kin5	地面结冰：～雪
□	naŋ5	～鸡，未生蛋的母鸡
□	tsaŋ5	刀钝
□	tsʰaŋ5	提
□	kaŋ5	闩门
□	kaŋ5	动词，人钻进洞里
□	tʰəŋ5	蜕皮：～皮
□	moŋ5	木头朽了
□	tɑ̃5	顶针：针～
□	kiɑ̃5	扔
□	fɑ6	拔秧：～秧
□	kuɑ6	量词，走一步
□	uɑ6	回去：～去
□	fie6	眼～，眼珠
□	tie6	看见：看～
□	pai6	着火：～火
□	kei6	笊篱：捞～
□	sau6	招魂：～魂
□	ŋən6	茶浓、粥稠
□	naŋ6	山岗：山～
□	kaŋ6	水蜘蛛，水壁～
□	pəŋ6	趁
□	xoŋ6	间苗
□	ʃi7	祭祖：～祖
□	ki7	涩
□	nɑ7	瘸
□	pie7	哥哥
□	mie7	酒窝
□	tʃie7	刺、扎
□	tʃie7	用几个手指尖抓一撮米、捏
□	kie7	火帽：～子
□	tye7	一泡尿
□	nei7	收拾
□	sau7	热旧饭
□	tsəu7	舀汤：～汤
㪗	tʰo3	
㸺	səu1	
一	ie7	
丁	tan1	
七	tʃʰie4	
万	uɑ̃6	
丈	tin6	
三	sɑ̃1	
