#漢字	音標	解釋
□	xai1	舒服，好～
□	lau1	看：～病
□	tɕiaŋ1	提东西：～起
□	pia3	坡上：～～
□	paŋ3	(追赶)
□	kaŋ3	群：一～人
□	ŋa5	角落：角～
□	ȵia5	瘸腿：～子
□	ȵe5	小的：～娘
□	aŋ5	人很呆，很傻：～～相
一	i7	
丁	tin1	
七	tɕʰi7	
万	uan6	
丈	tʂaŋ5	
三	san1	
上	ʂaŋ6-	～山
上	ʂaŋ5=	～面
下	xa6-	底～
不	pu7	
与	y3	给～
丐	kai5	
丑	tʂʰəu3	
專	tɕyɛn1	
且	tɕʰie3	
丕	pʰi1	
世	ʂuə5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵie7	
東	təŋ1	
絲	sɿ1	
丞	tʂʰən2	
丟	tiəu1=	
兩	liaŋ3	
嚴	ȵiɛn2	
喪	saŋ1	婚～
喪	saŋ5	
个	ko5	
丫	ia1	
中	tɕiəŋ1-	～间
中	tʂəŋ1=	当～
中	tʂəŋ5=	射～
丰	xəŋ1	
串	tɕʰyɛn5	
臨	lin2	
丸	yɛn2	
丹	tan1	
爲	uei2	作～
爲	uei6	～什么
主	tɕy3	
丽	li5	
舉	tɕy3	
乃	ȵai3	
久	tɕiəu3	
義	ȵi5	
之	tʂuə1	
烏	u1	
乍	tsa5	
乏	fa7	
樂	lo7	
樂	io7	音～
喬	tɕʰiau2	
乖	kuai1	
乘	tʂʰən2	
乙	ie7	
九	tɕiəu3	
乞	tɕʰi3	
也	ie3	
習	ɕi7	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai3	
亂	luɔn5	
乳	ləu3	
乾	tɕiɛn2-	
了	liəu3	～结
爭	tʂɛn1-	～东西
爭	tsən1=	斗～
事	sɿ6	
二	ɚ6	
于	y2	
虧	kʰuei1	
雲	yn2	
互	fu5	
五	u3	
亞	ia5	
些	ɕie1	
亡	uaŋ2	
交	tɕiau1	
亥	xai6	
亦	i5	
產	tsʰan3	
亨	xən1	
畝	miəu3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ5	
親	tɕʰin1	
人	lən2	
億	i5	
仁	lən2	
僅	tɕin3	
仆	pʰu7	～倒
仇	tʂʰəu2	
仇	tɕiəu2	姓
今	tɕin1	
介	kai5-	
仍	lən1	
从	tsəŋ2	
