#漢字	音標	解釋
㙲	yuŋ1	施肥
㪕	tiɔ5	㪕起棍子
㪗	tʰou3	展开，敨气
㬤	tɕʰi5	
㿭	tʂʰɤ5	㿭皴
䀇	ku3	䀇子
䂻	tʂəŋ5	䂻塞
䉲	mi2	竹篾
䍉	tʂɛ3	碗上有䍉儿
䖳	tʂa5	水母
䜺	tsʰɤ5	豆䜺子，破豆
䝋	tsoŋ5	牡豕
䝼	tɕʰiŋ2	受
䥛	tɕiɛ1	镰刀
一	i1	
丁	tiŋ1	
七	tɕʰi1	
万	uan5	
丈	tʂaŋ5	
三	san1	
上	ʂaŋ5	上山
上	ʂaŋ5	上面
下	ɕia5	底下
下	ɕia5	下降
不	pu1	
与	y3	及，给与
丐	kɛ5	乞丐
丑	tʂʰou3	
專	tʂuan1	
且	tɕʰiɛ3	
丕	pʰi1	
世	ʂʅ5	
丘	tɕʰiou1	
丙	piŋ3	
業	iɛ1	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʂʰəŋ2	
丟	tiou1	
兩	liaŋ3	两个
兩	liaŋ3	几两几钱
嚴	iɛn2	
喪	saŋ1	婚丧
喪	saŋ5	丧失
个	kɤ5	个人，一个
丫	ia1	丫头
中	tʂoŋ1	当中
中	tʂoŋ5	射中
丰	fəŋ1	
串	tʂʰuan5	
臨	lin2	
丸	uan2	肉丸，弹丸
丹	tan1	
爲	uei2	作爲
爲	uei5	爲什麽
主	tsu3	
丽	li5	美麗
舉	tɕy3	
乃	nɛ3	
久	tɕiou3	
義	i3	
之	tʂʅ1	
烏	u1	
乍	tʂa5	
乎	xu1	
乏	fa2	
樂	lɤ1	
樂	yɛ1	音乐
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tsʰəŋ2	
乙	i3	
九	tɕiou3	
乞	tɕʰi3	
也	iɛ3	者也，也是
習	ɕi2	
鄉	ɕiaŋ1	
書	su1	2
書	ʂu1	
買	mɛ3	
亂	luan5	
乳	ʐu2	
乾	tɕʰiɛn2	乾坤
了	liɔ3	了结
了	liɔ3	
爭	tsəŋ1	
事	ʂʅ5	
二	ɚ5	
于	y2	于此
于	y2	
亏	kʰuei1	
云	yn2	
互	xu5	
五	u1	
井	tɕiŋ3	
亞	ia5	
些	ɕiɛ3	
亡	uaŋ2	
交	tɕiɔ1	
亥	xɛ5	
亦	i5	
產	tʂʰan3	
亨	xəŋ1	
畝	mu3	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liaŋ5	
親	tɕʰin1	
親	tɕʰin5	亲家
人	ʐən2	
億	i5	
什	ʂʅ2	什物
仁	ʐən2	
仅	tɕin3	
仆	pʰu1	倒
仆	pʰu2	
仇	tʂʰou2	
仇	tɕʰiou2	姓
今	tɕin1	
介	tɕiɛ5	
仍	ʐəŋ2	
从	tsʰoŋ2	从容
从	tsʰoŋ2	跟从
仑	luen2	
倉	tsʰaŋ1	
仕	ʂʅ5	
他	tʰa1	
仗	tʂaŋ5	
付	fu5	
仙	ɕiɛn1	
代	tɛ5	
令	liŋ5	
以	i3	
儀	i2	
仰	iaŋ3	
仲	tʂoŋ5	
件	tɕiɛn5	
价	tɕia5	
任	ʐən2	姓
任	ʐən5	责任
份	fən5	一份两份
仿	faŋ3	相似
企	tɕʰi3	
伊	i1	
伍	u1	
伏	fu2	
伐	fa2	
休	ɕiou1	
众	tʂoŋ5	
优	iou1	
伙	xuo3	
會	kʰuɛ5	会计
會	xuei5	开会
會	xuei5	会不会
傘	ʂan3	
偉	uei3	
傳	tsʰuan2	传达
傳	tʂuan5	传记
伢	ia2	小孩子
傷	ʂaŋ1	
倫	luen2	
僞	uei3	
伯	pɛ3	
估	ku1	估计
伴	pan5	
伶	liŋ2	
伸	ʂən1	
伺	tsʰɿ5	
似	sɿ5	
佃	tiɛn5	
但	tan5	
佈	pu5	
位	uei5	
低	ti1	
住	tsu5	
佐	tsuo3	
体	tʰi3	
何	xɤ2	
佘	ʂɤ2	姓
余	y2	
佛	fu2	彷彿
佛	fo2	
作	tsuo1	作坊，工作
佞	ni5	
你	ni3	
佩	pʰei5	
佳	tɕia1	
使	ʂʅ3	
侄	tʂʅ2	
侈	tʂʰʅ3	奢侈
侉	kʰua3	
例	li5	
侍	ʂʅ5	
供	koŋ1	供给，供不起
供	koŋ5	供养，上供
依	i1	
僥	tɕiɔ3	侥幸
偵	tʂən1	
側	tsʰɤ5	
僑	tɕʰiɔ2	
儂	noŋ2	我，你
侮	u1	
侯	xou2	
侵	tɕʰin1	
便	pʰiɛn2	便宜
便	piɛn5	方便
促	tsʰu5	
俄	ɤ2	
俊	tɕyn5	
俏	tɕʰiɔ5	
俗	ɕy2	
俘	fu2	俘虏
保	pɔ3	
俟	sɿ5	
信	ɕin5	
儼	iɛn3	俨然
儉	tɕiɛn3	
修	ɕiou1	
俯	fu3	
俱	tɕy5	
俸	fəŋ5	
俾	pi3	
倍	pei5	
倒	tɔ5	打倒，顚倒
倒	tɔ5	倒水
倔	tɕyɛ5	倔强
倘	tʰaŋ3	倘使
候	xou5	
倚	i3	
借	tɕiɛ5	
倡	tʂʰaŋ5	提倡
倣	faŋ3	倣效
倦	tɕyɛn5	
倪	ni2	
倭	uo1	
債	tʂɛ5	
值	tʂʅ2	
傾	tɕʰyoŋ1	
假	tɕia3	真假
假	tɕia5	放假
偏	pʰiɛn1	
做	tsu5	2
做	tsuo5	
停	tʰiŋ2	
偢	tɕʰiɔ5	傻
健	tɕiɛn5	
偶	ou3	配偶
偶	ou3	偶然
偷	tʰou1	
償	tʂʰaŋ2	
傀	kʰuei3	傀儡
傅	fu5	
傍	paŋ5	
儲	tsʰu3	储蓄
催	tsʰuei1	
傲	ɔ5	
傻	ʂa3	
像	ɕiaŋ5	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pʰi5	
儒	ʐu2	
儡	lei3	傀儡
儿	ɚ2	
允	yn3	
元	yɛn2	
兄	ɕyoŋ1	
充	tʂʰoŋ1	
兆	tʂɔ5	
先	ɕiɛn1	
光	kuaŋ1	
克	kʰɤ1	
免	miɛn3	
兌	tei5	
兔	tʰu5	
兖	iɛn3	
党	taŋ3	
兜	tou1	
入	ʐu1	
全	tɕʰyɛn2	
八	pa1	
公	koŋ1	
六	liou5	
兮	ɕi1	
蘭	lan2	
共	koŋ5	
關	kuan1	
興	ɕiŋ1	兴旺
興	ɕiŋ5	高兴
兵	piŋ1	
其	tɕʰi2	2
具	tɕy5	
典	tiɛn3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiɛn1	
獸	ʂou5	
冀	tɕi5	
內	nei5	
岡	kaŋ1	
冉	ʐan3	
冊	tsʰɛ1	
再	tsɛ5	
冒	mɔ5	
冗	ʐoŋ3	拨冗，冗长
寫	ɕiɛ3	
軍	tɕyn1	
農	noŋ2	
冠	kuan5	衣冠
冠	kuan5	冠军
冢	tʂuo3	2地名黄冢
冢	tʂoŋ3	
冤	yɛn1	
冬	toŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	tʂʰoŋ1	
决	tɕyɛ2	
况	kʰuaŋ5	
冷	ləŋ3	
