#漢字	音標	解釋
□	pi1	玩：莫～水；捉弄：莫～渠
□	pa1	比比～～：东西混杂的样子
□	ma1	五指抓取
□	tsa1	～账：欠账
□	pɔ1	跑：～得过来
□	pɔ1	～～哩：锄草用的锄头
□	tsɔ1	扎，刺：用针～人
□	pɛ1	～冷：很冷
□	tsʰɛ1	刺穿：用筷子～到
□	iɛ1	～开：有意避开
□	uɛ1	～子：骗子
□	uɛ1	～子：下眼皮外翻的人
□	pʰai1	让，躲：车来了快～开
□	lɔi1	～子：口吃的人
□	ŋau1	用棍棒打：～人
□	hɛu1	蛇～：蛇蜕
□	tsʰiu1	锅～：锅底黑灰
□	tsʰɔn1	～到：用手压住
□	uɔn1	～桩：弯曲矩木，犁的附加零件
□	hɛn1	瞪：～到人家哩
□	pʰaŋ1	～壶：烧开水的陶壶
□	pʰɔŋ1	拼：用命～
□	lɔŋ1	～稀：疏，不密
□	ȵiɔŋ1	～乖哩：举止轻佻的人，用于女性
□	kʰuɔŋ1	～到：衣物狭小时的感觉
□	tɛŋ1	～抻：扯直，拉平
□	tɛŋ1	拖，扯：把渠～过来
□	ʃa2	偷看
□	ha2	～姑：父之妹
□	kʰua2	～子：罗圈腿
□	mɔ2	猪～：母猪
□	sɔ2	差，次
□	ʃɔ2	怂恿
□	ʃɛ2	高大而笨拙：真长得～
□	kɛ2	～公哩：二胡京胡一类乐器的通称
□	iɛ2	因过量而生厌：吃～来（吃腻了）
□	lɔi2	双手搓物：～衣裳
□	sau2	乱跳，乱蹬：鱼在网里～；莫在被窝里～
□	lɛu2	贪得无厌：渠真～
□	sɛu2	～饭：用筷子往口里扒饭
□	ŋɛu2	～算：心算
□	hɛu2	着～：渴望得到
□	tsʰən2	～：劫纱车上的小零件，可使棉花变成纱
□	maŋ2	没放油或少了油的菜的口感
□	maŋ2	～瓜：丝瓜
□	iaŋ2	举：同意的～手
□	kʰɔŋ2	～狗哩：蜻蜓
□	tu3	～簾：晒簟
□	la3	发～：骄傲自大
□	tsa3	～鱼: 一种生吃的上等佳肴
□	tsa3	～博哩眼：一种眼病
□	tsʰa3	指甲划破：～到脸
□	uɔ3	～到：裹好
□	mɛ3	～泻：装傻
□	tʰɛ3	挺：～起个肚来
□	lɛ3	踩住：～绳子
□	kɛ3	挖：～芋头，～坑
□	tɕiɛ3	如如～～：反应迟钝，口齿不清
□	pʰai3	拼拼～～：醉后走路样子
□	uai3	～船：用力使船晃动
