#漢字	音標	解釋
〇	ling4	
㐀	jau1	
㐁	dou6	
㐂	cat1	
㐃	zim1	
㐄	kwaa1	
㐅	ng5	
㐆	ji1	
㐇	gau2	
㐈	jap6	
㐉	ding1	
㐊	si6	
㐋	tou2	
㐌	ji4	
㐍	zaau2	
㐎	man4	
㐏	ng5	
㐐	nou4	
㐑	dung1	
㐒	ziu6	
㐓	ho2	
㐔	hang1	
㐕	jau4	
㐖	kit3	
㐗	lou5	
㐘	mai5	
㐙	dau6	
㐚	ng4	
㐛	jau6	
㐜	sau4	
㐝	keoi1	
㐞	kei4	
㐟	fei1	
㐠	jyu5	
㐡	no6	
㐢	fau4	
㐣	fu3	
㐤	daan1	
㐥	co4	
㐦	geoi2	
㐧	coi4	
㐨	zeoi6	
㐩	jing4	
㐪	si2	
㐫	hung1	
㐬	lau4	
㐭	lam5	
㐮	soeng1	
㐯	jung4	
㐰	seon3	
㐱	can2	
㐲	daai6	
㐳	ngat6	
㐴	paan1	
㐵	jyu4	
㐶	ci5	
傌	maa6	
㐸	him3	
㐹	ngat6	
㐹	hei3	
㐺	jam4	
㐻	noi6	
㐼	cing2	
偑	fung1	
㐾	wun6	
㐿	sau2	
㑀	taai3	
㑁	zeot1	
㑂	fong2	
㑃	aau2	
㑄	mou5	
㑅	zok3	
㑆	hing1	
㑳	zau3	
倲	dung1	
㑉	suk1	
㑊	jik6	
㑋	hung3	
㑌	hong1	
㑍	loi6	
㑎	nou5	
㑏	cyu5	
㑐	suk1	
㑑	zat6	
㑒	cim1	
㑓	zeon3	
㑯	seoi2	
㑕	seoi3	
㑖	zung6	
㑗	san1	
㑘	gaai3	
㑙	dip3	
㑚	naa5	
㑛	suk1	
㑜	jai6	
㑝	lung6	
㑞	jing6	
㑟	bang2	
㑠	gin1	
㑡	zik1	
㑢	koek3	
㑣	laam4	
㑤	maau4	
㑥	ji6	
㑦	lai6	
㑧	gwai3	
㑨	jyu5	
儸	lo4	
㑪	caai4	
㑫	lim6	
㑫	nim6	
㑬	gu1	
㑭	bei2	
㑮	wan4	
㑯	seoi2	
㑰	fui3	
㑱	jiu5	
㑲	naam4	
㑳	cau1	
㑳	zau3	
㑴	cam1	
㑵	zat6	
㑶	hei3	
㑷	taai3	
㑸	jiu4	
㑹	wui6	
㑺	zeon3	
㑻	maat3	
㑼	loek6	
㑽	tong4	
㑾	jiu4	
㑿	zaau6	
㒀	zaak6	
㒁	jyu5	
㒂	zoek3	
㒃	ji6	
㒄	jin5	
㒅	kai2	
㒆	kap1	
㒇	mou5	
㒈	haam3	
㒉	cong2	
㒊	saap3	
㒋	si1	
㒌	king4	
㒍	leoi4	
㒎	saap3	
㒏	hon4	
㒐	seon2	
㒑	fui2	
㒒	buk6	
㒓	daat3	
㒓	taat3	
㒔	suk6	
㒕	ong1	
㒖	ngau5	
㒗	toi4	
㒘	syu6	
㒙	min4	
㒚	jan3	
㒚	wan2	
㒛	tiu5	
㒜	jyu5	
㒝	mit6	
㒞	wai6	
㒟	niu5	
㒠	haai6	
㒡	jau4	
㒢	joek6	
㒣	jing3	
㒤	cip3	
㒥	fung1	
㒦	leoi5	
㒧	lai6	
㒨	sin1	
㒩	lo2	
㒪	sek3	
㒫	gei3	
㒬	wong1	
㒭	kwan1	
㒮	fui1	
㒯	jip6	
㒰	cyun4	
㒱	zik6	
㒲	coi4	
㒳	loeng5	
㒴	gwat1	
㒵	maau6	
㒶	gung1	
㒷	hing1	
㒸	seoi6	
㒹	din1	
㒺	mong5	
㒻	mou6	
㒼	mang4	
㒼	mun4	
㒽	hyun1	
㒾	ci3	
㒿	lei4	
㓀	buk1	
㓁	mong5	
㓂	kau3	
㓃	dou3	
㓄	zam3	
㓅	ting1	
𠗣	leon4	
㓇	juk1	
㓈	bing3	
㓉	wut6	
㓊	dung6	
㓋	gung6	
㓌	cang1	
㓍	cung1	
㓎	cam1	
㓏	gwing2	
㓐	luk6	
㓑	jing6	
㓒	cat1	
㓓	naam4	
㓔	ze6	
㓕	mit6	
㓖	bat1	
㓗	git3	
㓘	suk1	
㓙	hung1	
㓚	gung1	
㓛	gung1	
㓜	jau3	
㓝	jing4	
㓞	kai3	
㓞	kit3	
㓟	pai1	
㓠	dim3	
㓡	fu2	
㓢	lok6	
㓣	hap1	
㓤	gat1	
劏	tong1	
㓦	baak3	
㓦	maak3	
㓧	gam1	
㓨	ci3	
㓩	hyun1	
㓪	long5	
㓫	fu1	
㓬	fu1	
㓭	hot3	
㓮	diu1	
㓯	lei4	
劃	waak6	
㓱	tau4	
㓲	pin1	
㓳	dai1	
㓴	jyun5	
㓵	ngok6	
㓶	kit3	
㓷	ji6	
㓸	zoek3	
㓹	jeoi6	
