#漢字	音標	解釋
㐻	na1	
䘆	hᵘɔn3	蚯蚓
一	jit7	
七	tsʰit7	
丈	tsʰɔŋ5	～人佬：岳父
丈	tsʰɔŋ6	姑～
三	sam1	
上	sɔŋ6	
下	ha6	
世	sei5	
丟	tiu1	
丫	a1	
中	tsuŋ1	
中	tsuŋ5	
丸	jiɔn2	
主	tsy3	
乃	nai5	
久	kiu3	
乖	kai1	
九	kiu3	
乸	na5	兩仔～：孃兒倆；婆媳倆
乾	kᵘɔn1	
亂	lᵘɔn6	
事	si5	
事	si6	話～頭：老闆
二	ŋi6	
五	ŋu3	
五	m3	～指毛桃
井	tsiaŋ3	
交	kau1	
亭	tʰiŋ2	
亮	liɔŋ6	
人	ŋin2	
仁	jin2	
今	kin1	
今	kim1	
仔	tsei3	
仗	tsʰiɔŋ1	爆～：鞭炮
仙	sien1	
代	tʰɔi6	
件	kʰien6	
份	fun1	
份	hun6	夾～：合夥
份	fun6	
伏	pʰuk7	趴
休	hiu1	
伙	fɔ3	
伯	pak7	
估	ku3	
伴	pʰᵘɔn6	
伸	sin1	
伸	sun1	～tsʰa1：（衣服）伸展
似	tsʰi5	
佉	tsʰy6	第三人稱，他/她/它
低	tei1	
住	tsʰy6	
佑	jiu6	
何	hɔ2	
佛	fut8	
作	tsɔk7	
你	ni6	
佬	lau3	
使	sei3	
侄	tsʰiet7	
來	lɔi2	
便	pʰien2	
便	pʰien6	
係	hei6	是
保	pau3	
信	sin5	
倉	tsʰɔŋ1	
個	kɔi5	那
倒	tau3	
倒	tau5	
值	tsʰit8	
假	ka3	
假	ka5	
偏	pʰien1	
做	tsu5	
停	hiŋ2	
停	tʰiŋ2	
側	tsit7	
偷	heu1	
偷	tʰeu1	
傍	pɔŋ5	
傢	ka1	
傳	tsʰᵘɔn2	
傳	tsʰɔn2	
債	tsai5	
傷	sɔŋ1	
傻	sɔ2	
傾	kʰiŋ1	
僬	tsiau1	～仔：小孩
價	ka5	
僻	pʰit7	
